date,국제구리가격
2021-10-12,34.29179
2021-10-13,32.88072
2021-10-14,46.69861
2021-10-15,48.64217
2021-10-16,20.18104
2021-10-17,9.29179
2021-10-18,46.72523
2021-10-19,54.7657
2021-10-20,47.04472
2021-10-21,43.66347
2021-10-22,35.83599
2021-10-23,13.68477
2021-10-24,5.4313
2021-10-25,30.93716
2021-10-26,29.92545
2021-10-27,27.84877
2021-10-28,29.1001
2021-10-29,25.26624
2021-10-30,9.71778
2021-10-31,4.89882
2021-11-01,23.72204
2021-11-02,24.76038
2021-11-03,27.23642
2021-11-04,25.42598
2021-11-05,21.77848
2021-11-06,9.05218
2021-11-07,4.8722
2021-11-08,21.9116
2021-11-09,26.46432
2021-11-10,25.39936
2021-11-11,27.79552
2021-11-12,26.70394
2021-11-13,12.64643
2021-11-14,5.5378
2021-11-15,25.50585
2021-11-16,27.92864
2021-11-17,25.4526
2021-11-18,26.41107
2021-11-19,25.31948
2021-11-20,11.98083
2021-11-21,4.81895
2021-11-22,21.53887
2021-11-23,25.74547
2021-11-24,25.42598
2021-11-25,29.89882
2021-11-26,23.74866
2021-11-27,10.43663
2021-11-28,4.71246
2021-11-29,23.29605
2021-11-30,23.85516
2021-12-01,22.81682
2021-12-02,22.33759
2021-12-03,19.88817
2021-12-04,8.46645
2021-12-05,4.92545
2021-12-06,18.23748
2021-12-07,22.31096
2021-12-08,21.03301
2021-12-09,19.67518
2021-12-10,17.35889
2021-12-11,7.16187
2021-12-12,3.64749
2021-12-13,15.44195
2021-12-14,17.30564
2021-12-15,18.34398
2021-12-16,20.39403
2021-12-17,22.1246
2021-12-18,8.54632
2021-12-19,3.80724
2021-12-20,17.35889
2021-12-21,21.85835
2021-12-22,22.49733
2021-12-23,22.89669
2021-12-24,17.27902
2021-12-25,5.51118
2021-12-26,4.55271
2021-12-27,15.54845
2021-12-28,21.40575
2021-12-29,16.82641
2021-12-30,16.18743
2021-12-31,11.71458
2022-01-01,7.98722
2022-01-02,4.41959
2022-01-03,17.25239
2022-01-04,19.19595
2022-01-05,19.46219
2022-01-06,19.1427
2022-01-07,18.02449
2022-01-08,9.10543
2022-01-09,4.79233
2022-01-10,16.13418
2022-01-11,21.21938
2022-01-12,27.92864
2022-01-13,33.54632
2022-01-14,26.30457
2022-01-15,10.56975
2022-01-16,5.19169
2022-01-17,17.97124
2022-01-18,20.74014
2022-01-19,22.87007
2022-01-20,27.42279
2022-01-21,26.9968
2022-01-22,10.78274
2022-01-23,4.81895
2022-01-24,19.8083
2022-01-25,21.77848
2022-01-26,22.17784
2022-01-27,21.27263
2022-01-28,17.62513
2022-01-29,9.02555
2022-01-30,3.91373
2022-01-31,9.77103
2022-02-01,12.8328
2022-02-02,18.69009
2022-02-03,24.20127
2022-02-04,22.36421
2022-02-05,9.55804
2022-02-06,4.52609
2022-02-07,17.01277
2022-02-08,18.74334
2022-02-09,20.18104
2022-02-10,31.60276
2022-02-11,25.82534
2022-02-12,11.1821
2022-02-13,5.45793
2022-02-14,28.83386
2022-02-15,32.6411
2022-02-16,30.56443
2022-02-17,27.18317
2022-02-18,25.71884
2022-02-19,11.55484
2022-02-20,6.28328
2022-02-21,19.67518
2022-02-22,21.27263
2022-02-23,24.2279
2022-02-24,33.83919
2022-02-25,28.96698
2022-02-26,11.58146
2022-02-27,5.99041
2022-02-28,20.76677
2022-03-01,18.4771
2022-03-02,32.29499
2022-03-03,34.93077
2022-03-04,44.38232
2022-03-05,22.71033
2022-03-06,10.03727
2022-03-07,41.85303
2022-03-08,45.15441
2022-03-09,28.46112
2022-03-10,34.63791
2022-03-11,29.95207
2022-03-12,13.81789
2022-03-13,7.02875
2022-03-14,23.66879
2022-03-15,25.07987
2022-03-16,28.27476
2022-03-17,28.24813
2022-03-18,27.28966
2022-03-19,12.11395
2022-03-20,5.85729
2022-03-21,20.63365
2022-03-22,24.84025
2022-03-23,25.26624
2022-03-24,29.12673
2022-03-25,23.88178
2022-03-26,8.81256
2022-03-27,4.95207
2022-03-28,16.79978
2022-03-29,20.76677
2022-03-30,22.89669
2022-03-31,28.40788
2022-04-01,31.09691
2022-04-02,11.79446
2022-04-03,7.48136
2022-04-04,29.15335
2022-04-05,41.64004
2022-04-06,38.17891
2022-04-07,28.24813
2022-04-08,22.7902
2022-04-09,9.47816
2022-04-10,5.59105
2022-04-11,19.54206
2022-04-12,24.30777
2022-04-13,23.64217
2022-04-14,22.65708
2022-04-15,17.97124
2022-04-16,6.3099
2022-04-17,5.05857
2022-04-18,19.99467
2022-04-19,25.61235
2022-04-20,23.00319
2022-04-21,20.18104
2022-04-22,21.43237
2022-04-23,10.30351
2022-04-24,4.8722
2022-04-25,18.29073
2022-04-26,23.48242
2022-04-27,24.09478
2022-04-28,21.72523
2022-04-29,21.00638
2022-04-30,8.54632
2022-05-01,5.03194
2022-05-02,20.60702
2022-05-03,23.21618
2022-05-04,22.52396
2022-05-05,16.66666
2022-05-06,22.6837
2022-05-07,8.20021
2022-05-08,4.47284
2022-05-09,20.26091
2022-05-10,22.73695
2022-05-11,21.67199
2022-05-12,24.787
2022-05-13,22.31096
2022-05-14,10.96911
2022-05-15,5.35143
2022-05-16,19.43556
2022-05-17,23.24281
2022-05-18,21.00638
2022-05-19,21.64536
2022-05-20,21.45899
2022-05-21,9.02555
2022-05-22,5.05857
2022-05-23,17.09265
2022-05-24,20.55378
2022-05-25,19.94142
2022-05-26,17.62513
2022-05-27,16.18743
2022-05-28,8.09371
2022-05-29,4.1001
2022-05-30,17.57188
2022-05-31,18.3706
2022-06-01,12.43343
2022-06-02,21.77848
2022-06-03,26.9968
2022-06-04,9.50479
2022-06-05,4.9787
2022-06-06,13.07241
2022-06-07,21.246
2022-06-08,19.56869
2022-06-09,18.15761
2022-06-10,16.53354
2022-06-11,7.6411
2022-06-12,3.94036
2022-06-13,17.57188
2022-06-14,17.17252
2022-06-15,18.90308
2022-06-16,17.86474
2022-06-17,18.18423
2022-06-18,12.35356
2022-06-19,6.33652
2022-06-20,21.05963
2022-06-21,19.22257
2022-06-22,21.40575
2022-06-23,23.3493
2022-06-24,26.51757
2022-06-25,10.80937
2022-06-26,5.27156
2022-06-27,20.52715
2022-06-28,22.1246
2022-06-29,21.08626
2022-06-30,19.88817
2022-07-01,19.59531
2022-07-02,8.57294
2022-07-03,4.52609
2022-07-04,20.39403
2022-07-05,24.73375
2022-07-06,29.41959
2022-07-07,28.328
2022-07-08,23.64217
2022-07-09,9.47816
2022-07-10,5.59105
2022-07-11,18.45047
2022-07-12,20.39403
2022-07-13,24.73375
2022-07-14,22.89669
2022-07-15,22.31096
2022-07-16,10.33013
2022-07-17,5.91054
2022-07-18,23.32268
2022-07-19,25.6656
2022-07-20,24.30777
2022-07-21,21.21938
2022-07-22,19.0362
2022-07-23,9.7444
2022-07-24,5.00532
2022-07-25,19.43556
2022-07-26,23.18956
2022-07-27,20.87326
2022-07-28,25.79872
2022-07-29,24.36102
2022-07-30,11.26198
2022-07-31,6.57614
2022-08-01,24.70713
2022-08-02,24.65388
2022-08-03,20.36741
2022-08-04,21.88498
2022-08-05,18.3706
2022-08-06,10.94249
2022-08-07,4.8722
2022-08-08,22.89669
2022-08-09,23.42917
2022-08-10,23.66879
2022-08-11,27.02342
2022-08-12,24.92012
2022-08-13,10.22364
2022-08-14,5.32481
2022-08-15,15.89456
2022-08-16,21.9116
2022-08-17,19.83493
2022-08-18,21.00638
2022-08-19,19.2492
2022-08-20,10.41001
2022-08-21,5.72417
2022-08-22,22.87007
2022-08-23,20.84664
2022-08-24,21.69861
2022-08-25,21.05963
2022-08-26,20.23429
2022-08-27,9.34504
2022-08-28,4.23322
2022-08-29,20.31416
2022-08-30,20.87326
2022-08-31,19.88817
2022-09-01,18.26411
2022-09-02,16.05431
2022-09-03,7.05537
2022-09-04,4.2066
2022-09-05,15.65495
2022-09-06,14.45686
2022-09-07,15.94781
2022-09-08,13.73801
2022-09-09,11.20873
2022-09-10,6.36315
2022-09-11,3.27476
2022-09-12,8.99893
2022-09-13,20.52715
2022-09-14,19.00958
2022-09-15,17.33226
2022-09-16,14.53674
2022-09-17,6.89563
2022-09-18,3.91373
2022-09-19,15.12247
2022-09-20,16.1608
2022-09-21,14.9361
2022-09-22,17.33226
2022-09-23,17.01277
2022-09-24,6.46964
2022-09-25,2.84877
2022-09-26,15.78807
2022-09-27,17.06602
2022-09-28,15.76144
2022-09-29,16.18743
2022-09-30,16.05431
2022-10-01,6.17678
2022-10-02,2.63578
2022-10-03,9.29179
2022-10-04,14.98935
2022-10-05,17.705
2022-10-06,18.07774
2022-10-07,15.46858
2022-10-08,5.08519
2022-10-09,2.74227
2022-10-10,10.72949
2022-10-11,16.45367
2022-10-12,13.23216
2022-10-13,14.11075
2022-10-14,13.87113
2022-10-15,5.29818
2022-10-16,2.74227
2022-10-17,11.47497
2022-10-18,12.80617
2022-10-19,11.92758
2022-10-20,12.53993
2022-10-21,13.36528
2022-10-22,6.33652
2022-10-23,3.88711
2022-10-24,15.65495
2022-10-25,13.84451
2022-10-26,14.61661
2022-10-27,20.18104
2022-10-28,13.89776
2022-10-29,5.13844
2022-10-30,3.22151
2022-10-31,11.52822
2022-11-01,14.13738
2022-11-02,14.53674
2022-11-03,14.56336
2022-11-04,16.45367
2022-11-05,11.1821
2022-11-06,5.00532
2022-11-07,21.59211
2022-11-08,20.28753
2022-11-09,20.71352
2022-11-10,20.84664
2022-11-11,24.787
2022-11-12,11.26198
2022-11-13,5.24494
2022-11-14,20.34078
2022-11-15,19.2492
2022-11-16,17.83812
2022-11-17,16.40042
2022-11-18,14.32374
2022-11-19,6.52289
2022-11-20,3.24813
2022-11-21,14.164
2022-11-22,15.92119
2022-11-23,16.05431
2022-11-24,14.43024
2022-11-25,13.68477
2022-11-26,5.75079
2022-11-27,2.52928
2022-11-28,11.58146
2022-11-29,12.56656
2022-11-30,13.12566
2022-12-01,15.33546
2022-12-02,13.20553
2022-12-03,5.4313
2022-12-04,3.67412
2022-12-05,13.23216
2022-12-06,13.81789
2022-12-07,13.07241
