date,중개형ISA계좌
2021-08-28,4.88505
2021-08-29,5.74712
2021-08-30,1.43678
2021-08-31,11.20689
2021-09-01,10.05747
2021-09-02,8.04597
2021-09-03,7.47126
2021-09-04,3.16091
2021-09-05,5.74712
2021-09-06,6.60919
2021-09-07,5.74712
2021-09-08,9.48275
2021-09-09,2.01149
2021-09-10,5.74712
2021-09-11,1.72413
2021-09-12,2.87356
2021-09-13,4.31034
2021-09-14,6.89655
2021-09-15,7.1839
2021-09-16,4.02298
2021-09-17,5.74712
2021-09-18,2.87356
2021-09-19,2.29885
2021-09-20,2.01149
2021-09-21,3.73563
2021-09-22,3.73563
2021-09-23,6.03448
2021-09-24,5.74712
2021-09-25,1.72413
2021-09-26,3.73563
2021-09-27,7.1839
2021-09-28,7.47126
2021-09-29,4.88505
2021-09-30,2.01149
2021-10-01,4.5977
2021-10-02,1.72413
2021-10-04,1.72413
2021-10-05,5.74712
2021-10-06,5.17241
2021-10-07,6.89655
2021-10-08,4.5977
2021-10-09,2.87356
2021-10-10,1.43678
2021-10-11,2.01149
2021-10-12,2.29885
2021-10-13,3.16091
2021-10-14,5.45977
2021-10-15,4.02298
2021-10-16,1.43678
2021-10-17,3.16091
2021-10-18,3.44827
2021-10-19,5.74712
2021-10-20,5.74712
2021-10-21,5.45977
2021-10-22,9.1954
2021-10-23,2.87356
2021-10-24,3.16091
2021-10-25,12.06896
2021-10-26,11.20689
2021-10-27,6.32183
2021-10-28,9.48275
2021-10-29,9.1954
2021-10-30,1.72413
2021-11-01,6.89655
2021-11-02,7.1839
2021-11-03,9.77011
2021-11-04,4.5977
2021-11-05,8.33333
2021-11-06,1.72413
2021-11-07,3.44827
2021-11-08,4.88505
2021-11-09,2.01149
2021-11-10,4.02298
2021-11-11,6.32183
2021-11-12,6.03448
2021-11-13,3.16091
2021-11-14,2.5862
2021-11-15,7.1839
2021-11-16,6.60919
2021-11-17,4.31034
2021-11-18,7.75862
2021-11-19,2.29885
2021-11-20,2.01149
2021-11-21,7.1839
2021-11-22,5.74712
2021-11-23,3.73563
2021-11-24,5.17241
2021-11-25,5.74712
2021-11-27,1.43678
2021-11-29,4.31034
2021-11-30,3.73563
2021-12-01,3.16091
2021-12-02,4.88505
2021-12-03,1.43678
2021-12-05,1.43678
2021-12-06,6.03448
2021-12-07,3.44827
2021-12-08,6.60919
2021-12-09,7.47126
2021-12-10,5.74712
2021-12-11,2.29885
2021-12-12,5.17241
2021-12-13,8.90804
2021-12-14,7.1839
2021-12-15,3.16091
2021-12-16,6.03448
2021-12-17,6.60919
2021-12-18,4.02298
2021-12-19,5.74712
2021-12-20,7.1839
2021-12-21,7.1839
2021-12-22,7.1839
2021-12-23,8.90804
2021-12-24,100.0
2021-12-25,9.48275
2021-12-26,12.93103
2021-12-27,22.41379
2021-12-28,27.5862
2021-12-29,25.0
2021-12-30,20.97701
2021-12-31,19.25287
2022-01-01,3.44827
2022-01-02,2.87356
2022-01-03,4.02298
2022-01-04,5.74712
2022-01-05,7.75862
2022-01-06,3.73563
2022-01-07,6.03448
2022-01-08,4.5977
2022-01-09,3.44827
2022-01-10,5.45977
2022-01-11,4.02298
2022-01-12,8.33333
2022-01-13,6.89655
2022-01-14,4.02298
2022-01-15,3.44827
2022-01-16,2.01149
2022-01-17,10.63218
2022-01-18,16.37931
2022-01-19,10.34482
2022-01-20,5.17241
2022-01-21,4.5977
2022-01-22,2.5862
2022-01-23,2.29885
2022-01-24,5.17241
2022-01-25,4.31034
2022-01-26,1.43678
2022-01-27,2.29885
2022-01-28,3.44827
2022-01-29,3.44827
2022-01-30,3.44827
2022-02-01,1.72413
2022-02-03,1.43678
2022-02-05,1.43678
2022-02-07,1.72413
2022-02-08,3.73563
2022-02-09,4.31034
2022-02-10,1.72413
2022-02-11,4.02298
2022-02-14,1.43678
2022-02-15,1.43678
2022-02-17,2.29885
2022-02-18,1.72413
2022-02-20,2.5862
2022-02-21,2.01149
2022-02-24,2.5862
2022-02-25,2.01149
2022-02-28,2.01149
2022-03-01,2.29885
2022-03-02,1.72413
2022-03-03,1.43678
2022-03-04,4.02298
2022-03-05,1.72413
2022-03-07,1.43678
2022-03-08,2.87356
2022-03-11,3.73563
2022-03-13,1.43678
2022-03-16,1.72413
2022-03-17,1.43678
2022-03-18,1.72413
2022-03-21,2.29885
2022-03-23,1.43678
2022-03-24,1.72413
2022-03-30,1.43678
2022-03-31,2.01149
2022-04-02,1.43678
2022-04-04,1.72413
2022-04-07,2.29885
2022-04-11,2.29885
2022-04-14,1.43678
2022-04-18,2.01149
2022-04-19,2.01149
2022-04-20,1.72413
2022-04-22,1.43678
2022-04-25,2.87356
2022-04-26,3.73563
2022-04-28,1.72413
2022-04-29,2.01149
2022-05-01,1.72413
2022-05-04,1.43678
2022-05-06,2.01149
2022-05-11,1.43678
2022-05-13,1.72413
2022-05-18,1.43678
2022-05-21,1.72413
2022-05-25,2.01149
2022-06-02,2.87356
2022-06-03,1.43678
2022-06-07,1.43678
2022-06-09,1.72413
2022-06-10,1.72413
2022-06-14,2.01149
2022-06-15,2.29885
2022-06-17,1.72413
2022-06-21,1.72413
2022-06-27,1.72413
2022-06-28,3.73563
2022-07-18,2.87356
2022-07-22,1.43678
2022-07-25,1.43678
2022-07-26,6.32183
2022-08-04,1.43678
2022-08-05,3.16091
2022-08-06,1.72413
2022-08-10,2.01149
2022-08-12,1.72413
2022-08-24,4.31034
2022-09-06,3.73563
2022-09-21,1.72413
2022-09-23,1.43678
2022-09-26,1.72413
2022-09-27,2.01149
2022-10-06,2.29885
2022-10-13,1.43678
2022-10-18,2.87356
2022-10-19,1.43678
2022-10-20,1.72413
2022-10-21,1.43678
2022-10-27,1.43678
2022-11-02,1.72413
2022-11-07,1.43678
2022-11-08,2.29885
2022-11-09,1.43678
2022-11-10,3.44827
2022-11-12,1.43678
2022-11-14,1.72413
2022-11-16,3.44827
2022-11-29,1.43678
2022-12-02,1.43678
2022-12-10,1.43678
2022-12-14,2.01149
2022-12-19,2.87356
2022-12-20,1.72413
2022-12-21,1.43678
2022-12-22,1.43678
2022-12-28,1.43678
2022-12-30,1.72413
2023-01-10,1.72413
2023-01-13,1.43678
2023-01-24,1.43678
2023-01-25,1.43678
2023-01-30,1.43678
2023-01-31,1.72413
2023-02-06,2.01149
2023-02-18,1.43678
2023-02-20,2.01149
2023-02-22,3.16091
2023-02-23,2.01149
2023-02-28,1.43678
2023-03-01,2.01149
2023-03-03,1.43678
2023-03-06,1.43678
2023-03-08,2.01149
2023-03-13,2.01149
2023-03-16,1.43678
2023-03-23,3.16091
2023-03-29,1.72413
2023-03-31,3.44827
2023-04-01,1.43678
2023-04-02,3.73563
2023-04-03,4.88505
2023-04-04,4.88505
2023-04-05,9.77011
2023-04-06,4.88505
2023-04-07,1.72413
2023-04-12,5.17241
2023-04-17,1.43678
2023-04-27,1.72413
2023-05-02,1.43678
2023-05-04,1.72413
2023-05-05,1.43678
2023-05-07,1.43678
2023-05-12,1.43678
2023-05-15,3.73563
2023-05-17,1.43678
2023-05-19,2.01149
2023-05-25,1.43678
2023-05-31,2.01149
2023-06-01,1.43678
2023-06-04,2.29885
2023-06-05,1.43678
2023-06-07,2.5862
2023-06-08,1.72413
2023-06-09,2.01149
2023-06-10,1.43678
2023-06-13,1.43678
2023-06-14,1.72413
2023-06-16,1.43678
2023-06-22,2.01149
2023-06-23,1.43678
2023-06-27,1.43678
2023-06-29,3.44827
2023-07-02,1.72413
2023-07-03,1.72413
2023-07-05,4.5977
2023-07-06,3.16091
2023-07-07,2.01149
2023-07-09,1.43678
2023-07-10,2.87356
2023-07-17,1.43678
2023-07-18,3.44827
2023-07-21,1.43678
2023-07-24,3.44827
2023-07-25,1.43678
2023-07-26,1.43678
2023-07-27,1.43678
2023-07-30,1.43678
2023-07-31,3.73563
2023-08-02,1.43678
2023-08-04,2.01149
2023-08-07,1.43678
2023-08-10,1.43678
2023-08-18,1.43678
2023-08-23,1.72413
2023-09-06,3.44827
2023-09-08,1.43678
2023-09-11,1.72413
2023-09-18,1.43678
2023-09-19,1.72413
2023-10-03,2.5862
2023-10-04,4.02298
2023-10-18,3.73563
2023-10-19,2.01149
2023-10-26,2.87356
2023-11-06,3.73563
2023-11-08,3.44827
2023-11-09,2.5862
2023-11-10,2.01149
2023-11-24,2.5862
2023-11-25,1.72413
2023-11-27,1.43678
2023-11-30,2.29885
2023-12-05,1.43678
2023-12-11,1.72413
2023-12-12,1.43678
2023-12-18,3.73563
2023-12-19,1.43678
2023-12-20,2.29885
2023-12-21,2.29885
2023-12-24,1.43678
2023-12-25,1.43678
2023-12-27,2.01149
2023-12-28,1.72413
2023-12-29,1.72413
2024-01-03,1.43678
2024-01-04,2.01149
2024-01-07,1.43678
2024-01-10,3.73563
2024-01-11,1.43678
2024-01-15,2.5862
2024-01-17,3.44827
2024-01-18,3.44827
2024-01-19,2.29885
2024-01-20,1.43678
2024-01-21,1.43678
2024-01-22,4.5977
2024-01-23,1.43678
2024-01-24,4.02298
2024-01-25,2.5862
2024-01-26,4.31034
2024-01-28,2.01149
2024-01-29,2.29885
2024-01-30,6.03448
2024-01-31,2.5862
2024-02-01,8.04597
2024-02-02,1.43678
2024-02-03,1.43678
2024-02-04,4.02298
2024-02-05,7.75862
2024-02-06,4.31034
2024-02-07,6.32183
2024-02-08,8.04597
2024-02-09,2.29885
2024-02-11,3.16091
2024-02-12,6.32183
2024-02-13,9.48275
2024-02-14,13.7931
2024-02-15,10.63218
2024-02-16,31.89655
2024-02-17,9.1954
2024-02-18,14.36781
2024-02-19,12.93103
2024-02-20,19.82758
2024-02-21,17.24137
2024-02-22,26.14942
2024-02-23,42.52873
2024-02-24,23.85057
2024-02-25,29.31034
2024-02-26,50.28735
2024-02-27,40.22988
2024-02-28,41.95402
2024-02-29,43.96551
2024-03-01,31.32183
2024-03-02,32.1839
2024-03-03,31.03448
2024-03-04,54.31034
2024-03-05,48.85057
2024-03-06,51.43678
2024-03-07,42.24137
2024-03-08,48.27586
2024-03-09,18.67816
2024-03-10,17.24137
2024-03-11,33.62068
2024-03-12,39.65517
2024-03-13,36.7816
2024-03-14,30.45977
2024-03-15,36.49425
2024-03-16,17.52873
2024-03-17,22.12643
2024-03-18,33.90804
2024-03-19,38.50574
2024-03-20,31.03448
