date,떼인돈받아드립니다
2021-11-24,43.30218
2021-11-25,45.48286
2021-11-26,40.18691
2021-11-27,26.47975
2021-11-28,26.47975
2021-11-29,48.90965
2021-11-30,56.69781
2021-12-01,55.45171
2021-12-02,52.33644
2021-12-03,40.80996
2021-12-04,36.13707
2021-12-05,28.97196
2021-12-06,50.15576
2021-12-07,61.99376
2021-12-08,44.23676
2021-12-09,47.97507
2021-12-10,37.6947
2021-12-11,30.52959
2021-12-12,30.84112
2021-12-13,40.80996
2021-12-14,46.41744
2021-12-15,46.10591
2021-12-16,49.53271
2021-12-17,40.80996
2021-12-18,18.06853
2021-12-19,22.4299
2021-12-20,51.09034
2021-12-21,56.69781
2021-12-22,43.6137
2021-12-23,41.43302
2021-12-24,38.00623
2021-12-25,15.57632
2021-12-26,25.85669
2021-12-27,50.46728
2021-12-28,50.46728
2021-12-29,44.85981
2021-12-30,46.10591
2021-12-31,37.38317
2022-01-01,24.92211
2022-01-02,28.97196
2022-01-03,55.76323
2022-01-04,55.76323
2022-01-05,50.77881
2022-01-06,50.46728
2022-01-07,50.15576
2022-01-08,28.03738
2022-01-09,33.0218
2022-01-10,52.9595
2022-01-11,43.30218
2022-01-12,44.85981
2022-01-13,56.38629
2022-01-14,43.92523
2022-01-15,33.95638
2022-01-16,33.33333
2022-01-17,43.6137
2022-01-18,50.46728
2022-01-19,48.59813
2022-01-20,48.90965
2022-01-21,45.79439
2022-01-22,33.0218
2022-01-23,24.61059
2022-01-24,45.79439
2022-01-25,54.51713
2022-01-26,45.79439
2022-01-27,52.02492
2022-01-28,37.6947
2022-01-29,30.52959
2022-01-30,18.38006
2022-01-31,18.38006
2022-02-01,24.92211
2022-02-02,28.97196
2022-02-03,57.94392
2022-02-04,57.63239
2022-02-05,28.66043
2022-02-06,35.20249
2022-02-07,53.89408
2022-02-08,44.85981
2022-02-09,44.54828
2022-02-10,54.2056
2022-02-11,47.97507
2022-02-12,41.12149
2022-02-13,25.85669
2022-02-14,47.35202
2022-02-15,64.48598
2022-02-16,48.59813
2022-02-17,47.66355
2022-02-18,39.87538
2022-02-19,36.13707
2022-02-20,31.46417
2022-02-21,62.30529
2022-02-22,59.81308
2022-02-23,55.76323
2022-02-24,48.2866
2022-02-25,52.02492
2022-02-26,28.97196
2022-02-27,27.41433
2022-02-28,59.50155
2022-03-01,41.12149
2022-03-02,53.27102
2022-03-03,47.35202
2022-03-04,49.84423
2022-03-05,30.21806
2022-03-06,27.72585
2022-03-07,48.59813
2022-03-08,42.3676
2022-03-09,27.72585
2022-03-10,49.53271
2022-03-11,48.90965
2022-03-12,30.21806
2022-03-13,23.36448
2022-03-14,43.6137
2022-03-15,53.27102
2022-03-16,50.46728
2022-03-17,40.80996
2022-03-18,44.54828
2022-03-19,27.41433
2022-03-20,25.54517
2022-03-21,43.6137
2022-03-22,39.87538
2022-03-23,50.77881
2022-03-24,50.46728
2022-03-25,49.84423
2022-03-26,36.13707
2022-03-27,28.03738
2022-03-28,42.67912
2022-03-29,47.35202
2022-03-30,50.46728
2022-03-31,64.17445
2022-04-01,52.02492
2022-04-02,27.1028
2022-04-03,35.82554
2022-04-04,40.49844
2022-04-05,58.56697
2022-04-06,51.71339
2022-04-07,44.54828
2022-04-08,45.48286
2022-04-09,28.03738
2022-04-10,24.92211
2022-04-11,48.2866
2022-04-12,45.79439
2022-04-13,47.97507
2022-04-14,50.46728
2022-04-15,43.92523
2022-04-16,25.54517
2022-04-17,26.16822
2022-04-18,47.35202
2022-04-19,52.9595
2022-04-20,50.15576
2022-04-21,45.79439
2022-04-22,51.09034
2022-04-23,32.71028
2022-04-24,30.21806
2022-04-25,48.90965
2022-04-26,52.64797
2022-04-27,38.9408
2022-04-28,41.74454
2022-04-29,48.90965
2022-04-30,29.59501
2022-05-01,28.66043
2022-05-02,53.27102
2022-05-03,48.2866
2022-05-04,41.12149
2022-05-05,29.59501
2022-05-06,41.74454
2022-05-07,27.72585
2022-05-08,29.28348
2022-05-09,45.48286
2022-05-10,46.41744
2022-05-11,49.22118
2022-05-12,47.35202
2022-05-13,36.13707
2022-05-14,26.79127
2022-05-15,26.16822
2022-05-16,54.2056
2022-05-17,55.45171
2022-05-18,47.97507
2022-05-19,61.05919
