date,퇴직연금IRP
2020-10-30,4.15254
2020-10-31,1.01694
2020-11-01,2.54237
2020-11-02,4.8305
2020-11-03,6.94915
2020-11-04,4.23728
2020-11-05,4.74576
2020-11-06,4.40677
2020-11-07,1.27118
2020-11-08,1.44067
2020-11-09,6.35593
2020-11-10,5.84745
2020-11-11,6.44067
2020-11-12,7.03389
2020-11-13,4.66101
2020-11-14,1.44067
2020-11-15,3.13559
2020-11-16,4.32203
2020-11-17,5.25423
2020-11-18,6.18644
2020-11-19,4.32203
2020-11-20,5.67796
2020-11-21,1.01694
2020-11-22,2.54237
2020-11-23,5.9322
2020-11-24,6.18644
2020-11-25,7.62711
2020-11-26,6.94915
2020-11-27,5.76271
2020-11-28,2.88135
2020-11-29,2.71186
2020-11-30,6.18644
2020-12-01,7.9661
2020-12-02,7.88135
2020-12-03,8.55932
2020-12-04,7.37288
2020-12-05,3.05084
2020-12-06,3.13559
2020-12-07,8.05084
2020-12-08,6.94915
2020-12-09,9.66101
2020-12-10,9.91525
2020-12-11,7.62711
2020-12-12,2.9661
2020-12-13,2.9661
2020-12-14,7.37288
2020-12-15,7.45762
2020-12-16,8.22033
2020-12-17,9.06779
2020-12-18,8.05084
2020-12-19,2.11864
2020-12-20,3.98305
2020-12-21,6.77966
2020-12-22,8.30508
2020-12-23,11.77966
2020-12-24,10.25423
2020-12-25,4.49152
2020-12-26,3.98305
2020-12-27,3.55932
2020-12-28,13.81355
2020-12-29,13.81355
2020-12-30,15.50847
2020-12-31,10.84745
2021-01-01,2.9661
2021-01-02,3.22033
2021-01-03,3.13559
2021-01-04,11.18644
2021-01-05,10.25423
2021-01-06,8.81355
2021-01-07,8.13559
2021-01-08,7.88135
2021-01-09,3.47457
2021-01-10,2.9661
2021-01-11,7.28813
2021-01-12,7.88135
2021-01-13,8.64406
2021-01-14,8.98305
2021-01-15,10.42372
2021-01-16,3.98305
2021-01-17,3.47457
2021-01-18,13.05084
2021-01-19,11.94915
2021-01-20,12.11864
2021-01-21,13.13559
2021-01-22,8.55932
2021-01-23,4.49152
2021-01-24,3.98305
2021-01-25,11.94915
2021-01-26,10.76271
2021-01-27,10.67796
2021-01-28,11.10169
2021-01-29,9.57627
2021-01-30,2.9661
2021-01-31,2.37288
2021-02-01,8.13559
2021-02-02,8.64406
2021-02-03,12.54237
2021-02-04,10.33898
2021-02-05,8.38983
2021-02-06,2.28813
2021-02-07,3.47457
2021-02-08,8.98305
2021-02-09,7.45762
2021-02-10,10.16949
2021-02-11,3.13559
2021-02-12,3.30508
2021-02-13,2.54237
2021-02-14,3.55932
2021-02-15,12.79661
2021-02-16,12.03389
2021-02-17,11.94915
2021-02-18,8.72881
2021-02-19,8.38983
2021-02-20,2.88135
2021-02-21,3.30508
2021-02-22,6.77966
2021-02-23,8.8983
2021-02-24,8.22033
2021-02-25,9.91525
2021-02-26,7.54237
2021-02-27,2.45762
2021-02-28,3.38983
2021-03-01,3.72881
2021-03-02,8.38983
2021-03-03,9.23728
2021-03-04,7.54237
2021-03-05,7.9661
2021-03-06,1.8644
2021-03-07,3.13559
2021-03-08,7.9661
2021-03-09,5.67796
2021-03-10,8.47457
2021-03-11,8.8983
2021-03-12,6.44067
2021-03-13,1.52542
2021-03-14,1.18644
2021-03-15,8.38983
2021-03-16,6.8644
2021-03-17,6.61016
2021-03-18,6.77966
2021-03-19,4.15254
2021-03-20,2.11864
2021-03-21,1.8644
2021-03-22,5.84745
2021-03-23,6.52542
2021-03-24,6.27118
2021-03-25,6.27118
2021-03-26,5.42372
2021-03-27,1.94915
2021-03-28,2.71186
2021-03-29,6.61016
2021-03-30,7.37288
2021-03-31,6.61016
2021-04-01,5.76271
2021-04-02,6.35593
2021-04-03,1.18644
2021-04-04,3.30508
2021-04-05,7.20338
2021-04-06,7.20338
2021-04-07,5.0
2021-04-08,5.59322
2021-04-09,5.16949
2021-04-10,1.77966
2021-04-11,2.11864
2021-04-12,5.67796
2021-04-13,5.50847
2021-04-14,7.28813
2021-04-15,6.44067
2021-04-16,5.59322
2021-04-17,2.37288
2021-04-18,1.8644
2021-04-19,7.28813
2021-04-20,8.38983
2021-04-21,5.0
2021-04-22,6.8644
2021-04-23,5.42372
2021-04-24,1.94915
2021-04-25,2.20338
2021-04-26,6.52542
2021-04-27,6.77966
2021-04-28,5.08474
2021-04-29,6.10169
2021-04-30,6.27118
2021-05-01,1.61016
2021-05-02,1.35593
2021-05-03,6.27118
2021-05-04,6.44067
2021-05-05,3.13559
2021-05-06,6.10169
2021-05-07,7.11864
2021-05-08,0.9322
2021-05-09,1.69491
2021-05-10,6.94915
2021-05-11,5.9322
2021-05-12,6.44067
2021-05-13,5.50847
2021-05-14,5.50847
2021-05-15,1.77966
2021-05-16,1.94915
2021-05-17,7.20338
2021-05-18,4.74576
2021-05-19,2.79661
2021-05-20,5.9322
2021-05-21,5.33898
2021-05-22,1.27118
2021-05-23,1.77966
2021-05-24,5.50847
2021-05-25,6.27118
2021-05-26,5.67796
2021-05-27,6.8644
2021-05-28,6.52542
2021-05-29,1.10169
2021-05-30,1.61016
2021-05-31,6.27118
2021-06-01,6.69491
2021-06-02,6.8644
2021-06-03,6.18644
2021-06-04,5.0
2021-06-05,1.77966
2021-06-06,0.59322
2021-06-07,6.61016
2021-06-08,6.18644
2021-06-09,6.8644
2021-06-10,5.76271
2021-06-11,3.38983
2021-06-12,1.77966
2021-06-13,1.27118
2021-06-14,5.25423
2021-06-15,6.69491
2021-06-16,6.01694
2021-06-17,6.77966
2021-06-18,5.59322
2021-06-19,1.77966
2021-06-20,1.69491
2021-06-21,5.16949
2021-06-22,6.52542
2021-06-23,5.0
2021-06-24,3.8983
2021-06-25,5.50847
2021-06-26,2.20338
2021-06-27,1.8644
2021-06-28,6.8644
2021-06-29,5.9322
2021-06-30,6.35593
2021-07-01,6.44067
2021-07-02,4.49152
2021-07-03,1.61016
2021-07-04,1.94915
2021-07-05,6.52542
2021-07-06,7.11864
2021-07-07,6.27118
2021-07-08,5.08474
2021-07-09,5.16949
2021-07-10,1.27118
2021-07-11,1.77966
2021-07-12,5.84745
2021-07-13,6.18644
2021-07-14,5.33898
2021-07-15,4.06779
2021-07-16,4.06779
2021-07-17,1.27118
2021-07-18,2.54237
2021-07-19,5.16949
2021-07-20,6.35593
2021-07-21,3.98305
2021-07-22,4.23728
2021-07-23,4.57627
2021-07-24,1.52542
2021-07-25,1.44067
2021-07-26,7.54237
2021-07-27,7.54237
2021-07-28,7.28813
2021-07-29,7.03389
2021-07-30,5.9322
2021-07-31,1.61016
2021-08-01,2.03389
2021-08-02,6.8644
2021-08-03,5.42372
2021-08-04,7.11864
2021-08-05,6.18644
2021-08-06,4.91525
2021-08-07,2.28813
2021-08-08,2.79661
2021-08-09,7.03389
2021-08-10,6.18644
2021-08-11,6.01694
2021-08-12,5.33898
2021-08-13,6.27118
2021-08-14,3.22033
2021-08-15,1.44067
2021-08-16,2.79661
2021-08-17,8.22033
2021-08-18,7.62711
2021-08-19,5.9322
2021-08-20,6.27118
2021-08-21,2.71186
2021-08-22,2.62711
2021-08-23,7.79661
2021-08-24,7.9661
2021-08-25,8.98305
2021-08-26,6.01694
2021-08-27,6.35593
2021-08-28,2.28813
2021-08-29,2.03389
2021-08-30,6.18644
2021-08-31,7.71186
2021-09-01,7.03389
2021-09-02,5.59322
2021-09-03,6.27118
2021-09-04,2.62711
2021-09-05,2.28813
2021-09-06,7.54237
2021-09-07,8.81355
2021-09-08,5.76271
2021-09-09,5.9322
2021-09-10,6.44067
2021-09-11,2.03389
2021-09-12,1.8644
2021-09-13,6.44067
2021-09-14,7.11864
2021-09-15,5.67796
2021-09-16,4.32203
2021-09-17,5.84745
2021-09-18,1.69491
2021-09-19,1.01694
2021-09-20,1.94915
2021-09-21,1.18644
2021-09-22,2.37288
2021-09-23,6.10169
2021-09-24,7.28813
2021-09-25,3.22033
2021-09-26,2.9661
2021-09-27,6.8644
2021-09-28,7.71186
2021-09-29,7.03389
2021-09-30,5.25423
2021-10-01,6.18644
2021-10-02,2.20338
2021-10-03,2.20338
2021-10-04,4.32203
2021-10-05,6.18644
2021-10-06,6.44067
2021-10-07,7.79661
2021-10-08,8.64406
2021-10-09,3.55932
2021-10-10,1.61016
2021-10-11,3.22033
2021-10-12,7.37288
2021-10-13,8.38983
2021-10-14,5.9322
2021-10-15,6.77966
2021-10-16,2.62711
2021-10-17,2.54237
2021-10-18,5.67796
2021-10-19,7.9661
2021-10-20,5.67796
2021-10-21,7.20338
2021-10-22,5.67796
2021-10-23,3.05084
2021-10-24,2.37288
2021-10-25,8.64406
2021-10-26,8.81355
2021-10-27,7.28813
2021-10-28,7.37288
2021-10-29,7.45762
2021-10-30,2.28813
2021-10-31,3.38983
2021-11-01,8.13559
2021-11-02,8.8983
2021-11-03,7.54237
2021-11-04,7.88135
2021-11-05,7.11864
2021-11-06,2.54237
2021-11-07,2.9661
2021-11-08,6.77966
2021-11-09,8.05084
2021-11-10,7.9661
2021-11-11,7.9661
2021-11-12,5.76271
2021-11-13,2.9661
2021-11-14,1.77966
2021-11-15,8.47457
2021-11-16,9.66101
2021-11-17,8.05084
2021-11-18,8.81355
2021-11-19,8.47457
2021-11-20,2.54237
2021-11-21,2.88135
2021-11-22,8.47457
2021-11-23,7.54237
2021-11-24,10.08474
2021-11-25,8.64406
2021-11-26,7.37288
2021-11-27,2.79661
2021-11-28,2.9661
2021-11-29,9.32203
2021-11-30,9.15254
2021-12-01,9.8305
2021-12-02,9.15254
2021-12-03,9.49152
2021-12-04,2.37288
2021-12-05,3.38983
2021-12-06,8.72881
2021-12-07,11.18644
