date,미국국채ETF
2022-02-03,8.13449
2022-02-04,10.08676
2022-02-05,13.34056
2022-02-06,8.56832
2022-02-07,6.83297
2022-02-08,8.45986
2022-02-09,8.67678
2022-02-10,7.26681
2022-02-11,13.01518
2022-02-12,10.62906
2022-02-13,10.73752
2022-02-14,6.07375
2022-02-15,5.74837
2022-02-16,6.83297
2022-02-17,9.436
2022-02-18,11.93058
2022-02-19,6.29067
2022-02-20,8.24295
2022-02-21,9.32754
2022-02-22,6.83297
2022-02-23,8.78524
2022-02-24,8.67678
2022-02-25,7.26681
2022-02-26,5.63991
2022-02-27,4.22993
2022-02-28,4.44685
2022-03-01,7.26681
2022-03-02,5.96529
2022-03-03,5.09761
2022-03-04,5.09761
2022-03-05,3.14533
2022-03-06,3.57917
2022-03-07,5.63991
2022-03-08,6.83297
2022-03-09,4.44685
2022-03-10,3.79609
2022-03-11,4.22993
2022-03-12,3.90455
2022-03-13,2.06073
2022-03-14,2.60303
2022-03-15,4.98915
2022-03-16,2.38611
2022-03-17,3.47071
2022-03-18,4.33839
2022-03-19,3.47071
2022-03-20,3.68763
2022-03-21,4.01301
2022-03-22,5.85683
2022-03-23,6.18221
2022-03-24,4.66377
2022-03-25,4.22993
2022-03-26,5.96529
2022-03-27,5.42299
2022-03-28,6.29067
2022-03-29,6.50759
2022-03-30,5.85683
2022-03-31,4.01301
2022-04-01,4.44685
2022-04-02,4.44685
2022-04-03,3.90455
2022-04-04,5.20607
2022-04-05,5.74837
2022-04-06,10.08676
2022-04-07,7.91757
2022-04-08,5.53145
2022-04-09,5.20607
2022-04-10,4.77223
2022-04-11,6.83297
2022-04-12,13.88286
2022-04-13,8.67678
2022-04-14,5.85683
2022-04-15,7.80911
2022-04-16,12.6898
2022-04-17,15.29284
2022-04-18,10.19522
2022-04-19,10.41214
2022-04-20,11.17136
2022-04-21,7.59219
2022-04-22,7.80911
2022-04-23,4.88069
2022-04-24,4.66377
2022-04-25,6.29067
2022-04-26,7.04989
2022-04-27,7.70065
2022-04-28,5.42299
2022-04-29,5.20607
2022-04-30,4.12147
2022-05-01,5.63991
2022-05-02,5.09761
2022-05-03,7.37527
2022-05-04,6.72451
2022-05-05,5.53145
2022-05-06,14.09978
2022-05-07,6.61605
2022-05-08,5.74837
2022-05-09,8.8937
2022-05-10,10.30368
2022-05-11,6.39913
2022-05-12,9.11062
2022-05-13,6.50759
2022-05-14,4.66377
2022-05-15,5.74837
2022-05-16,4.66377
2022-05-17,4.55531
2022-05-18,4.66377
2022-05-19,5.20607
2022-05-20,3.90455
2022-05-21,3.57917
2022-05-22,4.01301
2022-05-23,4.44685
2022-05-24,4.33839
2022-05-25,3.47071
2022-05-26,2.16919
2022-05-27,3.47071
2022-05-28,2.27765
2022-05-29,3.57917
