date,조각투자
2022-08-01,2.87865
2022-08-02,3.76439
2022-08-03,4.87156
2022-08-04,3.49867
2022-08-05,2.43578
2022-08-06,1.24003
2022-08-07,1.37289
2022-08-08,3.67581
2022-08-09,4.29583
2022-08-10,3.14437
2022-08-11,3.41009
2022-08-12,2.87865
2022-08-13,2.12577
2022-08-14,2.39149
2022-08-15,2.48007
2022-08-16,3.76439
2022-08-17,3.80868
2022-08-18,3.23294
2022-08-19,2.83436
2022-08-20,1.10717
2022-08-21,1.99291
2022-08-22,4.29583
2022-08-23,3.10008
2022-08-24,3.89725
2022-08-25,3.89725
2022-08-26,2.52435
2022-08-27,1.0186
2022-08-28,1.55004
2022-08-29,2.87865
2022-08-30,2.87865
2022-08-31,2.39149
2022-09-01,3.32152
2022-09-02,3.18866
2022-09-03,1.55004
2022-09-04,0.79716
2022-09-05,3.85296
2022-09-06,3.0558
2022-09-07,4.16297
2022-09-08,4.34012
2022-09-09,0.97431
2022-09-10,0.48715
2022-09-11,1.10717
2022-09-12,1.3286
2022-09-13,3.89725
2022-09-14,4.42869
2022-09-15,4.60584
2022-09-16,4.16297
2022-09-17,1.50575
2022-09-18,1.63861
2022-09-19,5.53587
2022-09-20,5.27015
2022-09-21,4.25155
2022-09-22,4.60584
2022-09-23,5.00442
2022-09-24,1.55004
2022-09-25,1.86005
2022-09-26,3.76439
2022-09-27,3.76439
2022-09-28,3.01151
2022-09-29,2.61293
2022-09-30,2.79007
2022-10-01,1.0186
2022-10-02,0.93002
2022-10-03,1.77147
2022-10-04,2.61293
2022-10-05,2.7015
2022-10-06,3.01151
2022-10-07,2.21434
2022-10-08,1.46147
2022-10-09,0.39858
2022-10-10,1.50575
2022-10-11,2.56864
2022-10-12,4.25155
2022-10-13,3.80868
2022-10-14,5.00442
2022-10-15,1.81576
2022-10-16,1.6829
2022-10-17,3.54295
2022-10-18,4.87156
2022-10-19,9.5217
2022-10-20,3.49867
2022-10-21,3.89725
2022-10-22,1.99291
2022-10-23,1.46147
2022-10-24,3.7201
2022-10-25,3.63153
2022-10-26,3.01151
2022-10-27,2.56864
2022-10-28,3.49867
2022-10-29,1.06288
2022-10-30,1.55004
2022-10-31,2.92294
2022-11-01,3.98582
