date,부담부증여
2021-06-14,23.68951
2021-06-15,22.68145
2021-06-16,18.95161
2021-06-17,19.20362
2021-06-18,17.43951
2021-06-19,15.82661
2021-06-20,17.03629
2021-06-21,22.93346
2021-06-22,19.80846
2021-06-23,20.06048
2021-06-24,18.24596
2021-06-25,17.59072
2021-06-26,11.34072
2021-06-27,23.84072
2021-06-28,29.13306
2021-06-29,19.70766
2021-06-30,17.38911
2021-07-01,16.63306
2021-07-02,15.12096
2021-07-03,11.74395
2021-07-04,14.76814
2021-07-05,21.11895
2021-07-06,20.96774
2021-07-07,20.21169
2021-07-08,19.45564
2021-07-09,18.44758
2021-07-10,13.00403
2021-07-11,12.90322
2021-07-12,20.06048
2021-07-13,20.66532
2021-07-14,19.20362
2021-07-15,21.32056
2021-07-16,17.89314
2021-07-17,12.04637
2021-07-18,13.50806
2021-07-19,21.21975
2021-07-20,22.58064
2021-07-21,20.76612
2021-07-22,22.0262
2021-07-23,17.99395
2021-07-24,18.04435
2021-07-25,23.63911
2021-07-26,24.24395
2021-07-27,22.12701
2021-07-28,21.875
2021-07-29,18.75
2021-07-30,19.05241
2021-07-31,12.80241
2021-08-01,13.86088
2021-08-02,23.28629
2021-08-03,23.84072
2021-08-04,23.33669
2021-08-05,22.68145
2021-08-06,19.95967
2021-08-07,17.13709
2021-08-08,15.37298
2021-08-09,24.84879
2021-08-10,22.22782
2021-08-11,26.6633
2021-08-12,21.21975
2021-08-13,21.32056
2021-08-14,16.68346
2021-08-15,16.28024
2021-08-16,17.59072
2021-08-17,26.41129
2021-08-18,24.14314
2021-08-19,26.00806
2021-08-20,20.66532
2021-08-21,16.78427
2021-08-22,16.83467
2021-08-23,25.50403
2021-08-24,25.1008
2021-08-25,22.53024
2021-08-26,22.32862
2021-08-27,20.51411
2021-08-28,13.65927
2021-08-29,15.12096
2021-08-30,21.67338
2021-08-31,21.67338
2021-09-01,19.75806
2021-09-02,19.75806
2021-09-03,18.75
2021-09-04,14.71774
2021-09-05,13.20564
2021-09-06,22.53024
2021-09-07,18.8508
2021-09-08,19.35483
2021-09-09,19.90927
2021-09-10,17.13709
2021-09-11,12.24798
2021-09-12,12.04637
2021-09-13,17.74193
2021-09-14,21.16935
2021-09-15,18.49798
2021-09-16,20.16129
2021-09-17,17.13709
2021-09-18,13.35685
2021-09-19,12.80241
2021-09-20,11.54233
2021-09-21,10.83669
2021-09-22,15.57459
2021-09-23,27.77217
2021-09-24,23.94153
2021-09-25,17.89314
2021-09-26,16.22983
2021-09-27,24.94959
2021-09-28,24.24395
2021-09-29,26.96572
2021-09-30,20.26209
2021-10-01,20.71572
2021-10-02,13.25604
2021-10-03,14.76814
2021-10-04,19.70766
2021-10-05,25.30241
2021-10-06,23.4375
2021-10-07,23.08467
2021-10-08,20.3629
2021-10-09,15.12096
2021-10-10,15.6754
2021-10-11,18.59879
2021-10-12,24.09274
2021-10-13,24.09274
2021-10-14,25.1008
2021-10-15,20.61491
2021-10-16,12.6008
2021-10-17,12.95362
2021-10-18,21.01814
2021-10-19,22.32862
2021-10-20,20.3629
2021-10-21,22.37903
2021-10-22,18.24596
2021-10-23,14.2137
2021-10-24,13.45766
2021-10-25,20.91733
2021-10-26,23.38709
2021-10-27,19.50604
2021-10-28,19.95967
2021-10-29,19.00201
2021-10-30,12.70161
2021-10-31,11.84475
2021-11-01,19.05241
2021-11-02,18.59879
2021-11-03,16.88508
2021-11-04,15.37298
2021-11-05,15.37298
2021-11-06,10.68548
2021-11-07,14.51612
2021-11-08,17.89314
2021-11-09,17.99395
2021-11-10,15.6754
2021-11-11,16.88508
2021-11-12,14.86895
2021-11-13,11.13911
2021-11-14,14.66733
2021-11-15,24.19354
2021-11-16,21.21975
2021-11-17,19.25403
2021-11-18,19.95967
2021-11-19,15.87701
2021-11-20,10.43346
2021-11-21,15.6754
2021-11-22,23.28629
2021-11-23,27.92338
2021-11-24,24.59677
2021-11-25,27.26814
2021-11-26,22.42943
2021-11-27,19.00201
2021-11-28,16.33064
2021-11-29,25.0504
2021-11-30,26.81451
2021-12-01,22.22782
2021-12-02,20.51411
2021-12-03,19.00201
2021-12-04,12.24798
2021-12-05,16.02822
2021-12-06,23.5887
2021-12-07,21.52217
2021-12-08,22.07661
2021-12-09,20.81653
2021-12-10,19.00201
2021-12-11,13.70967
2021-12-12,12.70161
2021-12-13,20.96774
2021-12-14,19.65725
2021-12-15,21.01814
2021-12-16,20.4133
2021-12-17,15.7258
2021-12-18,11.34072
2021-12-19,10.53427
2021-12-20,19.50604
2021-12-21,21.875
2021-12-22,22.78225
2021-12-23,15.37298
2021-12-24,11.23991
2021-12-25,8.56854
2021-12-26,10.18145
2021-12-27,17.54032
2021-12-28,17.94354
2021-12-29,18.14516
2021-12-30,16.22983
2021-12-31,12.90322
2022-01-01,9.82862
2022-01-02,9.72782
2022-01-03,16.53225
2022-01-04,18.8004
2022-01-05,18.04435
2022-01-06,19.00201
2022-01-07,16.48185
2022-01-08,13.86088
2022-01-09,15.17137
2022-01-10,23.28629
2022-01-11,19.80846
2022-01-12,16.73387
2022-01-13,20.96774
2022-01-14,17.2883
2022-01-15,13.76008
2022-01-16,12.04637
2022-01-17,19.50604
2022-01-18,17.99395
2022-01-19,14.96975
2022-01-20,15.47379
2022-01-21,15.07056
2022-01-22,12.09677
2022-01-23,13.05443
2022-01-24,17.13709
2022-01-25,17.94354
2022-01-26,17.59072
2022-01-27,17.69153
2022-01-28,13.65927
2022-01-29,9.67741
2022-01-30,9.32459
2022-01-31,10.58467
2022-02-01,10.9375
2022-02-02,13.76008
2022-02-03,33.51814
2022-02-04,22.27822
2022-02-05,14.46572
2022-02-06,15.12096
2022-02-07,20.96774
2022-02-08,21.06854
2022-02-09,18.95161
2022-02-10,19.40524
2022-02-11,15.92741
2022-02-12,10.03024
2022-02-13,14.1129
2022-02-14,18.29637
2022-02-15,19.55645
2022-02-16,16.63306
2022-02-17,17.99395
2022-02-18,14.1129
2022-02-19,11.74395
2022-02-20,11.54233
2022-02-21,16.78427
2022-02-22,18.59879
2022-02-23,16.53225
2022-02-24,15.82661
2022-02-25,14.01209
2022-02-26,11.54233
2022-02-27,13.55846
2022-02-28,15.52419
2022-03-01,12.24798
2022-03-02,16.38104
2022-03-03,13.91129
2022-03-04,13.40725
2022-03-05,8.56854
2022-03-06,10.08064
2022-03-07,15.22177
2022-03-08,14.0625
2022-03-09,8.77016
2022-03-10,13.35685
2022-03-11,14.96975
2022-03-12,10.13104
2022-03-13,14.76814
2022-03-14,20.06048
2022-03-15,20.66532
2022-03-16,17.38911
2022-03-17,16.43145
2022-03-18,15.52419
2022-03-19,10.88709
2022-03-20,10.28225
2022-03-21,16.93548
2022-03-22,14.76814
2022-03-23,20.96774
2022-03-24,22.83266
2022-03-25,18.24596
2022-03-26,12.44959
2022-03-27,13.00403
2022-03-28,18.39717
2022-03-29,16.53225
2022-03-30,15.82661
2022-03-31,20.16129
2022-04-01,17.74193
2022-04-02,13.30645
2022-04-03,22.58064
2022-04-04,31.3004
2022-04-05,26.46169
2022-04-06,26.15927
2022-04-07,22.88306
2022-04-08,21.47177
2022-04-09,12.70161
2022-04-10,14.41532
2022-04-11,22.27822
2022-04-12,24.94959
2022-04-13,23.89112
2022-04-14,26.51209
2022-04-15,19.30443
2022-04-16,15.12096
2022-04-17,17.89314
2022-04-18,26.6633
2022-04-19,22.93346
2022-04-20,26.51209
2022-04-21,26.5625
2022-04-22,21.9254
2022-04-23,17.94354
2022-04-24,16.38104
2022-04-25,25.55443
2022-04-26,28.125
2022-04-27,26.15927
2022-04-28,20.21169
2022-04-29,18.54838
2022-04-30,14.86895
2022-05-01,13.70967
2022-05-02,21.21975
2022-05-03,20.56451
2022-05-04,20.3629
2022-05-05,13.25604
2022-05-06,19.05241
2022-05-07,15.42338
2022-05-08,18.39717
2022-05-09,31.3508
2022-05-10,54.53629
2022-05-11,46.52217
2022-05-12,38.05443
2022-05-13,28.83064
2022-05-14,35.08064
2022-05-15,25.40322
2022-05-16,32.8125
2022-05-17,49.04233
2022-05-18,29.88911
2022-05-19,26.00806
2022-05-20,28.42741
2022-05-21,18.29637
2022-05-22,18.75
2022-05-23,27.06653
2022-05-24,27.62096
2022-05-25,24.24395
2022-05-26,22.32862
2022-05-27,19.55645
2022-05-28,11.39112
2022-05-29,13.91129
2022-05-30,23.03427
2022-05-31,20.01008
2022-06-01,13.86088
2022-06-02,16.22983
2022-06-03,16.83467
2022-06-04,13.10483
2022-06-05,13.25604
2022-06-06,10.78629
2022-06-07,18.59879
2022-06-08,18.04435
2022-06-09,20.51411
2022-06-10,17.03629
2022-06-11,11.39112
2022-06-12,11.84475
2022-06-13,19.00201
2022-06-14,21.57258
2022-06-15,18.59879
2022-06-16,20.51411
2022-06-17,18.24596
2022-06-18,11.23991
2022-06-19,12.75201
2022-06-20,19.55645
2022-06-21,23.38709
2022-06-22,21.9254
2022-06-23,18.39717
2022-06-24,16.17943
2022-06-25,10.68548
2022-06-26,11.89516
2022-06-27,16.93548
2022-06-28,18.14516
2022-06-29,15.52419
2022-06-30,14.01209
2022-07-01,14.41532
2022-07-02,9.32459
2022-07-03,18.44758
2022-07-04,21.01814
2022-07-05,19.10282
2022-07-06,15.97782
2022-07-07,17.38911
2022-07-08,16.98588
2022-07-09,10.08064
2022-07-10,9.62701
2022-07-11,27.92338
2022-07-12,23.18548
2022-07-13,17.3387
2022-07-14,17.2379
2022-07-15,16.17943
2022-07-16,13.05443
2022-07-17,11.84475
2022-07-18,18.49798
2022-07-19,18.64919
2022-07-20,20.26209
2022-07-21,21.67338
2022-07-22,20.01008
2022-07-23,13.15524
2022-07-24,12.5
2022-07-25,21.77419
2022-07-26,17.2379
2022-07-27,20.4133
2022-07-28,16.07862
2022-07-29,14.1633
2022-07-30,9.77822
2022-07-31,10.13104
2022-08-01,20.4133
2022-08-02,16.68346
2022-08-03,19.45564
2022-08-04,20.4637
2022-08-05,14.76814
2022-08-06,10.9375
2022-08-07,10.88709
2022-08-08,15.52419
2022-08-09,15.12096
2022-08-10,21.9254
2022-08-11,14.66733
2022-08-12,12.95362
2022-08-13,10.63508
2022-08-14,8.51814
2022-08-15,9.77822
2022-08-16,16.48185
2022-08-17,13.40725
2022-08-18,12.90322
2022-08-19,13.30645
2022-08-20,10.38306
2022-08-21,10.53427
2022-08-22,19.10282
2022-08-23,19.70766
2022-08-24,18.09475
2022-08-25,17.79233
2022-08-26,16.02822
2022-08-27,10.43346
2022-08-28,11.74395
2022-08-29,15.32258
2022-08-30,21.06854
2022-08-31,15.42338
2022-09-01,15.27217
2022-09-02,15.57459
2022-09-03,11.18951
2022-09-04,14.36491
2022-09-05,14.0625
2022-09-06,16.33064
2022-09-07,14.61693
2022-09-08,10.43346
2022-09-09,8.77016
2022-09-10,9.77822
2022-09-11,9.72782
2022-09-12,12.29838
2022-09-13,20.66532
2022-09-14,21.67338
2022-09-15,22.22782
2022-09-16,15.37298
2022-09-17,10.68548
2022-09-18,11.89516
2022-09-19,21.47177
2022-09-20,21.27016
2022-09-21,20.56451
2022-09-22,21.37096
2022-09-23,16.53225
2022-09-24,10.38306
2022-09-25,10.78629
2022-09-26,19.80846
2022-09-27,23.68951
2022-09-28,23.99193
2022-09-29,18.04435
2022-09-30,19.20362
2022-10-01,8.82056
2022-10-02,12.04637
2022-10-03,13.20564
2022-10-04,21.67338
2022-10-05,19.00201
2022-10-06,21.72379
2022-10-07,18.14516
2022-10-08,8.97177
2022-10-09,9.17338
2022-10-10,10.83669
2022-10-11,16.53225
2022-10-12,17.43951
2022-10-13,13.96169
2022-10-14,13.00403
2022-10-15,9.375
2022-10-16,9.4758
2022-10-17,15.07056
2022-10-18,18.44758
2022-10-19,18.19556
2022-10-20,17.48991
2022-10-21,14.0625
2022-10-22,7.45967
2022-10-23,24.04233
2022-10-24,20.61491
2022-10-25,18.75
2022-10-26,17.99395
2022-10-27,19.50604
2022-10-28,15.07056
2022-10-29,7.66129
2022-10-30,6.4012
2022-10-31,13.45766
2022-11-01,15.82661
2022-11-02,15.47379
2022-11-03,14.31451
2022-11-04,12.6512
2022-11-05,7.8125
2022-11-06,9.77822
2022-11-07,14.81854
2022-11-08,14.91935
2022-11-09,19.40524
2022-11-10,21.9758
2022-11-11,15.57459
2022-11-12,8.82056
2022-11-13,10.9879
2022-11-14,18.09475
2022-11-15,19.70766
2022-11-16,20.21169
2022-11-17,15.07056
2022-11-18,14.96975
2022-11-19,6.75403
2022-11-20,8.36693
2022-11-21,19.15322
2022-11-22,15.37298
2022-11-23,17.48991
2022-11-24,12.5
2022-11-25,15.7258
2022-11-26,8.92137
2022-11-27,8.61895
2022-11-28,17.03629
2022-11-29,14.66733
2022-11-30,14.86895
2022-12-01,17.43951
2022-12-02,13.15524
2022-12-03,6.04838
2022-12-04,8.56854
2022-12-05,17.13709
2022-12-06,16.33064
2022-12-07,18.19556
2022-12-08,16.63306
2022-12-09,15.52419
2022-12-10,9.97983
2022-12-11,9.92943
2022-12-12,17.89314
2022-12-13,16.98588
2022-12-14,16.78427
2022-12-15,13.15524
2022-12-16,14.2137
2022-12-17,7.35887
2022-12-18,8.41733
2022-12-19,20.56451
2022-12-20,17.2379
2022-12-21,17.43951
2022-12-22,17.38911
2022-12-23,15.02016
2022-12-24,9.22379
2022-12-25,6.70362
2022-12-26,16.88508
2022-12-27,16.78427
2022-12-28,13.10483
2022-12-29,13.30645
2022-12-30,9.4254
2022-12-31,5.49395
2023-01-01,5.79637
2023-01-02,11.49193
2023-01-03,13.20564
2023-01-04,11.34072
2023-01-05,12.39919
2023-01-06,9.5262
2023-01-07,6.60282
2023-01-08,6.04838
2023-01-09,14.86895
2023-01-10,11.79435
2023-01-11,12.09677
2023-01-12,11.89516
2023-01-13,9.82862
2023-01-14,8.31653
2023-01-15,8.87096
2023-01-16,11.69354
2023-01-17,11.84475
2023-01-18,11.54233
2023-01-19,31.55241
2023-01-20,33.06451
2023-01-21,11.64314
2023-01-22,10.33266
2023-01-23,8.97177
2023-01-24,10.73588
2023-01-25,15.27217
2023-01-26,15.22177
2023-01-27,11.69354
2023-01-28,10.43346
2023-01-29,8.87096
2023-01-30,15.52419
2023-01-31,13.30645
2023-02-01,13.76008
2023-02-02,15.625
2023-02-03,13.55846
2023-02-04,8.66935
2023-02-05,7.35887
2023-02-06,14.31451
2023-02-07,14.96975
2023-02-08,13.86088
2023-02-09,12.44959
2023-02-10,12.14717
2023-02-11,7.8629
2023-02-12,7.10685
2023-02-13,15.6754
2023-02-14,14.31451
2023-02-15,12.90322
2023-02-16,13.25604
2023-02-17,12.5504
2023-02-18,6.3508
2023-02-19,8.26612
2023-02-20,12.6512
2023-02-21,11.79435
2023-02-22,12.80241
2023-02-23,12.90322
2023-02-24,9.72782
2023-02-25,7.51008
2023-02-26,5.99798
2023-02-27,11.0383
2023-02-28,10.78629
2023-03-01,8.92137
2023-03-02,9.07258
2023-03-03,12.29838
2023-03-04,9.82862
2023-03-05,7.51008
2023-03-06,12.34879
2023-03-07,12.44959
2023-03-08,13.76008
2023-03-09,11.18951
2023-03-10,9.12298
2023-03-11,5.44354
2023-03-12,5.94758
2023-03-13,12.44959
2023-03-14,13.05443
2023-03-15,12.09677
2023-03-16,10.03024
2023-03-17,11.64314
2023-03-18,6.95564
2023-03-19,6.19959
2023-03-20,14.31451
2023-03-21,10.18145
2023-03-22,12.5
2023-03-23,12.75201
2023-03-24,10.9879
2023-03-25,6.19959
2023-03-26,7.51008
2023-03-27,12.44959
2023-03-28,12.5
2023-03-29,12.09677
2023-03-30,11.23991
2023-03-31,10.13104
2023-04-01,5.64516
2023-04-02,9.12298
2023-04-03,11.39112
2023-04-04,12.85282
2023-04-05,10.9375
2023-04-06,10.18145
2023-04-07,11.34072
2023-04-08,6.95564
2023-04-09,6.3004
2023-04-10,11.13911
2023-04-11,12.6512
2023-04-12,13.45766
2023-04-13,11.69354
2023-04-14,11.29032
2023-04-15,7.45967
2023-04-16,6.70362
2023-04-17,11.54233
2023-04-18,14.36491
2023-04-19,12.19758
2023-04-20,13.35685
2023-04-21,9.87903
2023-04-22,7.10685
2023-04-23,6.75403
2023-04-24,11.23991
2023-04-25,13.20564
2023-04-26,11.23991
2023-04-27,9.12298
2023-04-28,8.36693
2023-04-29,6.70362
2023-04-30,5.89717
2023-05-01,9.57661
2023-05-02,10.63508
2023-05-03,11.94556
2023-05-04,10.83669
2023-05-05,6.80443
2023-05-06,8.01411
2023-05-07,8.66935
2023-05-08,13.25604
2023-05-09,12.34879
2023-05-10,13.20564
2023-05-11,11.94556
2023-05-12,11.34072
2023-05-13,5.69556
2023-05-14,7.00604
2023-05-15,12.5
2023-05-16,15.32258
2023-05-17,11.64314
2023-05-18,11.74395
2023-05-19,10.18145
2023-05-20,7.61088
2023-05-21,7.40927
2023-05-22,12.75201
2023-05-23,11.89516
2023-05-24,10.83669
2023-05-25,12.24798
2023-05-26,9.77822
2023-05-27,6.04838
2023-05-28,6.55241
2023-05-29,6.75403
