date,블랙록
2021-08-09,4.44033
2021-08-10,6.70675
2021-08-11,7.86308
2021-08-12,10.77705
2021-08-13,10.24514
2021-08-14,5.80481
2021-08-15,5.38852
2021-08-16,4.94912
2021-08-17,7.90934
2021-08-18,8.55689
2021-08-19,8.60314
2021-08-20,10.08325
2021-08-21,9.13506
2021-08-22,5.85106
2021-08-23,6.31359
2021-08-24,9.15818
2021-08-25,8.37187
2021-08-26,25.39315
2021-08-27,13.32099
2021-08-28,8.27937
2021-08-29,7.37742
2021-08-30,8.09435
2021-08-31,8.00185
2021-09-01,10.59204
2021-09-02,9.04255
2021-09-03,23.42738
2021-09-04,10.10638
2021-09-05,6.77613
2021-09-06,7.16928
2021-09-07,10.22201
2021-09-08,12.07215
2021-09-09,10.59204
2021-09-10,7.07678
2021-09-11,5.24976
2021-09-12,4.44033
2021-09-13,6.68362
2021-09-14,8.67252
2021-09-15,8.44125
2021-09-16,11.21646
2021-09-17,9.27382
2021-09-18,8.20999
2021-09-19,6.24421
2021-09-20,8.02497
2021-09-21,12.14153
2021-09-22,11.79463
2021-09-23,18.10823
2021-09-24,18.13135
2021-09-25,9.57446
2021-09-26,7.23866
2021-09-27,6.38297
2021-09-28,7.40055
2021-09-29,11.54024
2021-09-30,5.87419
2021-10-01,6.24421
2021-10-02,3.88529
2021-10-03,4.34782
2021-10-04,5.52728
2021-10-05,5.85106
2021-10-06,6.45235
2021-10-07,6.42923
2021-10-08,11.49398
2021-10-09,4.16281
2021-10-10,3.30712
2021-10-11,6.89176
2021-10-12,7.33117
2021-10-13,10.98519
2021-10-14,15.35615
2021-10-15,8.48751
2021-10-16,7.19241
2021-10-17,5.18038
2021-10-18,6.08233
2021-10-19,6.49861
2021-10-20,12.90471
2021-10-21,18.50138
2021-10-22,12.97409
2021-10-23,5.78168
2021-10-24,4.48658
2021-10-25,6.35985
2021-10-26,18.3395
2021-10-27,14.68547
2021-10-28,11.0777
2021-10-29,7.40055
2021-10-30,5.48103
2021-10-31,5.31914
2021-11-01,6.22109
2021-11-02,6.10545
2021-11-03,6.52173
2021-11-04,7.03052
2021-11-05,6.22109
2021-11-06,4.13968
2021-11-07,3.3765
2021-11-08,4.57909
2021-11-09,5.73543
2021-11-10,9.62072
2021-11-11,6.96114
2021-11-12,4.94912
2021-11-13,3.79278
2021-11-14,4.60222
2021-11-15,5.34227
2021-11-16,4.69472
2021-11-17,6.0592
2021-11-18,5.78168
2021-11-19,6.15171
2021-11-20,4.78723
2021-11-21,4.81036
2021-11-22,5.27289
2021-11-23,6.45235
2021-11-24,6.66049
2021-11-25,5.96669
2021-11-26,9.11193
2021-11-27,4.50971
2021-11-28,3.21461
2021-11-29,4.11655
2021-11-30,4.11655
2021-12-01,5.31914
2021-12-02,4.97224
2021-12-03,4.04717
2021-12-04,3.46901
2021-12-05,2.75208
2021-12-06,4.57909
2021-12-07,4.71785
2021-12-08,5.06475
2021-12-09,4.97224
2021-12-10,6.98427
2021-12-11,5.64292
2021-12-12,3.21461
2021-12-13,8.27937
2021-12-14,6.77613
2021-12-15,5.29602
2021-12-16,4.11655
2021-12-17,3.90841
2021-12-18,2.49768
2021-12-19,2.61332
2021-12-20,3.88529
2021-12-21,3.90841
2021-12-22,3.95467
2021-12-23,3.30712
2021-12-24,3.28399
2021-12-25,1.96577
2021-12-26,1.91951
2021-12-27,2.79833
2021-12-28,3.79278
2021-12-29,3.30712
2021-12-30,3.07585
2021-12-31,3.16836
2022-01-01,3.0296
2022-01-02,3.14523
2022-01-03,3.53839
2022-01-04,3.51526
2022-01-05,4.0703
2022-01-06,4.37095
2022-01-07,4.46345
2022-01-08,3.56151
2022-01-09,2.03515
2022-01-10,3.67715
2022-01-11,6.4061
2022-01-12,4.57909
2022-01-13,4.55596
2022-01-14,8.30249
2022-01-15,5.38852
2022-01-16,47.57169
2022-01-17,9.80573
2022-01-18,9.52821
2022-01-19,7.65494
2022-01-20,16.28122
2022-01-21,7.56244
2022-01-22,11.03145
2022-01-23,11.97964
2022-01-24,9.64384
2022-01-25,8.41813
2022-01-26,6.42923
2022-01-27,5.27289
2022-01-28,4.57909
2022-01-29,3.76965
2022-01-30,2.98334
2022-01-31,2.56706
2022-02-01,4.02405
2022-02-02,3.60777
2022-02-03,4.97224
2022-02-04,5.04162
2022-02-05,4.6716
2022-02-06,3.00647
2022-02-07,4.0703
2022-02-08,4.18593
2022-02-09,5.04162
2022-02-10,12.44218
2022-02-11,8.09435
2022-02-12,4.0703
2022-02-13,4.32469
2022-02-14,4.39407
2022-02-15,5.13413
2022-02-16,4.57909
2022-02-17,5.50416
2022-02-18,4.55596
2022-02-19,3.0296
2022-02-20,3.00647
2022-02-21,3.05272
2022-02-22,4.78723
2022-02-23,3.70027
2022-02-24,4.6716
2022-02-25,4.32469
2022-02-26,2.93709
2022-02-27,2.84458
2022-02-28,2.7752
2022-03-01,3.7234
2022-03-02,5.4579
2022-03-03,4.32469
2022-03-04,4.57909
2022-03-05,4.60222
2022-03-06,2.54394
2022-03-07,4.64847
2022-03-08,4.20906
2022-03-09,2.6827
2022-03-10,3.26086
2022-03-11,4.37095
2022-03-12,3.53839
2022-03-13,2.86771
2022-03-14,4.32469
2022-03-15,5.38852
2022-03-16,5.24976
2022-03-17,4.13968
2022-03-18,4.04717
2022-03-19,2.79833
2022-03-20,3.09898
2022-03-21,3.23774
2022-03-22,4.92599
2022-03-23,4.11655
2022-03-24,4.34782
2022-03-25,6.70675
2022-03-26,3.70027
2022-03-27,5.50416
2022-03-28,6.70675
2022-03-29,6.26734
2022-03-30,5.04162
2022-03-31,5.08788
2022-04-01,4.25531
2022-04-02,3.51526
2022-04-03,2.45143
2022-04-04,3.93154
2022-04-05,4.57909
2022-04-06,4.53283
2022-04-07,4.44033
2022-04-08,4.02405
2022-04-09,2.40518
2022-04-10,3.3765
2022-04-11,4.34782
2022-04-12,5.89731
2022-04-13,5.85106
2022-04-14,10.91581
2022-04-15,8.97317
2022-04-16,4.02405
2022-04-17,3.60777
2022-04-18,4.81036
2022-04-19,11.00832
2022-04-20,4.09343
2022-04-21,4.30157
2022-04-22,4.78723
2022-04-23,3.00647
2022-04-24,2.65957
2022-04-25,4.78723
2022-04-26,5.04162
2022-04-27,4.90286
2022-04-28,6.61424
2022-04-29,5.15726
2022-04-30,3.90841
2022-05-01,4.37095
2022-05-02,5.98982
2022-05-03,5.50416
2022-05-04,5.55041
2022-05-05,4.69472
2022-05-06,4.83348
2022-05-07,3.49213
2022-05-08,3.23774
2022-05-09,4.11655
2022-05-10,5.55041
2022-05-11,5.85106
2022-05-12,19.70397
2022-05-13,12.67345
2022-05-14,7.3543
2022-05-15,5.7123
2022-05-16,7.0999
2022-05-17,10.22201
2022-05-18,5.73543
2022-05-19,6.24421
2022-05-20,4.83348
2022-05-21,4.18593
2022-05-22,3.39962
2022-05-23,4.09343
2022-05-24,7.0999
2022-05-25,7.30804
2022-05-26,5.66604
2022-05-27,5.24976
2022-05-28,2.93709
2022-05-29,3.09898
2022-05-30,4.02405
2022-05-31,5.38852
2022-06-01,4.32469
2022-06-02,4.44033
2022-06-03,4.94912
2022-06-04,3.58464
2022-06-05,3.19148
2022-06-06,3.33024
2022-06-07,4.60222
2022-06-08,5.3654
2022-06-09,4.4172
2022-06-10,4.74098
2022-06-11,2.63644
2022-06-12,4.02405
2022-06-13,6.0592
2022-06-14,8.46438
2022-06-15,5.89731
2022-06-16,4.4172
2022-06-17,4.85661
2022-06-18,3.76965
2022-06-19,2.56706
2022-06-20,3.93154
2022-06-21,3.46901
2022-06-22,5.0185
2022-06-23,4.30157
2022-06-24,3.83903
2022-06-25,2.72895
2022-06-26,3.05272
2022-06-27,3.44588
2022-06-28,3.07585
2022-06-29,4.71785
2022-06-30,3.7234
2022-07-01,3.95467
2022-07-02,3.23774
2022-07-03,2.28954
2022-07-04,3.53839
2022-07-05,3.35337
2022-07-06,3.93154
2022-07-07,5.0185
2022-07-08,4.92599
2022-07-09,4.11655
2022-07-10,2.96022
2022-07-11,4.20906
2022-07-12,6.47548
2022-07-13,7.12303
2022-07-14,5.13413
2022-07-15,5.66604
2022-07-16,3.16836
2022-07-17,2.03515
2022-07-18,5.61979
2022-07-19,4.27844
2022-07-20,4.09343
2022-07-21,4.00092
2022-07-22,4.11655
2022-07-23,2.82146
2022-07-24,2.10453
2022-07-25,2.52081
2022-07-26,3.56151
2022-07-27,3.42275
2022-07-28,3.33024
2022-07-29,3.63089
2022-07-30,2.7752
2022-07-31,2.0814
2022-08-01,3.0296
2022-08-02,3.07585
2022-08-03,3.70027
2022-08-04,15.4024
2022-08-05,28.81591
2022-08-06,14.4542
2022-08-07,12.51156
2022-08-08,12.09528
2022-08-09,7.60869
2022-08-10,13.50601
2022-08-11,15.37927
2022-08-12,15.65679
2022-08-13,11.03145
2022-08-14,7.93246
2022-08-15,8.67252
2022-08-16,11.86401
2022-08-17,11.86401
2022-08-18,11.30897
2022-08-19,12.83533
2022-08-20,11.03145
2022-08-21,7.93246
2022-08-22,9.71322
2022-08-23,8.07123
2022-08-24,6.753
2022-08-25,5.92044
2022-08-26,5.89731
2022-08-27,4.60222
2022-08-28,4.81036
2022-08-29,8.90379
2022-08-30,7.0999
2022-08-31,6.45235
2022-09-01,4.69472
2022-09-02,3.90841
2022-09-03,3.05272
2022-09-04,2.54394
2022-09-05,4.44033
2022-09-06,3.35337
2022-09-07,5.3654
2022-09-08,4.69472
2022-09-09,2.75208
2022-09-10,2.63644
2022-09-11,2.19703
2022-09-12,5.0185
2022-09-13,5.27289
2022-09-14,4.32469
2022-09-15,4.57909
2022-09-16,4.11655
2022-09-17,2.45143
2022-09-18,2.35892
2022-09-19,4.37095
2022-09-20,4.85661
2022-09-21,5.0185
2022-09-22,6.45235
2022-09-23,3.44588
2022-09-24,2.35892
2022-09-25,1.91951
2022-09-26,4.32469
2022-09-27,4.62534
2022-09-28,6.70675
2022-09-29,7.40055
2022-09-30,5.31914
2022-10-01,2.7752
2022-10-02,2.45143
2022-10-03,2.56706
2022-10-04,4.20906
2022-10-05,3.46901
2022-10-06,3.97779
2022-10-07,3.70027
2022-10-08,2.47456
2022-10-09,2.52081
2022-10-10,2.96022
2022-10-11,5.38852
2022-10-12,4.39407
2022-10-13,5.111
2022-10-14,8.00185
2022-10-15,2.63644
2022-10-16,3.00647
2022-10-17,3.76965
2022-10-18,4.34782
2022-10-19,3.44588
2022-10-20,4.62534
2022-10-21,4.50971
2022-10-22,1.89639
2022-10-23,2.05827
2022-10-24,3.60777
2022-10-25,4.50971
2022-10-26,4.20906
2022-10-27,4.27844
2022-10-28,4.53283
2022-10-29,3.14523
2022-10-30,2.47456
2022-10-31,4.48658
2022-11-01,4.94912
2022-11-02,3.97779
2022-11-03,3.28399
2022-11-04,3.63089
2022-11-05,2.63644
2022-11-06,1.85013
2022-11-07,3.35337
2022-11-08,4.90286
2022-11-09,5.22664
2022-11-10,4.97224
2022-11-11,5.04162
2022-11-12,4.11655
2022-11-13,3.00647
2022-11-14,4.25531
2022-11-15,6.19796
2022-11-16,4.87974
2022-11-17,5.0185
2022-11-18,2.98334
2022-11-19,2.56706
2022-11-20,2.31267
2022-11-21,2.96022
2022-11-22,4.30157
2022-11-23,3.33024
2022-11-24,2.89084
2022-11-25,3.30712
2022-11-26,2.17391
2022-11-27,1.75763
2022-11-28,3.14523
2022-11-29,3.05272
2022-11-30,3.65402
2022-12-01,4.37095
2022-12-02,5.85106
2022-12-03,1.87326
2022-12-04,2.45143
2022-12-05,3.86216
2022-12-06,3.51526
2022-12-07,3.16836
2022-12-08,4.62534
2022-12-09,5.4579
2022-12-10,3.3765
2022-12-11,2.65957
2022-12-12,4.30157
2022-12-13,3.79278
2022-12-14,3.88529
2022-12-15,4.20906
2022-12-16,3.81591
2022-12-17,2.96022
2022-12-18,2.89084
2022-12-19,3.1221
2022-12-20,3.49213
2022-12-21,3.53839
2022-12-22,4.0703
2022-12-23,2.61332
2022-12-24,2.3358
2022-12-25,1.59574
2022-12-26,2.47456
2022-12-27,2.84458
2022-12-28,3.93154
2022-12-29,5.43478
2022-12-30,3.97779
2022-12-31,1.91951
2023-01-01,2.40518
2023-01-02,3.35337
2023-01-03,3.42275
2023-01-04,3.67715
2023-01-05,6.01295
2023-01-06,5.34227
2023-01-07,4.57909
2023-01-08,2.89084
2023-01-09,3.3765
2023-01-10,3.42275
2023-01-11,3.44588
2023-01-12,5.73543
2023-01-13,5.41165
2023-01-14,3.49213
2023-01-15,2.01202
2023-01-16,4.04717
2023-01-17,5.94357
2023-01-18,4.48658
2023-01-19,3.53839
2023-01-20,3.60777
2023-01-21,1.82701
2023-01-22,1.75763
2023-01-23,2.15078
2023-01-24,4.34782
2023-01-25,4.7641
2023-01-26,4.18593
2023-01-27,3.88529
2023-01-28,3.60777
2023-01-29,3.51526
2023-01-30,3.76965
2023-01-31,3.51526
2023-02-01,4.16281
2023-02-02,5.13413
2023-02-03,3.7234
2023-02-04,2.40518
2023-02-05,2.17391
2023-02-06,3.90841
2023-02-07,3.95467
2023-02-08,6.31359
2023-02-09,3.93154
2023-02-10,2.96022
2023-02-11,2.05827
2023-02-12,2.47456
2023-02-13,2.49768
2023-02-14,3.88529
2023-02-15,4.13968
2023-02-16,4.46345
2023-02-17,4.02405
2023-02-18,2.15078
2023-02-19,2.0814
2023-02-20,3.42275
2023-02-21,3.49213
2023-02-22,3.09898
2023-02-23,3.49213
2023-02-24,2.93709
2023-02-25,2.38205
2023-02-26,1.7345
2023-02-27,2.24329
2023-02-28,3.33024
2023-03-01,2.63644
2023-03-02,2.3358
2023-03-03,3.51526
2023-03-04,2.12765
2023-03-05,1.98889
2023-03-06,3.14523
2023-03-07,3.35337
2023-03-08,4.83348
2023-03-09,5.4579
2023-03-10,6.49861
2023-03-11,4.57909
2023-03-12,3.44588
2023-03-13,6.66049
2023-03-14,6.89176
2023-03-15,5.57354
2023-03-16,8.67252
2023-03-17,6.91489
2023-03-18,4.60222
2023-03-19,5.57354
2023-03-20,16.92876
2023-03-21,4.85661
2023-03-22,5.06475
2023-03-23,4.30157
2023-03-24,4.0703
2023-03-25,2.91396
2023-03-26,2.15078
2023-03-27,3.21461
2023-03-28,4.25531
2023-03-29,7.65494
2023-03-30,4.60222
2023-03-31,3.19148
2023-04-01,1.96577
2023-04-02,2.26641
2023-04-03,2.84458
2023-04-04,3.51526
2023-04-05,3.39962
2023-04-06,5.98982
2023-04-07,5.41165
2023-04-08,2.35892
2023-04-09,2.89084
2023-04-10,4.57909
2023-04-11,4.25531
2023-04-12,3.3765
2023-04-13,3.56151
2023-04-14,5.29602
2023-04-15,3.39962
2023-04-16,3.39962
2023-04-17,5.61979
2023-04-18,6.26734
2023-04-19,4.94912
2023-04-20,4.00092
2023-04-21,4.16281
2023-04-22,3.23774
2023-04-23,3.05272
2023-04-24,5.08788
2023-04-25,3.26086
2023-04-26,3.3765
2023-04-27,4.83348
2023-04-28,2.93709
2023-04-29,2.19703
2023-04-30,2.17391
2023-05-01,2.4283
2023-05-02,3.67715
2023-05-03,3.83903
2023-05-04,3.09898
2023-05-05,2.49768
2023-05-06,2.0814
2023-05-07,2.28954
2023-05-08,3.42275
2023-05-09,3.3765
2023-05-10,3.67715
2023-05-11,3.51526
2023-05-12,2.45143
2023-05-13,1.98889
2023-05-14,2.89084
2023-05-15,4.04717
2023-05-16,3.19148
2023-05-17,3.23774
2023-05-18,3.0296
2023-05-19,3.35337
2023-05-20,1.96577
2023-05-21,1.98889
2023-05-22,2.56706
2023-05-23,4.37095
2023-05-24,4.50971
2023-05-25,3.30712
2023-05-26,3.14523
2023-05-27,2.35892
2023-05-28,2.15078
