date,달러
2021-10-06,25.88693
2021-10-07,23.29679
2021-10-08,20.60031
2021-10-09,10.27473
2021-10-10,9.85999
2021-10-11,12.9045
2021-10-12,29.36798
2021-10-13,23.19574
2021-10-14,22.47325
2021-10-15,20.99788
2021-10-16,10.27935
2021-10-17,8.7069
2021-10-18,19.66913
2021-10-19,21.28714
2021-10-20,21.38951
2021-10-21,20.34671
2021-10-22,17.23946
2021-10-23,9.26231
2021-10-24,8.70624
2021-10-25,21.36771
2021-10-26,22.48778
2021-10-27,20.84863
2021-10-28,19.08664
2021-10-29,18.32122
2021-10-30,9.86857
2021-10-31,9.45845
2021-11-01,19.53242
2021-11-02,19.57337
2021-11-03,19.89367
2021-11-04,19.94386
2021-11-05,19.47959
2021-11-06,10.11755
2021-11-07,9.01267
2021-11-08,19.90754
2021-11-09,29.29071
2021-11-10,20.25822
2021-11-11,21.29705
2021-11-12,19.59714
2021-11-13,9.43534
2021-11-14,8.82182
2021-11-15,19.39572
2021-11-16,20.19218
2021-11-17,20.36719
2021-11-18,19.06749
2021-11-19,18.66067
2021-11-20,10.59701
2021-11-21,9.64733
2021-11-22,21.63584
2021-11-23,21.61735
2021-11-24,20.55606
2021-11-25,21.96077
2021-11-26,22.41909
2021-11-27,12.58684
2021-11-28,11.21252
2021-11-29,22.85959
2021-11-30,22.88799
2021-12-01,24.30458
2021-12-02,22.31475
2021-12-03,18.72341
2021-12-04,11.38885
2021-12-05,8.82974
2021-12-06,18.54048
2021-12-07,18.25848
2021-12-08,18.34566
2021-12-09,17.84374
2021-12-10,16.31356
2021-12-11,8.48566
2021-12-12,8.16602
2021-12-13,15.93514
2021-12-14,16.14647
2021-12-15,15.71192
2021-12-16,16.46413
2021-12-17,14.72592
2021-12-18,7.81931
2021-12-19,8.04517
2021-12-20,17.66147
2021-12-21,18.03922
2021-12-22,16.44564
2021-12-23,15.9926
2021-12-24,14.26165
2021-12-25,7.58486
2021-12-26,8.63624
2021-12-27,15.23114
2021-12-28,15.7773
2021-12-29,15.25029
2021-12-30,14.32967
2021-12-31,11.83793
2022-01-01,7.85035
2022-01-02,7.90582
2022-01-03,16.19535
2022-01-04,18.66464
2022-01-05,21.2528
2022-01-06,25.75023
2022-01-07,21.94161
2022-01-08,10.44644
2022-01-09,9.73253
2022-01-10,21.20393
2022-01-11,19.49082
2022-01-12,19.05692
2022-01-13,18.32849
2022-01-14,17.50495
2022-01-15,8.9539
2022-01-16,8.46651
2022-01-17,16.60348
2022-01-18,16.48197
2022-01-19,16.85972
2022-01-20,16.13063
2022-01-21,16.89274
2022-01-22,10.54154
2022-01-23,8.59793
2022-01-24,18.76832
2022-01-25,21.4681
2022-01-26,17.9712
2022-01-27,21.7032
2022-01-28,20.64126
2022-01-29,10.52767
2022-01-30,8.6653
2022-01-31,8.80398
2022-02-01,11.08109
2022-02-02,11.55197
2022-02-03,20.31898
2022-02-04,19.53044
2022-02-05,10.43653
2022-02-06,9.38317
2022-02-07,18.46321
2022-02-08,17.88271
2022-02-09,16.57905
2022-02-10,16.9469
2022-02-11,16.29507
2022-02-12,10.05811
2022-02-13,8.63954
2022-02-14,17.87016
2022-02-15,17.47853
2022-02-16,16.65565
2022-02-17,16.49187
