date,코스닥
2021-08-24,9.6057
2021-08-25,10.27749
2021-08-26,9.90954
2021-08-27,8.43635
2021-08-28,1.09548
2021-08-29,0.80465
2021-08-30,7.19034
2021-08-31,7.89511
2021-09-01,6.86049
2021-09-02,7.68744
2021-09-03,5.84073
2021-09-04,0.8971
2021-09-05,0.80883
2021-09-06,6.598
2021-09-07,6.62634
2021-09-08,9.12951
2021-09-09,8.93438
2021-09-10,6.939
2021-09-11,0.90732
2021-09-12,0.64855
2021-09-13,9.02916
2021-09-14,5.76314
2021-09-15,6.00287
2021-09-16,6.47488
2021-09-17,5.54758
2021-09-18,0.70523
2021-09-19,0.44274
2021-09-20,0.71359
2021-09-21,1.02347
2021-09-22,1.01929
2021-09-23,9.10303
2021-09-24,6.78383
2021-09-25,0.86691
2021-09-26,0.65459
2021-09-27,6.0707
2021-09-28,12.06102
2021-09-29,15.80091
2021-09-30,7.94157
2021-10-01,13.17137
2021-10-02,1.40722
2021-10-03,0.95285
2021-10-04,1.66552
2021-10-05,20.67392
2021-10-06,29.09494
2021-10-07,13.90309
2021-10-08,11.33116
2021-10-09,1.16285
2021-10-10,0.82463
2021-10-11,1.30222
2021-10-12,12.73002
2021-10-13,8.11811
2021-10-14,8.24355
2021-10-15,7.92763
2021-10-16,0.97934
2021-10-17,0.73915
2021-10-18,7.95736
2021-10-19,6.61426
2021-10-20,7.26467
2021-10-21,7.83704
2021-10-22,6.73133
2021-10-23,0.81348
2021-10-24,0.6964
2021-10-25,6.89998
2021-10-26,5.71575
2021-10-27,6.71507
2021-10-28,7.31856
2021-10-29,7.55597
2021-10-30,0.90965
2021-10-31,0.71406
2021-11-01,5.68463
2021-11-02,9.7855
2021-11-03,13.31121
2021-11-04,13.38415
2021-11-05,12.33559
2021-11-06,1.89642
2021-11-07,1.45274
2021-11-08,13.78462
2021-11-09,11.48169
2021-11-10,17.26853
2021-11-11,14.86338
2021-11-12,10.35926
2021-11-13,1.92708
2021-11-14,1.61674
2021-11-15,10.64544
2021-11-16,11.3962
2021-11-17,12.09726
2021-11-18,13.18067
2021-11-19,10.23986
2021-11-20,1.90664
2021-11-21,1.60002
2021-11-22,13.24431
2021-11-23,13.49472
2021-11-24,12.78205
2021-11-25,11.5602
2021-11-26,14.06337
2021-11-27,2.807
2021-11-28,1.93173
2021-11-29,17.80559
2021-11-30,24.48164
2021-12-01,18.5819
2021-12-02,16.28454
2021-12-03,12.80482
2021-12-04,2.61002
2021-12-05,1.68457
2021-12-06,15.35584
2021-12-07,11.74325
2021-12-08,11.97043
2021-12-09,10.6984
2021-12-10,11.6717
2021-12-11,1.74961
2021-12-12,1.37841
2021-12-13,11.23732
2021-12-14,11.93977
2021-12-15,11.19551
2021-12-16,10.00478
2021-12-17,10.73185
2021-12-18,1.67714
2021-12-19,1.28271
2021-12-20,13.11423
2021-12-21,11.91561
2021-12-22,9.4589
2021-12-23,8.91301
2021-12-24,7.83379
2021-12-25,1.39607
2021-12-26,1.36076
2021-12-27,9.34229
2021-12-28,9.70373
2021-12-29,10.39503
2021-12-30,9.41058
2021-12-31,3.10573
2022-01-01,1.35565
2022-01-02,1.39374
2022-01-03,10.21988
2022-01-04,11.24336
2022-01-05,15.84551
2022-01-06,22.36268
2022-01-07,12.3328
2022-01-08,2.13893
2022-01-09,1.7222
2022-01-10,15.84876
2022-01-11,17.48456
2022-01-12,11.0566
2022-01-13,12.23849
