date,재택
2021-03-08,10.82608
2021-03-09,9.91304
2021-03-10,11.56521
2021-03-11,10.34782
2021-03-12,8.73913
2021-03-13,3.34782
2021-03-14,4.34782
2021-03-15,11.47826
2021-03-16,10.43478
2021-03-17,10.52173
2021-03-18,10.26086
2021-03-19,7.91304
2021-03-20,4.21739
2021-03-21,3.04347
2021-03-22,10.43478
2021-03-23,10.08695
2021-03-24,9.91304
2021-03-25,10.26086
2021-03-26,8.82608
2021-03-27,3.21739
2021-03-28,2.95652
2021-03-29,11.13043
2021-03-30,8.56521
2021-03-31,9.65217
2021-04-01,9.43478
2021-04-02,8.69565
2021-04-03,2.56521
2021-04-04,3.34782
2021-04-05,10.3913
2021-04-06,10.17391
2021-04-07,10.91304
2021-04-08,10.21739
2021-04-09,9.30434
2021-04-10,3.26086
2021-04-11,3.17391
2021-04-12,13.26086
2021-04-13,11.65217
2021-04-14,11.13043
2021-04-15,10.73913
2021-04-16,9.04347
2021-04-17,2.21739
2021-04-18,3.91304
2021-04-19,10.91304
2021-04-20,12.56521
2021-04-21,9.91304
2021-04-22,10.95652
2021-04-23,10.21739
2021-04-24,2.47826
2021-04-25,12.17391
2021-04-26,19.30434
2021-04-27,10.26086
2021-04-28,10.86956
2021-04-29,10.21739
2021-04-30,10.82608
2021-05-01,2.56521
2021-05-02,3.52173
2021-05-03,9.13043
2021-05-04,8.7826
2021-05-05,3.08695
2021-05-06,9.82608
2021-05-07,9.30434
2021-05-08,2.95652
2021-05-09,3.47826
2021-05-10,10.65217
2021-05-11,10.60869
2021-05-12,9.91304
2021-05-13,10.21739
2021-05-14,7.91304
2021-05-15,2.82608
2021-05-16,3.30434
2021-05-17,11.86956
2021-05-18,9.17391
2021-05-19,3.21739
2021-05-20,9.82608
2021-05-21,8.73913
2021-05-22,2.60869
2021-05-23,3.21739
2021-05-24,10.30434
2021-05-25,10.69565
2021-05-26,9.52173
2021-05-27,9.52173
2021-05-28,8.69565
2021-05-29,2.60869
2021-05-30,3.65217
2021-05-31,11.73913
2021-06-01,9.04347
2021-06-02,10.65217
2021-06-03,9.47826
2021-06-04,9.21739
2021-06-05,2.30434
2021-06-06,3.52173
2021-06-07,11.21739
2021-06-08,8.69565
2021-06-09,8.95652
2021-06-10,8.86956
2021-06-11,8.52173
2021-06-12,1.7826
2021-06-13,2.82608
2021-06-14,8.82608
2021-06-15,8.60869
2021-06-16,9.34782
2021-06-17,7.91304
2021-06-18,8.52173
2021-06-19,3.26086
2021-06-20,4.47826
2021-06-21,10.34782
2021-06-22,9.04347
2021-06-23,9.08695
2021-06-24,10.13043
2021-06-25,8.13043
2021-06-26,2.17391
2021-06-27,4.17391
2021-06-28,11.0
2021-06-29,9.3913
2021-06-30,10.21739
2021-07-01,10.21739
2021-07-02,9.21739
2021-07-03,3.34782
2021-07-04,3.69565
2021-07-05,11.56521
2021-07-06,13.95652
2021-07-07,47.30434
2021-07-08,37.73913
2021-07-09,63.60869
2021-07-10,10.7826
2021-07-11,14.52173
2021-07-12,46.30434
2021-07-13,35.47826
2021-07-14,35.73913
2021-07-15,27.60869
2021-07-16,21.3913
2021-07-17,6.34782
2021-07-18,7.56521
2021-07-19,25.0
2021-07-20,24.34782
2021-07-21,23.73913
2021-07-22,22.04347
2021-07-23,19.69565
2021-07-24,4.0
2021-07-25,6.56521
2021-07-26,20.26086
2021-07-27,18.26086
2021-07-28,18.95652
2021-07-29,16.47826
2021-07-30,13.95652
2021-07-31,3.73913
2021-08-01,5.3913
2021-08-02,16.60869
2021-08-03,14.82608
2021-08-04,14.13043
2021-08-05,15.3913
2021-08-06,13.3913
2021-08-07,3.91304
2021-08-08,5.86956
2021-08-09,16.60869
2021-08-10,16.69565
2021-08-11,19.13043
2021-08-12,17.69565
2021-08-13,16.91304
2021-08-14,4.30434
2021-08-15,3.56521
2021-08-16,6.60869
2021-08-17,18.17391
2021-08-18,16.3913
2021-08-19,16.82608
2021-08-20,15.17391
2021-08-21,3.60869
2021-08-22,4.52173
2021-08-23,15.56521
2021-08-24,14.17391
2021-08-25,16.91304
2021-08-26,13.30434
2021-08-27,11.17391
2021-08-28,3.56521
2021-08-29,4.3913
2021-08-30,12.82608
2021-08-31,14.08695
2021-09-01,14.3913
2021-09-02,13.95652
2021-09-03,13.08695
2021-09-04,2.47826
2021-09-05,3.3913
2021-09-06,13.73913
2021-09-07,12.73913
2021-09-08,10.7826
2021-09-09,10.56521
2021-09-10,11.08695
2021-09-11,3.52173
2021-09-12,4.86956
2021-09-13,11.91304
2021-09-14,11.52173
2021-09-15,11.47826
2021-09-16,12.47826
2021-09-17,9.7826
2021-09-18,3.04347
2021-09-19,2.0
2021-09-20,1.69565
2021-09-21,2.56521
2021-09-22,3.86956
2021-09-23,10.56521
2021-09-24,12.04347
2021-09-25,6.08695
2021-09-26,4.65217
2021-09-27,14.91304
2021-09-28,12.30434
2021-09-29,12.17391
2021-09-30,14.3913
2021-10-01,12.0
2021-10-02,3.73913
2021-10-03,3.26086
2021-10-04,4.65217
2021-10-05,12.60869
2021-10-06,10.95652
2021-10-07,10.82608
2021-10-08,16.7826
2021-10-09,4.7826
2021-10-10,3.47826
2021-10-11,4.65217
2021-10-12,11.82608
2021-10-13,10.82608
2021-10-14,12.21739
2021-10-15,9.60869
