date,워드프레스
2021-09-01,1.27223
2021-09-02,1.04706
2021-09-03,1.0358
2021-09-04,0.46911
2021-09-05,0.57044
2021-09-06,1.21969
2021-09-07,1.2985
2021-09-08,1.2272
2021-09-09,1.09209
2021-09-10,1.00577
2021-09-11,0.47661
2021-09-12,0.60421
2021-09-13,1.14839
2021-09-14,1.11836
2021-09-15,1.07333
2021-09-16,0.93447
2021-09-17,0.88193
2021-09-18,0.40531
2021-09-19,0.44659
2021-09-20,0.43909
2021-09-21,0.29272
2021-09-22,0.51414
2021-09-23,0.99076
2021-09-24,1.01328
2021-09-25,0.65675
2021-09-26,0.66426
2021-09-27,1.11461
2021-09-28,1.11461
2021-09-29,1.05832
2021-09-30,0.92696
2021-10-01,1.02079
2021-10-02,0.50664
2021-10-03,0.63799
2021-10-04,0.70554
2021-10-05,1.11086
2021-10-06,0.99452
2021-10-07,0.97575
2021-10-08,0.97575
2021-10-09,0.52165
2021-10-10,0.48412
2021-10-11,0.59671
2021-10-12,1.12211
2021-10-13,0.96449
2021-10-14,1.08834
2021-10-15,0.85941
2021-10-16,0.46911
2021-10-17,0.46911
2021-10-18,0.90445
2021-10-19,1.14088
2021-10-20,1.06582
2021-10-21,1.05832
2021-10-22,0.94948
2021-10-23,0.42407
2021-10-24,0.51039
2021-10-25,0.90069
2021-10-26,1.20093
2021-10-27,1.30225
2021-10-28,0.90445
2021-10-29,0.7806
2021-10-30,0.42032
2021-10-31,0.46536
2021-11-01,1.08083
2021-11-02,1.15964
2021-11-03,1.08083
2021-11-04,1.03955
2021-11-05,1.07708
2021-11-06,0.51414
2021-11-07,0.55167
2021-11-08,1.06207
2021-11-09,0.99076
2021-11-10,1.94025
2021-11-11,1.60624
2021-11-12,1.2347
2021-11-13,0.55543
2021-11-14,0.62298
2021-11-15,1.35479
2021-11-16,1.47864
2021-11-17,1.43361
2021-11-18,1.26473
2021-11-19,1.291
2021-11-20,0.67927
2021-11-21,1.00953
2021-11-22,1.67755
2021-11-23,1.08459
2021-11-24,0.93447
2021-11-25,1.0996
2021-11-26,0.99827
2021-11-27,0.46536
2021-11-28,0.59295
2021-11-29,0.99827
2021-11-30,0.972
2021-12-01,0.98701
2021-12-02,1.14463
2021-12-03,0.99827
2021-12-04,0.51039
2021-12-05,0.60046
2021-12-06,1.05832
2021-12-07,1.15589
2021-12-08,1.01703
2021-12-09,1.03955
2021-12-10,0.972
2021-12-11,0.59295
2021-12-12,0.60421
2021-12-13,1.05456
2021-12-14,0.99076
2021-12-15,1.24971
2021-12-16,0.86692
2021-12-17,0.81062
2021-12-18,0.53666
2021-12-19,0.55918
2021-12-20,1.12211
2021-12-21,1.18216
2021-12-22,1.16715
2021-12-23,1.05832
2021-12-24,0.65675
2021-12-25,0.41657
2021-12-26,0.51414
2021-12-27,0.9795
2021-12-28,1.01703
2021-12-29,1.09209
2021-12-30,1.01703
2021-12-31,0.82939
2022-01-01,0.45034
2022-01-02,0.64925
2022-01-03,1.19717
2022-01-04,1.20843
2022-01-05,1.0996
2022-01-06,1.18216
2022-01-07,1.03204
2022-01-08,0.66051
2022-01-09,0.68302
2022-01-10,1.26848
2022-01-11,1.11836
2022-01-12,1.25722
2022-01-13,1.10335
2022-01-14,1.15214
2022-01-15,0.58545
2022-01-16,0.51039
2022-01-17,0.96825
2022-01-18,1.10335
2022-01-19,1.09584
2022-01-20,1.05456
2022-01-21,0.91195
2022-01-22,0.58545
2022-01-23,0.67552
2022-01-24,1.31351
2022-01-25,1.15589
2022-01-26,1.06582
2022-01-27,1.15589
2022-01-28,0.85566
2022-01-29,0.52165
2022-01-30,0.49538
2022-01-31,0.47661
2022-02-01,0.46911
2022-02-02,0.69428
2022-02-03,1.06582
2022-02-04,1.14463
2022-02-05,0.64925
2022-02-06,0.70929
2022-02-07,1.2272
2022-02-08,1.32102
2022-02-09,1.15964
2022-02-10,1.21218
2022-02-11,1.06957
2022-02-12,0.60046
2022-02-13,0.59671
2022-02-14,1.16715
2022-02-15,1.15214
2022-02-16,1.11461
2022-02-17,1.07708
2022-02-18,0.93072
2022-02-19,0.55918
2022-02-20,0.67177
2022-02-21,1.25722
2022-02-22,1.23845
2022-02-23,1.0358
2022-02-24,1.08459
2022-02-25,0.88193
2022-02-26,0.60797
2022-02-27,0.56668
2022-02-28,0.96449
2022-03-01,0.63048
2022-03-02,1.0358
2022-03-03,1.17466
2022-03-04,1.07708
2022-03-05,0.49538
2022-03-06,0.62298
2022-03-07,1.0996
2022-03-08,1.03204
2022-03-09,0.55918
2022-03-10,1.10335
2022-03-11,1.07333
2022-03-12,0.60046
2022-03-13,0.65675
2022-03-14,0.98326
2022-03-15,1.15589
2022-03-16,1.15589
2022-03-17,1.19342
2022-03-18,1.17466
2022-03-19,0.68302
2022-03-20,0.55167
2022-03-21,1.01703
2022-03-22,1.08459
2022-03-23,1.06582
2022-03-24,1.06582
2022-03-25,1.00953
2022-03-26,0.46911
2022-03-27,0.54041
2022-03-28,1.01328
2022-03-29,1.17841
2022-03-30,1.06582
2022-03-31,1.05456
2022-04-01,1.1071
2022-04-02,0.55918
2022-04-03,0.53666
2022-04-04,1.0358
2022-04-05,1.12962
2022-04-06,1.06582
2022-04-07,1.05081
2022-04-08,1.04706
2022-04-09,0.52916
2022-04-10,0.52916
2022-04-11,0.96449
2022-04-12,1.06207
2022-04-13,1.21594
2022-04-14,1.12211
2022-04-15,0.92321
2022-04-16,0.43158
2022-04-17,0.61172
2022-04-18,1.05081
2022-04-19,1.2347
2022-04-20,1.06957
2022-04-21,1.0433
2022-04-22,0.91946
2022-04-23,0.60797
2022-04-24,0.56293
2022-04-25,1.13713
2022-04-26,0.90445
2022-04-27,1.05832
2022-04-28,1.05456
2022-04-29,1.01703
2022-04-30,0.61547
2022-05-01,0.58545
2022-05-02,1.18216
2022-05-03,1.17466
2022-05-04,0.98701
