date,카카오뱅크주가
2021-07-28,1.52868
2021-07-29,1.22612
2021-07-30,0.87258
2021-07-31,0.48263
2021-08-01,0.39039
2021-08-02,1.06922
2021-08-03,1.03964
2021-08-04,1.03876
2021-08-05,2.17286
2021-08-06,100.0
2021-08-07,8.50675
2021-08-08,5.24039
2021-08-09,63.32365
2021-08-10,45.70899
2021-08-11,34.96316
2021-08-12,25.9506
2021-08-13,23.0541
2021-08-14,3.09775
2021-08-15,2.00029
2021-08-16,3.36787
2021-08-17,28.06454
2021-08-18,30.40932
2021-08-19,26.52107
2021-08-20,23.13134
2021-08-21,1.95549
2021-08-22,1.57613
2021-08-23,19.05793
2021-08-24,17.65018
2021-08-25,16.09656
2021-08-26,14.86602
2021-08-27,12.77017
2021-08-28,1.32764
2021-08-29,0.97918
2021-08-30,11.99645
2021-08-31,12.33056
2021-09-01,14.91457
2021-09-02,15.99151
2021-09-03,13.88971
2021-09-04,1.55781
2021-09-05,1.40819
2021-09-06,15.26987
2021-09-07,14.76958
2021-09-08,16.59222
2021-09-09,15.35528
2021-09-10,15.98776
2021-09-11,1.81226
2021-09-12,1.38126
2021-09-13,15.12157
2021-09-14,17.37653
2021-09-15,13.9654
2021-09-16,11.48578
2021-09-17,11.27922
2021-09-18,1.19964
2021-09-19,0.88384
2021-09-20,0.70332
2021-09-21,0.75717
2021-09-22,0.83308
2021-09-23,10.49248
2021-09-24,10.43863
2021-09-25,1.0637
2021-09-26,0.69736
2021-09-27,9.13195
2021-09-28,8.89538
2021-09-29,8.77157
2021-09-30,7.89656
2021-10-01,7.65755
2021-10-02,0.81565
2021-10-03,0.64969
2021-10-04,1.20427
2021-10-05,9.76995
2021-10-06,9.70684
2021-10-07,9.00307
2021-10-08,8.54405
2021-10-09,0.86729
2021-10-10,0.66051
2021-10-11,1.11953
2021-10-12,8.24899
2021-10-13,7.46688
2021-10-14,7.74671
2021-10-15,7.54942
2021-10-16,0.76401
2021-10-17,0.50205
2021-10-18,6.58635
2021-10-19,6.78894
2021-10-20,6.82138
2021-10-21,6.15314
2021-10-22,5.67558
2021-10-23,0.70773
2021-10-24,0.53758
2021-10-25,6.28379
2021-10-26,6.88515
2021-10-27,6.32241
2021-10-28,7.97755
2021-10-29,6.60113
2021-10-30,0.72473
2021-10-31,0.52567
2021-11-01,6.21692
2021-11-02,6.72825
2021-11-03,9.99991
2021-11-04,8.14615
2021-11-05,7.33866
2021-11-06,0.87369
2021-11-07,0.8119
2021-11-08,8.35315
2021-11-09,7.20471
2021-11-10,6.57708
2021-11-11,6.14939
2021-11-12,7.1588
2021-11-13,0.77835
2021-11-14,0.60622
2021-11-15,6.63887
2021-11-16,5.98542
2021-11-17,5.87618
2021-11-18,6.35198
2021-11-19,5.86956
2021-11-20,0.68125
2021-11-21,0.53361
2021-11-22,6.05979
2021-11-23,5.96578
2021-11-24,5.60121
2021-11-25,7.22942
2021-11-26,6.9006
2021-11-27,0.83463
2021-11-28,0.56031
2021-11-29,7.86257
2021-11-30,8.24921
2021-12-01,6.56935
2021-12-02,5.85588
2021-12-03,6.19728
2021-12-04,0.621
2021-12-05,0.50382
2021-12-06,5.49881
2021-12-07,5.69676
2021-12-08,5.81064
2021-12-09,6.86927
