date,NH농협증권
2021-08-10,23.81183
2021-08-11,17.50727
2021-08-12,21.72647
2021-08-13,18.57419
2021-08-14,6.11057
2021-08-15,6.01357
2021-08-16,8.72938
2021-08-17,19.01066
2021-08-18,19.64112
2021-08-19,18.04073
2021-08-20,17.41028
2021-08-21,8.4869
2021-08-22,7.61396
2021-08-23,17.74975
2021-08-24,18.28322
2021-08-25,17.26479
2021-08-26,16.97381
2021-08-27,17.0708
2021-08-28,7.56547
2021-08-29,6.49854
2021-08-30,17.36178
2021-08-31,16.10087
2021-09-01,18.96217
2021-09-02,15.51891
2021-09-03,16.68283
2021-09-04,5.91658
2021-09-05,6.78952
2021-09-06,16.63433
2021-09-07,18.33171
2021-09-08,16.63433
2021-09-09,16.39185
2021-09-10,14.59747
2021-09-11,5.5771
2021-09-12,7.75945
2021-09-13,15.22793
2021-09-14,17.36178
2021-09-15,16.44034
2021-09-16,14.64597
2021-09-17,16.24636
2021-09-18,5.6741
2021-09-19,5.28612
2021-09-20,5.43161
2021-09-21,6.15906
2021-09-22,8.63239
2021-09-23,30.01939
2021-09-24,24.92725
2021-09-25,9.26285
2021-09-26,12.94859
2021-09-27,35.54801
2021-09-28,32.63821
2021-09-29,16.58583
2021-09-30,17.60426
2021-10-01,13.14258
2021-10-02,4.46168
2021-10-03,4.02521
2021-10-04,5.86808
2021-10-05,16.63433
2021-10-06,14.50048
2021-10-07,16.82832
2021-10-08,13.57904
2021-10-09,5.18913
2021-10-10,3.73423
2021-10-11,5.6741
2021-10-12,15.7129
2021-10-13,15.08244
2021-10-14,14.59747
2021-10-15,13.43355
2021-10-16,4.99515
2021-10-17,5.5771
2021-10-18,12.94859
2021-10-19,12.07565
2021-10-20,11.05722
2021-10-21,12.41513
2021-10-22,10.86323
2021-10-23,4.12221
2021-10-24,4.41319
2021-10-25,17.36178
2021-10-26,14.69447
2021-10-27,12.99709
2021-10-28,15.80989
2021-10-29,11.93016
2021-10-30,4.89815
2021-10-31,5.5771
2021-11-01,15.42192
2021-11-02,19.83511
2021-11-03,21.87196
2021-11-04,13.91852
2021-11-05,12.90009
2021-11-06,5.09214
2021-11-07,5.72259
2021-11-08,11.54219
2021-11-09,13.62754
2021-11-10,13.04558
2021-11-11,15.95538
2021-11-12,13.09408
2021-11-13,3.92822
2021-11-14,4.70417
2021-11-15,15.03394
2021-11-16,13.67604
2021-11-17,13.53055
2021-11-18,17.41028
2021-11-19,12.99709
2021-11-20,4.60717
2021-11-21,4.89815
2021-11-22,19.64112
2021-11-23,13.72453
2021-11-24,12.94859
2021-11-25,11.54219
2021-11-26,11.97866
2021-11-27,5.5771
2021-11-28,5.33462
2021-11-29,12.99709
2021-11-30,12.41513
2021-12-01,13.91852
2021-12-02,11.63918
2021-12-03,13.72453
2021-12-04,4.65567
2021-12-05,4.2192
2021-12-06,13.43355
2021-12-07,14.64597
2021-12-08,13.72453
2021-12-09,11.49369
2021-12-10,12.51212
2021-12-11,4.84966
2021-12-12,4.31619
2021-12-13,12.8516
2021-12-14,11.78467
2021-12-15,12.41513
2021-12-16,12.65761
2021-12-17,10.62075
2021-12-18,5.18913
2021-12-19,5.33462
2021-12-20,12.7546
2021-12-21,11.59068
2021-12-22,12.12415
2021-12-23,14.11251
2021-12-24,14.161
2021-12-25,4.89815
2021-12-26,5.91658
2021-12-27,16.39185
2021-12-28,16.14936
2021-12-29,15.85838
2021-12-30,14.59747
2021-12-31,11.3482
2022-01-01,3.87972
2022-01-02,5.96508
2022-01-03,17.94374
2022-01-04,15.6159
2022-01-05,15.42192
2022-01-06,15.51891
2022-01-07,13.62754
2022-01-08,5.91658
2022-01-09,7.51697
2022-01-10,15.6644
2022-01-11,15.6644
2022-01-12,13.04558
2022-01-13,14.258
2022-01-14,15.37342
2022-01-15,8.09893
2022-01-16,8.19592
2022-01-17,17.26479
2022-01-18,22.93889
2022-01-19,22.7934
2022-01-20,26.04267
2022-01-21,31.52279
2022-01-22,5.86808
2022-01-23,6.20756
2022-01-24,14.74296
2022-01-25,16.24636
2022-01-26,12.46362
2022-01-27,17.0708
2022-01-28,15.51891
2022-01-29,4.84966
2022-01-30,5.04364
2022-01-31,5.33462
2022-02-01,7.41998
2022-02-02,8.68089
2022-02-03,23.18137
2022-02-04,18.13773
2022-02-05,6.49854
2022-02-06,8.14742
2022-02-07,16.29485
2022-02-08,13.96702
2022-02-09,13.09408
2022-02-10,14.98545
2022-02-11,12.41513
2022-02-12,3.78273
2022-02-13,5.77109
2022-02-14,14.30649
2022-02-15,11.63918
2022-02-16,11.49369
2022-02-17,13.23957
2022-02-18,13.38506
2022-02-19,8.05043
2022-02-20,10.08729
2022-02-21,26.96411
2022-02-22,27.0126
2022-02-23,13.53055
2022-02-24,14.83996
2022-02-25,14.30649
2022-02-26,6.01357
2022-02-27,5.6741
2022-02-28,14.64597
2022-03-01,6.11057
2022-03-02,13.14258
2022-03-03,14.01551
2022-03-04,10.42677
2022-03-05,4.89815
2022-03-06,4.2192
2022-03-07,12.70611
2022-03-08,13.23957
2022-03-09,4.84966
2022-03-10,15.32492
2022-03-11,11.54219
2022-03-12,4.2192
2022-03-13,5.33462
2022-03-14,12.36663
2022-03-15,11.25121
2022-03-16,11.15421
2022-03-17,1.93986
2022-03-18,1.45489
2022-03-21,0.92143
2022-03-22,0.96993
2022-03-23,1.21241
2022-03-24,0.72744
2022-03-25,0.48496
2022-03-26,0.24248
2022-03-27,0.29097
2022-03-28,1.11542
2022-03-29,1.01842
2022-03-30,6.93501
2022-03-31,6.74102
2022-04-01,7.0805
2022-04-02,0.33947
2022-04-03,0.82444
2022-04-04,1.45489
2022-04-05,0.63045
2022-04-06,0.48496
2022-04-07,0.43646
2022-04-08,0.58195
2022-04-09,0.29097
2022-04-11,0.82444
2022-04-12,1.06692
2022-04-13,0.82444
2022-04-14,0.63045
2022-04-15,0.43646
2022-04-17,0.24248
2022-04-18,1.21241
2022-04-19,0.72744
2022-04-20,0.92143
2022-04-21,0.58195
2022-04-22,0.43646
2022-04-23,0.38797
2022-04-25,1.06692
2022-04-26,0.43646
2022-04-27,1.4064
2022-04-28,1.16391
2022-04-29,0.43646
2022-04-30,0.24248
2022-05-02,0.33947
2022-05-03,0.72744
2022-05-04,0.58195
2022-05-05,0.24248
2022-05-06,1.26091
2022-05-09,0.77594
2022-05-10,1.21241
2022-05-11,1.01842
2022-05-12,1.16391
2022-05-13,1.16391
2022-05-16,0.96993
2022-05-17,0.96993
2022-05-18,0.33947
2022-05-19,0.87293
2022-05-20,0.72744
2022-05-22,0.24248
2022-05-23,0.82444
2022-05-24,0.58195
2022-05-25,0.48496
2022-05-26,0.24248
2022-05-27,0.53346
2022-05-28,0.24248
2022-05-30,0.53346
2022-05-31,0.72744
2022-06-02,0.38797
2022-06-03,0.38797
2022-06-08,1.01842
2022-06-09,0.63045
2022-06-10,0.58195
2022-06-13,0.96993
2022-06-14,0.92143
2022-06-15,0.38797
2022-06-16,0.58195
2022-06-17,0.92143
2022-06-20,0.33947
2022-06-21,0.29097
2022-06-22,0.24248
2022-06-23,0.24248
2022-06-24,0.38797
2022-06-26,0.58195
