date,데이터센터
2021-08-14,0.17002
2021-08-15,0.18381
2021-08-16,0.25734
2021-08-17,0.34465
2021-08-18,0.3883
2021-08-19,0.49859
2021-08-20,0.37911
2021-08-21,0.18611
2021-08-22,0.28491
2021-08-23,0.52846
2021-08-24,0.50549
2021-08-25,0.45953
2021-08-26,0.73066
2021-08-27,0.43885
2021-08-28,0.20679
2021-08-29,0.1953
2021-08-30,0.46643
2021-08-31,0.42507
2021-09-01,0.42966
2021-09-02,0.43656
2021-09-03,0.32397
2021-09-04,0.25044
2021-09-05,0.23895
2021-09-06,0.47102
2021-09-07,0.48481
2021-09-08,0.46643
2021-09-09,0.42737
2021-09-10,0.55144
2021-09-11,0.26882
2021-09-12,0.2918
2021-09-13,0.46183
2021-09-14,0.41588
2021-09-15,0.38371
2021-09-16,0.3975
2021-09-17,0.31478
2021-09-18,0.11718
2021-09-19,0.12177
2021-09-20,0.15394
2021-09-21,0.11718
2021-09-22,0.22747
2021-09-23,0.45953
2021-09-24,0.35843
2021-09-25,0.13556
2021-09-26,0.22287
2021-09-27,0.44345
2021-09-28,0.4917
2021-09-29,0.35843
2021-09-30,0.41817
2021-10-01,0.2895
2021-10-02,0.13786
2021-10-03,0.15854
2021-10-04,0.20449
2021-10-05,0.35384
2021-10-06,0.34465
2021-10-07,0.3929
2021-10-08,0.36533
2021-10-09,0.22287
2021-10-10,0.15854
2021-10-11,0.18381
2021-10-12,0.37911
2021-10-13,0.36533
2021-10-14,0.42966
2021-10-15,0.36533
2021-10-16,0.16083
2021-10-17,0.16083
2021-10-18,0.34924
2021-10-19,0.3975
2021-10-20,0.3975
2021-10-21,0.40439
2021-10-22,0.56523
2021-10-23,0.65713
2021-10-24,0.2964
2021-10-25,0.66403
2021-10-26,0.45953
2021-10-27,0.47562
2021-10-28,0.63645
2021-10-29,0.37682
2021-10-30,0.1976
2021-10-31,0.18841
2021-11-01,0.36533
2021-11-02,0.46183
2021-11-03,0.46183
2021-11-04,0.47102
2021-11-05,0.37222
2021-11-06,0.18841
2021-11-07,0.18611
2021-11-08,0.40669
2021-11-09,0.42047
2021-11-10,0.44115
2021-11-11,0.3975
2021-11-12,0.34924
2021-11-13,0.20908
2021-11-14,0.20219
2021-11-15,0.36073
2021-11-16,0.40439
2021-11-17,0.35614
2021-11-18,0.31018
2021-11-19,0.36763
2021-11-20,0.15164
2021-11-21,0.20449
2021-11-22,0.37911
2021-11-23,0.38601
2021-11-24,0.44345
2021-11-25,0.54914
2021-11-26,0.38601
2021-11-27,0.16313
2021-11-28,0.1907
2021-11-29,0.32856
2021-11-30,0.33776
2021-12-01,0.36533
2021-12-02,0.42507
2021-12-03,0.30789
2021-12-04,0.15624
2021-12-05,0.18381
2021-12-06,0.32627
2021-12-07,0.40898
2021-12-08,0.47791
2021-12-09,0.3883
2021-12-10,0.34924
2021-12-11,0.14934
2021-12-12,0.17002
2021-12-13,0.36992
2021-12-14,0.33316
2021-12-15,0.3929
2021-12-16,0.39979
