date,우주항공관련주
2021-04-03,32.20866
2021-04-04,10.21775
2021-04-05,17.03756
2021-04-06,17.61186
2021-04-07,12.8021
2021-04-08,13.18497
2021-04-09,14.11821
2021-04-10,7.87269
2021-04-11,6.62837
2021-04-12,9.45202
2021-04-13,7.29839
2021-04-14,7.08303
2021-04-15,6.77195
2021-04-16,8.01627
2021-04-17,6.14979
2021-04-18,4.80976
2021-04-19,17.82723
2021-04-20,11.17492
2021-04-21,8.82986
2021-04-22,11.15099
2021-04-23,8.15984
2021-04-24,11.84493
2021-04-25,13.7832
2021-04-26,7.34625
2021-04-27,6.4848
2021-04-28,5.07298
2021-04-29,3.92438
2021-04-30,3.92438
2021-05-01,3.27829
2021-05-02,3.4458
2021-05-03,3.97224
2021-05-04,3.08686
2021-05-05,2.77578
2021-05-06,4.23546
2021-05-07,4.73797
2021-05-08,2.20148
2021-05-09,3.35008
2021-05-10,3.54151
2021-05-11,3.15865
2021-05-12,2.56042
2021-05-13,1.98612
2021-05-14,1.77075
2021-05-15,2.84757
2021-05-16,3.18257
2021-05-17,3.039
2021-05-18,5.26441
2021-05-19,2.72792
2021-05-20,3.87652
2021-05-21,5.38406
2021-05-22,11.94065
2021-05-23,10.95955
2021-05-24,29.31323
2021-05-25,35.24766
2021-05-26,17.82723
2021-05-27,15.33859
2021-05-28,12.17994
2021-05-29,6.41301
2021-05-30,6.62837
2021-05-31,8.01627
2021-06-01,10.45704
2021-06-02,9.54773
2021-06-03,9.30844
2021-06-04,6.29337
2021-06-05,7.44197
2021-06-06,11.31849
2021-06-07,12.13208
2021-06-08,22.58913
2021-06-09,14.42928
2021-06-10,11.50993
2021-06-11,7.87269
2021-06-12,4.97726
2021-06-13,5.1687
2021-06-14,8.68628
2021-06-15,6.03015
2021-06-16,7.65733
2021-06-17,6.72409
2021-06-18,9.81095
2021-06-19,7.01124
2021-06-20,6.72409
2021-06-21,7.8009
2021-06-22,7.75305
2021-06-23,6.86767
2021-06-24,7.10696
2021-06-25,8.2077
2021-06-26,6.77195
2021-06-27,8.73414
2021-06-28,11.821
2021-06-29,7.4659
2021-06-30,7.60947
2021-07-01,7.29839
2021-07-02,7.72912
2021-07-03,6.86767
2021-07-04,22.37377
2021-07-05,35.65446
2021-07-06,28.28427
2021-07-07,19.38262
2021-07-08,18.61689
2021-07-09,21.75161
2021-07-10,14.62072
2021-07-11,16.10433
2021-07-12,33.66834
2021-07-13,14.38143
2021-07-14,9.5238
2021-07-15,13.66355
2021-07-16,10.76812
2021-07-17,8.32735
2021-07-18,18.85618
2021-07-19,18.97583
2021-07-20,16.77434
2021-07-21,27.85355
2021-07-22,16.91792
2021-07-23,7.89662
2021-07-24,5.55156
2021-07-25,9.42809
2021-07-26,6.26944
2021-07-27,5.5037
2021-07-28,56.71213
2021-07-29,12.77817
2021-07-30,6.14979
2021-07-31,5.00119
2021-08-01,34.6255
2021-08-02,10.76812
2021-08-03,8.27949
2021-08-04,9.9306
2021-08-05,8.9495
2021-08-06,7.51375
2021-08-07,5.95836
2021-08-08,5.79085
2021-08-09,7.29839
2021-08-10,7.13089
2021-08-11,6.74802
2021-08-12,8.30342
2021-08-13,8.66235
2021-08-14,3.87652
2021-08-15,4.88155
2021-08-16,4.66618
2021-08-17,8.15984
2021-08-18,6.77195
2021-08-19,33.42905
2021-08-20,8.47092
2021-08-21,4.47475
2021-08-22,4.66618
2021-08-23,5.5037
2021-08-24,5.83871
2021-08-25,7.58554
2021-08-26,5.93443
2021-08-27,7.37018
2021-08-28,6.58052
2021-08-29,5.88657
2021-08-30,8.11198
2021-08-31,6.96338
2021-09-01,6.41301
2021-09-02,11.6535
2021-09-03,9.09308
2021-09-04,5.1687
2021-09-05,4.7619
2021-09-06,6.70016
2021-09-07,5.67121
2021-09-08,6.3173
2021-09-09,3.99617
2021-09-10,3.85259
2021-09-11,3.42187
2021-09-12,3.56544
2021-09-13,4.69011
2021-09-14,6.078
2021-09-15,4.47475
2021-09-16,12.65853
2021-09-17,11.36635
2021-09-18,7.60947
2021-09-19,6.96338
2021-09-20,5.1687
2021-09-21,3.7808
2021-09-22,4.49868
2021-09-23,11.50993
2021-09-24,7.72912
2021-09-25,6.98731
2021-09-26,8.6145
2021-09-27,11.17492
2021-09-28,9.85881
2021-09-29,9.61952
2021-09-30,8.85379
2021-10-01,7.2266
2021-10-02,5.64728
2021-10-03,5.743
2021-10-04,6.4848
2021-10-05,5.55156
2021-10-06,6.22158
2021-10-07,4.57047
2021-10-08,4.71404
2021-10-09,2.51256
2021-10-10,3.68509
2021-10-11,5.57549
2021-10-12,5.1687
2021-10-13,4.25939
2021-10-14,5.93443
2021-10-15,7.20268
2021-10-16,4.80976
2021-10-17,8.32735
2021-10-18,12.01244
2021-10-19,11.12706
2021-10-20,17.9708
2021-10-21,79.39698
2021-10-22,25.98707
2021-10-23,6.74802
2021-10-24,4.66618
2021-10-25,5.28834
2021-10-26,5.55156
2021-10-27,3.73295
2021-10-28,4.85762
2021-10-29,3.85259
2021-10-30,2.44077
2021-10-31,2.12969
2021-11-01,10.36133
2021-11-02,3.6133
2021-11-03,3.68509
2021-11-04,3.35008
2021-11-05,6.41301
2021-11-06,2.39291
2021-11-07,4.83369
2021-11-08,7.17875
2021-11-09,2.84757
2021-11-10,6.38908
2021-11-11,2.79971
2021-11-12,3.11079
2021-11-13,1.81861
2021-11-14,2.72792
2021-11-15,7.56161
2021-11-16,5.52763
2021-11-17,4.85762
2021-11-18,4.37903
2021-11-19,3.82866
2021-11-20,2.82364
2021-11-21,2.39291
2021-11-22,3.11079
2021-11-23,1.86647
2021-11-24,2.01005
2021-11-25,1.74682
2021-11-26,1.77075
2021-11-27,1.91433
2021-11-28,2.01005
2021-11-29,3.7808
2021-11-30,4.04402
2021-12-01,2.72792
2021-12-02,2.6322
2021-12-03,2.12969
2021-12-04,1.36396
2021-12-05,1.91433
2021-12-06,2.79971
2021-12-07,2.4647
2021-12-08,2.58435
2021-12-09,3.25436
2021-12-10,2.39291
2021-12-11,2.08183
2021-12-12,2.4647
2021-12-13,2.75185
2021-12-14,8.30342
2021-12-15,2.82364
2021-12-16,3.70902
2021-12-17,2.58435
2021-12-18,1.8904
2021-12-19,3.15865
2021-12-20,3.2065
2021-12-21,2.36898
2021-12-22,3.32615
2021-12-23,3.56544
2021-12-24,3.2065
2021-12-25,3.11079
2021-12-26,4.69011
2021-12-27,7.51375
2021-12-28,4.1876
2021-12-29,6.50873
2021-12-30,11.98851
2021-12-31,3.87652
2022-01-01,4.45082
2022-01-02,4.88155
2022-01-03,5.9105
2022-01-04,5.55156
2022-01-05,4.49868
2022-01-06,4.16367
2022-01-07,4.52261
2022-01-08,3.13472
2022-01-09,2.96721
2022-01-10,3.54151
2022-01-11,3.97224
2022-01-12,4.95333
2022-01-13,13.56783
2022-01-14,8.68628
2022-01-15,5.71907
2022-01-16,3.54151
2022-01-17,6.10193
2022-01-18,4.0201
2022-01-19,2.70399
2022-01-20,8.6145
2022-01-21,4.11581
2022-01-22,2.01005
2022-01-23,3.58937
2022-01-24,3.37401
2022-01-25,3.4458
2022-01-26,1.81861
2022-01-27,2.75185
