date,상속세신고기한
2021-09-03,40.3162
2021-09-04,22.52964
2021-09-05,22.52964
2021-09-06,39.92094
2021-09-07,46.64031
2021-09-08,37.5494
2021-09-09,48.6166
2021-09-10,28.06324
2021-09-11,26.87747
2021-09-12,26.48221
2021-09-13,41.50197
2021-09-14,45.05928
2021-09-15,33.99209
2021-09-16,35.17786
2021-09-17,27.66798
2021-09-18,21.73913
2021-09-19,20.1581
2021-09-20,18.57707
2021-09-21,27.66798
2021-09-22,32.01581
2021-09-23,55.33596
2021-09-24,45.05928
2021-09-25,26.48221
2021-09-26,27.27272
2021-09-27,50.19762
2021-09-28,56.52173
2021-09-29,42.29249
2021-09-30,39.52569
2021-10-01,23.71541
2021-10-02,14.22924
2021-10-03,20.1581
2021-10-04,29.64426
2021-10-05,22.52964
2021-10-06,38.73517
2021-10-07,39.52569
2021-10-08,17.3913
2021-10-09,22.52964
2021-10-10,23.32015
2021-10-11,26.48221
2021-10-12,46.24505
2021-10-13,40.3162
2021-10-14,33.99209
2021-10-15,28.45849
2021-10-16,16.20553
2021-10-17,20.94861
2021-10-18,47.43083
2021-10-19,38.73517
2021-10-20,45.8498
2021-10-21,43.87351
2021-10-22,40.3162
2021-10-23,17.78656
2021-10-24,26.08695
2021-10-25,54.15019
2021-10-26,41.10671
2021-10-27,43.47826
2021-10-28,47.82608
2021-10-29,47.43083
2021-10-30,28.06324
2021-10-31,31.22529
2021-11-01,45.45454
2021-11-02,33.59683
2021-11-03,34.7826
2021-11-04,31.62055
2021-11-05,37.94466
2021-11-06,21.34387
2021-11-07,20.94861
2021-11-08,44.66403
2021-11-09,49.01185
2021-11-10,34.38735
2021-11-11,39.13043
2021-11-12,31.22529
2021-11-13,20.94861
2021-11-14,18.97233
2021-11-15,52.96442
2021-11-16,35.57312
2021-11-17,45.8498
2021-11-18,43.47826
2021-11-19,36.75889
2021-11-20,25.69169
2021-11-21,28.06324
2021-11-22,58.49802
2021-11-23,48.22134
2021-11-24,49.40711
2021-11-25,45.45454
2021-11-26,38.73517
2021-11-27,34.38735
2021-11-28,26.87747
2021-11-29,41.10671
2021-11-30,43.083
2021-12-01,55.73122
2021-12-02,44.26877
2021-12-03,33.59683
2021-12-04,33.20158
2021-12-05,26.87747
2021-12-06,51.38339
2021-12-07,50.98814
2021-12-08,39.92094
2021-12-09,34.7826
2021-12-10,41.50197
2021-12-11,26.87747
2021-12-12,29.64426
2021-12-13,46.24505
2021-12-14,49.40711
2021-12-15,46.64031
2021-12-16,50.19762
2021-12-17,36.75889
2021-12-18,23.32015
2021-12-19,22.52964
2021-12-20,60.86956
2021-12-21,49.01185
2021-12-22,42.29249
2021-12-23,39.13043
2021-12-24,26.48221
2021-12-25,17.3913
2021-12-26,18.57707
2021-12-27,45.05928
2021-12-28,46.24505
2021-12-29,40.3162
2021-12-30,42.68774
2021-12-31,40.3162
2022-01-01,17.78656
2022-01-02,24.90118
2022-01-03,41.89723
2022-01-04,42.29249
2022-01-05,36.75889
2022-01-06,44.66403
2022-01-07,40.71146
2022-01-08,24.90118
2022-01-09,37.94466
2022-01-10,47.43083
2022-01-11,37.5494
2022-01-12,52.17391
2022-01-13,46.64031
2022-01-14,43.87351
2022-01-15,39.13043
2022-01-16,28.06324
2022-01-17,49.40711
2022-01-18,43.87351
2022-01-19,47.43083
2022-01-20,46.24505
2022-01-21,43.083
2022-01-22,30.43478
2022-01-23,27.27272
2022-01-24,53.75494
2022-01-25,42.29249
2022-01-26,43.87351
2022-01-27,45.45454
2022-01-28,29.64426
2022-01-29,24.50592
2022-01-30,20.94861
2022-01-31,26.87747
2022-02-01,28.85375
2022-02-02,32.41106
2022-02-03,63.63636
2022-02-04,49.40711
2022-02-05,33.99209
2022-02-06,29.64426
2022-02-07,54.54545
2022-02-08,42.29249
2022-02-09,52.56916
2022-02-10,44.26877
2022-02-11,43.47826
2022-02-12,27.27272
2022-02-13,26.87747
2022-02-14,53.35968
2022-02-15,45.8498
2022-02-16,42.29249
2022-02-17,51.77865
2022-02-18,41.50197
2022-02-19,34.38735
2022-02-20,32.80632
2022-02-21,48.22134
2022-02-22,54.94071
2022-02-23,43.87351
2022-02-24,50.98814
2022-02-25,39.52569
2022-02-26,27.27272
2022-02-27,21.73913
2022-02-28,42.68774
2022-03-01,32.01581
2022-03-02,52.17391
2022-03-03,46.24505
2022-03-04,40.3162
2022-03-05,35.57312
2022-03-06,25.29644
2022-03-07,45.45454
2022-03-08,42.68774
2022-03-09,28.45849
2022-03-10,45.05928
2022-03-11,44.26877
2022-03-12,28.06324
2022-03-13,33.59683
2022-03-14,53.35968
2022-03-15,54.54545
2022-03-16,42.68774
2022-03-17,50.98814
2022-03-18,50.19762
2022-03-19,32.01581
2022-03-20,37.94466
2022-03-21,69.16996
2022-03-22,60.07905
2022-03-23,49.80237
2022-03-24,49.80237
2022-03-25,50.98814
2022-03-26,33.20158
2022-03-27,43.083
2022-03-28,55.73122
2022-03-29,52.96442
2022-03-30,53.75494
2022-03-31,50.19762
2022-04-01,44.66403
2022-04-02,30.03952
2022-04-03,32.01581
2022-04-04,55.73122
2022-04-05,48.22134
2022-04-06,54.94071
2022-04-07,47.43083
2022-04-08,43.47826
2022-04-09,33.99209
2022-04-10,35.17786
2022-04-11,62.45059
2022-04-12,60.86956
2022-04-13,62.45059
2022-04-14,47.03557
2022-04-15,53.35968
2022-04-16,34.38735
2022-04-17,29.24901
2022-04-18,64.82213
2022-04-19,71.5415
2022-04-20,55.73122
2022-04-21,60.07905
2022-04-22,54.94071
2022-04-23,30.43478
2022-04-24,32.80632
2022-04-25,59.68379
2022-04-26,74.3083
2022-04-27,61.66007
2022-04-28,58.10276
2022-04-29,58.10276
2022-04-30,48.6166
2022-05-01,39.52569
2022-05-02,71.14624
2022-05-03,57.31225
2022-05-04,57.31225
2022-05-05,38.73517
2022-05-06,47.43083
2022-05-07,28.85375
2022-05-08,41.89723
2022-05-09,75.49407
2022-05-10,53.75494
2022-05-11,78.26086
2022-05-12,58.10276
2022-05-13,47.43083
2022-05-14,33.99209
2022-05-15,32.41106
2022-05-16,61.26482
2022-05-17,63.63636
2022-05-18,63.2411
2022-05-19,62.45059
2022-05-20,55.33596
2022-05-21,39.13043
2022-05-22,31.22529
2022-05-23,62.84584
2022-05-24,52.96442
2022-05-25,62.05533
2022-05-26,65.61264
2022-05-27,64.82213
2022-05-28,43.87351
2022-05-29,42.68774
2022-05-30,79.84189
2022-05-31,51.77865
2022-06-01,38.73517
2022-06-02,47.43083
2022-06-03,54.15019
2022-06-04,39.13043
2022-06-05,23.71541
2022-06-06,33.99209
2022-06-07,56.12648
2022-06-08,66.79841
2022-06-09,56.91699
2022-06-10,53.35968
2022-06-11,39.92094
2022-06-12,33.99209
2022-06-13,56.91699
2022-06-14,63.2411
2022-06-15,50.59288
2022-06-16,58.10276
2022-06-17,43.083
2022-06-18,30.83003
2022-06-19,28.06324
2022-06-20,65.21739
2022-06-21,57.7075
2022-06-22,50.59288
2022-06-23,48.6166
2022-06-24,45.8498
2022-06-25,24.90118
2022-06-26,27.27272
2022-06-27,51.77865
2022-06-28,52.56916
2022-06-29,42.68774
2022-06-30,51.38339
2022-07-01,34.7826
2022-07-02,35.96837
2022-07-03,27.27272
2022-07-04,54.94071
2022-07-05,45.45454
2022-07-06,48.22134
2022-07-07,44.26877
2022-07-08,40.71146
2022-07-09,22.13438
2022-07-10,23.32015
2022-07-11,57.31225
2022-07-12,49.80237
2022-07-13,46.64031
2022-07-14,53.35968
2022-07-15,45.05928
2022-07-16,35.17786
2022-07-17,19.76284
2022-07-18,49.80237
2022-07-19,42.68774
2022-07-20,49.80237
2022-07-21,50.19762
2022-07-22,37.94466
2022-07-23,23.71541
2022-07-24,39.52569
2022-07-25,63.63636
2022-07-26,65.21739
2022-07-27,50.19762
2022-07-28,51.77865
2022-07-29,39.52569
2022-07-30,24.11067
2022-07-31,30.83003
2022-08-01,52.17391
2022-08-02,51.38339
2022-08-03,39.92094
2022-08-04,45.05928
