date,엔젤투자
2021-04-29,5.30331
2021-04-30,4.50209
2021-05-01,2.2892
2021-05-02,2.63258
2021-05-03,4.46394
2021-05-04,5.18885
2021-05-05,3.16673
2021-05-06,6.67684
2021-05-07,5.34147
2021-05-08,2.63258
2021-05-09,2.59442
2021-05-10,5.723
2021-05-11,4.69286
2021-05-12,5.11255
2021-05-13,5.57039
2021-05-14,4.50209
2021-05-15,2.3655
2021-05-16,3.16673
2021-05-17,4.61655
2021-05-18,4.38763
2021-05-19,2.67073
2021-05-20,4.69286
2021-05-21,5.07439
2021-05-22,2.63258
2021-05-23,2.09843
2021-05-24,4.99809
2021-05-25,5.57039
2021-05-26,6.63868
2021-05-27,5.95192
2021-05-28,5.18885
2021-05-29,3.24303
2021-05-30,2.55627
2021-05-31,4.54025
2021-06-01,5.18885
2021-06-02,5.60854
2021-06-03,5.87561
2021-06-04,5.30331
2021-06-05,3.51011
2021-06-06,3.58641
2021-06-07,5.57039
2021-06-08,4.80732
2021-06-09,5.53223
2021-06-10,4.80732
2021-06-11,4.88363
2021-06-12,3.12857
2021-06-13,2.47996
2021-06-14,4.99809
2021-06-15,5.07439
2021-06-16,4.95993
2021-06-17,7.24914
2021-06-18,5.26516
2021-06-19,2.17474
2021-06-20,2.02212
2021-06-21,4.0061
2021-06-22,5.99008
2021-06-23,10.2251
2021-06-24,4.61655
2021-06-25,4.27317
2021-06-26,1.98397
2021-06-27,2.82334
2021-06-28,4.0061
2021-06-29,4.5784
2021-06-30,5.30331
2021-07-01,4.88363
2021-07-02,5.68485
2021-07-03,1.7932
2021-07-04,1.83136
2021-07-05,4.73101
2021-07-06,4.54025
2021-07-07,4.54025
2021-07-08,4.99809
2021-07-09,3.92979
2021-07-10,2.67073
2021-07-11,1.90766
2021-07-12,4.69286
2021-07-13,4.34948
2021-07-14,5.64669
2021-07-15,4.88363
2021-07-16,5.07439
2021-07-17,3.16673
2021-07-18,2.74704
2021-07-19,4.46394
2021-07-20,4.50209
2021-07-21,5.49408
2021-07-22,4.0061
2021-07-23,4.38763
2021-07-24,2.06028
2021-07-25,2.59442
2021-07-26,3.96795
2021-07-27,4.69286
2021-07-28,3.81533
2021-07-29,3.85349
2021-07-30,3.96795
2021-07-31,1.94582
2021-08-01,2.40366
2021-08-02,3.89164
2021-08-03,4.65471
2021-08-04,4.84547
2021-08-05,5.76115
2021-08-06,3.66272
2021-08-07,2.40366
2021-08-08,3.70087
2021-08-09,5.22701
2021-08-10,4.80732
2021-08-11,5.79931
2021-08-12,6.10454
2021-08-13,3.85349
2021-08-14,2.78519
2021-08-15,2.97596
2021-08-16,2.74704
2021-08-17,5.76115
2021-08-18,4.76917
2021-08-19,5.26516
2021-08-20,3.70087
2021-08-21,2.63258
2021-08-22,2.9378
2021-08-23,5.37962
2021-08-24,5.07439
2021-08-25,5.64669
2021-08-26,5.1507
2021-08-27,4.42579
2021-08-28,2.59442
2021-08-29,3.62457
2021-08-30,4.92178
2021-08-31,7.28729
2021-09-01,6.14269
2021-09-02,5.49408
2021-09-03,4.61655
2021-09-04,2.44181
2021-09-05,3.62457
2021-09-06,6.10454
2021-09-07,6.14269
2021-09-08,4.46394
2021-09-09,4.65471
2021-09-10,4.31133
2021-09-11,2.55627
2021-09-12,2.97596
2021-09-13,4.80732
2021-09-14,6.219
2021-09-15,4.0061
2021-09-16,3.89164
2021-09-17,3.62457
2021-09-18,2.02212
2021-09-19,2.09843
2021-09-20,1.67874
2021-09-21,1.7932
2021-09-22,2.63258
2021-09-23,23.15909
2021-09-24,100.0
2021-09-25,34.10911
2021-09-26,25.5246
2021-09-27,13.92598
2021-09-28,8.08851
2021-09-29,8.05036
2021-09-30,6.94391
2021-10-01,5.76115
2021-10-02,2.63258
2021-10-03,3.85349
2021-10-04,5.79931
2021-10-05,6.219
2021-10-06,5.07439
2021-10-07,4.65471
2021-10-08,4.69286
2021-10-09,2.44181
2021-10-10,2.2892
2021-10-11,3.01411
2021-10-12,4.42579
2021-10-13,7.70698
2021-10-14,5.64669
2021-10-15,5.64669
2021-10-16,2.78519
2021-10-17,7.09652
2021-10-18,6.40976
2021-10-19,6.06638
2021-10-20,7.09652
2021-10-21,5.91377
2021-10-22,5.18885
2021-10-23,3.05227
2021-10-24,3.66272
2021-10-25,4.73101
2021-10-26,5.03624
2021-10-27,7.59252
2021-10-28,5.53223
2021-10-29,4.54025
2021-10-30,3.62457
2021-10-31,4.99809
2021-11-01,4.61655
2021-11-02,5.26516
2021-11-03,5.37962
2021-11-04,5.37962
2021-11-05,4.61655
2021-11-06,2.82334
2021-11-07,9.30942
2021-11-08,5.53223
2021-11-09,5.45593
2021-11-10,8.16482
2021-11-11,4.54025
2021-11-12,5.79931
2021-11-13,4.69286
2021-11-14,10.07249
2021-11-15,5.37962
2021-11-16,6.40976
2021-11-17,7.24914
2021-11-18,5.68485
2021-11-19,5.49408
2021-11-20,4.0061
2021-11-21,2.63258
2021-11-22,11.06447
2021-11-23,6.2953
2021-11-24,6.18084
