date,회사채금리
2021-04-28,4.43828
2021-04-29,5.13176
2021-04-30,5.68654
2021-05-01,2.63522
2021-05-02,3.05131
2021-05-03,5.54785
2021-05-04,4.85436
2021-05-05,3.88349
2021-05-06,4.29958
2021-05-07,4.43828
2021-05-08,4.99306
2021-05-09,3.4674
2021-05-10,5.96393
2021-05-11,6.51872
2021-05-12,7.3509
2021-05-13,5.27045
2021-05-14,5.68654
2021-05-15,4.16088
2021-05-16,2.08044
2021-05-17,4.99306
2021-05-18,7.76699
2021-05-19,2.77392
2021-05-20,6.38002
2021-05-21,6.65742
2021-05-22,3.4674
2021-05-23,4.02219
2021-05-24,6.24133
2021-05-25,4.43828
2021-05-26,6.79611
2021-05-27,7.76699
2021-05-28,5.27045
2021-05-29,2.91262
2021-05-30,2.63522
2021-05-31,6.38002
2021-06-01,4.99306
2021-06-02,6.38002
2021-06-03,6.10263
2021-06-04,4.85436
2021-06-05,2.49653
2021-06-06,2.49653
2021-06-07,3.19001
2021-06-08,2.91262
2021-06-09,5.96393
2021-06-10,4.99306
2021-06-11,3.32871
2021-06-12,1.66435
2021-06-13,2.49653
2021-06-14,4.02219
2021-06-15,3.88349
2021-06-16,6.79611
2021-06-17,10.54091
2021-06-18,8.59916
2021-06-19,4.43828
2021-06-20,3.32871
2021-06-21,6.65742
2021-06-22,4.85436
2021-06-23,6.24133
2021-06-24,4.71567
2021-06-25,6.93481
2021-06-26,2.91262
2021-06-27,3.19001
2021-06-28,6.38002
2021-06-29,6.38002
2021-06-30,3.32871
2021-07-01,4.43828
2021-07-02,4.71567
2021-07-03,2.35783
2021-07-04,1.66435
2021-07-05,7.2122
2021-07-06,6.38002
2021-07-07,5.27045
2021-07-08,4.16088
2021-07-09,4.16088
2021-07-10,1.10957
2021-07-11,2.21914
2021-07-12,6.24133
2021-07-13,5.13176
2021-07-14,5.96393
2021-07-15,3.19001
2021-07-16,4.29958
2021-07-17,3.05131
2021-07-18,2.49653
2021-07-19,5.68654
2021-07-20,4.85436
2021-07-21,4.57697
2021-07-22,6.38002
2021-07-23,4.29958
2021-07-24,0.97087
2021-07-25,1.80305
2021-07-26,4.71567
2021-07-27,3.6061
2021-07-28,4.85436
2021-07-29,5.13176
2021-07-30,3.19001
2021-07-31,0.97087
2021-08-01,1.10957
2021-08-02,3.6061
2021-08-03,6.51872
2021-08-04,4.99306
2021-08-05,5.13176
2021-08-06,4.29958
2021-08-07,3.32871
2021-08-08,1.38696
2021-08-09,6.10263
2021-08-10,5.40915
2021-08-11,6.10263
2021-08-12,4.16088
2021-08-13,4.16088
2021-08-14,1.66435
2021-08-15,1.80305
2021-08-16,2.08044
2021-08-17,5.54785
2021-08-18,5.54785
2021-08-19,5.54785
2021-08-20,4.57697
2021-08-21,3.19001
2021-08-22,2.77392
2021-08-23,5.27045
2021-08-24,5.68654
2021-08-25,4.02219
2021-08-26,10.54091
2021-08-27,5.82524
2021-08-28,3.88349
2021-08-29,1.38696
2021-08-30,6.51872
2021-08-31,7.3509
2021-09-01,5.27045
2021-09-02,6.38002
2021-09-03,8.32177
2021-09-04,3.74479
2021-09-05,2.08044
2021-09-06,5.96393
2021-09-07,6.93481
2021-09-08,7.62829
2021-09-09,4.16088
2021-09-10,5.54785
2021-09-11,2.49653
2021-09-12,2.08044
2021-09-13,6.10263
2021-09-14,5.96393
2021-09-15,6.24133
2021-09-16,5.54785
2021-09-17,2.63522
2021-09-18,3.32871
2021-09-19,0.83217
2021-09-20,3.6061
2021-09-21,2.21914
2021-09-22,3.74479
2021-09-23,6.65742
2021-09-24,3.88349
2021-09-25,2.49653
2021-09-26,3.05131
2021-09-27,4.71567
2021-09-28,3.88349
2021-09-29,5.27045
2021-09-30,6.65742
2021-10-01,4.71567
2021-10-02,3.05131
2021-10-03,0.69348
2021-10-04,4.02219
2021-10-05,6.24133
2021-10-06,6.10263
2021-10-07,6.51872
2021-10-08,5.13176
2021-10-09,3.05131
2021-10-10,2.21914
2021-10-11,3.6061
2021-10-12,5.54785
2021-10-13,6.79611
2021-10-14,5.68654
2021-10-15,5.40915
2021-10-16,2.49653
2021-10-17,3.74479
2021-10-18,5.13176
2021-10-19,6.10263
2021-10-20,5.68654
2021-10-21,5.54785
2021-10-22,5.54785
2021-10-23,1.24826
2021-10-24,3.32871
2021-10-25,4.02219
2021-10-26,4.43828
2021-10-27,5.96393
2021-10-28,6.24133
2021-10-29,7.90568
2021-10-30,1.80305
2021-10-31,2.49653
2021-11-01,4.99306
2021-11-02,7.0735
2021-11-03,9.15395
2021-11-04,5.82524
2021-11-05,6.10263
2021-11-06,1.52565
2021-11-07,3.4674
2021-11-08,6.24133
2021-11-09,6.65742
2021-11-10,6.65742
2021-11-11,5.27045
2021-11-12,4.57697
2021-11-13,2.63522
2021-11-14,2.91262
2021-11-15,5.54785
2021-11-16,4.85436
2021-11-17,4.43828
2021-11-18,6.24133
2021-11-19,3.88349
2021-11-20,2.08044
2021-11-21,2.08044
2021-11-22,4.43828
2021-11-23,6.93481
2021-11-24,6.51872
2021-11-25,9.29264
2021-11-26,5.13176
2021-11-27,1.94174
2021-11-28,2.21914
2021-11-29,6.79611
2021-11-30,5.54785
2021-12-01,7.3509
2021-12-02,4.85436
2021-12-03,5.13176
2021-12-04,1.24826
2021-12-05,4.16088
2021-12-06,4.71567
2021-12-07,4.71567
2021-12-08,4.99306
2021-12-09,5.27045
2021-12-10,4.16088
2021-12-11,1.94174
2021-12-12,1.10957
2021-12-13,3.74479
2021-12-14,4.16088
2021-12-15,3.6061
2021-12-16,5.54785
2021-12-17,4.57697
2021-12-18,2.08044
2021-12-19,1.94174
2021-12-20,3.74479
2021-12-21,5.13176
2021-12-22,5.27045
2021-12-23,4.29958
2021-12-24,2.08044
2021-12-25,0.69348
2021-12-26,0.97087
2021-12-27,2.91262
2021-12-28,2.49653
2021-12-29,2.91262
2021-12-30,4.57697
2021-12-31,2.91262
2022-01-01,1.10957
2022-01-02,1.52565
2022-01-03,5.54785
2022-01-04,4.29958
2022-01-05,3.32871
2022-01-06,6.10263
2022-01-07,3.4674
2022-01-08,2.08044
2022-01-09,3.4674
