date,KB손해보험다이렉트
2021-06-05,14.84098
2021-06-06,15.63604
2021-06-07,39.57597
2021-06-08,36.48409
2021-06-09,36.92579
2021-06-10,30.47703
2021-06-11,33.83392
2021-06-12,17.04946
2021-06-13,16.96113
2021-06-14,41.16607
2021-06-15,37.10247
2021-06-16,38.0742
2021-06-17,46.81978
2021-06-18,40.28268
2021-06-19,14.92932
2021-06-20,17.1378
2021-06-21,43.99293
2021-06-22,46.73144
2021-06-23,43.28621
2021-06-24,40.90106
2021-06-25,39.66431
2021-06-26,20.14134
2021-06-27,19.69964
2021-06-28,51.32508
2021-06-29,63.33922
2021-06-30,98.93992
2021-07-01,40.98939
2021-07-02,37.27915
2021-07-03,19.25795
2021-07-04,18.37455
2021-07-05,43.90459
2021-07-06,40.72438
2021-07-07,35.24734
2021-07-08,36.48409
2021-07-09,35.95406
2021-07-10,18.10954
2021-07-11,17.66784
2021-07-12,42.49116
2021-07-13,38.16254
2021-07-14,37.45583
2021-07-15,37.45583
2021-07-16,34.18727
2021-07-17,18.10954
2021-07-18,18.10954
2021-07-19,41.69611
2021-07-20,39.75265
2021-07-21,38.95759
2021-07-22,37.6325
2021-07-23,36.92579
2021-07-24,18.72791
2021-07-25,17.1378
2021-07-26,48.76325
2021-07-27,39.75265
2021-07-28,37.89752
2021-07-29,40.98939
2021-07-30,38.86925
2021-07-31,17.22614
2021-08-01,20.58303
2021-08-02,47.34982
2021-08-03,39.57597
2021-08-04,36.0424
2021-08-05,36.92579
2021-08-06,34.89399
2021-08-07,18.28621
2021-08-08,16.78445
2021-08-09,45.75971
2021-08-10,40.01766
2021-08-11,37.01413
2021-08-12,37.36749
2021-08-13,37.36749
2021-08-14,20.58303
2021-08-15,17.22614
2021-08-16,25.97173
2021-08-17,46.20141
2021-08-18,42.22614
2021-08-19,42.49116
2021-08-20,41.07773
2021-08-21,19.69964
2021-08-22,16.87279
2021-08-23,48.58657
2021-08-24,38.0742
2021-08-25,37.80918
2021-08-26,42.04946
2021-08-27,38.69257
2021-08-28,17.1378
2021-08-29,16.69611
2021-08-30,45.49469
2021-08-31,40.72438
2021-09-01,37.80918
2021-09-02,40.63604
2021-09-03,39.04593
2021-09-04,18.37455
2021-09-05,19.78798
2021-09-06,45.40636
2021-09-07,42.1378
2021-09-08,43.99293
2021-09-09,37.10247
2021-09-10,35.86572
2021-09-11,19.43462
2021-09-12,17.49116
2021-09-13,47.79151
2021-09-14,42.1378
2021-09-15,36.0424
2021-09-16,36.0424
2021-09-17,38.0742
2021-09-18,21.6431
2021-09-19,14.66431
2021-09-20,17.31448
2021-09-21,16.51943
2021-09-22,17.66784
2021-09-23,47.5265
2021-09-24,42.31448
2021-09-25,19.78798
2021-09-26,18.72791
2021-09-27,46.81978
2021-09-28,39.31095
2021-09-29,35.07067
2021-09-30,43.72791
2021-10-01,39.39929
2021-10-02,22.34982
2021-10-03,16.16607
2021-10-04,23.76325
2021-10-05,48.76325
2021-10-06,43.55123
2021-10-07,42.5795
2021-10-08,39.39929
2021-10-09,20.22968
2021-10-10,18.0212
2021-10-11,27.73851
2021-10-12,48.85159
2021-10-13,42.49116
2021-10-14,41.43109
2021-10-15,35.68904
2021-10-16,19.43462
2021-10-17,20.053
2021-10-18,45.93639
2021-10-19,40.19434
2021-10-20,38.86925
2021-10-21,40.5477
2021-10-22,37.6325
