date,병원예약어플
2022-09-28,18.05555
2022-09-29,20.67901
2022-09-30,13.88888
2022-10-01,15.12345
2022-10-02,10.49382
2022-10-03,14.19753
2022-10-04,26.23456
2022-10-05,24.69135
2022-10-06,21.45061
2022-10-07,22.99382
2022-10-08,21.45061
2022-10-09,12.5
2022-10-10,21.91358
2022-10-11,32.87037
2022-10-12,25.30864
2022-10-13,19.29012
2022-10-14,28.85802
2022-10-15,23.76543
2022-10-16,14.35185
2022-10-17,31.01851
2022-10-18,20.83333
2022-10-19,20.21604
2022-10-20,21.45061
2022-10-21,24.69135
2022-10-22,24.53703
2022-10-23,12.5
2022-10-24,27.62345
2022-10-25,24.07407
2022-10-26,15.74074
2022-10-27,20.52469
2022-10-28,19.59876
2022-10-29,20.52469
2022-10-30,6.94444
2022-10-31,25.0
2022-11-01,19.29012
2022-11-02,20.52469
2022-11-03,21.45061
2022-11-04,22.0679
2022-11-05,20.06172
2022-11-06,12.03703
2022-11-07,31.6358
2022-11-08,20.67901
2022-11-09,17.12962
2022-11-10,20.21604
2022-11-11,16.9753
2022-11-12,18.20987
2022-11-13,13.2716
2022-11-14,25.7716
2022-11-15,18.82716
2022-11-16,20.06172
2022-11-17,16.2037
2022-11-18,18.98148
2022-11-19,16.82098
2022-11-20,12.03703
2022-11-21,21.45061
2022-11-22,19.9074
2022-11-23,20.98765
2022-11-24,21.29629
2022-11-25,19.9074
2022-11-26,14.66049
2022-11-27,10.49382
2022-11-28,25.0
2022-11-29,20.52469
2022-11-30,16.51234
2022-12-01,18.67283
2022-12-02,18.67283
2022-12-03,16.2037
2022-12-04,14.81481
2022-12-05,29.62962
2022-12-06,15.58641
2022-12-07,19.59876
2022-12-08,21.45061
2022-12-09,22.22222
2022-12-10,23.14814
2022-12-11,14.81481
2022-12-12,36.72839
2022-12-13,23.61111
2022-12-14,22.99382
2022-12-15,22.0679
2022-12-16,24.69135
2022-12-17,21.91358
2022-12-18,17.90123
2022-12-19,37.65432
2022-12-20,30.86419
2022-12-21,27.31481
2022-12-22,27.62345
2022-12-23,23.14814
2022-12-24,26.69753
2022-12-25,18.05555
2022-12-26,39.81481
2022-12-27,34.25925
2022-12-28,34.5679
2022-12-29,29.32098
2022-12-30,29.62962
2022-12-31,23.91975
2023-01-01,16.35802
2023-01-02,34.72222
2023-01-03,27.93209
2023-01-04,19.75308
2023-01-05,20.67901
2023-01-06,22.8395
2023-01-07,18.67283
2023-01-08,14.19753
2023-01-09,30.86419
2023-01-10,19.29012
2023-01-11,21.14197
2023-01-12,18.05555
2023-01-13,16.82098
2023-01-14,16.35802
2023-01-15,14.0432
2023-01-16,24.84567
2023-01-17,13.2716
2023-01-18,16.66666
2023-01-19,15.43209
2023-01-20,17.28395
2023-01-21,10.49382
2023-01-22,6.48148
2023-01-23,13.11728
2023-01-24,25.30864
2023-01-25,26.08024
2023-01-26,20.98765
2023-01-27,20.67901
2023-01-28,18.36419
2023-01-29,12.5
2023-01-30,27.93209
2023-01-31,17.59259
2023-02-01,17.74691
2023-02-02,14.96913
2023-02-03,15.12345
2023-02-04,14.50617
2023-02-05,7.4074
2023-02-06,22.8395
2023-02-07,16.04938
2023-02-08,17.12962
2023-02-09,16.51234
2023-02-10,19.29012
2023-02-11,12.96296
2023-02-12,10.03086
2023-02-13,22.0679
2023-02-14,14.81481
2023-02-15,13.11728
2023-02-16,16.04938
2023-02-17,17.59259
2023-02-18,15.12345
2023-02-19,10.49382
2023-02-20,22.53086
2023-02-21,16.82098
2023-02-22,17.90123
2023-02-23,16.82098
2023-02-24,17.90123
2023-02-25,15.43209
2023-02-26,11.88271
2023-02-27,22.0679
2023-02-28,15.58641
2023-03-01,11.57407
2023-03-02,19.29012
2023-03-03,18.36419
2023-03-04,16.51234
2023-03-05,7.56172
2023-03-06,23.30246
2023-03-07,14.35185
2023-03-08,12.65432
2023-03-09,16.9753
2023-03-10,18.05555
2023-03-11,16.2037
2023-03-12,10.3395
2023-03-13,25.61728
2023-03-14,18.67283
2023-03-15,19.1358
2023-03-16,16.9753
2023-03-17,22.53086
2023-03-18,21.14197
2023-03-19,11.72839
2023-03-20,26.08024
2023-03-21,26.69753
2023-03-22,20.37037
2023-03-23,22.0679
2023-03-24,22.8395
2023-03-25,22.8395
2023-03-26,17.59259
2023-03-27,32.4074
2023-03-28,22.8395
2023-03-29,26.69753
2023-03-30,25.46296
2023-03-31,26.85185
2023-04-01,27.00617
2023-04-02,16.04938
2023-04-03,39.96913
2023-04-04,27.93209
2023-04-05,25.30864
2023-04-06,26.85185
2023-04-07,28.85802
2023-04-08,28.24074
2023-04-09,17.59259
2023-04-10,39.81481
2023-04-11,33.48765
2023-04-12,28.54938
2023-04-13,29.32098
2023-04-14,31.48148
2023-04-15,33.02469
2023-04-16,21.60493
2023-04-17,40.89506
2023-04-18,33.95061
2023-04-19,28.24074
2023-04-20,30.24691
2023-04-21,32.25308
2023-04-22,33.48765
2023-04-23,18.67283
2023-04-24,46.91358
2023-04-25,31.94444
2023-04-26,26.85185
2023-04-27,32.56172
2023-04-28,30.40123
2023-04-29,30.86419
2023-04-30,16.66666
2023-05-01,49.07407
2023-05-02,37.03703
2023-05-03,28.39506
2023-05-04,27.46913
2023-05-05,22.53086
2023-05-06,27.31481
2023-05-07,20.37037
2023-05-08,45.21604
2023-05-09,32.87037
2023-05-10,27.77777
2023-05-11,26.85185
2023-05-12,29.93827
2023-05-13,27.93209
2023-05-14,21.91358
2023-05-15,48.91975
2023-05-16,28.54938
2023-05-17,28.85802
2023-05-18,28.08641
2023-05-19,25.7716
2023-05-20,23.45679
2023-05-21,13.88888
2023-05-22,35.64814
2023-05-23,29.01234
2023-05-24,24.84567
2023-05-25,24.84567
2023-05-26,27.00617
2023-05-27,21.91358
2023-05-28,14.35185
