date,주식종목
2022-01-06,16.05415
2022-01-07,13.82978
2022-01-08,8.2205
2022-01-09,10.44487
2022-01-10,17.98839
2022-01-11,15.57059
2022-01-12,18.0851
2022-01-13,19.05222
2022-01-14,14.7969
2022-01-15,9.38104
2022-01-16,13.92649
2022-01-17,14.70019
2022-01-18,14.99032
2022-01-19,16.82785
2022-01-20,16.92456
2022-01-21,17.40812
2022-01-22,9.57446
2022-01-23,10.25145
2022-01-24,15.08704
2022-01-25,14.02321
2022-01-26,15.08704
2022-01-27,20.69632
2022-01-28,19.24564
2022-01-29,7.64023
2022-01-30,7.05996
2022-01-31,12.18568
2022-02-01,18.56866
2022-02-02,14.31334
2022-02-03,22.147
2022-02-04,21.3733
2022-02-05,11.02514
2022-02-06,11.99226
2022-02-07,19.82591
2022-02-08,16.63442
2022-02-09,17.89168
2022-02-10,19.14893
2022-02-11,16.441
2022-02-12,9.28433
2022-02-13,8.99419
2022-02-14,11.31528
2022-02-15,12.86266
2022-02-16,14.89361
2022-02-17,17.60154
2022-02-18,13.73307
2022-02-19,8.31721
2022-02-20,8.89748
2022-02-21,12.28239
2022-02-22,13.53965
2022-02-23,13.24951
2022-02-24,17.79497
2022-02-25,16.34429
2022-02-26,9.18762
2022-02-27,7.4468
2022-02-28,11.41199
2022-03-01,9.47775
2022-03-02,13.63636
2022-03-03,15.18375
2022-03-04,13.53965
2022-03-05,8.89748
2022-03-06,5.31914
2022-03-07,11.79883
2022-03-08,10.54158
2022-03-09,8.12379
2022-03-10,12.08897
2022-03-11,11.89555
2022-03-12,8.70406
2022-03-13,8.80077
2022-03-14,11.99226
2022-03-15,11.99226
2022-03-16,12.76595
2022-03-17,15.47388
2022-03-18,17.89168
2022-03-19,10.735
2022-03-20,8.12379
2022-03-21,17.60154
2022-03-22,17.79497
2022-03-23,19.53578
2022-03-24,16.441
2022-03-25,16.24758
2022-03-26,9.0909
2022-03-27,9.28433
2022-03-28,14.21663
2022-03-29,19.7292
2022-03-30,18.47195
2022-03-31,18.0851
2022-04-01,14.11992
2022-04-02,7.73694
2022-04-03,7.73694
2022-04-04,13.53965
2022-04-05,14.70019
2022-04-06,15.66731
2022-04-07,14.50676
2022-04-08,11.02514
2022-04-09,5.51257
2022-04-10,6.96324
2022-04-11,11.02514
2022-04-12,10.15473
2022-04-13,13.24951
2022-04-14,12.76595
2022-04-15,14.60348
2022-04-16,6.09284
2022-04-17,6.5764
2022-04-18,13.05609
2022-04-19,15.28046
2022-04-20,15.86073
2022-04-21,12.47582
2022-04-22,15.08704
2022-04-23,8.02707
2022-04-24,7.64023
2022-04-25,13.92649
2022-04-26,12.95938
2022-04-27,13.34622
2022-04-28,9.38104
2022-04-29,11.31528
2022-04-30,7.64023
2022-05-01,8.99419
2022-05-02,10.15473
2022-05-03,12.76595
2022-05-04,11.79883
2022-05-05,6.18955
2022-05-06,11.21856
2022-05-07,4.64216
2022-05-08,5.8027
2022-05-09,11.02514
2022-05-10,12.18568
2022-05-11,13.92649
2022-05-12,12.95938
2022-05-13,8.31721
2022-05-14,5.02901
2022-05-15,5.41586
2022-05-16,11.70212
2022-05-17,11.5087
2022-05-18,10.54158
2022-05-19,9.8646
2022-05-20,9.96131
2022-05-21,6.09284
2022-05-22,5.51257
2022-05-23,7.93036
2022-05-24,9.47775
2022-05-25,11.79883
2022-05-26,10.34816
2022-05-27,6.96324
2022-05-28,4.35203
2022-05-29,6.47969
2022-05-30,8.60735
2022-05-31,10.25145
2022-06-01,6.28626
2022-06-02,9.0909
2022-06-03,8.80077
2022-06-04,5.02901
2022-06-05,8.31721
2022-06-06,7.25338
2022-06-07,9.57446
2022-06-08,11.5087
2022-06-09,8.41392
2022-06-10,9.96131
2022-06-11,5.89941
2022-06-12,6.38297
2022-06-13,12.66924
2022-06-14,12.95938
2022-06-15,15.08704
2022-06-16,12.18568
2022-06-17,9.18762
2022-06-18,5.99613
2022-06-19,6.18955
2022-06-20,9.67117
2022-06-21,10.44487
2022-06-22,10.83172
2022-06-23,9.8646
2022-06-24,11.89555
2022-06-25,8.2205
2022-06-26,6.76982
2022-06-27,11.5087
2022-06-28,9.8646
2022-06-29,11.70212
2022-06-30,9.8646
2022-07-01,10.05802
2022-07-02,4.73887
2022-07-03,6.5764
2022-07-04,10.63829
2022-07-05,10.54158
2022-07-06,11.21856
2022-07-07,11.21856
2022-07-08,10.25145
2022-07-09,4.1586
2022-07-10,6.96324
2022-07-11,9.28433
2022-07-12,9.8646
2022-07-13,11.41199
2022-07-14,7.64023
2022-07-15,9.28433
2022-07-16,4.25531
2022-07-17,5.02901
2022-07-18,8.89748
2022-07-19,11.79883
2022-07-20,9.67117
2022-07-21,11.31528
2022-07-22,9.47775
2022-07-23,4.9323
2022-07-24,5.12572
2022-07-25,8.51063
2022-07-26,8.89748
2022-07-27,9.57446
2022-07-28,9.76789
2022-07-29,11.02514
2022-07-30,6.28626
2022-07-31,5.8027
2022-08-01,12.28239
2022-08-02,10.05802
2022-08-03,12.08897
2022-08-04,11.02514
2022-08-05,11.12185
2022-08-06,5.41586
2022-08-07,6.28626
2022-08-08,12.37911
2022-08-09,13.05609
2022-08-10,10.54158
2022-08-11,12.18568
2022-08-12,8.60735
2022-08-13,5.99613
2022-08-14,5.99613
2022-08-15,5.41586
2022-08-16,12.66924
2022-08-17,12.08897
2022-08-18,9.18762
2022-08-19,9.8646
2022-08-20,5.41586
2022-08-21,5.12572
2022-08-22,9.96131
2022-08-23,10.54158
2022-08-24,12.66924
2022-08-25,12.95938
2022-08-26,10.63829
2022-08-27,5.70599
2022-08-28,4.83558
2022-08-29,8.41392
2022-08-30,7.93036
2022-08-31,7.93036
2022-09-01,9.0909
2022-09-02,7.73694
2022-09-03,3.57833
2022-09-04,5.22243
2022-09-05,10.63829
2022-09-06,9.18762
2022-09-07,8.60735
2022-09-08,8.2205
2022-09-09,5.02901
2022-09-10,5.12572
2022-09-11,3.2882
2022-09-12,5.02901
2022-09-13,13.53965
2022-09-14,11.60541
2022-09-15,12.76595
2022-09-16,9.76789
2022-09-17,7.64023
2022-09-18,5.41586
2022-09-19,11.31528
2022-09-20,10.44487
2022-09-21,13.53965
2022-09-22,10.05802
2022-09-23,8.41392
2022-09-24,3.38491
2022-09-25,4.54545
2022-09-26,11.02514
2022-09-27,10.63829
2022-09-28,10.735
2022-09-29,8.51063
2022-09-30,7.05996
2022-10-01,3.57833
2022-10-02,5.41586
2022-10-03,5.02901
2022-10-04,7.4468
2022-10-05,6.67311
2022-10-06,8.70406
2022-10-07,8.80077
2022-10-08,4.35203
2022-10-09,4.44874
2022-10-10,4.9323
2022-10-11,8.80077
2022-10-12,8.02707
2022-10-13,8.12379
2022-10-14,9.28433
2022-10-15,3.38491
2022-10-16,5.51257
2022-10-17,8.89748
2022-10-18,9.38104
2022-10-19,10.15473
2022-10-20,11.21856
2022-10-21,7.25338
2022-10-22,2.99806
2022-10-23,4.44874
2022-10-24,7.15667
2022-10-25,9.18762
2022-10-26,8.89748
2022-10-27,10.25145
2022-10-28,7.25338
2022-10-29,2.22437
2022-10-30,5.02901
2022-10-31,7.15667
2022-11-01,11.41199
2022-11-02,9.38104
2022-11-03,9.8646
2022-11-04,8.41392
2022-11-05,3.09477
2022-11-06,3.09477
2022-11-07,7.4468
2022-11-08,8.99419
2022-11-09,9.0909
2022-11-10,9.67117
2022-11-11,12.18568
2022-11-12,6.86653
2022-11-13,4.9323
2022-11-14,10.15473
2022-11-15,11.60541
2022-11-16,11.60541
2022-11-17,6.18955
2022-11-18,8.02707
2022-11-19,4.64216
2022-11-20,4.9323
2022-11-21,9.0909
2022-11-22,9.8646
2022-11-23,9.96131
2022-11-24,8.41392
2022-11-25,7.35009
2022-11-26,3.96518
2022-11-27,4.9323
2022-11-28,6.18955
2022-11-29,9.18762
