date,SOFRETF
2023-07-22,3.66552
2023-07-23,4.23825
2023-07-24,31.72966
2023-07-25,22.22222
2023-07-26,10.76746
2023-07-27,9.50744
2023-07-28,8.59106
2023-07-29,7.90378
2023-07-30,11.68384
2023-07-31,35.05154
2023-08-01,36.76975
2023-08-02,36.65521
2023-08-03,28.98052
2023-08-04,23.59679
2023-08-05,17.64032
2023-08-06,18.67124
2023-08-07,14.31844
2023-08-08,15.23482
2023-08-09,12.82932
2023-08-10,7.90378
2023-08-11,6.18556
2023-08-12,6.98739
2023-08-13,10.65292
2023-08-14,7.67468
2023-08-15,7.90378
2023-08-16,26.68957
2023-08-17,14.20389
2023-08-18,10.99656
2023-08-19,25.88774
2023-08-20,15.57846
2023-08-21,10.53837
2023-08-22,11.68384
2023-08-23,32.64604
2023-08-24,16.72394
2023-08-25,11.91294
2023-08-26,10.19473
2023-08-27,8.13287
2023-08-28,9.96563
2023-08-29,18.09851
2023-08-30,19.70217
2023-08-31,41.12256
2023-09-01,24.51317
2023-09-02,18.21305
2023-09-03,19.35853
2023-09-04,16.38029
2023-09-05,14.31844
2023-09-06,10.65292
2023-09-07,10.88201
2023-09-08,10.30927
2023-09-09,10.65292
2023-09-10,10.08018
2023-09-11,11.22565
2023-09-12,19.01489
2023-09-13,18.09851
2023-09-14,16.38029
2023-09-15,12.82932
2023-09-16,8.24742
2023-09-17,14.31844
2023-09-18,12.60022
2023-09-19,8.82016
2023-09-20,9.62199
2023-09-21,6.7583
2023-09-22,7.10194
2023-09-23,4.12371
2023-09-24,4.12371
2023-09-25,9.62199
2023-09-26,8.9347
2023-09-27,9.1638
2023-09-28,6.87285
2023-09-29,5.38373
2023-09-30,8.47651
2023-10-01,4.5819
2023-10-02,5.84192
2023-10-03,6.41466
2023-10-04,13.5166
2023-10-05,12.48568
2023-10-06,10.42382
2023-10-07,3.78006
2023-10-08,4.12371
2023-10-09,4.69644
2023-10-10,8.36197
2023-10-11,8.47651
2023-10-12,6.07101
2023-10-13,5.72737
2023-10-14,5.61282
2023-10-15,5.61282
2023-10-16,6.5292
2023-10-17,6.7583
2023-10-18,10.99656
2023-10-19,11.22565
2023-10-20,13.05841
2023-10-21,17.75486
2023-10-22,14.08934
2023-10-23,11.5693
2023-10-24,17.98396
2023-10-25,13.63115
2023-10-26,10.42382
2023-10-27,7.10194
2023-10-28,4.5819
2023-10-29,3.32187
2023-10-30,7.56013
2023-10-31,22.10767
2023-11-01,7.78923
2023-11-02,6.98739
2023-11-03,5.72737
2023-11-04,6.98739
2023-11-05,9.50744
2023-11-06,7.90378
2023-11-07,6.7583
2023-11-08,5.84192
2023-11-09,6.87285
2023-11-10,8.9347
2023-11-11,4.00916
2023-11-12,3.55097
2023-11-13,10.65292
2023-11-14,15.46391
2023-11-15,15.46391
2023-11-16,11.68384
2023-11-17,8.36197
2023-11-18,6.07101
2023-11-19,5.84192
2023-11-20,6.64375
2023-11-21,3.66552
2023-11-22,6.07101
2023-11-23,4.81099
2023-11-24,5.49828
2023-11-25,5.61282
2023-11-26,5.15463
2023-11-27,6.07101
2023-11-28,5.04009
2023-11-29,4.3528
2023-11-30,7.10194
2023-12-01,8.70561
2023-12-02,3.89461
2023-12-03,13.17296
2023-12-04,10.76746
2023-12-05,9.62199
2023-12-06,10.30927
2023-12-07,12.60022
2023-12-08,18.44215
2023-12-09,8.82016
2023-12-10,8.82016
2023-12-11,17.41122
2023-12-12,16.49484
2023-12-13,13.28751
2023-12-14,12.71477
2023-12-15,6.64375
2023-12-16,4.46735
2023-12-17,6.64375
2023-12-18,6.7583
2023-12-19,5.49828
2023-12-20,6.5292
2023-12-21,3.55097
2023-12-22,4.81099
2023-12-23,4.23825
2023-12-24,2.97823
2023-12-25,3.89461
2023-12-26,51.20274
2023-12-27,100.0
2023-12-28,55.21191
2023-12-29,62.88659
2023-12-30,36.99885
2023-12-31,32.64604
2024-01-01,54.41008
2024-01-02,39.5189
2024-01-03,24.16953
2024-01-04,20.61855
2024-01-05,13.86025
2024-01-06,18.44215
2024-01-07,23.94043
2024-01-08,19.93127
2024-01-09,21.42038
2024-01-10,15.34936
2024-01-11,13.97479
2024-01-12,17.18213
2024-01-13,17.86941
2024-01-14,23.82588
2024-01-15,18.09851
2024-01-16,21.42038
2024-01-17,16.26575
2024-01-18,11.79839
2024-01-19,11.5693
2024-01-20,9.27835
2024-01-21,13.5166
2024-01-22,17.29667
2024-01-23,12.94387
2024-01-24,13.86025
2024-01-25,15.80756
2024-01-26,10.65292
2024-01-27,6.18556
2024-01-28,6.87285
2024-01-29,9.04925
2024-01-30,9.04925
2024-01-31,7.67468
2024-02-01,7.44558
2024-02-02,7.67468
2024-02-03,7.10194
2024-02-04,5.84192
2024-02-05,6.7583
2024-02-06,6.64375
2024-02-07,7.67468
2024-02-08,6.5292
2024-02-09,3.89461
2024-02-10,5.15463
2024-02-11,13.7457
2024-02-12,11.22565
2024-02-13,10.30927
2024-02-14,15.69301
2024-02-15,21.64948
2024-02-16,9.73654
2024-02-17,10.65292
2024-02-18,10.42382
2024-02-19,10.99656
2024-02-20,10.99656
2024-02-21,12.14203
2024-02-22,14.43298
2024-02-23,12.37113
2024-02-24,9.96563
2024-02-25,9.1638
2024-02-26,8.70561
2024-02-27,7.67468
2024-02-28,6.07101
2024-02-29,6.41466
2024-03-01,6.41466
2024-03-02,6.87285
2024-03-03,5.04009
2024-03-04,5.95647
2024-03-05,12.71477
2024-03-06,20.38946
2024-03-07,13.05841
2024-03-08,9.62199
2024-03-09,9.73654
2024-03-10,8.9347
2024-03-11,16.38029
2024-03-12,14.31844
2024-03-13,12.94387
2024-03-14,9.96563
2024-03-15,7.90378
2024-03-16,9.85108
2024-03-17,9.85108
2024-03-18,10.65292
2024-03-19,11.11111
2024-03-20,9.62199
