date,알트코인
2021-09-16,1.07901
2021-09-17,1.63061
2021-09-18,1.19272
2021-09-19,0.95804
2021-09-20,2.01529
2021-09-21,1.20723
2021-09-22,1.09836
2021-09-23,0.97014
2021-09-24,1.10078
2021-09-25,0.83466
2021-09-26,0.96288
2021-09-27,0.98708
2021-09-28,0.9895
2021-09-29,1.14917
2021-09-30,0.99433
2021-10-01,1.03788
2021-10-02,1.10078
2021-10-03,1.02578
2021-10-04,1.28949
2021-10-05,2.35157
2021-10-06,3.27333
2021-10-07,3.82251
2021-10-08,3.09914
2021-10-09,3.17172
2021-10-10,2.25238
2021-10-11,3.00479
2021-10-12,9.0942
2021-10-13,3.58058
2021-10-14,2.64915
2021-10-15,5.01524
2021-10-16,4.37412
2021-10-17,3.15236
2021-10-18,6.16925
2021-10-19,3.84671
2021-10-20,5.69265
2021-10-21,6.8394
2021-10-22,3.46446
2021-10-23,2.63463
2021-10-24,2.20641
2021-10-25,2.26447
2021-10-26,2.45318
2021-10-27,5.70474
2021-10-28,2.69511
2021-10-29,1.81932
2021-10-30,1.5919
2021-10-31,2.55721
2021-11-01,2.29109
2021-11-02,2.96366
2021-11-03,2.89108
2021-11-04,3.1693
2021-11-05,2.32496
2021-11-06,2.01287
2021-11-07,2.0298
2021-11-08,2.93221
2021-11-09,3.63623
2021-11-10,2.67334
2021-11-11,2.26447
2021-11-12,1.66448
2021-11-13,1.37901
2021-11-14,1.34997
2021-11-15,1.72981
2021-11-16,2.36851
2021-11-17,3.75719
2021-11-18,3.9967
2021-11-19,2.72414
2021-11-20,1.73948
2021-11-21,1.70561
2021-11-22,2.32496
2021-11-23,2.27173
2021-11-24,2.17254
2021-11-25,3.45962
2021-11-26,3.02414
2021-11-27,1.74432
2021-11-28,2.03948
2021-11-29,1.93061
2021-11-30,2.26447
2021-12-01,3.04833
2021-12-02,1.88464
2021-12-03,1.62578
2021-12-04,3.99429
2021-12-05,2.21367
2021-12-06,3.21527
2021-12-07,1.98867
2021-12-08,1.84835
2021-12-09,1.63787
2021-12-10,1.76851
2021-12-11,1.28223
2021-12-12,1.35239
2021-12-13,1.79271
2021-12-14,2.48221
2021-12-15,1.35965
2021-12-16,1.59916
2021-12-17,0.99675
2021-12-18,0.85401
2021-12-19,0.73305
2021-12-20,1.01369
2021-12-21,0.8903
2021-12-22,0.98224
2021-12-23,1.07901
2021-12-24,1.0403
2021-12-25,0.78869
2021-12-26,0.9145
2021-12-27,1.21207
2021-12-28,1.28949
2021-12-29,1.27014
2021-12-30,1.12982
2021-12-31,1.1903
2022-01-01,3.85638
2022-01-02,4.4975
2022-01-03,3.5951
2022-01-04,2.46528
2022-01-05,1.46126
2022-01-06,2.26447
2022-01-07,1.38384
2022-01-08,0.98708
2022-01-09,1.35239
2022-01-10,1.64029
2022-01-11,2.71689
2022-01-12,1.24352
2022-01-13,1.25562
2022-01-14,0.94595
2022-01-15,1.11046
2022-01-16,0.95321
2022-01-17,1.47578
2022-01-18,1.76126
2022-01-19,1.09836
2022-01-20,0.89756
2022-01-21,1.27256
2022-01-22,1.95964
2022-01-23,1.43949
2022-01-24,2.73624
2022-01-25,1.74432
2022-01-26,1.12256
2022-01-27,1.38384
2022-01-28,0.93385
2022-01-29,0.91934
2022-01-30,0.87337
2022-01-31,0.63869
2022-02-01,0.88546
2022-02-02,0.87095
2022-02-03,1.03062
2022-02-04,1.74916
2022-02-05,3.00962
2022-02-06,1.42739
2022-02-07,1.4661
2022-02-08,2.29109
2022-02-09,1.15643
2022-02-10,1.07417
2022-02-11,0.87095
2022-02-12,0.82498
2022-02-13,0.60482
2022-02-14,0.81772
2022-02-15,0.77176
2022-02-16,0.81047
2022-02-17,0.66531
2022-02-18,0.66531
2022-02-19,0.6774
2022-02-20,0.74756
2022-02-21,0.88546
2022-02-22,1.12256
2022-02-23,0.76208
2022-02-24,1.44433
2022-02-25,0.88788
2022-02-26,0.66047
2022-02-27,0.62902
