date,미국실시간증시
2022-11-20,4.25531
2022-11-21,16.21073
2022-11-22,36.98074
2022-11-23,37.2847
2022-11-24,36.37284
2022-11-25,25.32928
2022-11-26,16.10942
2022-11-27,4.45795
2022-11-28,13.17122
2022-11-29,31.81357
2022-11-30,33.33333
2022-12-01,34.14387
2022-12-02,32.92806
2022-12-03,21.27659
2022-12-04,4.45795
2022-12-05,10.43566
2022-12-06,32.42147
2022-12-07,32.42147
2022-12-08,32.32016
2022-12-09,32.21884
2022-12-10,23.91084
2022-12-11,4.35663
2022-12-12,12.36068
2022-12-13,43.97163
2022-12-14,43.46504
2022-12-15,44.27558
2022-12-16,41.84397
2022-12-17,22.08713
2022-12-18,3.03951
2022-12-19,14.79229
2022-12-20,35.35967
2022-12-21,42.35055
2022-12-22,37.08206
2022-12-23,43.76899
2022-12-24,20.26342
2022-12-25,3.85005
2022-12-26,11.8541
2022-12-27,26.44376
2022-12-28,34.65045
2022-12-29,32.11752
2022-12-30,26.24113
2022-12-31,12.05673
2023-01-01,3.03951
2023-01-02,12.25937
2023-01-03,27.65957
2023-01-04,35.25835
2023-01-05,40.62816
2023-01-06,31.61094
2023-01-07,22.79635
2023-01-08,4.55927
2023-01-09,15.29888
2023-01-10,44.47821
2023-01-11,42.0466
2023-01-12,43.46504
2023-01-13,42.55319
2023-01-14,26.6464
2023-01-15,4.96453
2023-01-16,13.37386
2023-01-17,29.78723
2023-01-18,41.74265
2023-01-19,43.66767
2023-01-20,34.14387
2023-01-21,17.32522
2023-01-22,4.45795
2023-01-23,10.43566
2023-01-24,30.49645
2023-01-25,38.5005
2023-01-26,41.54002
2023-01-27,37.79128
2023-01-28,25.73454
2023-01-29,4.7619
2023-01-30,14.48834
2023-01-31,39.31104
2023-02-01,43.56636
2023-02-02,51.06382
2023-02-03,43.76899
2023-02-04,25.32928
2023-02-05,4.154
2023-02-06,15.80547
2023-02-07,32.21884
2023-02-08,38.5005
2023-02-09,38.90577
2023-02-10,41.33738
2023-02-11,24.62006
2023-02-12,4.55927
2023-02-13,13.17122
2023-02-14,39.81762
2023-02-15,41.03343
2023-02-16,42.35055
2023-02-17,39.71631
2023-02-18,23.1003
2023-02-19,3.14083
2023-02-20,12.15805
2023-02-21,27.15298
2023-02-22,38.09523
2023-02-23,39.81762
2023-02-24,36.87943
2023-02-25,22.79635
2023-02-26,3.64741
2023-02-27,13.37386
2023-02-28,33.94123
2023-03-01,30.69908
2023-03-02,31.91489
2023-03-03,31.10435
2023-03-04,23.80952
2023-03-05,3.74873
2023-03-06,12.96859
2023-03-07,35.25835
2023-03-08,39.00709
2023-03-09,42.14792
2023-03-10,37.38601
2023-03-11,25.43059
2023-03-12,5.26849
2023-03-13,21.78318
2023-03-14,45.69402
2023-03-15,46.50455
2023-03-16,47.51773
2023-03-17,40.42553
2023-03-18,26.0385
2023-03-19,4.154
2023-03-20,17.93313
2023-03-21,38.80445
2023-03-22,39.20972
2023-03-23,48.5309
2023-03-24,44.07294
2023-03-25,26.0385
2023-03-26,3.85005
2023-03-27,17.62917
2023-03-28,41.13475
2023-03-29,40.62816
2023-03-30,41.64133
2023-03-31,40.52684
2023-04-01,23.80952
2023-04-02,6.18034
2023-04-03,17.73049
2023-04-04,40.62816
2023-04-05,39.41236
2023-04-06,38.39918
2023-04-07,40.42553
2023-04-08,14.89361
2023-04-09,4.55927
2023-04-10,17.02127
2023-04-11,39.00709
2023-04-12,33.94123
2023-04-13,39.51367
2023-04-14,34.85309
2023-04-15,21.68186
2023-04-16,4.35663
2023-04-17,16.31205
2023-04-18,37.08206
2023-04-19,38.90577
2023-04-20,40.02026
2023-04-21,38.70314
2023-04-22,21.37791
2023-04-23,5.16717
2023-04-24,14.18439
2023-04-25,34.14387
2023-04-26,38.5005
2023-04-27,41.4387
2023-04-28,31.10435
2023-04-29,20.97264
2023-04-30,6.18034
2023-05-01,13.27254
2023-05-02,31.91489
2023-05-03,36.57548
2023-05-04,32.32016
2023-05-05,24.01215
2023-05-06,18.9463
2023-05-07,4.35663
2023-05-08,15.4002
2023-05-09,34.44782
2023-05-10,38.19655
2023-05-11,36.06889
2023-05-12,30.1925
2023-05-13,19.75683
2023-05-14,4.35663
2023-05-15,12.76595
2023-05-16,30.09118
2023-05-17,29.17933
2023-05-18,37.38601
2023-05-19,32.32016
2023-05-20,19.65552
2023-05-21,4.7619
2023-05-22,13.67781
2023-05-23,34.75177
2023-05-24,35.25835
2023-05-25,37.68996
2023-05-26,34.3465
2023-05-27,21.17527
2023-05-28,4.25531
