date,오늘주가
2021-08-04,23.68605
2021-08-05,20.70777
2021-08-06,19.37631
2021-08-07,2.38262
2021-08-08,0.87596
2021-08-09,21.79397
2021-08-10,23.40574
2021-08-11,20.98808
2021-08-12,22.56482
2021-08-13,37.03573
2021-08-14,2.69796
2021-08-15,1.01611
2021-08-16,7.11282
2021-08-17,31.42957
2021-08-18,24.03644
2021-08-19,35.459
2021-08-20,35.98458
2021-08-21,2.90819
2021-08-22,1.15627
2021-08-23,29.81779
2021-08-24,29.01191
2021-08-25,29.46741
2021-08-26,28.24106
2021-08-27,25.85844
2021-08-28,3.32866
2021-08-29,0.911
2021-08-30,23.12543
2021-08-31,25.64821
2021-09-01,24.66713
2021-09-02,26.41906
2021-09-03,22.24947
2021-09-04,2.69796
2021-09-05,0.94604
2021-09-06,24.77224
2021-09-07,24.31674
2021-09-08,28.62648
2021-09-09,32.79607
2021-09-10,29.01191
2021-09-11,2.2775
2021-09-12,1.19131
2021-09-13,26.24386
2021-09-14,20.84793
2021-09-15,22.17939
2021-09-16,25.61317
2021-09-17,22.52978
2021-09-18,2.41765
2021-09-19,1.05115
2021-09-20,0.911
2021-09-21,3.88927
2021-09-22,5.29081
2021-09-23,31.46461
2021-09-24,26.80448
2021-09-25,2.59285
2021-09-26,0.84092
2021-09-27,27.96075
2021-09-28,32.79607
2021-09-29,42.6419
2021-09-30,28.24106
2021-10-01,36.47512
2021-10-02,3.43377
2021-10-03,1.19131
2021-10-04,6.02662
2021-10-05,46.53118
2021-10-06,45.12964
2021-10-07,38.57743
2021-10-08,34.40784
2021-10-09,3.85423
2021-10-10,2.06727
2021-10-11,4.97547
2021-10-12,41.80098
2021-10-13,35.63419
2021-10-14,31.77995
2021-10-15,32.69096
2021-10-16,3.1885
2021-10-17,1.61177
2021-10-18,33.39173
2021-10-19,30.02803
2021-10-20,31.00911
2021-10-21,30.20322
2021-10-22,29.39733
2021-10-23,2.80308
2021-10-24,0.94604
2021-10-25,33.18149
2021-10-26,28.7316
2021-10-27,32.06026
2021-10-28,33.53188
2021-10-29,35.03854
2021-10-30,3.67904
2021-10-31,1.40154
2021-11-01,28.34618
2021-11-02,29.81779
2021-11-03,36.29992
2021-11-04,35.21373
2021-11-05,31.88507
2021-11-06,3.04835
2021-11-07,1.12123
2021-11-08,34.16257
2021-11-09,33.60196
2021-11-10,35.66923
2021-11-11,32.20042
2021-11-12,30.86895
2021-11-13,2.83812
2021-11-14,1.05115
2021-11-15,29.29222
2021-11-16,32.62088
2021-11-17,31.14926
2021-11-18,36.37
2021-11-19,27.22494
2021-11-20,2.87316
