date,피성년후견인
2022-04-10,27.93103
2022-04-11,52.24137
2022-04-12,59.74137
2022-04-13,55.77586
2022-04-14,56.03448
2022-04-15,54.48275
2022-04-16,37.41379
2022-04-17,40.94827
2022-04-18,61.12068
2022-04-19,64.39655
2022-04-20,64.65517
2022-04-21,60.51724
2022-04-22,47.67241
2022-04-23,36.2931
2022-04-24,41.98275
2022-04-25,65.25862
2022-04-26,49.91379
2022-04-27,46.72413
2022-04-28,44.74137
2022-04-29,35.86206
2022-04-30,19.82758
2022-05-01,22.5862
2022-05-02,41.89655
2022-05-03,45.94827
2022-05-04,44.22413
2022-05-05,28.18965
2022-05-06,38.70689
2022-05-07,22.5862
2022-05-08,20.86206
2022-05-09,50.0
2022-05-10,50.17241
2022-05-11,51.12068
2022-05-12,47.93103
2022-05-13,42.15517
2022-05-14,23.70689
2022-05-15,24.48275
2022-05-16,49.74137
2022-05-17,48.36206
2022-05-18,48.18965
2022-05-19,43.36206
2022-05-20,36.03448
2022-05-21,23.18965
2022-05-22,25.68965
2022-05-23,45.25862
2022-05-24,44.39655
2022-05-25,48.96551
2022-05-26,40.86206
2022-05-27,41.72413
2022-05-28,22.15517
2022-05-29,22.5862
2022-05-30,45.86206
2022-05-31,41.20689
2022-06-01,30.25862
2022-06-02,43.36206
2022-06-03,43.18965
2022-06-04,27.5862
2022-06-05,25.0
2022-06-06,31.37931
2022-06-07,52.41379
2022-06-08,52.75862
2022-06-09,51.12068
2022-06-10,44.91379
2022-06-11,33.10344
2022-06-12,41.03448
2022-06-13,59.56896
2022-06-14,62.5862
2022-06-15,62.32758
2022-06-16,60.94827
2022-06-17,44.39655
2022-06-18,26.12068
2022-06-19,26.55172
2022-06-20,51.98275
2022-06-21,45.86206
2022-06-22,46.03448
2022-06-23,45.34482
2022-06-24,38.87931
2022-06-25,23.01724
2022-06-26,23.27586
2022-06-27,48.53448
2022-06-28,45.0862
2022-06-29,41.81034
2022-06-30,41.89655
2022-07-01,34.65517
2022-07-02,21.72413
2022-07-03,24.31034
2022-07-04,41.46551
2022-07-05,46.55172
2022-07-06,45.60344
2022-07-07,43.10344
2022-07-08,41.20689
2022-07-09,25.77586
2022-07-10,25.60344
2022-07-11,49.74137
2022-07-12,52.84482
2022-07-13,45.68965
2022-07-14,55.51724
2022-07-15,41.72413
2022-07-16,24.13793
2022-07-17,21.12068
2022-07-18,55.77586
2022-07-19,52.5862
2022-07-20,52.41379
2022-07-21,46.55172
2022-07-22,40.0
2022-07-23,26.55172
2022-07-24,24.82758
2022-07-25,48.01724
2022-07-26,51.89655
2022-07-27,49.82758
2022-07-28,46.98275
2022-07-29,39.05172
2022-07-30,24.74137
2022-07-31,25.60344
2022-08-01,48.87931
2022-08-02,48.7931
2022-08-03,47.67241
2022-08-04,46.89655
2022-08-05,46.03448
2022-08-06,31.2931
2022-08-07,29.05172
2022-08-08,53.27586
2022-08-09,56.2931
2022-08-10,52.75862
2022-08-11,50.0
2022-08-12,43.53448
2022-08-13,26.12068
2022-08-14,25.94827
2022-08-15,28.27586
2022-08-16,48.36206
2022-08-17,50.0862
2022-08-18,50.0
2022-08-19,41.98275
2022-08-20,28.96551
2022-08-21,28.10344
2022-08-22,50.34482
2022-08-23,49.22413
2022-08-24,50.51724
2022-08-25,47.15517
2022-08-26,40.60344
2022-08-27,23.87931
2022-08-28,28.62068
2022-08-29,52.67241
2022-08-30,56.03448
2022-08-31,47.5
2022-09-01,47.06896
2022-09-02,43.70689
2022-09-03,24.05172
2022-09-04,32.15517
2022-09-05,48.53448
2022-09-06,50.60344
2022-09-07,51.03448
2022-09-08,40.34482
2022-09-09,21.72413
2022-09-10,15.86206
2022-09-11,21.98275
2022-09-12,33.70689
2022-09-13,67.67241
2022-09-14,68.7931
2022-09-15,59.13793
2022-09-16,50.25862
2022-09-17,38.27586
2022-09-18,37.41379
2022-09-19,65.94827
2022-09-20,74.13793
2022-09-21,62.5862
2022-09-22,59.48275
2022-09-23,54.13793
2022-09-24,34.31034
2022-09-25,33.18965
2022-09-26,55.17241
2022-09-27,61.89655
2022-09-28,55.94827
2022-09-29,50.34482
2022-09-30,44.48275
2022-10-01,34.05172
2022-10-02,31.37931
2022-10-03,43.10344
2022-10-04,64.31034
2022-10-05,59.22413
2022-10-06,58.44827
2022-10-07,48.01724
2022-10-08,34.82758
2022-10-09,34.74137
2022-10-10,48.18965
2022-10-11,70.0862
2022-10-12,64.91379
2022-10-13,64.13793
2022-10-14,57.06896
2022-10-15,48.87931
2022-10-16,60.0
2022-10-17,87.93103
2022-10-18,79.48275
2022-10-19,76.55172
2022-10-20,67.5
2022-10-21,55.0
2022-10-22,40.0
2022-10-23,45.0
2022-10-24,73.10344
2022-10-25,70.17241
2022-10-26,68.01724
2022-10-27,53.96551
2022-10-28,46.89655
2022-10-29,24.22413
2022-10-30,29.39655
2022-10-31,51.55172
2022-11-01,47.75862
2022-11-02,51.03448
2022-11-03,48.70689
2022-11-04,42.75862
2022-11-05,27.06896
2022-11-06,26.63793
2022-11-07,52.06896
2022-11-08,51.89655
2022-11-09,53.44827
2022-11-10,51.03448
2022-11-11,44.48275
2022-11-12,25.0862
2022-11-13,27.75862
2022-11-14,50.68965
2022-11-15,52.75862
2022-11-16,50.94827
2022-11-17,47.06896
2022-11-18,40.94827
2022-11-19,24.91379
2022-11-20,25.51724
2022-11-21,52.84482
2022-11-22,51.03448
2022-11-23,50.60344
2022-11-24,44.48275
2022-11-25,40.0
2022-11-26,25.43103
2022-11-27,26.03448
2022-11-28,50.0862
2022-11-29,44.48275
2022-11-30,50.86206
2022-12-01,49.82758
2022-12-02,45.25862
2022-12-03,27.75862
2022-12-04,25.68965
2022-12-05,49.82758
2022-12-06,50.0862
2022-12-07,53.62068
2022-12-08,53.87931
2022-12-09,48.01724
2022-12-10,33.70689
2022-12-11,34.13793
2022-12-12,53.36206
2022-12-13,56.46551
2022-12-14,53.53448
2022-12-15,47.32758
2022-12-16,40.94827
2022-12-17,24.56896
2022-12-18,26.03448
2022-12-19,43.27586
2022-12-20,46.55172
2022-12-21,45.60344
2022-12-22,81.12068
2022-12-23,39.05172
2022-12-24,18.01724
2022-12-25,18.62068
2022-12-26,46.89655
2022-12-27,44.48275
2022-12-28,41.2931
2022-12-29,43.36206
2022-12-30,29.74137
2022-12-31,15.86206
2023-01-01,17.5862
2023-01-02,44.91379
2023-01-03,51.81034
2023-01-04,47.67241
2023-01-05,49.91379
2023-01-06,43.7931
2023-01-07,28.10344
2023-01-08,28.18965
2023-01-09,51.89655
2023-01-10,53.36206
2023-01-11,55.0
2023-01-12,47.41379
2023-01-13,50.68965
2023-01-14,30.51724
2023-01-15,32.15517
2023-01-16,56.46551
2023-01-17,56.55172
2023-01-18,49.56896
2023-01-19,49.22413
2023-01-20,40.17241
2023-01-21,18.96551
2023-01-22,15.51724
2023-01-23,22.67241
2023-01-24,30.94827
2023-01-25,48.36206
2023-01-26,51.2931
2023-01-27,45.51724
2023-01-28,28.70689
2023-01-29,26.89655
2023-01-30,50.0862
2023-01-31,51.89655
2023-02-01,47.93103
2023-02-02,47.67241
2023-02-03,43.7931
2023-02-04,27.32758
2023-02-05,28.44827
2023-02-06,49.39655
2023-02-07,59.22413
2023-02-08,47.67241
2023-02-09,47.84482
2023-02-10,42.32758
2023-02-11,26.72413
2023-02-12,28.96551
2023-02-13,50.60344
2023-02-14,51.46551
2023-02-15,49.65517
2023-02-16,44.91379
2023-02-17,47.5
2023-02-18,43.44827
2023-02-19,31.98275
2023-02-20,56.89655
2023-02-21,47.93103
2023-02-22,44.48275
2023-02-23,47.67241
2023-02-24,37.41379
2023-02-25,27.75862
2023-02-26,27.24137
2023-02-27,44.05172
2023-02-28,39.65517
2023-03-01,31.12068
2023-03-02,45.51724
2023-03-03,42.06896
2023-03-04,24.39655
2023-03-05,29.39655
2023-03-06,56.03448
2023-03-07,52.5
2023-03-08,46.63793
2023-03-09,52.75862
2023-03-10,43.44827
2023-03-11,25.0
2023-03-12,31.2931
2023-03-13,54.13793
2023-03-14,56.37931
2023-03-15,57.5862
2023-03-16,54.22413
2023-03-17,45.51724
2023-03-18,27.15517
2023-03-19,31.20689
2023-03-20,54.22413
2023-03-21,57.75862
2023-03-22,52.5
