date,아파트
2021-10-12,23.41445
2021-10-13,22.76705
2021-10-14,26.36374
2021-10-15,23.71418
2021-10-16,20.06953
2021-10-17,22.11964
2021-10-18,21.87987
2021-10-19,21.20848
2021-10-20,21.42428
2021-10-21,21.47224
2021-10-22,20.17743
2021-10-23,21.99976
2021-10-24,23.46241
2021-10-25,23.94197
2021-10-26,22.7071
2021-10-27,21.83191
2021-10-28,22.40738
2021-10-29,19.90169
2021-10-30,20.63301
2021-10-31,22.98285
2021-11-01,23.64224
2021-11-02,24.38556
2021-11-03,21.47224
2021-11-04,21.35235
2021-11-05,20.26135
2021-11-06,21.87987
2021-11-07,22.17959
2021-11-08,21.18451
2021-11-09,24.42153
2021-11-10,23.96595
2021-11-11,21.83191
2021-11-12,20.46517
2021-11-13,20.51312
2021-11-14,22.92291
2021-11-15,23.7981
2021-11-16,23.2586
2021-11-17,20.03356
2021-11-18,19.9976
2021-11-19,22.56324
2021-11-20,21.19649
2021-11-21,22.94688
2021-11-22,20.89677
2021-11-23,21.37633
2021-11-24,26.44766
2021-11-25,25.41661
2021-11-26,23.67821
2021-11-27,23.87003
2021-11-28,23.4744
2021-11-29,22.97086
2021-11-30,21.42428
2021-12-01,17.83958
2021-12-02,19.42213
2021-12-03,18.65483
2021-12-04,20.65699
2021-12-05,20.95671
2021-12-06,23.7981
2021-12-07,22.44335
2021-12-08,22.98285
2021-12-09,22.44335
2021-12-10,21.54417
2021-12-11,22.02373
2021-12-12,22.91092
2021-12-13,21.40031
2021-12-14,20.24937
2021-12-15,19.69787
2021-12-16,22.41937
2021-12-17,21.80793
2021-12-18,20.60903
2021-12-19,23.1507
2021-12-20,24.48147
2021-12-21,21.43627
2021-12-22,21.31638
2021-12-23,21.68804
2021-12-24,18.60688
2021-12-25,18.82268
2021-12-26,20.2134
2021-12-27,20.22539
2021-12-28,20.24937
2021-12-29,19.2303
2021-12-30,19.43412
2021-12-31,18.27119
2022-01-01,18.33113
2022-01-02,20.90876
2022-01-03,21.16053
2022-01-04,21.61611
2022-01-05,21.89185
2022-01-06,22.86296
2022-01-07,22.2755
2022-01-08,22.23953
2022-01-09,24.91307
2022-01-10,23.66622
2022-01-11,60.73612
2022-01-12,53.61467
2022-01-13,37.21376
2022-01-14,28.96535
2022-01-15,27.15501
2022-01-16,26.79534
2022-01-17,24.45749
2022-01-18,25.27274
2022-01-19,23.83407
2022-01-20,24.70926
2022-01-21,24.38556
2022-01-22,23.2586
2022-01-23,24.80517
2022-01-24,27.11905
2022-01-25,26.04004
2022-01-26,24.2297
2022-01-27,23.13871
2022-01-28,21.20848
2022-01-29,20.16544
2022-01-30,21.12456
2022-01-31,22.11964
2022-02-01,23.59429
2022-02-02,24.00191
2022-02-03,24.48147
