date,재택근무직업
2021-03-03,28.48484
2021-03-04,32.72727
2021-03-05,22.72727
2021-03-06,16.0606
2021-03-07,21.51515
2021-03-08,39.0909
2021-03-09,29.0909
2021-03-10,24.54545
2021-03-11,26.96969
2021-03-12,19.39393
2021-03-13,18.48484
2021-03-14,25.15151
2021-03-15,36.36363
2021-03-16,36.66666
2021-03-17,37.27272
2021-03-18,27.27272
2021-03-19,16.96969
2021-03-20,17.27272
2021-03-21,22.12121
2021-03-22,43.33333
2021-03-23,40.60606
2021-03-24,25.45454
2021-03-25,31.21212
2021-03-26,14.84848
2021-03-27,11.21212
2021-03-28,13.63636
2021-03-29,23.93939
2021-03-30,29.69696
2021-03-31,22.12121
2021-04-01,26.66666
2021-04-02,24.84848
2021-04-03,15.75757
2021-04-04,17.57575
2021-04-05,32.42424
2021-04-06,29.39393
2021-04-07,30.0
2021-04-08,29.39393
2021-04-09,27.87878
2021-04-10,17.27272
2021-04-11,24.54545
2021-04-12,33.33333
2021-04-13,21.81818
2021-04-14,29.0909
2021-04-15,35.75757
2021-04-16,25.75757
2021-04-17,16.0606
2021-04-18,23.33333
2021-04-19,28.48484
2021-04-20,27.87878
2021-04-21,24.54545
2021-04-22,30.90909
2021-04-23,22.72727
2021-04-24,10.90909
2021-04-25,26.0606
2021-04-26,22.12121
2021-04-27,25.45454
2021-04-28,34.54545
2021-04-29,25.45454
2021-04-30,22.72727
2021-05-01,15.75757
2021-05-02,25.15151
2021-05-03,30.60606
2021-05-04,23.0303
2021-05-05,28.78787
2021-05-06,33.33333
2021-05-07,24.54545
2021-05-08,17.27272
2021-05-09,27.87878
2021-05-10,42.72727
2021-05-11,27.27272
2021-05-12,27.87878
2021-05-13,26.36363
2021-05-14,21.81818
2021-05-15,17.57575
2021-05-16,22.42424
2021-05-17,30.60606
2021-05-18,20.90909
2021-05-19,12.12121
2021-05-20,28.78787
2021-05-21,22.42424
2021-05-22,13.63636
2021-05-23,18.78787
2021-05-24,33.93939
2021-05-25,32.42424
2021-05-26,24.84848
2021-05-27,26.66666
