date,건강보험종류
2021-04-17,0.203
2021-04-18,0.85261
2021-04-19,2.43605
2021-04-20,2.43605
2021-04-21,0.81201
2021-04-22,1.25862
2021-04-23,0.89321
2021-04-24,0.4466
2021-04-25,0.56841
2021-04-26,1.70523
2021-04-27,2.27365
2021-04-28,1.82704
2021-04-29,1.70523
2021-04-30,1.25862
2021-05-01,1.09622
2021-05-02,2.15184
2021-05-03,3.24807
2021-05-04,1.74583
2021-05-05,2.23304
2021-05-06,2.59845
2021-05-07,2.07064
2021-05-08,0.97442
2021-05-09,1.46163
2021-05-10,1.94884
2021-05-11,2.55785
2021-05-12,1.98944
2021-05-13,1.82704
2021-05-14,1.46163
2021-05-15,0.48721
2021-05-16,0.85261
2021-05-17,1.29922
2021-05-18,1.05562
2021-05-19,0.97442
2021-05-20,1.78643
2021-05-21,1.62403
2021-05-22,0.85261
2021-05-23,1.25862
2021-05-24,2.27365
2021-05-25,2.35485
2021-05-26,2.27365
2021-05-27,2.76086
2021-05-28,1.82704
2021-05-29,1.13682
2021-05-30,0.93382
2021-05-31,2.76086
2021-06-01,3.45107
2021-06-02,2.67965
2021-06-03,2.84206
2021-06-04,1.50223
2021-06-05,0.89321
2021-06-06,1.29922
2021-06-07,2.31425
2021-06-08,2.63905
2021-06-09,2.51725
2021-06-10,3.73528
2021-06-11,1.50223
2021-06-12,1.42103
2021-06-13,0.81201
2021-06-14,1.90824
2021-06-15,1.94884
2021-06-16,2.11124
2021-06-17,1.94884
2021-06-18,3.12626
2021-06-19,1.21802
2021-06-20,1.70523
2021-06-21,2.47665
2021-06-22,2.84206
2021-06-23,1.62403
2021-06-24,1.54283
2021-06-25,1.01502
2021-06-26,0.3654
2021-06-27,0.64961
2021-06-28,1.62403
2021-06-29,1.78643
2021-06-30,2.03004
2021-07-01,3.08566
2021-07-02,2.23304
2021-07-03,0.81201
2021-07-04,1.05562
2021-07-05,2.80146
2021-07-06,2.43605
2021-07-07,2.43605
2021-07-08,1.50223
2021-07-09,1.29922
2021-07-10,0.3248
2021-07-11,0.77141
2021-07-12,2.23304
2021-07-13,2.03004
2021-07-14,1.70523
2021-07-15,1.21802
2021-07-16,1.05562
2021-07-17,0.81201
2021-07-18,0.64961
2021-07-19,1.78643
2021-07-20,2.15184
2021-07-21,1.74583
2021-07-22,1.70523
2021-07-23,0.93382
2021-07-24,0.406
2021-07-25,0.56841
2021-07-26,1.21802
2021-07-27,1.90824
2021-07-28,0.85261
2021-07-29,1.21802
2021-07-30,0.406
2021-07-31,0.2842
2021-08-01,0.60901
2021-08-02,1.33982
2021-08-03,1.42103
2021-08-04,1.05562
2021-08-05,1.42103
2021-08-06,1.13682
2021-08-07,0.203
2021-08-08,0.85261
2021-08-09,1.70523
2021-08-10,1.70523
2021-08-11,1.62403
2021-08-12,2.19244
2021-08-13,1.09622
2021-08-14,0.3248
2021-08-15,0.406
2021-08-16,1.17742
2021-08-17,1.09622
2021-08-18,1.21802
2021-08-19,1.58343
2021-08-20,1.17742
2021-08-22,0.3654
2021-08-23,1.98944
2021-08-24,2.27365
2021-08-25,2.84206
2021-08-26,2.63905
2021-08-27,0.89321
2021-08-28,0.4466
2021-08-29,0.85261
2021-08-30,1.62403
2021-08-31,2.23304
2021-09-01,2.84206
2021-09-02,2.67965
2021-09-03,1.62403
2021-09-04,0.56841
2021-09-05,1.66463
2021-09-06,3.16686
2021-09-07,3.57287
2021-09-08,2.80146
2021-09-09,1.94884
2021-09-10,1.54283
2021-09-11,0.69021
2021-09-12,1.42103
2021-09-13,1.78643
2021-09-14,1.78643
2021-09-15,0.85261
2021-09-16,1.33982
2021-09-17,0.97442
2021-09-18,0.48721
2021-09-19,0.3654
2021-09-20,0.4466
2021-09-22,0.3654
2021-09-23,0.97442
2021-09-24,0.48721
2021-09-25,0.48721
2021-09-26,0.69021
2021-09-27,1.78643
2021-09-28,1.17742
2021-09-29,1.05562
2021-09-30,0.85261
2021-10-01,1.01502
2021-10-02,0.69021
2021-10-03,0.85261
2021-10-04,1.70523
2021-10-05,2.51725
2021-10-06,2.19244
2021-10-07,1.29922
2021-10-08,0.48721
2021-10-09,0.60901
2021-10-10,0.81201
2021-10-11,1.01502
2021-10-12,1.78643
2021-10-13,1.29922
2021-10-14,0.93382
2021-10-15,0.3654
2021-10-16,0.2842
2021-10-17,0.3248
2021-10-18,0.77141
2021-10-19,1.17742
2021-10-20,1.58343
2021-10-21,0.77141
2021-10-22,0.69021
2021-10-23,0.2842
2021-10-24,0.3654
2021-10-25,1.38043
2021-10-26,2.19244
2021-10-27,2.03004
2021-10-28,1.58343
2021-10-29,1.42103
2021-10-30,1.21802
2021-10-31,1.78643
2021-11-01,2.84206
2021-11-02,3.32927
2021-11-03,2.15184
2021-11-04,2.03004
2021-11-05,1.05562
2021-11-06,1.09622
2021-11-07,1.54283
2021-11-08,1.70523
2021-11-09,2.47665
2021-11-10,2.92326
2021-11-11,1.78643
2021-11-12,1.21802
2021-11-13,1.29922
2021-11-14,1.58343
2021-11-15,1.90824
2021-11-16,1.46163
2021-11-17,1.74583
2021-11-18,1.62403
2021-11-19,1.33982
2021-11-20,1.42103
2021-11-21,1.13682
2021-11-22,1.58343
2021-11-23,1.94884
2021-11-24,1.54283
2021-11-25,1.70523
2021-11-26,0.85261
2021-11-27,0.93382
2021-11-28,0.81201
2021-11-29,1.94884
2021-11-30,1.58343
2021-12-01,2.51725
2021-12-02,2.15184
2021-12-03,1.70523
2021-12-04,0.93382
2021-12-05,1.50223
2021-12-06,2.31425
2021-12-07,2.80146
2021-12-08,3.16686
2021-12-09,1.94884
2021-12-10,1.46163
2021-12-11,0.64961
2021-12-12,0.97442
2021-12-13,2.19244
2021-12-14,2.23304
2021-12-15,2.19244
2021-12-16,2.15184
2021-12-17,1.50223
2021-12-18,1.42103
2021-12-19,1.50223
2021-12-20,2.03004
2021-12-21,2.39545
2021-12-22,1.94884
2021-12-23,1.66463
2021-12-24,1.38043
2021-12-25,0.69021
2021-12-26,1.42103
2021-12-27,1.66463
2021-12-28,2.67965
2021-12-29,1.66463
2021-12-30,1.98944
2021-12-31,0.89321
2022-01-01,0.93382
2022-01-02,1.98944
2022-01-03,3.24807
2022-01-04,2.63905
2022-01-05,3.49167
2022-01-06,2.35485
2022-01-07,2.88266
2022-01-08,1.21802
2022-01-09,2.03004
2022-01-10,3.24807
2022-01-11,3.65408
2022-01-12,2.80146
2022-01-13,2.23304
2022-01-14,2.39545
2022-01-15,1.33982
2022-01-16,1.17742
2022-01-17,3.65408
2022-01-18,2.31425
2022-01-19,3.12626
2022-01-20,3.00446
2022-01-21,1.66463
2022-01-22,1.17742
2022-01-23,1.50223
2022-01-24,2.76086
2022-01-25,1.98944
2022-01-26,2.23304
2022-01-27,2.31425
2022-01-28,1.29922
2022-01-29,0.85261
2022-01-30,0.97442
2022-01-31,0.406
2022-02-01,0.69021
2022-02-02,0.77141
2022-02-03,2.07064
2022-02-04,1.58343
2022-02-05,1.50223
2022-02-06,1.13682
2022-02-07,4.34429
2022-02-08,2.23304
2022-02-09,1.86764
2022-02-10,2.80146
2022-02-11,2.72025
2022-02-12,2.63905
2022-02-13,2.27365
2022-02-14,4.10069
2022-02-15,3.89768
2022-02-16,3.65408
2022-02-17,3.85708
2022-02-18,4.6691
2022-02-19,2.55785
2022-02-20,3.77588
2022-02-21,7.10515
2022-02-22,7.06455
2022-02-23,7.63296
2022-02-24,8.68859
2022-02-25,8.24198
2022-02-26,7.14575
2022-02-27,7.91717
2022-02-28,12.26146
2022-03-01,29.27324
2022-03-02,73.041
2022-03-03,73.60941
2022-03-04,22.57409
2022-03-05,7.10515
2022-03-06,14.33211
2022-03-07,21.11246
2022-03-08,8.36378
2022-03-09,5.27811
2022-03-10,7.87657
2022-03-11,5.15631
2022-03-12,2.35485
2022-03-13,4.7503
2022-03-14,8.28258
2022-03-15,6.49614
2022-03-16,4.6691
2022-03-17,3.20747
2022-03-18,3.04506
2022-03-19,2.07064
2022-03-20,3.20747
2022-03-21,4.7909
2022-03-22,4.9533
2022-03-23,4.01948
2022-03-24,2.63905
2022-03-25,2.63905
2022-03-26,1.09622
2022-03-27,2.47665
2022-03-28,3.24807
2022-03-29,2.92326
2022-03-30,2.15184
2022-03-31,1.62403
2022-04-01,1.78643
2022-04-02,1.09622
2022-04-03,1.58343
2022-04-04,3.41047
2022-04-05,2.80146
2022-04-06,2.84206
2022-04-07,2.67965
2022-04-08,1.94884
2022-04-09,1.25862
2022-04-10,1.21802
2022-04-11,3.69468
2022-04-12,3.24807
2022-04-13,2.55785
2022-04-14,2.63905
2022-04-15,2.03004
2022-04-16,1.38043
2022-04-17,0.97442
2022-04-18,2.51725
2022-04-19,2.76086
2022-04-20,2.47665
2022-04-21,2.43605
2022-04-22,2.43605
2022-04-23,1.66463
2022-04-24,2.15184
2022-04-25,3.41047
2022-04-26,1.82704
2022-04-27,2.03004
2022-04-28,0.93382
2022-04-29,0.60901
2022-04-30,0.2842
2022-05-01,0.4466
2022-05-02,2.15184
2022-05-03,1.74583
2022-05-04,1.09622
2022-05-05,0.52781
2022-05-06,0.3654
2022-05-07,0.406
2022-05-08,0.2436
2022-05-09,1.98944
2022-05-10,2.11124
2022-05-11,3.08566
2022-05-12,3.65408
2022-05-13,1.86764
2022-05-14,1.90824
2022-05-15,2.27365
2022-05-16,3.12626
2022-05-17,2.07064
2022-05-18,3.16686
2022-05-19,2.67965
2022-05-20,1.66463
2022-05-21,1.50223
2022-05-22,2.15184
2022-05-23,2.88266
2022-05-24,2.27365
2022-05-25,2.80146
2022-05-26,2.23304
2022-05-27,1.82704
2022-05-28,1.13682
2022-05-29,0.97442
2022-05-30,2.07064
2022-05-31,2.03004
2022-06-01,1.09622
2022-06-02,2.55785
2022-06-03,1.21802
2022-06-04,0.48721
2022-06-05,1.05562
2022-06-06,0.93382
2022-06-07,2.72025
2022-06-08,2.67965
2022-06-09,2.19244
2022-06-10,1.25862
2022-06-11,0.81201
2022-06-12,0.89321
2022-06-13,2.27365
2022-06-14,2.07064
2022-06-15,1.58343
2022-06-16,1.42103
2022-06-17,0.48721
2022-06-18,0.2842
2022-06-19,0.64961
2022-06-20,1.58343
2022-06-21,1.25862
2022-06-22,1.42103
2022-06-23,1.42103
2022-06-24,0.97442
2022-06-25,0.2842
2022-06-27,1.82704
2022-06-28,1.17742
2022-06-29,1.46163
2022-06-30,1.38043
2022-07-01,1.33982
2022-07-02,0.48721
2022-07-03,0.69021
2022-07-04,2.39545
2022-07-05,1.50223
2022-07-06,1.62403
2022-07-07,1.54283
2022-07-08,1.25862
2022-07-09,0.203
2022-07-10,0.4466
2022-07-11,1.62403
2022-07-12,1.66463
2022-07-13,1.54283
2022-07-14,0.97442
2022-07-15,1.38043
2022-07-16,0.56841
2022-07-17,0.69021
2022-07-18,1.62403
2022-07-19,1.78643
2022-07-20,1.42103
2022-07-21,1.01502
2022-07-22,0.77141
2022-07-23,0.56841
2022-07-24,0.73081
2022-07-25,1.70523
2022-07-26,0.60901
2022-07-27,1.25862
2022-07-28,1.33982
2022-07-29,0.69021
2022-07-30,0.48721
2022-07-31,0.81201
2022-08-01,1.09622
2022-08-02,1.70523
2022-08-03,1.25862
2022-08-04,0.97442
2022-08-05,0.73081
2022-08-06,0.3654
2022-08-07,0.93382
2022-08-08,1.21802
2022-08-09,1.09622
2022-08-10,1.62403
2022-08-11,1.09622
2022-08-12,1.21802
2022-08-13,0.48721
2022-08-14,0.3654
2022-08-15,0.69021
2022-08-16,1.54283
2022-08-17,0.97442
2022-08-18,1.09622
2022-08-19,0.93382
2022-08-20,0.48721
2022-08-21,0.77141
2022-08-22,1.17742
2022-08-23,1.42103
2022-08-24,1.70523
2022-08-25,1.62403
2022-08-26,1.33982
2022-08-27,0.60901
2022-08-28,0.81201
2022-08-29,1.54283
2022-08-30,1.78643
2022-08-31,1.78643
2022-09-01,2.11124
2022-09-02,1.13682
2022-09-03,0.4466
2022-09-04,0.97442
2022-09-05,1.98944
2022-09-06,1.05562
2022-09-07,1.25862
