date,파미셀주가
2021-04-18,2.49981
2021-04-19,25.5488
2021-04-20,18.53115
2021-04-21,18.78889
2021-04-22,13.53738
2021-04-23,11.72439
2021-04-24,2.03558
2021-04-25,1.82763
2021-04-26,11.56037
2021-04-27,9.73713
2021-04-28,8.91118
2021-04-29,8.3415
2021-04-30,7.19484
2021-05-01,1.7837
2021-05-02,1.69436
2021-05-03,9.41495
2021-05-04,7.46723
2021-05-05,1.20084
2021-05-06,7.3735
2021-05-07,7.53313
2021-05-08,1.19938
2021-05-09,0.99436
2021-05-10,9.8865
2021-05-11,7.77037
2021-05-12,9.31244
2021-05-13,10.48692
2021-05-14,15.38112
2021-05-15,4.15611
2021-05-16,3.4561
2021-05-17,17.6847
2021-05-18,12.28088
2021-05-19,1.94039
2021-05-20,10.75785
2021-05-21,10.29069
2021-05-22,2.03265
2021-05-23,3.41802
2021-05-24,12.9267
2021-05-25,9.80156
2021-05-26,8.98147
2021-05-27,8.59046
2021-05-28,7.98271
2021-05-29,0.97093
2021-05-30,0.89331
2021-05-31,7.60342
2021-06-01,7.25781
2021-06-02,7.37936
2021-06-03,7.25635
2021-06-04,7.15091
2021-06-05,1.25503
2021-06-06,0.8977
2021-06-07,11.64677
2021-06-08,9.55261
2021-06-09,7.18605
2021-06-10,7.13773
2021-06-11,6.44065
2021-06-12,0.81277
2021-06-13,0.70586
2021-06-14,6.35278
2021-06-15,6.72036
2021-06-16,6.00717
2021-06-17,5.71428
2021-06-18,5.8329
2021-06-19,0.87867
2021-06-20,0.77762
2021-06-21,10.7022
2021-06-22,8.42498
2021-06-23,8.16431
2021-06-24,9.65365
2021-06-25,7.02203
2021-06-26,0.89038
2021-06-27,0.7908
2021-06-28,7.13919
2021-06-29,8.48941
2021-06-30,9.15427
2021-07-01,12.45661
2021-07-02,10.45617
2021-07-03,1.26089
2021-07-04,1.9111
2021-07-05,12.96917
2021-07-06,10.91454
2021-07-07,9.53796
2021-07-08,16.64787
2021-07-09,13.07461
2021-07-10,1.39855
2021-07-11,1.22428
2021-07-12,10.40345
2021-07-13,9.6229
2021-07-14,9.01955
2021-07-15,8.22874
2021-07-16,8.1028
2021-07-17,0.85816
2021-07-18,0.79958
2021-07-19,8.16431
2021-07-20,7.72351
2021-07-21,7.62246
2021-07-22,7.312
2021-07-23,7.01764
2021-07-24,0.75712
2021-07-25,0.64875
2021-07-26,6.21805
2021-07-27,6.41429
2021-07-28,6.1873
2021-07-29,5.95006
2021-07-30,5.49315
2021-07-31,0.60628
2021-08-01,0.49205
2021-08-02,6.07746
2021-08-03,5.69231
2021-08-04,6.20634
2021-08-05,6.2942
2021-08-06,8.37665
2021-08-07,1.44394
2021-08-08,1.28432
2021-08-09,7.51995
2021-08-10,10.04759
2021-08-11,8.1233
2021-08-12,7.24902
2021-08-13,6.36157
2021-08-14,0.68389
2021-08-15,0.58431
2021-08-16,1.09833
2021-08-17,8.60364
2021-08-18,6.96639
2021-08-19,6.14922
2021-08-20,6.30885
2021-08-21,0.73661
2021-08-22,0.53159
2021-08-23,6.52852
2021-08-24,6.25759
2021-08-25,6.1214
2021-08-26,5.07139
2021-08-27,4.92494
2021-08-28,0.5228
2021-08-29,0.4613
2021-08-30,5.90319
2021-08-31,5.30716
2021-09-01,5.29545
2021-09-02,5.88709
2021-09-03,5.72307
2021-09-04,0.97385
2021-09-05,0.73076
2021-09-06,5.61616
2021-09-07,4.70381
2021-09-08,4.5764
2021-09-09,4.56908
2021-09-10,4.51197
2021-09-11,0.63996
2021-09-12,0.4818
2021-09-13,4.63791
2021-09-14,4.45339
2021-09-15,4.13707
2021-09-16,4.06385
2021-09-17,4.96009
2021-09-18,0.66486
2021-09-19,0.42761
2021-09-20,0.38075
2021-09-21,0.26213
2021-09-22,0.45544
2021-09-23,4.76971
2021-09-24,4.03602
2021-09-25,0.45837
2021-09-26,0.35439
2021-09-27,4.06677
2021-09-28,3.88225
2021-09-29,3.7651
2021-09-30,4.34941
2021-10-01,3.85589
2021-10-02,0.56381
2021-10-03,0.43787
2021-10-04,0.68829
2021-10-05,4.80339
2021-10-06,13.44658
2021-10-07,8.08815
2021-10-08,5.25151
2021-10-09,0.56967
2021-10-10,0.44226
2021-10-11,0.68975
2021-10-12,4.77703
2021-10-13,4.7126
2021-10-14,4.85172
2021-10-15,4.27912
2021-10-16,0.57552
2021-10-17,0.43494
2021-10-18,4.52075
2021-10-19,4.53393
2021-10-20,4.23958
2021-10-21,4.39774
2021-10-22,3.84711
2021-10-23,0.41736
2021-10-24,0.34707
2021-10-25,4.12096
2021-10-26,4.62912
2021-10-27,3.98037
2021-10-28,3.90422
2021-10-29,3.43706
2021-10-30,0.38807
2021-10-31,0.28849
2021-11-01,3.75631
2021-11-02,4.07995
2021-11-03,3.4356
2021-11-04,3.82221
2021-11-05,3.64648
2021-11-06,0.49059
2021-11-07,0.36318
2021-11-08,4.85611
2021-11-09,3.87493
2021-11-10,3.28769
2021-11-11,3.40045
2021-11-12,4.00673
2021-11-13,0.52427
2021-11-14,0.49937
2021-11-15,4.4651
2021-11-16,3.71238
2021-11-17,3.42242
2021-11-18,3.13099
2021-11-19,3.29794
2021-11-20,0.45544
2021-11-21,0.32071
2021-11-22,3.54397
2021-11-23,3.44585
2021-11-24,3.30087
2021-11-25,3.64208
2021-11-26,3.50882
2021-11-27,0.53013
2021-11-28,0.4364
2021-11-29,5.92955
2021-11-30,5.34524
2021-12-01,4.92641
2021-12-02,4.48268
2021-12-03,4.11657
2021-12-04,0.43787
2021-12-05,0.37343
2021-12-06,3.90715
2021-12-07,4.01698
2021-12-08,4.25569
2021-12-09,3.90715
2021-12-10,3.54836
2021-12-11,0.33975
2021-12-12,0.29142
2021-12-13,3.63476
2021-12-14,5.27787
2021-12-15,5.04796
2021-12-16,4.26008
2021-12-17,3.94083
2021-12-18,0.40711
2021-12-19,0.36464
2021-12-20,3.73727
2021-12-21,4.5149
2021-12-22,6.06428
2021-12-23,5.16804
2021-12-24,4.3128
2021-12-25,0.41151
2021-12-26,0.37636
2021-12-27,4.45192
2021-12-28,4.52075
2021-12-29,4.57054
2021-12-30,5.29984
2021-12-31,1.07197
2022-01-01,0.41736
2022-01-02,0.45397
2022-01-03,4.51343
2022-01-04,4.05799
2022-01-05,3.70798
2022-01-06,3.43706
2022-01-07,3.84857
2022-01-08,0.4159
2022-01-09,0.37782
2022-01-10,3.70652
2022-01-11,3.78267
2022-01-12,4.24544
2022-01-13,3.51761
2022-01-14,3.07973
2022-01-15,0.31925
