date,달러인덱스
2021-09-14,12.14352
2021-09-15,11.712
2021-09-16,11.93245
2021-09-17,12.01688
2021-09-18,5.41275
2021-09-19,2.28424
2021-09-20,9.33395
2021-09-21,11.93245
2021-09-22,11.88555
2021-09-23,17.76735
2021-09-24,14.66697
2021-09-25,5.23452
2021-09-26,2.82363
2021-09-27,10.88649
2021-09-28,15.51125
2021-09-29,18.4756
2021-09-30,20.35178
2021-10-01,18.81801
2021-10-02,6.79643
2021-10-03,3.17542
2021-10-04,11.04596
2021-10-05,18.99155
2021-10-06,19.21669
2021-10-07,18.02063
2021-10-08,15.23452
2021-10-09,6.01782
2021-10-10,2.78142
2021-10-11,9.74202
2021-10-12,18.65384
2021-10-13,17.2045
2021-10-14,16.31801
2021-10-15,15.31425
2021-10-16,5.68011
2021-10-17,2.83302
2021-10-18,12.90806
2021-10-19,14.45121
2021-10-20,15.04221
2021-10-21,13.81801
2021-10-22,11.93245
2021-10-23,4.58724
2021-10-24,1.99343
2021-10-25,10.6332
2021-10-26,12.5469
2021-10-27,12.5469
2021-10-28,12.78611
2021-10-29,11.24765
2021-10-30,5.64258
2021-10-31,2.62195
2021-11-01,11.29455
2021-11-02,11.72138
2021-11-03,13.49906
2021-11-04,15.07973
2021-11-05,13.77579
2021-11-06,5.30487
2021-11-07,2.65009
2021-11-08,10.70825
2021-11-09,13.32082
2021-11-10,13.30675
2021-11-11,17.41088
2021-11-12,16.07879
2021-11-13,5.95215
2021-11-14,3.26454
2021-11-15,10.6848
2021-11-16,15.4878
2021-11-17,21.40712
2021-11-18,18.39118
2021-11-19,17.04971
2021-11-20,7.75328
2021-11-21,3.35834
2021-11-22,14.44183
2021-11-23,19.26829
2021-11-24,17.92213
2021-11-25,17.07317
2021-11-26,15.15947
2021-11-27,8.12851
2021-11-28,3.90243
2021-11-29,13.65853
2021-11-30,14.83583
2021-12-01,16.59943
2021-12-02,15.29549
2021-12-03,13.0347
2021-12-04,6.62757
2021-12-05,3.1332
2021-12-06,11.00375
2021-12-07,11.909
2021-12-08,12.02626
2021-12-09,11.40243
2021-12-10,11.76829
2021-12-11,5.25328
2021-12-12,2.4953
2021-12-13,9.79362
2021-12-14,12.14821
2021-12-15,12.71575
2021-12-16,13.06754
2021-12-17,11.80112
2021-12-18,5.2908
2021-12-19,2.41557
2021-12-20,12.37804
2021-12-21,13.20825
2021-12-22,12.01688
2021-12-23,11.13508
2021-12-24,8.49906
2021-12-25,2.4953
2021-12-26,2.05909
2021-12-27,8.14727
2021-12-28,9.77485
2021-12-29,9.34333
2021-12-30,9.84521
2021-12-31,7.15759
2022-01-01,3.41463
2022-01-02,2.12476
2022-01-03,9.09005
2022-01-04,12.47654
2022-01-05,14.4559
2022-01-06,16.83864
2022-01-07,14.00093
2022-01-08,6.63227
2022-01-09,3.31144
2022-01-10,11.27579
2022-01-11,12.90806
2022-01-12,12.23733
2022-01-13,13.18949
2022-01-14,12.73921
2022-01-15,5.35178
2022-01-16,2.33114
2022-01-17,9.212
2022-01-18,10.98968
2022-01-19,12.91744
2022-01-20,11.82457
2022-01-21,11.50562
2022-01-22,5.20168
