date,아파트전세
2021-10-03,53.0558
2021-10-04,68.55624
2021-10-05,65.54472
2021-10-06,62.17891
2021-10-07,58.63596
2021-10-08,51.28432
2021-10-09,43.57838
2021-10-10,44.1984
2021-10-11,63.06465
2021-10-12,59.78742
2021-10-13,56.06731
2021-10-14,58.54738
2021-10-15,57.57307
2021-10-16,46.76705
2021-10-17,47.91851
2021-10-18,59.61027
2021-10-19,55.62444
2021-10-20,53.14437
2021-10-21,50.84145
2021-10-22,41.00974
2021-10-23,45.52701
2021-10-24,48.36138
2021-10-25,56.33303
2021-10-26,57.57307
2021-10-27,50.39858
2021-10-28,49.15854
2021-10-29,42.5155
2021-10-30,43.66696
2021-10-31,44.81842
2021-11-01,57.57307
2021-11-02,48.89282
2021-11-03,47.12134
2021-11-04,51.46147
2021-11-05,46.2356
2021-11-06,42.95837
2021-11-07,46.14703
2021-11-08,55.53587
2021-11-09,49.15854
2021-11-10,45.52701
2021-11-11,47.47564
2021-11-12,43.31266
2021-11-13,39.7697
2021-11-14,46.2356
2021-11-15,58.01594
2021-11-16,55.00442
2021-11-17,45.08414
2021-11-18,44.64127
2021-11-19,40.21257
2021-11-20,36.75819
2021-11-21,39.68113
2021-11-22,51.0186
2021-11-23,45.70416
2021-11-24,42.07263
2021-11-25,41.71833
2021-11-26,39.59255
2021-11-27,37.64393
2021-11-28,37.37821
2021-11-29,50.31
2021-11-30,45.08414
2021-12-01,40.03542
2021-12-02,40.65544
2021-12-03,40.38972
2021-12-04,39.41541
2021-12-05,46.32418
2021-12-06,49.68999
2021-12-07,48.18423
2021-12-08,52.61293
2021-12-09,45.96988
2021-12-10,50.75287
2021-12-11,43.57838
2021-12-12,46.05845
2021-12-13,55.00442
2021-12-14,49.06997
2021-12-15,45.17271
2021-12-16,44.28697
2021-12-17,39.7697
2021-12-18,37.99822
2021-12-19,47.91851
2021-12-20,58.28166
2021-12-21,47.74136
2021-12-22,45.70416
2021-12-23,44.99557
2021-12-24,37.20106
2021-12-25,36.13817
2021-12-26,45.26129
2021-12-27,55.53587
2021-12-28,46.94419
2021-12-29,44.81842
2021-12-30,46.76705
2021-12-31,39.41541
2022-01-01,42.07263
2022-01-02,49.24712
2022-01-03,66.16474
2022-01-04,58.99025
2022-01-05,58.28166
2022-01-06,59.43312
2022-01-07,57.30735
2022-01-08,56.68733
2022-01-09,61.64747
2022-01-10,72.54207
2022-01-11,59.69884
2022-01-12,57.30735
2022-01-13,57.83879
2022-01-14,52.52435
2022-01-15,49.51284
2022-01-16,59.78742
2022-01-17,60.40744
2022-01-18,57.30735
2022-01-19,55.53587
2022-01-20,56.06731
2022-01-21,48.71567
2022-01-22,48.36138
2022-01-23,55.97874
2022-01-24,63.06465
2022-01-25,55.89016
2022-01-26,49.06997
2022-01-27,47.91851
2022-01-28,40.83259
2022-01-29,39.59255
2022-01-30,38.0868
2022-01-31,40.30115
2022-02-01,39.23826
2022-02-02,52.79007
2022-02-03,63.33038
2022-02-04,65.54472
2022-02-05,55.093
2022-02-06,58.54738
2022-02-07,72.36492
2022-02-08,63.50752
2022-02-09,61.29317
2022-02-10,58.10451
2022-02-11,52.3472
2022-02-12,55.62444
2022-02-13,54.20726
2022-02-14,60.23029
2022-02-15,50.48715
2022-02-16,56.24446
2022-02-17,55.44729
2022-02-18,49.95571
2022-02-19,49.77856
2022-02-20,49.15854
2022-02-21,59.34455
2022-02-22,58.63596
2022-02-23,52.61293
2022-02-24,48.80425
2022-02-25,43.40124
2022-02-26,43.93268
2022-02-27,49.86713
2022-02-28,53.23294
2022-03-01,50.13286
2022-03-02,53.58724
2022-03-03,46.85562
2022-03-04,43.8441
2022-03-05,42.1612
2022-03-06,47.38706
2022-03-07,55.97874
2022-03-08,44.37555
2022-03-09,41.00974
2022-03-10,49.06997
2022-03-11,47.56421
2022-03-12,50.13286
2022-03-13,57.21877
2022-03-14,53.58724
2022-03-15,54.82728
2022-03-16,53.94154
2022-03-17,45.17271
2022-03-18,48.80425
2022-03-19,47.65279
2022-03-20,46.41275
2022-03-21,57.04162
2022-03-22,55.18157
2022-03-23,55.71302
2022-03-24,50.84145
2022-03-25,40.38972
2022-03-26,45.96988
2022-03-27,46.2356
2022-03-28,54.03011
2022-03-29,55.97874
2022-03-30,55.44729
2022-03-31,54.56155
2022-04-01,39.06111
2022-04-02,46.32418
2022-04-03,50.57573
2022-04-04,56.15589
2022-04-05,52.79007
2022-04-06,51.72719
2022-04-07,45.88131
2022-04-08,44.02125
2022-04-09,41.89548
2022-04-10,49.60141
2022-04-11,55.89016
2022-04-12,49.06997
2022-04-13,50.04428
2022-04-14,44.1984
2022-04-15,41.18689
2022-04-16,42.69264
2022-04-17,42.5155
2022-04-18,54.20726
2022-04-19,49.06997
2022-04-20,45.88131
2022-04-21,44.64127
2022-04-22,41.98405
2022-04-23,44.72984
2022-04-24,46.67847
2022-04-25,53.23294
2022-04-26,53.76439
2022-04-27,49.42426
2022-04-28,45.34986
2022-04-29,43.66696
2022-04-30,46.14703
2022-05-01,42.5155
2022-05-02,53.0558
2022-05-03,47.47564
2022-05-04,43.75553
2022-05-05,44.28697
2022-05-06,41.71833
2022-05-07,44.81842
2022-05-08,43.40124
2022-05-09,60.58458
2022-05-10,55.62444
2022-05-11,52.61293
2022-05-12,48.2728
2022-05-13,44.1984
2022-05-14,42.33835
2022-05-15,45.52701
2022-05-16,57.1302
2022-05-17,56.42161
2022-05-18,45.34986
2022-05-19,47.74136
2022-05-20,45.26129
2022-05-21,38.35252
2022-05-22,41.00974
2022-05-23,54.91585
2022-05-24,53.0558
2022-05-25,46.05845
2022-05-26,52.3472
2022-05-27,42.60407
2022-05-28,44.64127
2022-05-29,48.80425
2022-05-30,56.7759
2022-05-31,46.2356
2022-06-01,46.2356
2022-06-02,46.85562
2022-06-03,41.45261
2022-06-04,45.61558
2022-06-05,38.61824
2022-06-06,43.48981
2022-06-07,50.84145
2022-06-08,47.65279
2022-06-09,48.44995
2022-06-10,44.28697
2022-06-11,37.99822
2022-06-12,47.74136
2022-06-13,54.38441
2022-06-14,43.04694
2022-06-15,45.96988
2022-06-16,50.48715
2022-06-17,42.60407
2022-06-18,39.23826
2022-06-19,49.24712
2022-06-20,53.94154
2022-06-21,56.68733
2022-06-22,45.34986
2022-06-23,46.76705
2022-06-24,44.64127
2022-06-25,40.65544
2022-06-26,37.99822
2022-06-27,54.56155
2022-06-28,44.64127
2022-06-29,49.15854
2022-06-30,42.42692
2022-07-01,38.70682
2022-07-02,37.11248
2022-07-03,44.5527
2022-07-04,52.96722
2022-07-05,54.11868
2022-07-06,41.36403
2022-07-07,47.82993
2022-07-08,39.7697
2022-07-09,38.79539
2022-07-10,40.47829
2022-07-11,59.43312
2022-07-12,49.60141
2022-07-13,55.00442
2022-07-14,47.03277
2022-07-15,44.64127
2022-07-16,38.52967
2022-07-17,49.51284
2022-07-18,52.87865
2022-07-19,47.47564
2022-07-20,44.37555
2022-07-21,37.82108
2022-07-22,36.22674
2022-07-23,32.50664
2022-07-24,37.64393
2022-07-25,48.18423
2022-07-26,49.95571
2022-07-27,44.99557
2022-07-28,37.82108
2022-07-29,39.50398
2022-07-30,34.72099
2022-07-31,42.95837
2022-08-01,46.14703
2022-08-02,42.07263
2022-08-03,45.61558
2022-08-04,39.50398
2022-08-05,41.27546
2022-08-06,38.44109
2022-08-07,44.5527
2022-08-08,46.41275
2022-08-09,48.09565
2022-08-10,41.71833
2022-08-11,42.78122
2022-08-12,37.20106
2022-08-13,35.6953
2022-08-14,35.341
2022-08-15,46.41275
2022-08-16,54.56155
2022-08-17,47.20992
2022-08-18,43.75553
2022-08-19,38.61824
2022-08-20,37.11248
2022-08-21,47.47564
2022-08-22,55.53587
2022-08-23,52.79007
2022-08-24,50.75287
2022-08-25,45.34986
