date,전세권설정
2021-04-11,30.74792
2021-04-12,65.92797
2021-04-13,60.1108
2021-04-14,58.24099
2021-04-15,57.89473
2021-04-16,58.58725
2021-04-17,38.01939
2021-04-18,31.02493
2021-04-19,56.50969
2021-04-20,58.03324
2021-04-21,59.90304
2021-04-22,57.40997
2021-04-23,48.13019
2021-04-24,32.61772
2021-04-25,29.36288
2021-04-26,59.14127
2021-04-27,57.47922
2021-04-28,50.90027
2021-04-29,55.67867
2021-04-30,52.77008
2021-05-01,37.88088
2021-05-02,27.28531
2021-05-03,56.16343
2021-05-04,51.17728
2021-05-05,34.76454
2021-05-06,54.98614
2021-05-07,49.79224
2021-05-08,33.58725
2021-05-09,27.97783
2021-05-10,66.20498
2021-05-11,67.03601
2021-05-12,59.90304
2021-05-13,54.08587
2021-05-14,49.72299
2021-05-15,35.87257
2021-05-16,30.40166
2021-05-17,64.95844
2021-05-18,60.2493
2021-05-19,40.1662
2021-05-20,60.87257
2021-05-21,51.52354
2021-05-22,33.10249
2021-05-23,29.29362
2021-05-24,61.9806
2021-05-25,59.97229
2021-05-26,58.24099
2021-05-27,57.82548
2021-05-28,51.03878
2021-05-29,38.29639
2021-05-30,34.21052
2021-05-31,64.19667
2021-06-01,57.47922
2021-06-02,54.22437
2021-06-03,56.9252
2021-06-04,45.29085
2021-06-05,38.78116
2021-06-06,33.44875
2021-06-07,63.91966
2021-06-08,59.90304
2021-06-09,59.41828
2021-06-10,55.88642
2021-06-11,49.44598
2021-06-12,32.96398
2021-06-13,29.15512
2021-06-14,55.95567
2021-06-15,58.6565
2021-06-16,58.6565
2021-06-17,58.10249
2021-06-18,50.96952
2021-06-19,35.2493
2021-06-20,26.38504
2021-06-21,67.10526
2021-06-22,58.518
2021-06-23,52.63157
2021-06-24,59.21052
2021-06-25,47.36842
2021-06-26,37.95013
2021-06-27,29.36288
2021-06-28,59.41828
2021-06-29,59.34903
2021-06-30,53.94736
2021-07-01,51.52354
2021-07-02,54.29362
2021-07-03,36.14958
2021-07-04,30.54016
2021-07-05,65.65096
2021-07-06,61.56509
2021-07-07,60.31855
2021-07-08,60.59556
2021-07-09,54.57063
2021-07-10,40.1662
2021-07-11,30.3324
2021-07-12,65.51246
2021-07-13,66.20498
2021-07-14,66.41274
2021-07-15,58.17174
2021-07-16,55.67867
2021-07-17,39.75069
2021-07-18,34.69529
2021-07-19,62.95013
2021-07-20,63.36565
2021-07-21,58.10249
2021-07-22,63.91966
2021-07-23,57.47922
2021-07-24,39.19667
2021-07-25,29.29362
2021-07-26,62.60387
2021-07-27,58.24099
2021-07-28,60.38781
2021-07-29,54.15512
2021-07-30,53.11634
2021-07-31,38.36565
2021-08-01,26.52354
2021-08-02,55.95567
2021-08-03,59.07202
2021-08-04,58.86426
2021-08-05,55.88642
2021-08-06,54.22437
2021-08-07,43.14404
2021-08-08,30.54016
2021-08-09,67.17451
2021-08-10,67.10526
2021-08-11,69.94459
2021-08-12,69.52908
2021-08-13,59.83379
2021-08-14,41.68975
2021-08-15,33.03324
2021-08-16,44.66759
2021-08-17,75.277
2021-08-18,75.06925
2021-08-19,68.00554
2021-08-20,62.67313
2021-08-21,46.05263
2021-08-22,35.2493
2021-08-23,70.70637
2021-08-24,66.41274
2021-08-25,64.81994
2021-08-26,62.81163
2021-08-27,53.39335
2021-08-28,41.96675
2021-08-29,36.28808
2021-08-30,66.27423
2021-08-31,63.01939
2021-09-01,61.21883
2021-09-02,65.99722
2021-09-03,65.09695
2021-09-04,39.54293
2021-09-05,32.75623
2021-09-06,61.9806
2021-09-07,63.29639
2021-09-08,65.72022
2021-09-09,57.82548
2021-09-10,52.00831
2021-09-11,37.67313
2021-09-12,32.34072
2021-09-13,65.23545
2021-09-14,70.15235
2021-09-15,61.49584
2021-09-16,56.57894
2021-09-17,46.88365
2021-09-18,22.78393
2021-09-19,16.20498
2021-09-20,17.31301
2021-09-21,16.27423
2021-09-22,23.68421
2021-09-23,70.84487
2021-09-24,67.72853
2021-09-25,47.43767
2021-09-26,38.08864
2021-09-27,79.77839
2021-09-28,74.86149
2021-09-29,72.85318
2021-09-30,68.3518
2021-10-01,58.3795
2021-10-02,46.05263
2021-10-03,32.89473
2021-10-04,49.58448
2021-10-05,73.96121
2021-10-06,69.59833
2021-10-07,71.32963
2021-10-08,70.2216
2021-10-09,35.38781
2021-10-10,35.94182
2021-10-11,51.38504
2021-10-12,78.87811
2021-10-13,70.29085
2021-10-14,70.91412
2021-10-15,60.59556
2021-10-16,40.3047
2021-10-17,36.14958
2021-10-18,69.45983
2021-10-19,58.86426
2021-10-20,61.9806
2021-10-21,60.38781
2021-10-22,58.31024
2021-10-23,37.46537
2021-10-24,31.50969
2021-10-25,61.21883
2021-10-26,67.86703
2021-10-27,64.68144
