date,사업자등록증발급
2021-04-01,33.04083
2021-04-02,26.52716
2021-04-03,6.44616
2021-04-04,8.13364
2021-04-05,35.4708
2021-04-06,37.05703
2021-04-07,30.91461
2021-04-08,31.89335
2021-04-09,25.88592
2021-04-10,6.51366
2021-04-11,7.18866
2021-04-12,34.72831
2021-04-13,35.13331
2021-04-14,35.06581
2021-04-15,32.50084
2021-04-16,24.90718
2021-04-17,5.93992
2021-04-18,6.04117
2021-04-19,36.85453
2021-04-20,34.39082
2021-04-21,33.20958
2021-04-22,29.83462
2021-04-23,24.46844
2021-04-24,5.06243
2021-04-25,7.18866
2021-04-26,44.51569
2021-04-27,59.6355
2021-04-28,42.72696
2021-04-29,38.20452
2021-04-30,32.26459
2021-05-01,9.51738
2021-05-02,10.59736
2021-05-03,42.08572
2021-05-04,37.22578
2021-05-05,10.09112
2021-05-06,40.83698
2021-05-07,29.49713
2021-05-08,7.32365
2021-05-09,9.85487
2021-05-10,41.44448
2021-05-11,37.90077
2021-05-12,35.16706
2021-05-13,34.79581
2021-05-14,31.08336
2021-05-15,6.95241
2021-05-16,8.80863
2021-05-17,37.46203
2021-05-18,29.63212
2021-05-19,9.55113
2021-05-20,35.8758
2021-05-21,27.47215
2021-05-22,5.97367
2021-05-23,7.25615
2021-05-24,38.57576
2021-05-25,36.07829
2021-05-26,31.75835
2021-05-27,30.27337
2021-05-28,27.13466
2021-05-29,5.93992
2021-05-30,7.7624
2021-05-31,34.49206
2021-06-01,37.52953
2021-06-02,31.89335
2021-06-03,31.7921
2021-06-04,26.39217
2021-06-05,6.71616
2021-06-06,7.4249
2021-06-07,31.2521
2021-06-08,31.5221
2021-06-09,29.46338
2021-06-10,30.40836
2021-06-11,26.08842
2021-06-12,5.39993
2021-06-13,8.23489
2021-06-14,35.50455
2021-06-15,31.7246
2021-06-16,27.16841
2021-06-17,29.93587
2021-06-18,24.73844
2021-06-19,4.96118
2021-06-20,5.90617
2021-06-21,34.39082
2021-06-22,29.86837
2021-06-23,31.01586
2021-06-24,27.3709
2021-06-25,25.31218
2021-06-26,4.79244
2021-06-27,6.74991
2021-06-28,32.70334
2021-06-29,30.57711
2021-06-30,30.71211
2021-07-01,30.00337
2021-07-02,25.88592
2021-07-03,5.50118
2021-07-04,7.25615
2021-07-05,34.99831
2021-07-06,32.39959
2021-07-07,32.66959
2021-07-08,30.64461
2021-07-09,26.18967
2021-07-10,6.24367
2021-07-11,8.16739
2021-07-12,38.44076
2021-07-13,34.55956
2021-07-14,31.55585
2021-07-15,29.90212
2021-07-16,24.36719
2021-07-17,6.61491
2021-07-18,8.47114
2021-07-19,33.78332
2021-07-20,34.66081
2021-07-21,33.00708
2021-07-22,30.94836
2021-07-23,24.94093
2021-07-24,5.77117
2021-07-25,7.18866
2021-07-26,33.74957
2021-07-27,26.89841
2021-07-28,27.9109
2021-07-29,26.59466
2021-07-30,22.71346
2021-07-31,5.02868
2021-08-01,7.39115
2021-08-02,30.67836
2021-08-03,29.19338
2021-08-04,26.62841
2021-08-05,25.98717
2021-08-06,23.3547
2021-08-07,5.56868
2021-08-08,7.4924
2021-08-09,32.46709
2021-08-10,32.56834
2021-08-11,29.39588
2021-08-12,29.46338
2021-08-13,24.56969
2021-08-14,6.17617
2021-08-15,4.92743
2021-08-16,10.56361
2021-08-17,35.57205
2021-08-18,31.75835
2021-08-19,33.20958
2021-08-20,27.4384
2021-08-21,6.78366
2021-08-22,8.77489
2021-08-23,37.02328
2021-08-24,32.70334
2021-08-25,30.34087
2021-08-26,28.48464
2021-08-27,23.32095
2021-08-28,6.68241
2021-08-29,6.81741
2021-08-30,35.97705
2021-08-31,34.01957
2021-09-01,31.69085
2021-09-02,29.66587
2021-09-03,26.83091
2021-09-04,6.37867
2021-09-05,8.43739
2021-09-06,29.83462
2021-09-07,30.54336
2021-09-08,33.20958
2021-09-09,29.19338
2021-09-10,25.81842
2021-09-11,5.87242
2021-09-12,7.79615
2021-09-13,31.55585
2021-09-14,29.36213
2021-09-15,28.04589
2021-09-16,23.72595
2021-09-17,19.13601
2021-09-18,4.79244
2021-09-19,3.50995
2021-09-20,2.93621
2021-09-21,3.23995
2021-09-22,6.41241
2021-09-23,32.09584
2021-09-24,25.48093
2021-09-25,6.14242
2021-09-26,7.12116
2021-09-27,36.07829
2021-09-28,31.55585
2021-09-29,33.41208
2021-09-30,47.55315
2021-10-01,34.82956
2021-10-02,6.91866
2021-10-03,6.88491
2021-10-04,13.26358
2021-10-05,43.5032
2021-10-06,37.42828
2021-10-07,36.78704
2021-10-08,29.32838
2021-10-09,7.5599
2021-10-10,6.51366
2021-10-11,11.54235
2021-10-12,43.7057
2021-10-13,36.44954
2021-10-14,31.62335
2021-10-15,29.86837
2021-10-16,5.63617
2021-10-17,7.2224
2021-10-18,35.30205
2021-10-19,34.39082
2021-10-20,28.95713
2021-10-21,27.06716
2021-10-22,23.86095
2021-10-23,5.70367
2021-10-24,7.4249
2021-10-25,32.80458
2021-10-26,32.53459
2021-10-27,37.09078
2021-10-28,33.14208
2021-10-29,27.8434
2021-10-30,8.67364
2021-10-31,7.8299
2021-11-01,39.9595
2021-11-02,38.74451
2021-11-03,35.06581
2021-11-04,31.35335
2021-11-05,25.07593
2021-11-06,6.27742
2021-11-07,8.47114
2021-11-08,35.63955
2021-11-09,40.16199
2021-11-10,33.81707
2021-11-11,30.34087
2021-11-12,26.45966
2021-11-13,6.95241
2021-11-14,8.03239
2021-11-15,34.66081
2021-11-16,33.74957
2021-11-17,30.47586
2021-11-18,27.20215
2021-11-19,26.12217
2021-11-20,6.44616
2021-11-21,6.85116
2021-11-22,32.29834
2021-11-23,30.77961
2021-11-24,27.26965
2021-11-25,27.5059
2021-11-26,22.20722
2021-11-27,6.27742
2021-11-28,7.5599
2021-11-29,31.7246
2021-11-30,28.58589
2021-12-01,29.80087
2021-12-02,28.04589
2021-12-03,23.6247
2021-12-04,5.50118
2021-12-05,8.06614
2021-12-06,35.57205
2021-12-07,31.9946
2021-12-08,27.3709
2021-12-09,28.41714
2021-12-10,23.2197
2021-12-11,5.77117
2021-12-12,7.25615
2021-12-13,33.95207
2021-12-14,33.07458
2021-12-15,28.92338
2021-12-16,27.7084
2021-12-17,24.56969
2021-12-18,6.00742
2021-12-19,8.53864
2021-12-20,29.53088
2021-12-21,31.7246
2021-12-22,29.66587
2021-12-23,25.58218
2021-12-24,19.84475
2021-12-25,4.69119
2021-12-26,6.95241
2021-12-27,29.86837
2021-12-28,30.34087
2021-12-29,26.72966
2021-12-30,27.10091
2021-12-31,20.55349
2022-01-01,6.17617
2022-01-02,9.31488
2022-01-03,37.86702
2022-01-04,36.61829
2022-01-05,39.31825
2022-01-06,39.38575
2022-01-07,33.54708
2022-01-08,7.7624
2022-01-09,9.58488
2022-01-10,41.71447
2022-01-11,37.09078
2022-01-12,40.90448
2022-01-13,36.07829
