date,종합지수
2021-04-03,3.18302
2021-04-04,1.35573
2021-04-05,36.98791
2021-04-06,37.43
2021-04-07,34.8659
2021-04-08,38.34364
2021-04-09,35.48482
2021-04-10,2.26937
2021-04-11,1.061
2021-04-12,33.86383
2021-04-13,34.95431
2021-04-14,36.07427
2021-04-15,36.33952
2021-04-16,35.16062
2021-04-17,1.82729
2021-04-18,1.14942
2021-04-19,32.59652
2021-04-20,35.10167
2021-04-21,50.92838
2021-04-22,39.02151
2021-04-23,41.79192
2021-04-24,2.74093
2021-04-25,1.32625
2021-04-26,36.13321
2021-04-27,36.16268
2021-04-28,42.67609
2021-04-29,41.90981
2021-04-30,47.86324
2021-05-01,2.91777
2021-05-02,1.85676
2021-05-03,46.03595
2021-05-04,47.4801
2021-05-05,4.03772
2021-05-06,39.6699
2021-05-07,41.26142
2021-05-08,2.79988
2021-05-09,1.20837
2021-05-10,42.52873
2021-05-11,51.90097
2021-05-12,64.45623
2021-05-13,68.19923
2021-05-14,47.56852
2021-05-15,2.7704
2021-05-16,1.7094
2021-05-17,51.13468
2021-05-18,40.55408
2021-05-19,3.97877
2021-05-20,46.89065
2021-05-21,46.89065
2021-05-22,2.50515
2021-05-23,1.59151
2021-05-24,43.00029
2021-05-25,39.34571
2021-05-26,42.76451
2021-05-27,45.09283
2021-05-28,38.78573
2021-05-29,2.68199
2021-05-30,1.53256
2021-05-31,38.63837
2021-06-01,38.49101
2021-06-02,42.29295
2021-06-03,43.50132
2021-06-04,43.4129
2021-06-05,3.03566
2021-06-06,1.23784
2021-06-07,44.5918
2021-06-08,43.67816
2021-06-09,45.53492
2021-06-10,41.02564
2021-06-11,39.61096
2021-06-12,1.88623
2021-06-13,1.73887
2021-06-14,41.08458
2021-06-15,40.67197
2021-06-16,41.08458
2021-06-17,45.18125
2021-06-18,37.04686
2021-06-19,3.27144
2021-06-20,1.41467
2021-06-21,53.2567
2021-06-22,40.5246
2021-06-23,44.23813
2021-06-24,39.34571
2021-06-25,38.87415
2021-06-26,2.47568
2021-06-27,1.29678
2021-06-28,43.2066
2021-06-29,40.43619
2021-06-30,37.43
2021-07-01,44.73916
2021-07-02,38.54995
2021-07-03,2.15148
2021-07-04,1.88623
2021-07-05,35.80901
2021-07-06,33.12702
2021-07-07,41.46772
2021-07-08,48.24638
2021-07-09,67.25611
2021-07-10,4.15561
2021-07-11,2.21043
2021-07-12,43.97288
2021-07-13,36.60477
2021-07-14,43.4129
2021-07-15,37.54789
2021-07-16,43.38343
2021-07-17,2.41674
2021-07-18,1.73887
2021-07-19,43.44238
2021-07-20,51.51783
2021-07-21,48.12849
2021-07-22,40.34777
2021-07-23,36.39846
2021-07-24,2.94724
2021-07-25,0.88417
2021-07-26,42.41084
2021-07-27,37.57736
2021-07-28,43.26554
2021-07-29,38.72679
2021-07-30,49.66106
2021-07-31,3.56616
2021-08-01,2.26937
2021-08-02,42.46979
2021-08-03,43.02976
2021-08-04,39.25729
2021-08-05,38.84468
2021-08-06,40.17094
2021-08-07,2.47568
2021-08-08,1.97465
2021-08-09,44.41497
2021-08-10,42.3519
2021-08-11,46.12437
2021-08-12,42.3519
2021-08-13,66.8435
2021-08-14,3.71352
2021-08-15,2.47568
2021-08-16,5.4524
2021-08-17,60.50692
2021-08-18,51.93044
2021-08-19,69.20129
2021-08-20,76.68729
2021-08-21,5.59976
2021-08-22,3.59563
2021-08-23,52.0778
2021-08-24,45.74123
2021-08-25,51.60624
2021-08-26,53.5809
2021-08-27,46.83171
2021-08-28,3.33038
