date,필리핀환율
2021-08-09,9.80675
2021-08-10,9.21661
2021-08-11,8.76533
2021-08-12,9.07775
2021-08-13,9.76625
2021-08-14,5.60634
2021-08-15,5.00462
2021-08-16,7.44619
2021-08-17,9.98611
2021-08-18,9.90511
2021-08-19,9.55797
2021-08-20,9.74311
2021-08-21,5.63526
2021-08-22,5.13769
2021-08-23,10.03239
2021-08-24,9.02568
2021-08-25,8.95626
2021-08-26,8.80583
2021-08-27,8.44133
2021-08-28,5.54848
2021-08-29,4.86577
2021-08-30,8.16361
2021-08-31,10.02082
2021-09-01,10.06711
2021-09-02,9.4654
2021-09-03,8.44711
2021-09-04,5.61212
2021-09-05,4.98727
2021-09-06,9.12404
2021-09-07,8.46447
2021-09-08,8.58597
2021-09-09,8.79426
2021-09-10,8.81161
2021-09-11,5.34019
2021-09-12,4.82527
2021-09-13,9.00254
2021-09-14,8.43554
2021-09-15,8.50497
2021-09-16,8.35454
2021-09-17,8.32561
2021-09-18,5.44434
2021-09-19,4.59384
2021-09-20,5.80305
2021-09-21,6.15019
2021-09-22,6.42791
2021-09-23,9.89932
2021-09-24,8.99676
2021-09-25,5.86669
2021-09-26,5.08562
2021-09-27,10.29275
2021-09-28,10.30432
2021-09-29,10.10182
2021-09-30,10.09025
2021-10-01,9.32075
2021-10-02,5.34019
2021-10-03,5.53691
2021-10-04,7.86276
2021-10-05,9.7894
2021-10-06,10.06132
2021-10-07,8.81161
2021-10-08,9.37861
2021-10-09,5.45012
2021-10-10,5.20712
2021-10-11,7.99004
2021-10-12,9.7894
2021-10-13,9.08354
2021-10-14,9.52325
2021-10-15,9.55797
2021-10-16,6.13283
2021-10-17,5.69312
2021-10-18,8.73061
2021-10-19,8.58018
2021-10-20,9.12983
2021-10-21,8.76533
2021-10-22,8.28511
2021-10-23,5.21869
2021-10-24,4.96412
2021-10-25,9.75468
2021-10-26,9.04883
2021-10-27,9.12404
2021-10-28,9.34968
2021-10-29,10.24068
2021-10-30,5.58319
2021-10-31,5.65841
2021-11-01,8.86368
2021-11-02,8.73061
2021-11-03,8.81161
2021-11-04,8.56283
2021-11-05,8.92154
2021-11-06,6.08076
2021-11-07,4.95255
2021-11-08,9.24554
2021-11-09,10.52996
2021-11-10,8.84054
2021-11-11,9.22818
2021-11-12,8.71904
2021-11-13,5.52534
2021-11-14,4.72112
