date,멋진사진
2021-08-30,48.76543
2021-08-31,67.90123
2021-09-01,45.06172
2021-09-02,45.06172
2021-09-03,48.14814
2021-09-04,37.65432
2021-09-05,33.95061
2021-09-06,42.59259
2021-09-07,56.17283
2021-09-08,40.12345
2021-09-09,53.08641
2021-09-10,48.76543
2021-09-11,41.35802
2021-09-12,36.41975
2021-09-13,42.59259
2021-09-14,40.12345
2021-09-15,36.41975
2021-09-16,56.79012
2021-09-17,50.61728
2021-09-18,48.14814
2021-09-19,44.44444
2021-09-20,37.65432
2021-09-21,29.62962
2021-09-22,39.50617
2021-09-23,41.9753
2021-09-24,35.18518
2021-09-25,37.65432
2021-09-26,51.23456
2021-09-27,41.35802
2021-09-28,45.06172
2021-09-29,37.03703
2021-09-30,44.44444
2021-10-01,39.50617
2021-10-02,43.20987
2021-10-03,38.2716
2021-10-04,41.35802
2021-10-05,38.2716
2021-10-06,35.80246
2021-10-07,43.20987
2021-10-08,43.20987
2021-10-09,52.46913
2021-10-10,43.82716
2021-10-11,37.03703
2021-10-12,45.67901
2021-10-13,38.2716
2021-10-14,32.09876
2021-10-15,31.48148
2021-10-16,47.53086
2021-10-17,48.14814
2021-10-18,45.67901
2021-10-19,50.0
2021-10-20,34.5679
2021-10-21,43.20987
2021-10-22,48.14814
2021-10-23,36.41975
2021-10-24,39.50617
2021-10-25,32.09876
2021-10-26,37.65432
2021-10-27,35.80246
2021-10-28,48.76543
2021-10-29,48.14814
2021-10-30,51.85185
2021-10-31,41.9753
2021-11-01,46.29629
2021-11-02,43.82716
2021-11-03,45.06172
2021-11-04,50.61728
2021-11-05,37.03703
2021-11-06,41.35802
2021-11-07,45.06172
2021-11-08,41.9753
2021-11-09,51.23456
2021-11-10,59.87654
2021-11-11,32.71604
2021-11-12,48.14814
2021-11-13,43.20987
2021-11-14,58.02469
2021-11-15,54.32098
2021-11-16,63.58024
2021-11-17,43.20987
2021-11-18,65.43209
2021-11-19,44.44444
2021-11-20,47.53086
2021-11-21,52.46913
2021-11-22,35.80246
2021-11-23,45.67901
2021-11-24,32.71604
2021-11-25,43.20987
2021-11-26,48.76543
2021-11-27,57.4074
2021-11-28,48.76543
2021-11-29,37.65432
2021-11-30,51.85185
2021-12-01,48.14814
2021-12-02,40.74074
2021-12-03,50.0
2021-12-04,43.20987
2021-12-05,33.33333
2021-12-06,35.80246
2021-12-07,47.53086
2021-12-08,45.67901
2021-12-09,48.76543
2021-12-10,52.46913
2021-12-11,50.61728
2021-12-12,49.38271
2021-12-13,35.18518
2021-12-14,40.12345
2021-12-15,46.91358
2021-12-16,58.64197
2021-12-17,42.59259
2021-12-18,47.53086
2021-12-19,43.20987
2021-12-20,39.50617
2021-12-21,47.53086
2021-12-22,39.50617
2021-12-23,49.38271
2021-12-24,45.67901
2021-12-25,48.14814
2021-12-26,53.08641
2021-12-27,49.38271
2021-12-28,48.14814
2021-12-29,54.93827
2021-12-30,55.55555
2021-12-31,61.11111
2022-01-01,68.51851
2022-01-02,45.67901
2022-01-03,48.76543
2022-01-04,56.17283
2022-01-05,45.06172
2022-01-06,45.67901
2022-01-07,50.0
2022-01-08,52.46913
2022-01-09,45.67901
2022-01-10,43.82716
2022-01-11,54.32098
2022-01-12,60.49382
2022-01-13,48.76543
2022-01-14,43.20987
2022-01-15,50.0
2022-01-16,34.5679
2022-01-17,41.35802
2022-01-18,46.91358
2022-01-19,45.67901
2022-01-20,45.06172
2022-01-21,48.76543
2022-01-22,51.23456
2022-01-23,49.38271
2022-01-24,40.74074
2022-01-25,49.38271
2022-01-26,37.03703
2022-01-27,53.7037
2022-01-28,45.67901
2022-01-29,51.85185
2022-01-30,33.95061
2022-01-31,33.95061
2022-02-01,36.41975
2022-02-02,48.14814
2022-02-03,47.53086
2022-02-04,43.82716
2022-02-05,64.81481
2022-02-06,37.65432
2022-02-07,44.44444
2022-02-08,46.91358
2022-02-09,43.82716
2022-02-10,49.38271
2022-02-11,50.61728
2022-02-12,43.20987
2022-02-13,56.79012
2022-02-14,49.38271
2022-02-15,53.08641
2022-02-16,48.76543
2022-02-17,51.85185
2022-02-18,41.35802
2022-02-19,61.11111
2022-02-20,59.25925
2022-02-21,49.38271
2022-02-22,49.38271
2022-02-23,61.11111
2022-02-24,55.55555
2022-02-25,51.85185
2022-02-26,49.38271
2022-02-27,46.29629
2022-02-28,45.06172
2022-03-01,53.7037
2022-03-02,51.23456
2022-03-03,43.20987
2022-03-04,45.06172
2022-03-05,57.4074
2022-03-06,43.82716
2022-03-07,53.08641
2022-03-08,40.74074
2022-03-09,45.67901
2022-03-10,40.12345
2022-03-11,39.50617
2022-03-12,49.38271
2022-03-13,48.76543
2022-03-14,38.88888
2022-03-15,43.82716
2022-03-16,45.67901
2022-03-17,51.85185
2022-03-18,46.29629
2022-03-19,46.91358
2022-03-20,56.79012
2022-03-21,41.9753
2022-03-22,40.12345
2022-03-23,41.9753
2022-03-24,48.76543
2022-03-25,47.53086
2022-03-26,50.61728
2022-03-27,54.32098
2022-03-28,43.20987
2022-03-29,45.06172
2022-03-30,55.55555
2022-03-31,50.61728
2022-04-01,48.76543
2022-04-02,50.61728
2022-04-03,54.32098
2022-04-04,42.59259
2022-04-05,50.0
2022-04-06,41.35802
2022-04-07,46.91358
2022-04-08,53.08641
2022-04-09,52.46913
2022-04-10,47.53086
2022-04-11,39.50617
2022-04-12,47.53086
2022-04-13,39.50617
2022-04-14,41.9753
2022-04-15,38.88888
2022-04-16,49.38271
2022-04-17,40.12345
2022-04-18,36.41975
2022-04-19,37.65432
2022-04-20,43.82716
2022-04-21,45.06172
2022-04-22,46.29629
2022-04-23,42.59259
2022-04-24,44.44444
2022-04-25,43.20987
2022-04-26,38.2716
2022-04-27,41.9753
2022-04-28,44.44444
2022-04-29,29.01234
2022-04-30,45.06172
2022-05-01,32.71604
2022-05-02,40.12345
2022-05-03,36.41975
2022-05-04,35.18518
2022-05-05,43.82716
2022-05-06,33.95061
2022-05-07,38.2716
2022-05-08,40.12345
2022-05-09,30.86419
2022-05-10,39.50617
2022-05-11,48.14814
2022-05-12,41.9753
2022-05-13,43.82716
2022-05-14,44.44444
2022-05-15,49.38271
2022-05-16,36.41975
2022-05-17,38.2716
2022-05-18,37.03703
2022-05-19,41.35802
2022-05-20,48.76543
2022-05-21,46.29629
2022-05-22,43.20987
2022-05-23,51.23456
2022-05-24,45.67901
2022-05-25,34.5679
2022-05-26,43.20987
2022-05-27,31.48148
2022-05-28,43.82716
2022-05-29,36.41975
2022-05-30,25.92592
2022-05-31,52.46913
2022-06-01,38.88888
2022-06-02,29.62962
2022-06-03,43.20987
2022-06-04,40.12345
2022-06-05,37.03703
2022-06-06,42.59259
2022-06-07,29.62962
2022-06-08,40.74074
2022-06-09,53.08641
2022-06-10,52.46913
2022-06-11,45.06172
2022-06-12,44.44444
2022-06-13,32.09876
2022-06-14,40.12345
2022-06-15,40.12345
2022-06-16,32.71604
2022-06-17,37.65432
2022-06-18,42.59259
2022-06-19,41.9753
2022-06-20,26.5432
2022-06-21,32.71604
2022-06-22,47.53086
2022-06-23,38.2716
2022-06-24,28.39506
2022-06-25,35.18518
2022-06-26,31.48148
2022-06-27,41.35802
2022-06-28,41.35802
2022-06-29,40.12345
2022-06-30,53.7037
2022-07-01,33.95061
2022-07-02,40.74074
2022-07-03,46.29629
2022-07-04,35.18518
2022-07-05,40.74074
2022-07-06,44.44444
2022-07-07,33.95061
2022-07-08,45.06172
2022-07-09,53.7037
2022-07-10,37.03703
2022-07-11,40.12345
2022-07-12,42.59259
2022-07-13,41.9753
2022-07-14,43.82716
2022-07-15,30.24691
2022-07-16,38.2716
2022-07-17,37.65432
2022-07-18,54.93827
2022-07-19,40.12345
2022-07-20,34.5679
2022-07-21,37.65432
2022-07-22,36.41975
2022-07-23,41.9753
2022-07-24,34.5679
2022-07-25,27.16049
2022-07-26,46.29629
2022-07-27,43.82716
2022-07-28,45.06172
2022-07-29,38.88888
2022-07-30,37.65432
2022-07-31,37.03703
2022-08-01,50.0
2022-08-02,43.20987
2022-08-03,39.50617
2022-08-04,33.33333
2022-08-05,48.14814
2022-08-06,33.95061
2022-08-07,40.12345
2022-08-08,42.59259
2022-08-09,45.06172
2022-08-10,45.67901
2022-08-11,45.06172
2022-08-12,32.09876
2022-08-13,35.80246
2022-08-14,29.62962
2022-08-15,38.2716
2022-08-16,31.48148
2022-08-17,37.03703
2022-08-18,45.67901
2022-08-19,40.74074
2022-08-20,37.03703
2022-08-21,37.03703
2022-08-22,40.12345
2022-08-23,28.39506
2022-08-24,45.67901
2022-08-25,35.18518
2022-08-26,38.88888
2022-08-27,28.39506
2022-08-28,32.09876
2022-08-29,42.59259
2022-08-30,41.35802
2022-08-31,31.48148
2022-09-01,43.20987
2022-09-02,40.74074
2022-09-03,39.50617
2022-09-04,54.93827
2022-09-05,37.03703
2022-09-06,42.59259
2022-09-07,37.65432
2022-09-08,31.48148
2022-09-09,27.16049
2022-09-10,35.18518
2022-09-11,50.61728
2022-09-12,33.33333
2022-09-13,28.39506
2022-09-14,40.74074
2022-09-15,47.53086
2022-09-16,37.03703
2022-09-17,47.53086
2022-09-18,40.12345
2022-09-19,53.08641
2022-09-20,37.03703
2022-09-21,48.14814
2022-09-22,48.14814
2022-09-23,43.20987
2022-09-24,37.65432
2022-09-25,43.82716
2022-09-26,35.80246
2022-09-27,40.74074
2022-09-28,45.06172
2022-09-29,31.48148
2022-09-30,33.95061
2022-10-01,44.44444
2022-10-02,31.48148
2022-10-03,64.19753
2022-10-04,35.18518
2022-10-05,40.12345
2022-10-06,33.33333
2022-10-07,25.30864
2022-10-08,37.03703
2022-10-09,24.07407
2022-10-10,51.85185
2022-10-11,32.71604
2022-10-12,38.2716
2022-10-13,46.91358
2022-10-14,41.35802
2022-10-15,37.03703
2022-10-16,33.95061
2022-10-17,37.03703
2022-10-18,32.71604
2022-10-19,33.95061
2022-10-20,30.86419
2022-10-21,44.44444
2022-10-22,37.03703
2022-10-23,30.24691
2022-10-24,23.45679
2022-10-25,31.48148
2022-10-26,43.20987
2022-10-27,37.03703
2022-10-28,31.48148
2022-10-29,31.48148
2022-10-30,39.50617
2022-10-31,43.82716
2022-11-01,36.41975
2022-11-02,35.80246
2022-11-03,38.2716
2022-11-04,31.48148
2022-11-05,38.88888
2022-11-06,35.18518
2022-11-07,39.50617
2022-11-08,40.74074
2022-11-09,37.65432
2022-11-10,37.03703
2022-11-11,28.39506
2022-11-12,29.62962
2022-11-13,53.08641
2022-11-14,42.59259
2022-11-15,46.29629
2022-11-16,37.03703
2022-11-17,36.41975
2022-11-18,37.03703
2022-11-19,40.74074
2022-11-20,45.67901
2022-11-21,41.35802
2022-11-22,37.03703
2022-11-23,33.95061
2022-11-24,44.44444
2022-11-25,48.14814
2022-11-26,40.12345
2022-11-27,33.95061
2022-11-28,37.03703
2022-11-29,38.88888
2022-11-30,45.06172
2022-12-01,41.35802
2022-12-02,33.33333
2022-12-03,33.95061
2022-12-04,36.41975
2022-12-05,33.33333
2022-12-06,32.09876
2022-12-07,38.2716
2022-12-08,46.29629
2022-12-09,36.41975
2022-12-10,45.67901
2022-12-11,32.71604
2022-12-12,35.80246
2022-12-13,37.03703
2022-12-14,40.74074
2022-12-15,37.03703
2022-12-16,41.9753
2022-12-17,32.09876
2022-12-18,26.5432
2022-12-19,27.16049
2022-12-20,27.16049
2022-12-21,24.69135
2022-12-22,34.5679
2022-12-23,30.86419
2022-12-24,31.48148
2022-12-25,28.39506
2022-12-26,39.50617
2022-12-27,36.41975
2022-12-28,29.01234
2022-12-29,40.12345
2022-12-30,41.9753
2022-12-31,52.46913
2023-01-01,52.46913
2023-01-02,41.9753
2023-01-03,45.67901
2023-01-04,38.2716
2023-01-05,31.48148
2023-01-06,43.82716
2023-01-07,37.03703
2023-01-08,41.35802
2023-01-09,41.35802
2023-01-10,58.02469
2023-01-11,48.76543
2023-01-12,44.44444
2023-01-13,53.08641
2023-01-14,50.0
2023-01-15,43.82716
2023-01-16,33.95061
2023-01-17,38.2716
2023-01-18,41.9753
2023-01-19,43.82716
2023-01-20,38.88888
2023-01-21,39.50617
2023-01-22,22.22222
2023-01-23,38.2716
2023-01-24,48.76543
2023-01-25,36.41975
2023-01-26,41.35802
2023-01-27,35.80246
2023-01-28,58.64197
2023-01-29,45.06172
2023-01-30,43.20987
2023-01-31,35.80246
2023-02-01,26.5432
2023-02-02,53.08641
2023-02-03,35.18518
2023-02-04,35.18518
2023-02-05,30.86419
2023-02-06,41.35802
2023-02-07,40.74074
2023-02-08,41.9753
2023-02-09,46.29629
2023-02-10,36.41975
2023-02-11,38.2716
2023-02-12,30.86419
2023-02-13,32.09876
2023-02-14,38.2716
2023-02-15,41.9753
2023-02-16,48.76543
2023-02-17,46.91358
2023-02-18,41.35802
2023-02-19,37.03703
2023-02-20,49.38271
2023-02-21,39.50617
2023-02-22,49.38271
2023-02-23,37.03703
2023-02-24,35.80246
2023-02-25,36.41975
2023-02-26,36.41975
