date,전세권설정해지
2021-03-10,63.94984
2021-03-11,67.71159
2021-03-12,45.14106
2021-03-13,26.0188
2021-03-14,29.46708
2021-03-15,60.50156
2021-03-16,69.27899
2021-03-17,63.63636
2021-03-18,54.85893
2021-03-19,51.41065
2021-03-20,26.64576
2021-03-21,28.52664
2021-03-22,62.06896
2021-03-23,53.60501
2021-03-24,57.05329
2021-03-25,67.71159
2021-03-26,45.14106
2021-03-27,27.5862
2021-03-28,15.98746
2021-03-29,73.66771
2021-03-30,57.99373
2021-03-31,57.05329
2021-04-01,50.15673
2021-04-02,38.87147
2021-04-03,20.68965
2021-04-04,25.07836
2021-04-05,58.62068
2021-04-06,46.0815
2021-04-07,48.90282
2021-04-08,48.90282
2021-04-09,52.97805
2021-04-10,17.24137
2021-04-11,18.18181
2021-04-12,68.96551
2021-04-13,53.60501
2021-04-14,44.5141
2021-04-15,42.00626
2021-04-16,40.75235
2021-04-17,30.721
2021-04-18,21.63009
2021-04-19,48.58934
2021-04-20,48.58934
2021-04-21,60.81504
2021-04-22,40.12539
2021-04-23,43.26018
2021-04-24,20.06269
2021-04-25,19.43573
2021-04-26,56.42633
2021-04-27,49.84326
2021-04-28,36.99059
2021-04-29,43.88714
2021-04-30,49.2163
2021-05-01,27.89968
2021-05-02,21.31661
2021-05-03,60.81504
2021-05-04,37.61755
2021-05-05,23.82445
2021-05-06,46.0815
2021-05-07,41.37931
2021-05-08,25.39184
2021-05-09,23.19749
2021-05-10,63.94984
2021-05-11,47.02194
2021-05-12,41.69278
2021-05-13,52.97805
2021-05-14,46.39498
2021-05-15,21.31661
2021-05-16,19.74921
2021-05-17,55.79937
2021-05-18,52.35109
2021-05-19,32.2884
2021-05-20,60.50156
2021-05-21,48.27586
2021-05-22,22.57053
2021-05-23,18.18181
2021-05-24,67.08463
2021-05-25,56.42633
2021-05-26,49.52978
2021-05-27,44.20062
2021-05-28,41.37931
2021-05-29,31.03448
2021-05-30,26.95924
2021-05-31,63.63636
2021-06-01,54.54545
2021-06-02,50.47021
2021-06-03,43.26018
2021-06-04,42.63322
2021-06-05,25.70532
2021-06-06,13.16614
2021-06-07,50.78369
2021-06-08,41.37931
2021-06-09,34.48275
2021-06-10,32.60188
2021-06-11,37.61755
2021-06-12,15.04702
2021-06-13,11.59874
2021-06-14,36.67711
2021-06-15,38.87147
2021-06-16,43.88714
2021-06-17,41.06583
2021-06-18,49.84326
2021-06-19,14.73354
2021-06-20,19.43573
2021-06-21,50.15673
2021-06-22,42.31974
2021-06-23,44.20062
2021-06-24,40.75235
2021-06-25,37.93103
2021-06-26,23.19749
2021-06-27,20.06269
2021-06-28,57.99373
2021-06-29,42.9467
2021-06-30,41.06583
2021-07-01,46.70846
2021-07-02,44.20062
2021-07-03,15.3605
2021-07-04,19.43573
2021-07-05,44.20062
2021-07-06,50.47021
2021-07-07,40.12539
2021-07-08,40.12539
2021-07-09,36.99059
2021-07-10,21.31661
2021-07-11,15.3605
2021-07-12,42.9467
2021-07-13,45.45454
2021-07-14,40.43887
2021-07-15,43.57366
2021-07-16,38.87147
2021-07-17,20.37617
2021-07-18,17.86833
2021-07-19,53.60501
2021-07-20,51.09717
2021-07-21,50.15673
2021-07-22,47.02194
2021-07-23,38.24451
2021-07-24,28.21316
2021-07-25,19.43573
2021-07-26,52.35109
2021-07-27,45.76802
