date,이벤트응모
2021-02-24,52.40963
2021-02-25,55.62248
2021-02-26,52.00803
2021-02-27,50.80321
2021-02-28,54.21686
2021-03-01,58.23293
2021-03-02,59.83935
2021-03-03,54.01606
2021-03-04,58.03212
2021-03-05,51.60642
2021-03-06,52.81124
2021-03-07,50.4016
2021-03-08,68.07228
2021-03-09,65.26104
2021-03-10,55.42168
2021-03-11,61.44578
2021-03-12,56.6265
2021-03-13,52.61044
2021-03-14,48.79518
2021-03-15,57.42971
2021-03-16,60.84337
2021-03-17,54.41767
2021-03-18,52.20883
2021-03-19,47.79116
2021-03-20,47.18875
2021-03-21,47.38955
2021-03-22,58.03212
2021-03-23,51.40562
2021-03-24,55.22088
2021-03-25,56.22489
2021-03-26,57.63052
2021-03-27,48.59437
2021-03-28,48.59437
2021-03-29,58.03212
2021-03-30,54.61847
2021-03-31,57.42971
2021-04-01,54.21686
2021-04-02,51.80722
2021-04-03,54.61847
2021-04-04,51.80722
2021-04-05,61.04417
2021-04-06,56.02409
2021-04-07,58.83534
2021-04-08,55.62248
2021-04-09,64.85943
2021-04-10,52.00803
2021-04-11,52.81124
2021-04-12,56.8273
2021-04-13,59.23694
2021-04-14,66.06425
2021-04-15,59.63855
2021-04-16,57.83132
2021-04-17,50.4016
2021-04-18,48.79518
2021-04-19,58.43373
2021-04-20,65.66265
2021-04-21,64.45783
2021-04-22,63.65461
2021-04-23,60.44176
2021-04-24,51.60642
2021-04-25,50.2008
2021-04-26,55.62248
2021-04-27,57.22891
2021-04-28,61.64658
2021-04-29,60.24096
2021-04-30,66.66666
2021-05-01,59.43775
2021-05-02,66.86746
2021-05-03,65.86345
2021-05-04,68.47389
2021-05-05,58.63453
2021-05-06,61.64658
2021-05-07,66.06425
2021-05-08,57.02811
2021-05-09,53.41365
2021-05-10,62.8514
2021-05-11,61.84738
2021-05-12,63.85542
2021-05-13,64.05622
2021-05-14,57.02811
2021-05-15,48.59437
2021-05-16,45.18072
2021-05-17,58.03212
2021-05-18,58.23293
2021-05-19,56.02409
2021-05-20,63.0522
2021-05-21,52.61044
2021-05-22,48.19277
2021-05-23,45.58232
2021-05-24,56.8273
2021-05-25,54.61847
2021-05-26,64.05622
2021-05-27,66.66666
2021-05-28,66.46586
2021-05-29,51.20481
2021-05-30,47.99196
2021-05-31,65.26104
2021-06-01,66.46586
2021-06-02,63.65461
2021-06-03,71.48594
2021-06-04,61.04417
2021-06-05,46.18473
2021-06-06,49.39759
2021-06-07,62.6506
2021-06-08,59.43775
2021-06-09,56.22489
2021-06-10,59.03614
2021-06-11,52.20883
2021-06-12,51.40562
2021-06-13,51.20481
2021-06-14,58.43373
2021-06-15,62.44979
2021-06-16,57.22891
2021-06-17,54.21686
2021-06-18,58.03212
2021-06-19,51.20481
2021-06-20,48.79518
2021-06-21,57.22891
2021-06-22,61.04417
2021-06-23,62.24899
2021-06-24,64.05622
2021-06-25,56.4257
2021-06-26,52.61044
2021-06-27,49.59839
2021-06-28,67.46987
2021-06-29,100.0
2021-06-30,76.30522
2021-07-01,74.29718
2021-07-02,65.06024
2021-07-03,49.39759
2021-07-04,56.8273
2021-07-05,63.65461
2021-07-06,73.09236
2021-07-07,67.87148
2021-07-08,65.06024
2021-07-09,62.04819
2021-07-10,57.22891
2021-07-11,56.22489
2021-07-12,56.8273
2021-07-13,70.08032
2021-07-14,61.24497
2021-07-15,59.63855
2021-07-16,64.65863
2021-07-17,48.39357
2021-07-18,52.40963
2021-07-19,58.23293
2021-07-20,61.24497
2021-07-21,57.83132
2021-07-22,55.02008
2021-07-23,60.84337
2021-07-24,47.18875
2021-07-25,52.00803
2021-07-26,60.64257
2021-07-27,65.66265
2021-07-28,77.51004
2021-07-29,70.68273
2021-07-30,70.28112
2021-07-31,52.40963
2021-08-01,51.60642
2021-08-02,65.86345
2021-08-03,65.46184
2021-08-04,74.69879
2021-08-05,62.8514
2021-08-06,54.01606
2021-08-07,47.79116
2021-08-08,39.15662
2021-08-09,60.44176
2021-08-10,61.64658
2021-08-11,66.86746
2021-08-12,71.08433
2021-08-13,77.91164
2021-08-14,54.41767
2021-08-15,52.81124
2021-08-16,61.24497
2021-08-17,83.73493
2021-08-18,79.11646
2021-08-19,65.06024
2021-08-20,70.28112
2021-08-21,54.61847
2021-08-22,51.00401
2021-08-23,63.0522
2021-08-24,64.25702
2021-08-25,67.46987
2021-08-26,62.24899
2021-08-27,70.88353
2021-08-28,58.43373
2021-08-29,54.81927
2021-08-30,77.10843
2021-08-31,58.43373
2021-09-01,64.05622
2021-09-02,59.03614
2021-09-03,60.44176
2021-09-04,47.79116
2021-09-05,52.40963
2021-09-06,61.44578
2021-09-07,59.03614
2021-09-08,65.46184
2021-09-09,60.24096
2021-09-10,60.44176
2021-09-11,53.61445
2021-09-12,58.03212
2021-09-13,58.83534
2021-09-14,61.84738
2021-09-15,66.26506
2021-09-16,63.65461
2021-09-17,61.24497
2021-09-18,43.57429
2021-09-19,41.16465
2021-09-20,38.55421
2021-09-21,40.56224
2021-09-22,53.41365
2021-09-23,60.04016
2021-09-24,57.63052
2021-09-25,55.62248
2021-09-26,54.01606
2021-09-27,56.4257
2021-09-28,62.8514
2021-09-29,66.66666
2021-09-30,64.65863
2021-10-01,60.44176
2021-10-02,55.02008
2021-10-03,54.61847
2021-10-04,58.83534
2021-10-05,60.84337
2021-10-06,61.44578
2021-10-07,63.85542
2021-10-08,63.65461
2021-10-09,62.04819
2021-10-10,60.44176
2021-10-11,62.24899
2021-10-12,62.6506
2021-10-13,68.27309
2021-10-14,66.86746
2021-10-15,71.88755
2021-10-16,58.03212
2021-10-17,60.24096
2021-10-18,64.05622
2021-10-19,68.8755
2021-10-20,67.67068
2021-10-21,59.23694
2021-10-22,59.43775
2021-10-23,40.96385
2021-10-24,51.40562
2021-10-25,59.23694
2021-10-26,56.4257
2021-10-27,53.21285
2021-10-28,56.8273
2021-10-29,63.85542
2021-10-30,45.18072
2021-10-31,47.18875
2021-11-01,56.6265
2021-11-02,51.00401
2021-11-03,57.42971
2021-11-04,58.83534
2021-11-05,54.81927
2021-11-06,49.59839
2021-11-07,55.22088
2021-11-08,65.46184
2021-11-09,61.24497
2021-11-10,57.02811
2021-11-11,52.40963
2021-11-12,45.38152
2021-11-13,46.98795
2021-11-14,49.39759
2021-11-15,57.42971
2021-11-16,59.63855
2021-11-17,58.63453
2021-11-18,57.42971
2021-11-19,53.01204
2021-11-20,49.19678
2021-11-21,43.57429
2021-11-22,55.42168
2021-11-23,49.79919
2021-11-24,59.63855
2021-11-25,59.83935
2021-11-26,64.65863
2021-11-27,56.8273
2021-11-28,54.21686
2021-11-29,65.66265
2021-11-30,62.6506
2021-12-01,62.44979
2021-12-02,67.06827
2021-12-03,62.44979
2021-12-04,50.2008
2021-12-05,52.81124
2021-12-06,58.03212
2021-12-07,62.8514
2021-12-08,54.41767
2021-12-09,61.44578
2021-12-10,62.44979
2021-12-11,46.98795
2021-12-12,46.58634
2021-12-13,58.43373
2021-12-14,60.04016
2021-12-15,58.63453
2021-12-16,60.04016
2021-12-17,61.44578
2021-12-18,47.79116
2021-12-19,50.4016
2021-12-20,56.6265
2021-12-21,63.85542
2021-12-22,61.04417
2021-12-23,61.24497
2021-12-24,59.63855
2021-12-25,47.59036
2021-12-26,50.2008
