date,파이코인상장
2021-02-11,11.38053
2021-02-12,11.24043
2021-02-13,10.58303
2021-02-14,12.57678
2021-02-15,17.03847
2021-02-16,16.51039
2021-02-17,22.64252
2021-02-18,23.64478
2021-02-19,22.10367
2021-02-20,25.326
2021-02-21,25.02424
2021-02-22,29.34583
2021-02-23,25.82174
2021-02-24,24.35607
2021-02-25,22.86884
2021-02-26,21.43549
2021-02-27,18.46104
2021-02-28,17.42644
2021-03-01,18.97833
2021-03-02,19.85127
2021-03-03,22.67485
2021-03-04,19.15077
2021-03-05,16.89837
2021-03-06,17.64198
2021-03-07,16.07931
2021-03-08,16.90914
2021-03-09,19.53874
2021-03-10,20.39012
2021-03-11,22.78262
2021-03-12,22.71796
2021-03-13,22.23299
2021-03-14,26.89945
2021-03-15,30.78995
2021-03-16,25.59543
2021-03-17,27.09343
2021-03-18,26.44681
2021-03-19,23.77411
2021-03-20,23.44002
2021-03-21,24.08664
2021-03-22,26.44681
2021-03-23,25.66009
2021-03-24,26.52225
2021-03-25,21.9959
2021-03-26,25.15357
2021-03-27,23.25681
2021-03-28,23.20293
2021-03-29,27.88015
2021-03-30,28.76387
2021-03-31,33.51654
2021-04-01,33.88296
2021-04-02,35.6935
2021-04-03,31.64134
2021-04-04,31.61978
2021-04-05,38.58174
2021-04-06,38.17221
2021-04-07,32.19096
2021-04-08,33.02079
2021-04-09,42.15971
2021-04-10,34.42181
2021-04-11,33.96917
2021-04-12,39.43312
2021-04-13,39.00204
2021-04-14,41.70708
2021-04-15,47.24647
2021-04-16,100.0
2021-04-17,77.72389
2021-04-18,66.12781
2021-04-19,86.01142
2021-04-20,92.21898
2021-04-21,94.23429
2021-04-22,73.32686
2021-04-23,52.18234
2021-04-24,49.46653
2021-04-25,48.15174
2021-04-26,50.68434
2021-04-27,50.68434
2021-04-28,45.97478
2021-04-29,47.20336
2021-04-30,41.23289
2021-05-01,33.82907
2021-05-02,36.04914
2021-05-03,43.89481
2021-05-04,43.2913
2021-05-05,40.88802
2021-05-06,48.48582
2021-05-07,45.00484
2021-05-08,41.29755
2021-05-09,40.79103
2021-05-10,44.41211
2021-05-11,40.64015
2021-05-12,40.03664
2021-05-13,36.27546
2021-05-14,33.32255
2021-05-15,29.06563
2021-05-16,30.40198
2021-05-17,32.42806
2021-05-18,28.63455
2021-05-19,24.25907
2021-05-20,28.2789
2021-05-21,25.62776
2021-05-22,21.48938
2021-05-23,21.84502
2021-05-24,24.9488
2021-05-25,25.14279
2021-05-26,26.06961
2021-05-27,24.60394
2021-05-28,22.04978
2021-05-29,20.61644
2021-05-30,20.53022
2021-05-31,22.81495
2021-06-01,22.35154
2021-06-02,21.00441
2021-06-03,19.53874
2021-06-04,16.99536
2021-06-05,14.59208
2021-06-06,16.90914
2021-06-07,21.98512
2021-06-08,20.08837
2021-06-09,23.28914
2021-06-10,22.97661
2021-06-11,19.02144
