date,다우나스닥
2021-08-12,15.61863
2021-08-13,14.47268
2021-08-14,9.80745
2021-08-15,1.5415
2021-08-16,5.85771
2021-08-17,15.6768
2021-08-18,18.78308
2021-08-19,21.40073
2021-08-20,21.93589
2021-08-21,12.54726
2021-08-22,2.01268
2021-08-23,6.41033
2021-08-24,17.43354
2021-08-25,17.56151
2021-08-26,17.29974
2021-08-27,18.78308
2021-08-28,11.52928
2021-08-29,1.47751
2021-08-30,4.95608
2021-08-31,15.82223
2021-09-01,16.54354
2021-09-02,14.96131
2021-09-03,14.51922
2021-09-04,9.39445
2021-09-05,1.73346
2021-09-06,4.38019
2021-09-07,11.94811
2021-09-08,15.95602
2021-09-09,16.97399
2021-09-10,15.69425
2021-09-11,10.53458
2021-09-12,1.98359
2021-09-13,5.6483
2021-09-14,15.17654
2021-09-15,16.56099
2021-09-16,15.8804
2021-09-17,13.69902
2021-09-18,8.92909
2021-09-19,1.61712
2021-09-20,4.97934
2021-09-21,17.68948
2021-09-22,20.34785
2021-09-23,19.76033
2021-09-24,17.47425
2021-09-25,11.69798
2021-09-26,2.07666
2021-09-27,6.35216
2021-09-28,18.63765
2021-09-29,25.15269
2021-09-30,21.38909
2021-10-01,22.30818
2021-10-02,13.32092
2021-10-03,2.52457
2021-10-04,10.15066
2021-10-05,25.89727
2021-10-06,25.40282
2021-10-07,26.02524
2021-10-08,18.9285
2021-10-09,12.04118
2021-10-10,2.24536
2021-10-11,6.8466
2021-10-12,19.17863
2021-10-13,20.45256
2021-10-14,19.58001
2021-10-15,17.65458
2021-10-16,10.86615
2021-10-17,2.22209
2021-10-18,6.67791
2021-10-19,16.74131
2021-10-20,15.08929
2021-10-21,16.61916
2021-10-22,14.7868
2021-10-23,9.41771
2021-10-24,2.05921
2021-10-25,5.09568
2021-10-26,14.83334
2021-10-27,15.04275
2021-10-28,16.44465
2021-10-29,15.04275
2021-10-30,9.85981
2021-10-31,1.89634
2021-11-01,4.9968
2021-11-02,12.71595
2021-11-03,15.33942
2021-11-04,15.54883
2021-11-05,14.78099
