date,비트코인전망
2021-07-17,7.74442
2021-07-18,6.26726
2021-07-19,8.84962
2021-07-20,15.83156
2021-07-21,9.46599
2021-07-22,8.18012
2021-07-23,5.92454
2021-07-24,5.94845
2021-07-25,5.93783
2021-07-26,11.07598
2021-07-27,9.64399
2021-07-28,8.00743
2021-07-29,6.15834
2021-07-30,5.93517
2021-07-31,6.73751
2021-08-01,6.37088
2021-08-02,6.42136
2021-08-03,6.27258
2021-08-04,5.72794
2021-08-05,5.48352
2021-08-06,5.53666
2021-08-07,9.02497
2021-08-08,7.95961
2021-08-09,7.2476
2021-08-10,6.81721
2021-08-11,7.7763
2021-08-12,9.44739
2021-08-13,7.63283
2021-08-14,9.63602
2021-08-15,8.3289
2021-08-16,8.24123
2021-08-17,8.04729
2021-08-18,9.77948
2021-08-19,7.25292
2021-08-20,6.84909
2021-08-21,6.55951
2021-08-22,5.94845
2021-08-23,7.10414
2021-08-24,7.60095
2021-08-25,9.23485
2021-08-26,9.30658
2021-08-27,8.48565
2021-08-28,5.93783
2021-08-29,5.03719
2021-08-30,6.1052
2021-08-31,5.52072
2021-09-01,5.30552
2021-09-02,5.72263
2021-09-03,5.4543
2021-09-04,4.6493
2021-09-05,4.54038
2021-09-06,5.88469
2021-09-07,8.22263
2021-09-08,15.26567
2021-09-09,5.69872
2021-09-10,5.31349
2021-09-11,5.20722
2021-09-12,4.7476
2021-09-13,6.93145
2021-09-14,5.11424
2021-09-15,4.18437
2021-09-16,4.23219
2021-09-17,3.70882
2021-09-18,3.25451
2021-09-19,3.03134
2021-09-20,7.73379
2021-09-21,8.23591
2021-09-22,10.58182
2021-09-23,6.87832
2021-09-24,8.5866
2021-09-25,7.65143
2021-09-26,8.31562
2021-09-27,6.40807
2021-09-28,8.5441
2021-09-29,7.46546
2021-09-30,5.9272
2021-10-01,6.50371
2021-10-02,5.94314
2021-10-03,4.47662
2021-10-04,5.70935
2021-10-05,6.27258
2021-10-06,7.3459
2021-10-07,7.00318
2021-10-08,5.36131
2021-10-09,4.50318
2021-10-10,4.63602
2021-10-11,7.03506
2021-10-12,7.76567
2021-10-13,5.46493
2021-10-14,4.95483
2021-10-15,6.09192
2021-10-16,6.21679
2021-10-17,4.65993
2021-10-18,6.4001
2021-10-19,4.89638
2021-10-20,6.4001
2021-10-21,7.14665
2021-10-22,6.09989
2021-10-23,4.8459
2021-10-24,3.79914
2021-10-25,3.92401
2021-10-26,3.80977
2021-10-27,7.1068
2021-10-28,5.18065
2021-10-29,3.28108
2021-10-30,2.92507
2021-10-31,3.49893
2021-11-01,4.195
2021-11-02,3.62911
2021-11-03,3.84962
2021-11-04,3.61583
2021-11-05,3.04994
2021-11-06,2.45749
2021-11-07,3.00212
2021-11-08,5.8289
2021-11-09,6.07332
2021-11-10,4.43145
2021-11-11,4.8459
2021-11-12,4.0356
2021-11-13,3.49362
2021-11-14,2.86397
2021-11-15,3.86025
2021-11-16,7.66206
2021-11-17,6.25929
2021-11-18,4.69713
2021-11-19,7.89054
2021-11-20,3.73273
2021-11-21,3.41126
2021-11-22,4.61742
2021-11-23,5.72263
2021-11-24,4.59883
2021-11-25,4.53772
2021-11-26,5.77311
2021-11-27,4.89373
2021-11-28,5.14346
2021-11-29,4.2747
2021-11-30,4.25876
2021-12-01,4.00106
2021-12-02,3.85759
2021-12-03,3.28905
2021-12-04,19.42348
2021-12-05,7.33793
2021-12-06,12.81349
2021-12-07,6.03347
2021-12-08,5.96174
2021-12-09,5.20988
2021-12-10,7.43092
2021-12-11,5.53134
2021-12-12,5.05313
2021-12-13,7.82943
2021-12-14,13.48831
2021-12-15,6.8119
2021-12-16,6.54888
2021-12-17,5.6323
2021-12-18,5.11955
2021-12-19,4.45536
2021-12-20,7.5611
2021-12-21,5.55526
2021-12-22,4.16843
2021-12-23,3.97715
2021-12-24,4.28799
2021-12-25,2.97821
2021-12-26,3.64771
2021-12-27,3.54144
2021-12-28,5.09032
2021-12-29,7.81615
2021-12-30,7.5
2021-12-31,4.44739
2022-01-01,4.02497
2022-01-02,3.7035
2022-01-03,4.22157
2022-01-04,5.70138
2022-01-05,4.35441
2022-01-06,11.81987
2022-01-07,9.70775
2022-01-08,7.15727
2022-01-09,8.20669
2022-01-10,10.96174
2022-01-11,8.78586
2022-01-12,5.72794
2022-01-13,4.83793
2022-01-14,4.86184
2022-01-15,3.65302
2022-01-16,4.6068
2022-01-17,5.11424
2022-01-18,7.64612
2022-01-19,7.28746
2022-01-20,4.95749
2022-01-21,14.47662
2022-01-22,21.99256
2022-01-23,11.37885
2022-01-24,15.5526
2022-01-25,9.28533
2022-01-26,8.42986
2022-01-27,6.96599
2022-01-28,5.19659
2022-01-29,4.44208
2022-01-30,4.56429
2022-01-31,4.26408
2022-02-01,4.1339
2022-02-02,4.54569
2022-02-03,5.29224
2022-02-04,4.0967
2022-02-05,7.31137
2022-02-06,5.28161
2022-02-07,5.56588
2022-02-08,7.53985
