date,P2P
2021-03-14,18.46563
2021-03-15,25.31461
2021-03-16,18.87705
2021-03-17,18.22362
2021-03-18,21.4424
2021-03-19,18.05421
2021-03-20,16.50532
2021-03-21,16.67473
2021-03-22,19.57889
2021-03-23,18.97386
2021-03-24,18.32042
2021-03-25,19.55469
2021-03-26,17.13455
2021-03-27,15.56147
2021-03-28,15.56147
2021-03-29,19.11907
2021-03-30,20.64375
2021-03-31,19.26427
2021-04-01,19.91771
2021-04-02,17.909
2021-04-03,15.46466
2021-04-04,14.83543
2021-04-05,21.68441
2021-04-06,21.32139
2021-04-07,19.89351
2021-04-08,19.96611
2021-04-09,18.32042
2021-04-10,12.5121
2021-04-11,14.98063
2021-04-12,20.11132
2021-04-13,19.11907
2021-04-14,18.94966
2021-04-15,18.36882
2021-04-16,18.87705
2021-04-17,14.3756
2021-04-18,15.90029
2021-04-19,17.81219
2021-04-20,21.63601
2021-04-21,20.03872
2021-04-22,18.41723
2021-04-23,20.23233
2021-04-24,15.63407
2021-04-25,15.46466
2021-04-26,19.94191
2021-04-27,20.35333
2021-04-28,18.73184
2021-04-29,19.94191
2021-04-30,18.73184
2021-05-01,14.61761
2021-05-02,13.43175
2021-05-03,19.8209
2021-05-04,18.99806
2021-05-05,14.13359
2021-05-06,17.54598
2021-05-07,17.44917
2021-05-08,13.04453
2021-05-09,17.8848
2021-05-10,23.20909
2021-05-11,18.12681
2021-05-12,19.31268
2021-05-13,19.04646
2021-05-14,17.18296
2021-05-15,12.5121
2021-05-16,15.70667
2021-05-17,16.62633
2021-05-18,17.9816
2021-05-19,14.01258
2021-05-20,19.31268
2021-05-21,18.27202
2021-05-22,11.90706
2021-05-23,13.06873
2021-05-24,17.73959
2021-05-25,17.73959
2021-05-26,18.90125
2021-05-27,18.07841
2021-05-28,16.55372
2021-05-29,11.83446
2021-05-30,12.17328
2021-05-31,19.60309
2021-06-01,17.25556
2021-06-02,15.77928
2021-06-03,17.71539
2021-06-04,18.48983
2021-06-05,11.51984
2021-06-06,13.55275
2021-06-07,19.50629
2021-06-08,18.51403
2021-06-09,39.66602
2021-06-10,29.54985
2021-06-11,20.61955
2021-06-12,11.03581
2021-06-13,12.6331
2021-06-14,19.19167
2021-06-15,17.32817
2021-06-16,18.10261
2021-06-17,15.70667
2021-06-18,15.85188
2021-06-19,10.96321
2021-06-20,11.78606
2021-06-21,14.03678
2021-06-22,15.12584
2021-06-23,14.49661
2021-06-24,14.3272
2021-06-25,12.99612
2021-06-26,11.10842
2021-06-27,11.88286
2021-06-28,15.31945
2021-06-29,15.94869
2021-06-30,13.89157
2021-07-01,14.27879
2021-07-02,12.27008
2021-07-03,9.48693
2021-07-04,10.7696
2021-07-05,15.48886
2021-07-06,16.1907
2021-07-07,15.97289
2021-07-08,14.66602
2021-07-09,14.95643
2021-07-10,10.57599
2021-07-11,11.88286
2021-07-12,14.3272
2021-07-13,16.04549
2021-07-14,14.49661
2021-07-15,14.52081
2021-07-16,12.6089
2021-07-17,9.39012
2021-07-18,9.31752
2021-07-19,15.34365
2021-07-20,17.11035
2021-07-21,25.43562
2021-07-22,19.94191
2021-07-23,15.39206
2021-07-24,9.82575
2021-07-25,11.56824
2021-07-26,15.97289
2021-07-27,15.39206
2021-07-28,14.73862
2021-07-29,14.4482
2021-07-30,13.62536
2021-07-31,10.43078
2021-08-01,10.91481
2021-08-02,15.27105
2021-08-03,15.70667
2021-08-04,16.40851
2021-08-05,14.71442
2021-08-06,12.5363
2021-08-07,16.28751
2021-08-08,12.6573
2021-08-09,16.65053
2021-08-10,15.65827
2021-08-11,16.72313
2021-08-12,15.29525
2021-08-13,16.65053
2021-08-14,12.94772
2021-08-15,11.44724
2021-08-16,11.83446
2021-08-17,16.28751
2021-08-18,14.01258
2021-08-19,14.73862
2021-08-20,14.23039
2021-08-21,12.82671
2021-08-22,12.6089
2021-08-23,25.79864
2021-08-24,18.92545
2021-08-25,35.96321
2021-08-26,25.0242
2021-08-27,23.98354
2021-08-28,11.81026
2021-08-29,12.5847
2021-08-30,16.81994
2021-08-31,17.66698
2021-09-01,17.18296
2021-09-02,16.31171
2021-09-03,15.29525
2021-09-04,11.68925
2021-09-05,10.7454
2021-09-06,16.52952
2021-09-07,14.81122
2021-09-08,16.26331
2021-09-09,15.44046
2021-09-10,14.52081
2021-09-11,11.10842
2021-09-12,9.70474
2021-09-13,15.60987
2021-09-14,14.27879
2021-09-15,14.56921
2021-09-16,12.48789
2021-09-17,12.10067
2021-09-18,10.8422
2021-09-19,9.60793
2021-09-20,8.9787
2021-09-21,8.49467
2021-09-22,9.39012
2021-09-23,15.60987
2021-09-24,14.98063
2021-09-25,11.66505
2021-09-26,11.20522
2021-09-27,14.71442
2021-09-28,14.10939
2021-09-29,16.62633
2021-09-30,12.68151
2021-10-01,16.38431
2021-10-02,11.51984
2021-10-03,10.55179
2021-10-04,11.95546
2021-10-05,14.85963
2021-10-06,14.3272
2021-10-07,12.77831
2021-10-08,13.91577
2021-10-09,9.97095
2021-10-10,9.97095
2021-10-11,11.85866
2021-10-12,12.87512
2021-10-13,12.97192
2021-10-14,13.06873
2021-10-15,13.06873
2021-10-16,11.08422
2021-10-17,9.84995
2021-10-18,12.87512
2021-10-19,13.79477
2021-10-20,13.62536
2021-10-21,13.55275
2021-10-22,13.06873
2021-10-23,11.95546
2021-10-24,10.60019
2021-10-25,16.0939
2021-10-26,15.15004
2021-10-27,13.02032
2021-10-28,11.93126
2021-10-29,12.85091
2021-10-30,9.48693
2021-10-31,10.8906
2021-11-01,12.5121
2021-11-02,14.93223
2021-11-03,13.43175
2021-11-04,14.18199
2021-11-05,15.05324
2021-11-06,9.77734
2021-11-07,11.47144
2021-11-08,13.74636
2021-11-09,12.85091
2021-11-10,12.6089
2021-11-11,13.91577
2021-11-12,12.00387
2021-11-13,11.59244
2021-11-14,11.42303
2021-11-15,13.23814
2021-11-16,15.22265
2021-11-17,13.98838
2021-11-18,14.98063
2021-11-19,13.09293
2021-11-20,11.13262
2021-11-21,11.03581
2021-11-22,13.91577
2021-11-23,13.40755
2021-11-24,14.01258
2021-11-25,13.62536
2021-11-26,11.27783
2021-11-27,10.40658
2021-11-28,11.51984
2021-11-29,14.23039
2021-11-30,13.40755
2021-12-01,13.06873
2021-12-02,13.04453
2021-12-03,13.02032
2021-12-04,9.72894
2021-12-05,10.33397
2021-12-06,13.98838
2021-12-07,15.94869
2021-12-08,13.06873
2021-12-09,15.58567
2021-12-10,13.57696
2021-12-11,11.01161
2021-12-12,11.85866
2021-12-13,14.3756
2021-12-14,14.47241
2021-12-15,14.52081
2021-12-16,13.81897
2021-12-17,12.43949
2021-12-18,11.22942
2021-12-19,11.97967
2021-12-20,14.52081
2021-12-21,14.85963
2021-12-22,13.50435
2021-12-23,12.94772
2021-12-24,11.59244
2021-12-25,11.32623
2021-12-26,11.25363
2021-12-27,13.18973
2021-12-28,13.67376
2021-12-29,13.89157
2021-12-30,13.86737
2021-12-31,11.56824
2022-01-01,9.80154
2022-01-02,11.30203
2022-01-03,14.13359
2022-01-04,14.08518
2022-01-05,13.26234
2022-01-06,13.11713
2022-01-07,11.49564
2022-01-08,11.27783
2022-01-09,12.36689
2022-01-10,14.13359
2022-01-11,14.73862
2022-01-12,13.84317
2022-01-13,12.94772
2022-01-14,13.86737
2022-01-15,10.69699
2022-01-16,10.96321
2022-01-17,13.48015
2022-01-18,13.52855
2022-01-19,13.02032
2022-01-20,13.86737
2022-01-21,12.10067
2022-01-22,12.41529
2022-01-23,11.37463
2022-01-24,13.96418
2022-01-25,14.20619
2022-01-26,14.4482
2022-01-27,12.94772
2022-01-28,12.39109
2022-01-29,10.45498
2022-01-30,10.38238
2022-01-31,9.53533
2022-02-01,10.62439
2022-02-02,12.39109
2022-02-03,14.95643
2022-02-04,16.65053
2022-02-05,12.10067
2022-02-06,10.8664
2022-02-07,13.64956
2022-02-08,14.3756
2022-02-09,16.60212
2022-02-10,13.57696
2022-02-11,13.23814
2022-02-12,10.06776
2022-02-13,10.67279
2022-02-14,12.94772
2022-02-15,14.06098
2022-02-16,14.424
2022-02-17,13.79477
2022-02-18,12.97192
2022-02-19,9.19651
2022-02-20,11.20522
2022-02-21,14.49661
2022-02-22,13.38334
2022-02-23,14.49661
2022-02-24,13.60116
2022-02-25,12.80251
2022-02-26,11.95546
2022-02-27,10.69699
2022-02-28,13.69796
2022-03-01,11.37463
2022-03-02,14.424
2022-03-03,12.72991
2022-03-04,12.46369
2022-03-05,9.0029
2022-03-06,11.15682
2022-03-07,14.52081
2022-03-08,12.89932
2022-03-09,10.47918
2022-03-10,13.55275
2022-03-11,12.87512
2022-03-12,9.82575
2022-03-13,11.25363
2022-03-14,13.96418
2022-03-15,14.424
2022-03-16,14.10939
2022-03-17,13.14133
2022-03-18,13.43175
2022-03-19,11.27783
2022-03-20,10.43078
2022-03-21,14.64181
2022-03-22,13.93998
2022-03-23,13.98838
2022-03-24,14.69022
2022-03-25,13.93998
2022-03-26,11.42303
2022-03-27,10.40658
2022-03-28,14.93223
2022-03-29,15.12584
2022-03-30,13.09293
2022-03-31,12.14908
2022-04-01,13.23814
2022-04-02,9.24491
2022-04-03,10.06776
2022-04-04,14.3514
2022-04-05,14.3998
2022-04-06,13.16553
2022-04-07,12.68151
2022-04-08,12.31848
2022-04-09,10.04356
2022-04-10,9.92255
2022-04-11,13.67376
2022-04-12,14.66602
2022-04-13,15.02904
2022-04-14,14.27879
2022-04-15,14.3756
2022-04-16,10.33397
2022-04-17,10.98741
2022-04-18,13.52855
2022-04-19,13.55275
2022-04-20,13.62536
2022-04-21,14.49661
2022-04-22,13.96418
2022-04-23,9.97095
2022-04-24,11.93126
2022-04-25,13.35914
2022-04-26,13.55275
2022-04-27,13.06873
2022-04-28,12.97192
2022-04-29,10.8906
2022-04-30,8.90609
2022-05-01,8.34946
2022-05-02,11.30203
2022-05-03,11.15682
2022-05-04,11.64085
2022-05-05,8.9545
2022-05-06,10.67279
2022-05-07,7.93804
2022-05-08,8.32526
2022-05-09,11.51984
2022-05-10,13.02032
2022-05-11,12.68151
2022-05-12,11.83446
2022-05-13,12.07647
