date,온투업
2022-03-16,12.59445
2022-03-17,12.34256
2022-03-18,11.08312
2022-03-19,3.52644
2022-03-20,3.77833
2022-03-21,8.31234
2022-03-22,6.54911
2022-03-23,10.07556
2022-03-24,8.06045
2022-03-25,11.33501
2022-03-27,1.51133
2022-03-28,10.83123
2022-03-29,9.82367
2022-03-30,7.55667
2022-03-31,10.83123
2022-04-01,8.81612
2022-04-02,1.25944
2022-04-03,1.25944
2022-04-04,9.57178
2022-04-05,8.56423
2022-04-06,13.35012
2022-04-07,9.82367
2022-04-08,10.32745
2022-04-09,1.76322
2022-04-10,3.52644
2022-04-11,10.32745
2022-04-12,13.8539
2022-04-13,12.84634
2022-04-14,15.11335
2022-04-15,10.57934
2022-04-16,2.77078
2022-04-17,3.02267
2022-04-18,11.33501
2022-04-19,17.63224
2022-04-20,16.87657
2022-04-21,16.62468
2022-04-22,10.83123
2022-04-23,3.02267
2022-04-24,1.76322
2022-04-25,15.61712
2022-04-26,9.82367
2022-04-27,9.57178
2022-04-28,11.83879
2022-04-29,8.31234
2022-04-30,1.76322
2022-05-01,1.51133
2022-05-02,17.38035
2022-05-03,10.32745
2022-05-04,8.81612
2022-05-05,4.28211
2022-05-06,8.06045
2022-05-07,1.76322
2022-05-08,5.54156
2022-05-09,14.10579
2022-05-10,15.61712
2022-05-11,19.89924
2022-05-12,25.4408
2022-05-13,8.56423
2022-05-14,4.78589
2022-05-15,3.77833
2022-05-16,13.60201
2022-05-17,13.35012
2022-05-18,8.31234
2022-05-19,15.11335
2022-05-20,6.04534
2022-05-21,1.51133
2022-05-22,4.28211
2022-05-23,11.83879
2022-05-24,9.31989
2022-05-25,10.57934
2022-05-26,16.1209
2022-05-27,10.83123
2022-05-28,2.267
2022-05-29,2.01511
2022-05-30,10.07556
2022-05-31,10.83123
2022-06-01,2.51889
2022-06-02,12.59445
2022-06-03,11.08312
2022-06-04,2.267
2022-06-05,2.01511
2022-06-07,12.09068
2022-06-08,12.84634
2022-06-09,9.57178
2022-06-10,9.57178
2022-06-11,2.01511
2022-06-12,1.76322
2022-06-13,10.57934
2022-06-14,10.07556
2022-06-15,13.60201
2022-06-16,11.83879
2022-06-17,14.60957
2022-06-18,4.78589
2022-06-19,5.28967
2022-06-20,12.34256
2022-06-21,11.5869
2022-06-22,14.10579
2022-06-23,12.09068
2022-06-24,8.81612
2022-06-25,2.77078
2022-06-26,2.267
2022-06-27,8.06045
2022-06-28,9.31989
2022-06-29,10.32745
2022-06-30,59.94962
2022-07-01,38.28715
2022-07-02,7.30478
2022-07-03,5.03778
2022-07-04,16.1209
2022-07-05,14.60957
2022-07-06,14.86146
2022-07-07,12.59445
2022-07-08,10.07556
2022-07-09,5.03778
2022-07-10,3.27455
2022-07-11,13.09823
2022-07-12,13.60201
2022-07-13,10.07556
2022-07-14,9.06801
2022-07-15,12.59445
2022-07-16,1.51133
2022-07-17,4.78589
2022-07-18,13.60201
2022-07-19,13.35012
2022-07-20,14.10579
2022-07-21,11.83879
2022-07-22,6.801
2022-07-23,1.25944
2022-07-24,2.51889
2022-07-25,28.21158
2022-07-26,14.86146
2022-07-27,12.59445
2022-07-28,12.84634
2022-07-29,9.31989
2022-07-30,6.04534
2022-07-31,2.77078
2022-08-01,7.55667
2022-08-02,13.35012
2022-08-03,12.09068
2022-08-04,12.59445
2022-08-05,10.83123
2022-08-06,2.267
2022-08-07,2.77078
2022-08-08,11.08312
2022-08-09,11.83879
2022-08-10,12.09068
2022-08-11,10.07556
2022-08-12,10.07556
2022-08-13,3.27455
2022-08-15,3.02267
2022-08-16,10.57934
2022-08-17,11.08312
2022-08-18,10.07556
2022-08-19,9.57178
2022-08-21,6.04534
2022-08-22,10.57934
2022-08-23,12.59445
2022-08-24,12.34256
2022-08-25,10.83123
2022-08-26,10.32745
2022-08-27,1.25944
2022-08-28,2.51889
2022-08-29,23.1738
2022-08-30,14.86146
2022-08-31,11.83879
2022-09-01,8.81612
2022-09-02,9.31989
2022-09-04,3.52644
2022-09-05,8.06045
2022-09-06,6.29722
2022-09-07,9.82367
2022-09-08,8.31234
2022-09-09,2.01511
2022-09-10,4.28211
2022-09-12,2.77078
2022-09-13,11.5869
2022-09-14,11.33501
2022-09-15,8.81612
2022-09-16,11.08312
2022-09-17,1.76322
2022-09-18,3.77833
2022-09-19,11.83879
2022-09-20,11.83879
2022-09-21,13.09823
2022-09-22,9.57178
2022-09-23,6.29722
2022-09-24,2.01511
2022-09-25,4.78589
2022-09-26,9.31989
2022-09-27,11.5869
2022-09-28,11.33501
2022-09-29,9.82367
2022-09-30,6.29722
2022-10-01,1.76322
2022-10-02,2.01511
2022-10-03,1.76322
2022-10-04,13.35012
2022-10-05,9.82367
2022-10-06,7.80856
2022-10-07,10.83123
2022-10-08,2.77078
2022-10-09,2.01511
2022-10-10,1.25944
2022-10-11,11.5869
2022-10-12,11.5869
2022-10-13,9.31989
2022-10-14,11.83879
2022-10-15,1.51133
2022-10-16,2.51889
2022-10-17,12.59445
2022-10-18,12.59445
2022-10-19,11.33501
2022-10-20,10.57934
2022-10-21,8.31234
2022-10-23,1.25944
2022-10-24,10.07556
2022-10-25,7.80856
2022-10-26,12.34256
2022-10-27,12.84634
2022-10-28,13.35012
2022-10-29,1.25944
2022-10-31,11.83879
2022-11-01,11.5869
2022-11-02,11.5869
2022-11-03,18.13602
2022-11-04,9.57178
2022-11-05,1.25944
2022-11-06,1.76322
2022-11-07,10.32745
2022-11-08,11.83879
2022-11-09,7.30478
2022-11-10,8.06045
2022-11-11,8.06045
2022-11-12,3.02267
2022-11-13,1.25944
2022-11-14,10.57934
2022-11-15,11.33501
2022-11-16,7.80856
2022-11-17,14.60957
2022-11-18,11.83879
2022-11-19,2.01511
2022-11-20,1.76322
2022-11-21,47.85894
2022-11-22,28.46347
2022-11-23,22.41813
2022-11-24,13.35012
2022-11-25,10.07556
2022-11-26,2.267
2022-11-27,3.52644
2022-11-28,13.35012
2022-11-29,14.35768
2022-11-30,9.06801
2022-12-01,6.801
2022-12-02,10.32745
2022-12-03,2.51889
2022-12-04,1.76322
2022-12-05,9.82367
2022-12-06,14.10579
2022-12-07,10.32745
2022-12-08,10.57934
2022-12-09,16.87657
2022-12-10,3.77833
2022-12-11,4.03022
2022-12-12,17.38035
2022-12-13,21.91435
2022-12-14,19.39546
2022-12-15,14.10579
2022-12-16,17.88413
2022-12-17,5.54156
2022-12-18,2.77078
2022-12-19,16.62468
2022-12-20,28.71536
2022-12-21,27.95969
2022-12-22,28.71536
2022-12-23,17.12846
2022-12-24,2.51889
2022-12-25,4.534
2022-12-26,21.91435
2022-12-27,22.41813
2022-12-28,18.13602
2022-12-29,17.12846
2022-12-30,13.35012
2022-12-31,2.01511
2023-01-01,3.27455
2023-01-02,14.86146
2023-01-03,16.37279
2023-01-04,14.10579
2023-01-05,15.36523
2023-01-06,11.33501
2023-01-07,2.77078
2023-01-08,5.54156
2023-01-09,21.41057
2023-01-10,16.37279
2023-01-11,17.38035
2023-01-12,16.1209
2023-01-13,9.06801
2023-01-14,1.76322
2023-01-15,2.01511
2023-01-16,16.62468
2023-01-17,14.60957
2023-01-18,17.88413
2023-01-19,16.37279
2023-01-20,11.5869
2023-01-24,1.51133
2023-01-25,14.86146
2023-01-26,10.83123
2023-01-27,12.84634
2023-01-28,1.76322
2023-01-29,5.54156
2023-01-30,16.37279
2023-01-31,14.35768
2023-02-01,17.88413
2023-02-02,10.83123
2023-02-03,12.84634
2023-02-04,3.77833
2023-02-05,3.27455
2023-02-06,15.11335
2023-02-07,12.59445
2023-02-08,10.07556
2023-02-09,11.83879
2023-02-10,11.08312
2023-02-11,1.25944
2023-02-12,3.52644
2023-02-13,14.86146
2023-02-14,15.11335
2023-02-15,13.8539
2023-02-16,14.10579
2023-02-17,13.35012
2023-02-18,2.77078
2023-02-19,3.02267
2023-02-20,13.8539
2023-02-21,18.3879
2023-02-22,14.86146
2023-02-23,11.33501
2023-02-24,11.33501
