date,전세대출금리비교
2023-01-01,5.71992
2023-01-02,17.15976
2023-01-03,15.97633
2023-01-04,14.39842
2023-01-05,14.39842
2023-01-06,13.41222
2023-01-07,8.6785
2023-01-08,14.79289
2023-01-09,23.86587
2023-01-10,16.56804
2023-01-11,19.72386
2023-01-12,16.56804
2023-01-13,15.58185
2023-01-14,6.70611
2023-01-15,6.70611
2023-01-16,18.73767
2023-01-17,19.52662
2023-01-18,18.34319
2023-01-19,14.39842
2023-01-20,10.05917
2023-01-21,4.33925
2023-01-22,5.52268
2023-01-23,4.53648
2023-01-24,9.86193
2023-01-25,15.18737
2023-01-26,14.59566
2023-01-27,13.8067
2023-01-28,6.31163
2023-01-29,5.71992
2023-01-30,17.75147
2023-01-31,14.59566
2023-02-01,15.18737
2023-02-02,14.79289
2023-02-03,17.94871
2023-02-04,9.66469
2023-02-05,10.25641
2023-02-06,17.15976
2023-02-07,20.51282
2023-02-08,14.99013
2023-02-09,13.41222
2023-02-10,11.43984
2023-02-11,7.6923
2023-02-12,6.50887
2023-02-13,13.21499
2023-02-14,15.77909
2023-02-15,12.03155
2023-02-16,14.79289
2023-02-17,11.83431
2023-02-18,6.31163
2023-02-19,5.1282
2023-02-20,14.59566
2023-02-21,17.55424
2023-02-22,18.34319
2023-02-23,16.96252
2023-02-24,14.59566
2023-02-25,10.05917
2023-02-26,6.11439
2023-02-27,20.11834
2023-02-28,15.58185
2023-03-01,10.05917
2023-03-02,23.07692
2023-03-03,25.64102
2023-03-04,14.59566
2023-03-05,11.63708
2023-03-06,23.4714
2023-03-07,15.38461
2023-03-08,19.9211
2023-03-09,25.64102
2023-03-10,15.38461
2023-03-11,5.52268
2023-03-12,6.70611
2023-03-13,17.75147
2023-03-14,17.94871
2023-03-15,17.75147
2023-03-16,15.77909
2023-03-17,16.76528
2023-03-18,7.49506
2023-03-19,7.88954
2023-03-20,19.32938
2023-03-21,16.56804
2023-03-22,19.52662
2023-03-23,13.60946
2023-03-24,14.20118
2023-03-25,6.90335
2023-03-26,7.88954
2023-03-27,17.94871
2023-03-28,20.31558
2023-03-29,18.93491
2023-03-30,18.54043
2023-03-31,15.58185
2023-04-01,8.6785
2023-04-02,15.38461
2023-04-03,23.27416
2023-04-04,16.3708
2023-04-05,17.357
2023-04-06,15.97633
2023-04-07,12.03155
2023-04-08,8.87573
2023-04-09,8.08678
2023-04-10,16.76528
2023-04-11,18.73767
2023-04-12,21.30177
2023-04-13,16.56804
2023-04-14,14.20118
2023-04-15,6.90335
2023-04-16,9.07297
2023-04-17,18.93491
2023-04-18,15.97633
2023-04-19,17.55424
2023-04-20,14.59566
2023-04-21,13.01775
2023-04-22,9.46745
2023-04-23,8.6785
2023-04-24,19.72386
2023-04-25,15.77909
2023-04-26,16.17357
2023-04-27,16.17357
2023-04-28,12.62327
2023-04-29,8.08678
2023-04-30,7.29783
2023-05-01,8.48126
2023-05-02,13.60946
2023-05-03,15.18737
2023-05-04,12.42603
2023-05-05,7.49506
2023-05-06,4.53648
2023-05-07,8.87573
2023-05-08,19.9211
2023-05-09,18.14595
2023-05-10,14.39842
2023-05-11,16.17357
2023-05-12,13.8067
2023-05-13,6.31163
2023-05-14,7.10059
2023-05-15,18.54043
2023-05-16,19.9211
2023-05-17,18.54043
2023-05-18,14.59566
2023-05-19,14.39842
2023-05-20,10.05917
2023-05-21,7.88954
2023-05-22,23.86587
2023-05-23,17.357
2023-05-24,16.3708
2023-05-25,20.31558
2023-05-26,16.3708
2023-05-27,8.48126
2023-05-28,8.6785
2023-05-29,10.25641
2023-05-30,22.4852
2023-05-31,26.62721
2023-06-01,23.4714
2023-06-02,21.89349
2023-06-03,12.82051
2023-06-04,16.56804
2023-06-05,31.75542
2023-06-06,15.97633
2023-06-07,34.31952
2023-06-08,20.31558
2023-06-09,17.75147
2023-06-10,13.21499
2023-06-11,11.83431
2023-06-12,29.58579
2023-06-13,25.64102
2023-06-14,21.30177
2023-06-15,24.26035
2023-06-16,18.93491
2023-06-17,12.42603
2023-06-18,9.27021
2023-06-19,21.69625
2023-06-20,23.86587
2023-06-21,18.54043
2023-06-22,18.93491
2023-06-23,15.77909
2023-06-24,6.50887
2023-06-25,11.2426
2023-06-26,23.07692
2023-06-27,22.87968
2023-06-28,20.31558
2023-06-29,20.11834
2023-06-30,17.15976
2023-07-01,10.65088
2023-07-02,10.45364
2023-07-03,23.4714
2023-07-04,22.68244
2023-07-05,22.09072
2023-07-06,20.31558
2023-07-07,19.9211
2023-07-08,10.65088
2023-07-09,11.63708
2023-07-10,21.10453
2023-07-11,21.10453
2023-07-12,15.38461
2023-07-13,22.4852
2023-07-14,13.8067
2023-07-15,10.05917
2023-07-16,8.48126
