date,금리인하
2021-12-13,0.17714
2021-12-14,0.27504
2021-12-15,0.30767
2021-12-16,0.26106
2021-12-17,0.317
2021-12-18,0.14451
2021-12-19,0.21444
2021-12-20,0.82047
2021-12-21,0.51745
2021-12-22,0.39625
2021-12-23,0.75987
2021-12-24,0.32166
2021-12-25,0.20978
2021-12-26,0.21444
2021-12-27,0.35429
2021-12-28,0.37294
2021-12-29,0.54542
2021-12-30,0.45685
2021-12-31,0.24707
2022-01-01,0.12586
2022-01-02,0.14451
2022-01-03,0.25639
2022-01-04,0.22376
2022-01-05,0.29835
2022-01-06,0.45219
2022-01-07,0.28903
2022-01-08,0.13053
2022-01-09,0.16316
2022-01-10,0.34031
2022-01-11,0.32166
2022-01-12,0.28436
2022-01-13,0.30767
2022-01-14,0.54542
2022-01-15,0.16316
2022-01-16,0.15383
2022-01-17,0.49414
2022-01-18,0.36828
2022-01-19,0.34963
2022-01-20,0.60137
2022-01-21,0.4755
2022-01-22,0.27504
2022-01-23,0.26106
2022-01-24,0.55475
2022-01-25,0.49881
2022-01-26,0.4755
2022-01-27,0.41023
2022-01-28,0.34031
2022-01-29,0.12586
2022-01-30,0.10255
2022-01-31,0.09789
2022-02-01,0.18647
2022-02-02,0.13519
2022-02-03,0.29835
2022-02-04,0.28436
2022-02-05,0.19579
2022-02-06,0.27504
2022-02-07,0.33564
2022-02-08,0.29835
2022-02-09,0.25639
2022-02-10,0.46617
2022-02-11,0.36361
2022-02-12,0.17248
2022-02-13,0.14451
2022-02-14,0.32166
2022-02-15,0.34497
2022-02-16,0.55941
2022-02-17,0.38692
2022-02-18,0.26572
2022-02-19,0.1212
2022-02-20,0.17714
2022-02-21,0.33564
2022-02-22,0.36828
2022-02-23,0.28436
2022-02-24,0.42888
2022-02-25,0.34497
2022-02-26,0.19579
2022-02-27,0.14451
2022-02-28,0.30301
2022-03-01,0.27038
2022-03-02,0.35895
2022-03-03,0.31233
2022-03-04,0.28903
2022-03-05,0.14451
2022-03-06,0.36361
2022-03-07,0.89972
2022-03-08,0.74588
2022-03-09,0.30767
2022-03-10,0.62467
2022-03-11,0.52212
2022-03-12,0.20511
2022-03-13,0.39625
2022-03-14,0.51745
2022-03-15,0.54076
2022-03-16,0.45219
2022-03-17,0.55941
2022-03-18,0.48016
2022-03-19,0.18647
2022-03-20,0.20978
2022-03-21,0.42422
2022-03-22,0.45685
2022-03-23,0.634
2022-03-24,0.48482
2022-03-25,0.56407
2022-03-26,0.36361
2022-03-27,0.38692
2022-03-28,0.61069
2022-03-29,0.4382
2022-03-30,0.55475
2022-03-31,0.59204
2022-04-01,0.44286
2022-04-02,0.21444
2022-04-03,0.52678
2022-04-04,1.23071
2022-04-05,1.88802
2022-04-06,0.73656
2022-04-07,0.82513
2022-04-08,0.96032
2022-04-09,0.26106
2022-04-10,0.48948
2022-04-11,0.62467
2022-04-12,0.6946
2022-04-13,0.59204
2022-04-14,0.69926
2022-04-15,0.57806
2022-04-16,0.23308
2022-04-17,0.31233
2022-04-18,0.51745
2022-04-19,0.41489
2022-04-20,0.35895
2022-04-21,0.42888
2022-04-22,0.3776
2022-04-23,0.26572
2022-04-24,0.21444
2022-04-25,0.51279
2022-04-26,0.49881
2022-04-27,0.38692
2022-04-28,0.41956
2022-04-29,0.28436
2022-04-30,0.17248
2022-05-01,0.16316
2022-05-02,0.40557
2022-05-03,0.43354
2022-05-04,0.50813
2022-05-05,0.37294
2022-05-06,0.39625
2022-05-07,0.17248
2022-05-08,0.25173
2022-05-09,0.4382
2022-05-10,0.48482
2022-05-11,0.56407
2022-05-12,0.54076
2022-05-13,0.44753
2022-05-14,0.19579
2022-05-15,0.1818
2022-05-16,0.44286
2022-05-17,0.38692
2022-05-18,0.51745
2022-05-19,0.46151
2022-05-20,1.26334
2022-05-21,0.34031
2022-05-22,0.317
2022-05-23,0.56407
2022-05-24,0.54542
2022-05-25,1.03025
2022-05-26,0.66663
2022-05-27,0.62001
2022-05-28,0.27504
2022-05-29,0.36361
2022-05-30,0.57339
2022-05-31,0.51745
2022-06-01,0.32166
2022-06-02,0.48948
2022-06-03,0.48948
2022-06-04,0.30767
2022-06-05,0.23775
2022-06-06,0.39159
2022-06-07,0.66663
