date,공모주청약
2023-01-03,0.47173
2023-01-04,0.4849
2023-01-05,0.40152
2023-01-06,0.49368
2023-01-07,0.20405
2023-01-08,0.29182
2023-01-09,0.9347
2023-01-10,1.29673
2023-01-11,1.24846
2023-01-12,0.60777
2023-01-13,0.61655
2023-01-14,0.4476
2023-01-15,0.44102
2023-01-16,1.61488
2023-01-17,1.61707
2023-01-18,0.65165
2023-01-19,0.81402
2023-01-20,0.62313
2023-01-21,0.29182
2023-01-22,0.25232
2023-01-23,0.38177
2023-01-24,0.61655
2023-01-25,2.14586
2023-01-26,3.35922
2023-01-27,3.26707
2023-01-28,0.63849
2023-01-29,0.60119
2023-01-30,1.97252
2023-01-31,2.09978
2023-02-01,1.86721
2023-02-02,1.18483
2023-02-03,1.6456
2023-02-04,0.77233
2023-02-05,0.82499
2023-02-06,2.47937
2023-02-07,4.20835
2023-02-08,3.08056
2023-02-09,2.67904
2023-02-10,1.78822
2023-02-11,0.65824
2023-02-12,0.56389
2023-02-13,1.73556
2023-02-14,1.73995
2023-02-15,1.81893
2023-02-16,1.89792
2023-02-17,1.46787
2023-02-18,0.8579
2023-02-19,1.19141
2023-02-20,4.88634
2023-02-21,5.00921
2023-02-22,2.22485
2023-02-23,1.75969
2023-02-24,0.98297
2023-02-25,0.43882
2023-02-26,0.47393
2023-02-27,1.40424
2023-02-28,1.17166
2023-03-01,0.76355
2023-03-02,2.15683
2023-03-03,2.36747
2023-03-04,0.63849
2023-03-05,0.5222
2023-03-06,1.4569
2023-03-07,1.32964
2023-03-08,0.84254
2023-03-09,0.83816
2023-03-10,0.64727
2023-03-11,0.3357
2023-03-12,0.45857
2023-03-13,1.89573
2023-03-14,1.11681
2023-03-15,0.84913
2023-03-16,0.68676
2023-03-17,0.71309
2023-03-18,0.3357
2023-03-19,0.39713
2023-03-20,1.91328
2023-03-21,2.48815
2023-03-22,1.34939
2023-03-23,0.80744
2023-03-24,0.58364
2023-03-25,0.31595
2023-03-26,0.34886
2023-03-27,1.99447
2023-03-28,1.64121
2023-03-29,0.8579
2023-03-30,0.83377
2023-03-31,0.45199
2023-04-01,0.24574
2023-04-02,0.26549
2023-04-03,0.64727
2023-04-04,0.58364
2023-04-05,0.57486
2023-04-06,0.45199
2023-04-07,0.44979
2023-04-08,0.23916
2023-04-09,0.28084
2023-04-10,0.68676
2023-04-11,0.67798
2023-04-12,0.5595
2023-04-13,0.74161
2023-04-14,0.69992
2023-04-15,0.45418
2023-04-16,0.58364
2023-04-17,3.00816
2023-04-18,3.32411
2023-04-19,1.14753
2023-04-20,0.7482
2023-04-21,0.47612
2023-04-22,0.27207
2023-04-23,0.36861
2023-04-24,1.31867
2023-04-25,1.3845
2023-04-26,0.69992
2023-04-27,0.53098
2023-04-28,0.4103
2023-04-29,0.17991
2023-04-30,0.17991
2023-05-01,0.26987
2023-05-02,0.53098
2023-05-03,0.69554
2023-05-04,0.64288
2023-05-05,0.22819
2023-05-06,0.23257
2023-05-07,0.35764
2023-05-08,1.88695
2023-05-09,2.51009
2023-05-10,1.65876
2023-05-11,1.3823
2023-05-12,0.84913
2023-05-13,0.34886
2023-05-14,0.56828
2023-05-15,2.52764
2023-05-16,2.7295
2023-05-17,1.20896
2023-05-18,0.80086
2023-05-19,1.00272
2023-05-20,0.42566
2023-05-21,0.48051
2023-05-22,1.33184
2023-05-23,1.25943
2023-05-24,1.90231
2023-05-25,2.18536
2023-05-26,1.62804
2023-05-27,0.34447
2023-05-28,0.27646
