date,블록체인기술
2021-04-10,49.44237
2021-04-11,52.0446
2021-04-12,63.94052
2021-04-13,65.4275
2021-04-14,74.34944
2021-04-15,87.36059
2021-04-16,76.95167
2021-04-17,54.64684
2021-04-18,60.59479
2021-04-19,76.95167
2021-04-20,85.13011
2021-04-21,92.56505
2021-04-22,88.10408
2021-04-23,83.27137
2021-04-24,70.26022
2021-04-25,56.87732
2021-04-26,84.01486
2021-04-27,72.4907
2021-04-28,75.83643
2021-04-29,50.92936
2021-04-30,53.90334
2021-05-01,37.91821
2021-05-02,36.05947
2021-05-03,64.68401
2021-05-04,62.08178
2021-05-05,53.15985
2021-05-06,61.33828
2021-05-07,58.73605
2021-05-08,49.81412
2021-05-09,51.30111
2021-05-10,76.20817
2021-05-11,77.32342
2021-05-12,86.24535
2021-05-13,72.11895
2021-05-14,78.06691
2021-05-15,46.09665
2021-05-16,51.67286
2021-05-17,69.88847
2021-05-18,73.2342
2021-05-19,58.36431
2021-05-20,69.14498
2021-05-21,73.97769
2021-05-22,53.53159
2021-05-23,56.50557
2021-05-24,87.36059
2021-05-25,74.34944
2021-05-26,79.5539
2021-05-27,76.20817
2021-05-28,100.0
2021-05-29,60.22304
2021-05-30,66.54275
2021-05-31,75.46468
2021-06-01,72.11895
2021-06-02,68.77323
2021-06-03,61.71003
2021-06-04,59.47955
2021-06-05,44.23791
2021-06-06,53.90334
2021-06-07,61.71003
2021-06-08,79.5539
2021-06-09,90.33457
2021-06-10,73.97769
2021-06-11,68.40148
2021-06-12,43.86617
2021-06-13,43.86617
2021-06-14,68.02973
2021-06-15,56.50557
2021-06-16,61.33828
2021-06-17,49.07063
2021-06-18,30.85501
2021-06-19,16.72862
2021-06-20,22.30483
2021-06-21,35.31598
2021-06-22,35.68773
2021-06-23,36.05947
2021-06-24,30.85501
2021-06-25,23.04832
2021-06-26,21.56133
2021-06-27,14.86988
2021-06-28,17.84386
2021-06-29,25.27881
2021-06-30,23.42007
2021-07-01,21.18959
2021-07-02,17.47211
2021-07-03,14.12639
2021-07-04,16.35687
2021-07-05,25.27881
2021-07-06,28.25278
2021-07-07,33.0855
2021-07-08,34.20074
2021-07-09,24.53531
2021-07-10,12.6394
2021-07-11,21.56133
2021-07-12,39.03345
2021-07-13,45.35315
2021-07-14,41.63568
2021-07-15,37.91821
2021-07-16,23.42007
2021-07-17,10.78066
2021-07-18,15.98513
2021-07-19,24.90706
2021-07-20,19.33085
2021-07-21,15.24163
2021-07-22,17.84386
2021-07-23,18.21561
2021-07-24,10.78066
2021-07-25,12.6394
2021-07-26,17.84386
2021-07-27,22.67657
2021-07-28,20.81784
2021-07-29,20.81784
2021-07-30,19.7026
2021-07-31,10.03717
2021-08-01,11.15241
2021-08-02,17.84386
2021-08-03,20.07434
2021-08-04,21.93308
2021-08-05,20.07434
2021-08-06,14.49814
2021-08-07,15.24163
2021-08-08,16.72862
2021-08-09,25.27881
2021-08-10,20.81784
2021-08-11,25.27881
2021-08-12,21.18959
2021-08-13,21.56133
2021-08-14,14.86988
2021-08-15,17.47211
2021-08-16,15.98513
2021-08-17,25.65055
2021-08-18,31.59851
2021-08-19,21.18959
2021-08-20,28.99628
2021-08-21,15.98513
2021-08-22,20.44609
2021-08-23,26.0223
2021-08-24,32.71375
2021-08-25,28.62453
2021-08-26,28.99628
2021-08-27,22.67657
2021-08-28,11.52416
2021-08-29,14.86988
2021-08-30,24.53531
2021-08-31,29.36802
2021-09-01,25.27881
2021-09-02,32.342
2021-09-03,32.342
2021-09-04,17.47211
2021-09-05,23.79182
2021-09-06,37.17472
2021-09-07,34.57249
2021-09-08,32.71375
2021-09-09,33.45724
2021-09-10,26.76579
2021-09-11,20.44609
2021-09-12,22.30483
2021-09-13,35.68773
2021-09-14,39.03345
2021-09-15,35.31598
2021-09-16,21.93308
2021-09-17,27.88104
2021-09-18,14.49814
2021-09-19,12.26765
2021-09-20,10.03717
2021-09-21,13.38289
2021-09-22,14.12639
2021-09-23,30.11152
2021-09-24,42.00743
2021-09-25,17.47211
2021-09-26,21.93308
2021-09-27,28.25278
2021-09-28,36.43122
2021-09-29,25.27881
2021-09-30,26.76579
2021-10-01,24.53531
2021-10-02,19.7026
2021-10-03,17.10037
2021-10-04,26.0223
2021-10-05,28.25278
2021-10-06,33.82899
2021-10-07,37.91821
2021-10-08,40.52044
2021-10-09,24.53531
2021-10-10,28.99628
2021-10-11,17.47211
2021-10-12,28.99628
2021-10-13,24.90706
2021-10-14,33.0855
2021-10-15,29.36802
2021-10-16,24.53531
2021-10-17,27.50929
2021-10-18,33.45724
2021-10-19,40.89219
2021-10-20,35.68773
2021-10-21,35.68773
2021-10-22,36.43122
2021-10-23,28.62453
2021-10-24,31.22676
2021-10-25,38.66171
2021-10-26,45.7249
2021-10-27,44.98141
2021-10-28,42.00743
2021-10-29,44.23791
2021-10-30,19.33085
2021-10-31,32.342
2021-11-01,49.44237
2021-11-02,42.75092
2021-11-03,43.12267
2021-11-04,43.12267
2021-11-05,40.89219
2021-11-06,23.79182
2021-11-07,20.81784
2021-11-08,41.63568
2021-11-09,46.4684
2021-11-10,43.86617
2021-11-11,57.99256
2021-11-12,34.94423
2021-11-13,31.59851
2021-11-14,30.48327
2021-11-15,41.26394
2021-11-16,58.73605
2021-11-17,55.01858
2021-11-18,49.07063
2021-11-19,49.07063
2021-11-20,35.68773
2021-11-21,36.05947
2021-11-22,49.81412
2021-11-23,57.62081
2021-11-24,57.24907
2021-11-25,47.95539
2021-11-26,54.64684
2021-11-27,39.4052
2021-11-28,36.43122
2021-11-29,59.47955
2021-11-30,59.8513
2021-12-01,43.86617
2021-12-02,39.77695
2021-12-03,38.28996
2021-12-04,20.81784
2021-12-05,33.82899
2021-12-06,40.89219
2021-12-07,47.21189
2021-12-08,44.23791
2021-12-09,43.86617
2021-12-10,31.22676
2021-12-11,23.04832
2021-12-12,26.76579
2021-12-13,34.94423
2021-12-14,35.68773
2021-12-15,37.17472
2021-12-16,30.48327
2021-12-17,29.36802
2021-12-18,25.65055
2021-12-19,27.13754
2021-12-20,49.07063
2021-12-21,36.05947
2021-12-22,38.28996
2021-12-23,30.85501
2021-12-24,22.30483
2021-12-25,9.66542
2021-12-26,17.10037
2021-12-27,29.36802
2021-12-28,27.50929
2021-12-29,32.342
2021-12-30,28.25278
2021-12-31,18.58736
2022-01-01,13.75464
2022-01-02,18.9591
2022-01-03,24.90706
2022-01-04,24.90706
2022-01-05,23.79182
2022-01-06,24.90706
2022-01-07,28.25278
2022-01-08,15.98513
2022-01-09,15.98513
2022-01-10,14.86988
2022-01-11,31.59851
2022-01-12,21.93308
2022-01-13,14.49814
2022-01-14,21.56133
2022-01-15,8.92193
2022-01-16,28.62453
2022-01-17,24.53531
2022-01-18,19.33085
2022-01-19,28.25278
2022-01-20,17.84386
2022-01-21,18.9591
2022-01-22,14.86988
2022-01-23,17.47211
2022-01-24,18.21561
2022-01-25,21.18959
2022-01-26,16.72862
2022-01-27,21.93308
2022-01-28,17.10037
2022-01-29,10.03717
2022-01-30,12.6394
2022-01-31,13.01115
2022-02-01,6.69144
2022-02-02,13.38289
2022-02-03,17.10037
2022-02-04,19.33085
2022-02-05,14.12639
2022-02-06,16.35687
2022-02-07,16.72862
2022-02-08,17.84386
2022-02-09,18.21561
2022-02-10,17.47211
2022-02-11,17.84386
2022-02-12,8.92193
2022-02-13,10.78066
2022-02-14,20.44609
2022-02-15,16.35687
2022-02-16,18.58736
2022-02-17,18.9591
2022-02-18,25.27881
2022-02-19,8.17843
2022-02-20,10.78066
2022-02-21,20.81784
2022-02-22,20.81784
2022-02-23,23.04832
2022-02-24,13.01115
2022-02-25,14.49814
2022-02-26,8.55018
2022-02-27,17.47211
2022-02-28,18.21561
2022-03-01,15.24163
2022-03-02,18.58736
2022-03-03,13.75464
2022-03-04,13.38289
2022-03-05,12.6394
2022-03-06,9.66542
2022-03-07,20.44609
2022-03-08,14.86988
2022-03-09,9.29368
2022-03-10,22.30483
2022-03-11,20.81784
2022-03-12,13.38289
2022-03-13,16.72862
2022-03-14,29.36802
2022-03-15,29.36802
2022-03-16,39.4052
2022-03-17,26.76579
2022-03-18,33.82899
2022-03-19,18.9591
2022-03-20,18.21561
2022-03-21,30.48327
2022-03-22,41.26394
2022-03-23,36.05947
2022-03-24,27.50929
2022-03-25,36.43122
2022-03-26,22.30483
2022-03-27,44.98141
2022-03-28,47.95539
2022-03-29,33.82899
2022-03-30,44.23791
2022-03-31,38.66171
2022-04-01,31.59851
2022-04-02,18.58736
2022-04-03,28.62453
2022-04-04,51.30111
2022-04-05,33.82899
2022-04-06,41.26394
2022-04-07,36.43122
2022-04-08,40.52044
2022-04-09,14.86988
2022-04-10,23.79182
2022-04-11,45.35315
2022-04-12,44.23791
2022-04-13,43.49442
2022-04-14,47.21189
2022-04-15,36.80297
2022-04-16,17.84386
2022-04-17,29.73977
2022-04-18,37.54646
2022-04-19,31.97026
2022-04-20,35.68773
2022-04-21,27.50929
2022-04-22,34.94423
2022-04-23,26.39405
2022-04-24,27.50929
2022-04-25,33.82899
2022-04-26,31.59851
