date,부동산수수료
2021-05-18,16.78726
2021-05-19,14.38494
2021-05-20,19.0738
2021-05-21,16.70043
2021-05-22,13.74819
2021-05-23,12.82199
2021-05-24,19.39218
2021-05-25,19.0738
2021-05-26,17.7424
2021-05-27,18.17655
2021-05-28,17.77134
2021-05-29,14.76121
2021-05-30,10.21707
2021-05-31,21.56295
2021-06-01,17.51085
2021-06-02,16.00578
2021-06-03,15.60057
2021-06-04,15.65846
2021-06-05,13.25615
2021-06-06,9.4356
2021-06-07,17.77134
2021-06-08,15.62952
2021-06-09,18.03183
2021-06-10,18.06078
2021-06-11,16.6136
2021-06-12,12.93777
2021-06-13,9.60926
2021-06-14,17.65557
2021-06-15,16.90303
2021-06-16,17.65557
2021-06-17,17.7424
2021-06-18,16.96092
2021-06-19,13.19826
2021-06-20,9.37771
2021-06-21,18.95803
2021-06-22,17.88712
2021-06-23,18.11866
2021-06-24,17.85817
2021-06-25,17.13458
2021-06-26,13.74819
2021-06-27,9.23299
2021-06-28,24.13892
2021-06-29,22.05499
2021-06-30,20.43415
2021-07-01,18.52387
2021-07-02,17.59768
2021-07-03,13.25615
2021-07-04,9.1751
2021-07-05,19.13169
2021-07-06,16.23733
2021-07-07,15.89001
2021-07-08,17.53979
2021-07-09,16.67149
2021-07-10,13.40086
2021-07-11,9.03039
2021-07-12,18.49493
2021-07-13,18.20549
2021-07-14,19.13169
2021-07-15,17.42402
2021-07-16,17.16353
2021-07-17,14.70332
2021-07-18,9.14616
2021-07-19,17.7424
2021-07-20,17.2793
2021-07-21,15.83212
2021-07-22,17.53979
2021-07-23,15.71635
2021-07-24,12.21418
2021-07-25,8.21997
2021-07-26,16.8162
2021-07-27,17.30824
2021-07-28,18.11866
2021-07-29,21.41823
2021-07-30,20.63675
2021-07-31,18.6107
2021-08-01,12.82199
2021-08-02,20.31837
2021-08-03,16.84515
2021-08-04,14.09551
2021-08-05,17.16353
2021-08-06,20.95513
2021-08-07,19.30535
2021-08-08,11.54848
2021-08-09,23.18379
2021-08-10,23.41534
2021-08-11,24.02315
2021-08-12,23.76266
2021-08-13,20.78147
2021-08-14,21.62083
2021-08-15,14.52966
2021-08-16,56.23733
2021-08-17,68.68306
2021-08-18,38.81331
2021-08-19,36.72937
2021-08-20,100.0
2021-08-21,39.10274
2021-08-22,23.41534
2021-08-23,35.77424
2021-08-24,29.14616
2021-08-25,32.18523
2021-08-26,29.05933
2021-08-27,27.43849
2021-08-28,22.86541
2021-08-29,14.99276
2021-08-30,26.65701
2021-08-31,26.19392
2021-09-01,25.44138
2021-09-02,37.2793
2021-09-03,33.25615
2021-09-04,24.31259
2021-09-05,15.71635
2021-09-06,28.53835
2021-09-07,28.3068
2021-09-08,28.19102
2021-09-09,24.68885
2021-09-10,26.2518
2021-09-11,22.28654
2021-09-12,14.96382
2021-09-13,25.87554
2021-09-14,23.7916
2021-09-15,25.75976
2021-09-16,23.03907
2021-09-17,20.02894
2021-09-18,14.93487
2021-09-19,9.05933
2021-09-20,8.19102
2021-09-21,8.91461
2021-09-22,9.89869
2021-09-23,24.39942
2021-09-24,25.26772
2021-09-25,22.89435
2021-09-26,15.16642
2021-09-27,28.74095
2021-09-28,29.1751
2021-09-29,28.39363
2021-09-30,32.53256
2021-10-01,32.06946
2021-10-02,29.00144
2021-10-03,15.91895
2021-10-04,26.54124
2021-10-05,29.72503
2021-10-06,28.21997
2021-10-07,26.80173
2021-10-08,26.42547
2021-10-09,20.54992
2021-10-10,15.25325
2021-10-11,39.79739
2021-10-12,37.33719
2021-10-13,27.3806
2021-10-14,28.48046
2021-10-15,66.48335
2021-10-16,37.945
2021-10-17,19.68162
2021-10-18,33.0246
2021-10-19,67.64109
2021-10-20,32.12735
2021-10-21,24.7178
2021-10-22,24.31259
2021-10-23,19.5369
2021-10-24,12.79305
2021-10-25,24.22575
2021-10-26,22.22865
2021-10-27,23.61794
2021-10-28,22.60492
2021-10-29,24.31259
2021-10-30,19.71056
2021-10-31,12.93777
2021-11-01,21.85238
2021-11-02,21.27351
2021-11-03,20.63675
2021-11-04,20.37626
2021-11-05,18.6107
2021-11-06,16.12156
2021-11-07,11.08538
2021-11-08,18.46599
2021-11-09,18.92908
2021-11-10,18.98697
2021-11-11,17.65557
2021-11-12,18.69753
2021-11-13,16.6136
2021-11-14,12.59044
2021-11-15,21.7945
2021-11-16,18.78437
2021-11-17,20.37626
2021-11-18,19.65267
2021-11-19,19.36324
2021-11-20,15.86107
2021-11-21,12.47467
2021-11-22,22.05499
2021-11-23,18.49493
2021-11-24,18.52387
2021-11-25,20.63675
2021-11-26,18.58176
2021-11-27,15.13748
2021-11-28,11.66425
2021-11-29,22.98118
2021-11-30,24.97829
2021-12-01,19.91316
2021-12-02,18.03183
2021-12-03,17.82923
2021-12-04,13.77713
2021-12-05,10.767
2021-12-06,18.92908
2021-12-07,18.8712
2021-12-08,18.95803
2021-12-09,17.19247
2021-12-10,18.49493
2021-12-11,14.96382
2021-12-12,9.72503
2021-12-13,19.68162
2021-12-14,18.06078
2021-12-15,19.33429
2021-12-16,18.03183
2021-12-17,16.6136
2021-12-18,12.30101
2021-12-19,9.66714
2021-12-20,19.24746
2021-12-21,16.87409
2021-12-22,15.9479
2021-12-23,16.17945
2021-12-24,13.0246
2021-12-25,8.94356
2021-12-26,8.5094
2021-12-27,18.4081
2021-12-28,17.77134
2021-12-29,17.77134
2021-12-30,17.51085
2021-12-31,14.47178
2022-01-01,7.81476
2022-01-02,9.66714
2022-01-03,18.11866
2022-01-04,18.63965
2022-01-05,20.98408
2022-01-06,19.16063
2022-01-07,20.26049
2022-01-08,16.35311
2022-01-09,11.49059
2022-01-10,23.7916
2022-01-11,20.11577
2022-01-12,20.83936
2022-01-13,19.21852
2022-01-14,19.94211
2022-01-15,16.52677
2022-01-16,11.05643
2022-01-17,19.71056
2022-01-18,18.84225
2022-01-19,17.42402
2022-01-20,19.16063
2022-01-21,18.75542
2022-01-22,16.84515
2022-01-23,10.91172
2022-01-24,20.63675
2022-01-25,20.0
2022-01-26,18.29232
2022-01-27,18.00289
2022-01-28,17.19247
2022-01-29,11.05643
2022-01-30,6.80173
2022-01-31,6.07814
2022-02-01,6.80173
2022-02-02,8.0463
2022-02-03,18.92908
2022-02-04,21.24457
2022-02-05,19.79739
2022-02-06,11.11432
2022-02-07,22.08393
2022-02-08,20.08683
2022-02-09,20.26049
2022-02-10,21.534
2022-02-11,21.04196
2022-02-12,20.43415
2022-02-13,12.61939
2022-02-14,22.63386
2022-02-15,21.30246
2022-02-16,19.65267
2022-02-17,19.45007
2022-02-18,20.4052
2022-02-19,19.30535
2022-02-20,12.7641
2022-02-21,20.69464
2022-02-22,20.75253
2022-02-23,19.21852
2022-02-24,18.78437
2022-02-25,18.69753
2022-02-26,15.34008
2022-02-27,11.72214
2022-02-28,22.6628
2022-03-01,14.73227
2022-03-02,19.39218
2022-03-03,17.71345
2022-03-04,17.10564
2022-03-05,16.43994
2022-03-06,9.52243
2022-03-07,17.2793
2022-03-08,15.39797
2022-03-09,12.30101
2022-03-10,17.36613
2022-03-11,16.87409
2022-03-12,15.60057
2022-03-13,11.40376
2022-03-14,17.62662
2022-03-15,19.36324
2022-03-16,17.01881
2022-03-17,18.06078
2022-03-18,18.35021
2022-03-19,15.60057
2022-03-20,10.07235
2022-03-21,21.30246
2022-03-22,16.52677
2022-03-23,19.16063
2022-03-24,18.11866
2022-03-25,18.49493
2022-03-26,14.12445
2022-03-27,10.85383
2022-03-28,18.92908
2022-03-29,17.80028
2022-03-30,20.0
2022-03-31,20.89725
2022-04-01,18.58176
2022-04-02,15.28219
2022-04-03,8.88567
2022-04-04,18.37916
2022-04-05,18.8712
2022-04-06,19.04486
2022-04-07,17.68451
2022-04-08,18.75542
2022-04-09,13.92185
2022-04-10,9.29088
2022-04-11,18.75542
2022-04-12,17.97395
2022-04-13,17.68451
2022-04-14,19.18958
2022-04-15,18.03183
2022-04-16,13.8929
2022-04-17,10.39073
2022-04-18,18.49493
2022-04-19,19.91316
2022-04-20,19.01591
2022-04-21,18.58176
2022-04-22,16.6136
2022-04-23,15.16642
2022-04-24,9.95658
2022-04-25,19.88422
2022-04-26,17.65557
2022-04-27,18.20549
2022-04-28,18.8712
2022-04-29,18.66859
2022-04-30,13.2272
2022-05-01,8.85672
2022-05-02,17.53979
2022-05-03,16.90303
2022-05-04,17.01881
2022-05-05,12.06946
2022-05-06,14.61649
2022-05-07,12.5615
2022-05-08,10.47756
2022-05-09,20.26049
2022-05-10,19.47901
2022-05-11,19.18958
2022-05-12,17.68451
2022-05-13,18.8712
2022-05-14,13.80607
2022-05-15,9.86975
2022-05-16,18.32127
2022-05-17,19.10274
2022-05-18,18.75542
2022-05-19,18.11866
2022-05-20,18.20549
2022-05-21,13.63241
2022-05-22,9.86975
2022-05-23,19.42112
2022-05-24,17.39507
2022-05-25,20.43415
2022-05-26,19.01591
2022-05-27,17.36613
2022-05-28,13.28509
