date,대웅제약주가
2021-05-22,1.29135
2021-05-23,1.24007
2021-05-24,10.393
2021-05-25,9.04881
2021-05-26,9.49014
2021-05-27,9.24927
2021-05-28,8.4039
2021-05-29,1.01163
2021-05-30,0.77388
2021-05-31,7.14052
2021-06-01,7.92528
2021-06-02,7.05661
2021-06-03,7.97501
2021-06-04,7.69995
2021-06-05,0.8407
2021-06-06,0.76766
2021-06-07,11.17154
2021-06-08,10.77372
2021-06-09,10.93223
2021-06-10,8.53755
2021-06-11,7.97345
2021-06-12,1.02251
2021-06-13,0.75057
2021-06-14,7.40159
2021-06-15,7.11721
2021-06-16,6.80175
2021-06-17,7.2897
2021-06-18,7.32855
2021-06-19,0.86401
2021-06-20,0.70084
2021-06-21,6.6619
2021-06-22,7.29903
2021-06-23,14.31213
2021-06-24,13.93451
2021-06-25,11.96407
2021-06-26,1.51512
2021-06-27,1.1173
2021-06-28,9.38446
2021-06-29,12.91666
2021-06-30,9.68438
2021-07-01,9.17468
2021-07-02,7.92217
2021-07-03,0.90286
2021-07-04,0.85624
2021-07-05,8.56086
2021-07-06,8.52822
2021-07-07,14.03707
2021-07-08,10.44894
2021-07-09,8.97577
2021-07-10,1.10953
2021-07-11,0.84225
2021-07-12,7.5632
2021-07-13,6.96337
2021-07-14,7.18714
2021-07-15,6.85304
2021-07-16,6.32158
2021-07-17,0.68219
2021-07-18,0.60605
2021-07-19,6.15375
2021-07-20,5.83518
2021-07-21,5.9999
2021-07-22,6.09936
2021-07-23,5.55236
2021-07-24,0.92306
2021-07-25,0.74746
2021-07-26,6.4288
2021-07-27,7.92373
2021-07-28,12.8374
2021-07-29,10.69913
2021-07-30,13.57399
2021-07-31,1.67207
2021-08-01,1.26338
2021-08-02,9.92369
2021-08-03,9.00996
2021-08-04,11.9563
2021-08-05,14.68197
2021-08-06,13.03631
2021-08-07,1.62546
2021-08-08,1.49026
2021-08-09,12.25777
2021-08-10,11.04877
2021-08-11,9.4746
2021-08-12,10.50177
2021-08-13,9.40156
2021-08-14,1.00697
2021-08-15,0.67753
2021-08-16,1.56796
2021-08-17,8.29513
2021-08-18,7.76988
2021-08-19,7.70928
2021-08-20,7.49327
2021-08-21,0.86245
2021-08-22,0.62936
2021-08-23,8.13973
2021-08-24,8.05892
2021-08-25,7.58807
2021-08-26,7.67664
2021-08-27,7.52435
2021-08-28,1.17325
2021-08-29,1.20122
2021-08-30,7.96413
2021-08-31,7.93927
2021-09-01,6.94627
2021-09-02,6.23921
2021-09-03,7.07215
2021-09-04,0.97589
2021-09-05,0.9386
2021-09-06,7.37673
2021-09-07,6.47386
2021-09-08,6.09469
2021-09-09,6.81729
2021-09-10,6.51893
2021-09-11,0.95258
2021-09-12,0.73813
2021-09-13,5.88646
2021-09-14,5.53682
2021-09-15,4.89969
2021-09-16,4.5143
2021-09-17,4.29363
2021-09-18,0.66976
2021-09-19,0.47862
2021-09-20,0.47396
2021-09-21,0.47707
2021-09-22,0.547
