date,환테크
2021-02-15,8.74904
2021-02-16,7.75134
2021-02-17,7.82808
2021-02-18,6.44666
2021-02-19,4.52801
2021-02-20,3.83729
2021-02-21,3.6838
2021-02-22,5.60245
2021-02-23,5.83269
2021-02-24,4.91174
2021-02-25,5.14198
2021-02-26,6.67689
2021-02-27,2.53261
2021-02-28,6.06293
2021-03-01,6.44666
2021-03-02,28.70299
2021-03-03,11.43514
2021-03-04,8.44205
2021-03-05,5.06523
2021-03-06,4.6815
2021-03-07,4.60475
2021-03-08,5.98618
2021-03-09,5.14198
2021-03-10,5.29547
2021-03-11,5.60245
2021-03-12,5.37221
2021-03-13,3.76055
2021-03-14,3.45356
2021-03-15,3.60706
2021-03-16,3.53031
2021-03-17,3.83729
2021-03-18,3.6838
2021-03-19,5.37221
2021-03-20,3.6838
2021-03-21,3.60706
2021-03-22,4.83499
2021-03-23,4.22102
2021-03-24,4.98848
2021-03-25,4.22102
2021-03-26,2.6861
2021-03-27,2.30237
2021-03-28,3.53031
2021-03-29,5.14198
2021-03-30,4.75825
2021-03-31,4.22102
2021-04-01,3.45356
2021-04-02,2.30237
2021-04-03,3.60706
2021-04-04,1.99539
2021-04-05,4.29777
2021-04-06,4.22102
2021-04-07,8.21181
2021-04-08,5.06523
2021-04-09,4.14428
2021-04-10,2.91634
2021-04-11,2.99309
2021-04-12,4.91174
2021-04-13,3.83729
2021-04-14,5.75594
2021-04-15,3.06983
2021-04-16,4.29777
2021-04-17,2.91634
2021-04-18,3.14658
2021-04-19,4.45126
2021-04-20,4.60475
2021-04-21,4.06753
2021-04-22,2.91634
2021-04-23,4.45126
2021-04-24,2.6861
2021-04-25,3.22333
2021-04-26,4.91174
2021-04-27,4.29777
2021-04-28,3.76055
2021-04-29,5.98618
2021-04-30,3.99079
2021-05-01,1.76515
2021-05-02,1.76515
2021-05-03,3.76055
2021-05-04,2.60936
2021-05-05,1.53491
2021-05-06,2.99309
2021-05-07,3.76055
2021-05-08,2.99309
2021-05-09,2.99309
2021-05-10,6.5234
2021-05-11,4.14428
2021-05-12,3.6838
2021-05-13,6.90713
2021-05-14,4.45126
2021-05-15,3.14658
2021-05-16,3.22333
2021-05-17,6.83039
2021-05-18,4.83499
2021-05-19,2.76285
2021-05-20,5.83269
