date,라울뒤피
2021-02-01,0.81986
2021-02-02,1.05411
2021-02-03,1.00726
2021-02-04,0.70274
2021-02-05,1.10096
2021-02-06,0.96041
2021-02-07,0.70274
2021-02-08,0.65589
2021-02-09,0.98383
2021-02-10,0.81986
2021-02-11,0.53876
2021-02-12,0.77301
2021-02-13,1.07753
2021-02-14,0.58561
2021-02-15,1.12438
2021-02-16,1.17123
2021-02-17,0.65589
2021-02-18,0.96041
2021-02-19,0.98383
2021-02-20,0.89013
2021-02-21,0.84328
2021-02-22,1.00726
2021-02-23,0.77301
2021-02-24,0.63246
2021-02-25,0.96041
2021-02-26,0.51534
2021-02-27,0.93698
2021-02-28,1.10096
2021-03-01,0.81986
2021-03-02,0.89013
2021-03-03,0.98383
2021-03-04,0.81986
2021-03-05,0.67931
2021-03-06,0.67931
2021-03-07,0.98383
2021-03-08,1.10096
2021-03-09,1.31178
2021-03-10,0.96041
2021-03-11,1.10096
2021-03-12,0.67931
2021-03-13,0.72616
2021-03-14,0.56219
2021-03-15,0.65589
2021-03-16,0.58561
2021-03-17,0.93698
2021-03-18,0.63246
2021-03-19,0.58561
2021-03-20,0.84328
2021-03-21,0.96041
2021-03-22,0.77301
2021-03-23,1.31178
2021-03-24,1.26493
2021-03-25,1.03068
2021-03-26,1.00726
2021-03-27,1.10096
2021-03-28,0.91356
2021-03-29,0.65589
2021-03-30,0.81986
2021-03-31,0.93698
2021-04-01,0.91356
2021-04-02,1.05411
2021-04-03,1.12438
2021-04-04,0.81986
2021-04-05,0.70274
2021-04-06,0.91356
2021-04-07,2.15507
2021-04-08,1.21808
2021-04-09,0.89013
2021-04-10,0.84328
2021-04-11,0.93698
2021-04-12,0.98383
2021-04-13,1.12438
2021-04-14,1.4289
2021-04-15,1.19465
2021-04-16,0.53876
2021-04-17,0.70274
2021-04-18,1.07753
2021-04-19,0.74959
2021-04-20,0.70274
2021-04-21,0.63246
2021-04-22,0.89013
2021-04-23,1.4289
2021-04-24,0.96041
2021-04-25,1.3352
2021-04-26,1.07753
2021-04-27,0.98383
2021-04-28,0.91356
2021-04-29,1.12438
2021-04-30,0.91356
2021-05-01,1.31178
2021-05-02,1.07753
2021-05-03,1.05411
