date,전환사채
2021-02-04,31.11111
2021-02-05,29.63924
2021-02-06,11.71717
2021-02-07,20.08658
2021-02-08,22.5974
2021-02-09,28.42712
2021-02-10,24.73304
2021-02-11,11.13997
2021-02-12,9.55266
2021-02-13,8.91774
2021-02-14,11.63059
2021-02-15,22.25108
2021-02-16,44.329
2021-02-17,41.7316
2021-02-18,32.35209
2021-02-19,25.71428
2021-02-20,12.78499
2021-02-21,14.74747
2021-02-22,21.7316
2021-02-23,31.08225
2021-02-24,37.02741
2021-02-25,32.72727
2021-02-26,22.4531
2021-02-27,12.61183
2021-02-28,9.29292
2021-03-01,11.48629
2021-03-02,21.99134
2021-03-03,22.25108
2021-03-04,20.60606
2021-03-05,19.01875
2021-03-06,12.38095
2021-03-07,10.62049
2021-03-08,23.00144
2021-03-09,20.8658
2021-03-10,26.08946
2021-03-11,35.46897
2021-03-12,26.86868
2021-03-13,13.33333
2021-03-14,36.76767
2021-03-15,29.55266
2021-03-16,23.08802
2021-03-17,25.25252
2021-03-18,27.09956
2021-03-19,22.1645
2021-03-20,12.29437
2021-03-21,13.13131
2021-03-22,22.4531
2021-03-23,32.84271
2021-03-24,34.57431
2021-03-25,26.2049
2021-03-26,28.42712
2021-03-27,17.08513
2021-03-28,13.99711
2021-03-29,38.78787
2021-03-30,41.5873
2021-03-31,34.89177
2021-04-01,35.44011
2021-04-02,24.96392
2021-04-03,13.41991
2021-04-04,15.90187
2021-04-05,25.97402
2021-04-06,28.05194
2021-04-07,25.39682
2021-04-08,25.02164
2021-04-09,24.67532
2021-04-10,11.11111
2021-04-11,10.62049
2021-04-12,22.68398
2021-04-13,30.33189
2021-04-14,26.52236
2021-04-15,24.4733
2021-04-16,24.93506
2021-04-17,13.18903
2021-04-18,13.13131
2021-04-19,36.01731
2021-04-20,36.91197
2021-04-21,26.60894
2021-04-22,24.79076
2021-04-23,40.05772
2021-04-24,17.72005
2021-04-25,15.09379
2021-04-26,27.53246
2021-04-27,30.79365
2021-04-28,34.14141
2021-04-29,25.97402
2021-04-30,19.82683
2021-05-01,10.70707
2021-05-02,12.23665
2021-05-03,28.10966
2021-05-04,21.0101
2021-05-05,15.00721
2021-05-06,26.08946
2021-05-07,21.24098
2021-05-08,14.57431
2021-05-09,11.83261
2021-05-10,23.23232
2021-05-11,21.64502
2021-05-12,23.3189
2021-05-13,23.05916
2021-05-14,21.99134
2021-05-15,11.97691
2021-05-16,10.27417
2021-05-17,27.70562
2021-05-18,23.26118
2021-05-19,12.64069
2021-05-20,31.11111
2021-05-21,31.28427
2021-05-22,14.37229
2021-05-23,13.50649
2021-05-24,29.40836
2021-05-25,37.46031
2021-05-26,32.03463
2021-05-27,33.62193
2021-05-28,24.53102
2021-05-29,10.79365
2021-05-30,11.63059
2021-05-31,29.20634
2021-06-01,29.17748
2021-06-02,28.2251
2021-06-03,42.51082
2021-06-04,43.49206
2021-06-05,15.44011
2021-06-06,14.77633
2021-06-07,46.4935
2021-06-08,33.24675
2021-06-09,39.24963
2021-06-10,33.04473
2021-06-11,26.2049
2021-06-12,16.13275
2021-06-13,12.12121
2021-06-14,62.36652
2021-06-15,70.50505
2021-06-16,32.40981
2021-06-17,25.68542
2021-06-18,23.0303
2021-06-19,8.60028
2021-06-20,8.28282
2021-06-21,16.76767
2021-06-22,17.83549
2021-06-23,24.87734
2021-06-24,27.84992
2021-06-25,19.30735
2021-06-26,8.62914
2021-06-27,9.03318
2021-06-28,23.92496
2021-06-29,23.6075
2021-06-30,20.80808
2021-07-01,22.42424
2021-07-02,18.81673
2021-07-03,7.215
2021-07-04,7.82106
2021-07-05,19.07647
2021-07-06,19.65367
2021-07-07,22.39538
2021-07-08,24.99278
2021-07-09,18.90331
2021-07-10,8.9466
2021-07-11,9.06204
2021-07-12,16.19047
2021-07-13,20.60606
2021-07-14,23.95382
2021-07-15,21.06782
2021-07-16,18.49927
2021-07-17,8.88888
2021-07-18,8.60028
2021-07-19,19.27849
2021-07-20,20.80808
2021-07-21,18.78787
2021-07-22,18.73015
2021-07-23,16.88311
2021-07-24,7.27272
2021-07-25,7.01298
2021-07-26,18.09523
2021-07-27,17.95093
2021-07-28,18.58585
2021-07-29,17.97979
2021-07-30,17.60461
2021-07-31,6.6378
2021-08-01,5.56998
2021-08-02,12.98701
2021-08-03,15.98845
2021-08-04,16.01731
2021-08-05,14.57431
2021-08-06,12.95815
2021-08-07,7.01298
2021-08-08,7.24386
2021-08-09,13.85281
2021-08-10,16.27705
2021-08-11,16.73881
2021-08-12,20.25974
2021-08-13,20.31746
2021-08-14,8.60028
2021-08-15,6.52236
2021-08-16,7.99422
2021-08-17,19.01875
2021-08-18,17.40259
2021-08-19,18.67243
2021-08-20,17.63347
2021-08-21,7.15728
2021-08-22,9.20634
2021-08-23,13.82395
2021-08-24,15.26695
2021-08-25,17.60461
2021-08-26,16.76767
2021-08-27,18.32611
2021-08-28,8.71572
2021-08-29,6.9264
2021-08-30,12.26551
2021-08-31,18.15295
2021-09-01,16.56565
2021-09-02,14.17027
2021-09-03,16.85425
2021-09-04,7.9365
2021-09-05,7.38816
2021-09-06,12.84271
2021-09-07,15.35353
2021-09-08,14.63203
2021-09-09,15.61327
2021-09-10,15.90187
2021-09-11,8.25396
2021-09-12,6.32034
2021-09-13,14.74747
2021-09-14,18.64357
2021-09-15,15.58441
2021-09-16,16.68109
2021-09-17,13.24675
2021-09-18,6.46464
2021-09-19,5.07936
2021-09-20,4.93506
2021-09-21,4.06926
2021-09-22,5.1948
2021-09-23,13.82395
2021-09-24,13.33333
2021-09-25,7.15728
2021-09-26,6.37806
2021-09-27,16.27705
2021-09-28,16.99855
2021-09-29,20.46176
2021-09-30,27.09956
2021-10-01,17.80663
2021-10-02,9.46608
2021-10-03,6.23376
2021-10-04,6.75324
2021-10-05,14.51659
2021-10-06,16.96969
2021-10-07,16.30591
2021-10-08,17.02741
2021-10-09,12.23665
2021-10-10,8.3694
2021-10-11,8.86002
2021-10-12,15.72871
2021-10-13,28.71572
2021-10-14,24.0404
2021-10-15,17.28715
2021-10-16,9.26406
2021-10-17,9.29292
2021-10-18,33.36219
2021-10-19,20.98124
2021-10-20,19.36507
2021-10-21,18.87445
2021-10-22,19.10533
2021-10-23,9.84126
2021-10-24,7.90764
2021-10-25,14.83405
2021-10-26,41.99134
2021-10-27,74.31457
2021-10-28,35.20923
2021-10-29,20.1443
2021-10-30,9.87012
2021-10-31,8.74458
2021-11-01,16.85425
2021-11-02,19.56709
2021-11-03,18.12409
2021-11-04,22.48196
2021-11-05,16.91197
2021-11-06,6.66666
2021-11-07,7.9365
2021-11-08,18.61471
2021-11-09,21.09668
2021-11-10,19.39393
2021-11-11,19.48051
2021-11-12,18.55699
2021-11-13,9.03318
2021-11-14,7.30158
2021-11-15,16.53679
2021-11-16,20.98124
2021-11-17,19.50937
2021-11-18,20.46176
2021-11-19,23.83838
2021-11-20,9.89898
2021-11-21,10.70707
2021-11-22,18.49927
2021-11-23,22.13564
2021-11-24,22.42424
2021-11-25,30.10101
2021-11-26,30.70707
2021-11-27,9.11976
2021-11-28,7.01298
2021-11-29,34.92063
2021-11-30,52.55411
2021-12-01,34.05483
2021-12-02,19.94227
2021-12-03,15.00721
2021-12-04,8.71572
2021-12-05,11.34199
2021-12-06,15.49783
2021-12-07,17.57575
2021-12-08,17.57575
2021-12-09,47.3593
2021-12-10,63.23232
2021-12-11,10.70707
2021-12-12,9.61038
2021-12-13,16.13275
2021-12-14,16.13275
2021-12-15,15.03607
2021-12-16,25.9163
2021-12-17,18.26839
2021-12-18,6.81096
2021-12-19,7.3593
2021-12-20,15.38239
2021-12-21,15.78643
2021-12-22,14.83405
2021-12-23,14.17027
2021-12-24,11.65945
2021-12-25,5.02164
2021-12-26,5.10822
2021-12-27,20.37518
2021-12-28,20.1443
2021-12-29,15.78643
2021-12-30,17.74891
2021-12-31,7.90764
2022-01-01,7.01298
2022-01-02,8.28282
2022-01-03,15.69985
2022-01-04,17.46031
2022-01-05,36.45021
2022-01-06,22.33766
2022-01-07,16.85425
2022-01-08,8.88888
2022-01-09,7.99422
2022-01-10,13.88167
2022-01-11,14.66089
2022-01-12,22.19336
2022-01-13,27.15728
2022-01-14,17.37373
2022-01-15,8.10966
2022-01-16,7.61904
2022-01-17,12.69841
2022-01-18,16.07503
2022-01-19,15.46897
2022-01-20,13.99711
2022-01-21,13.47763
2022-01-22,6.08946
2022-01-23,6.9264
2022-01-24,12.40981
2022-01-25,15.15151
2022-01-26,17.72005
2022-01-27,17.57575
2022-01-28,16.62337
2022-01-29,7.0707
2022-01-30,6.86868
2022-01-31,7.09956
2022-02-01,5.80086
2022-02-02,6.17604
2022-02-03,12.00577
2022-02-04,12.92929
2022-02-05,7.18614
2022-02-06,6.83982
2022-02-07,12.17893
2022-02-08,15.00721
2022-02-09,11.83261
2022-02-10,15.58441
2022-02-11,18.21067
2022-02-12,7.01298
2022-02-13,5.31024
2022-02-14,17.31601
2022-02-15,15.09379
2022-02-16,14.48773
2022-02-17,14.14141
2022-02-18,14.02597
2022-02-19,7.56132
2022-02-20,7.99422
2022-02-21,18.67243
2022-02-22,15.00721
2022-02-23,15.72871
2022-02-24,15.32467
2022-02-25,15.20923
2022-02-26,6.4935
2022-02-27,5.51226
2022-02-28,10.47619
2022-03-01,9.84126
2022-03-02,12.66955
2022-03-03,14.43001
2022-03-04,13.65079
2022-03-05,5.85858
2022-03-06,5.39682
2022-03-07,9.58152
2022-03-08,10.59163
2022-03-09,4.1847
2022-03-10,9.5238
2022-03-11,18.58585
2022-03-12,7.47474
2022-03-13,7.47474
2022-03-14,15.72871
2022-03-15,15.93073
2022-03-16,16.99855
2022-03-17,16.91197
2022-03-18,12.81385
2022-03-19,6.75324
2022-03-20,6.08946
2022-03-21,12.06349
2022-03-22,17.83549
2022-03-23,16.47907
2022-03-24,32.06349
2022-03-25,21.38528
2022-03-26,8.62914
2022-03-27,7.96536
2022-03-28,17.05627
2022-03-29,19.27849
2022-03-30,20.8658
2022-03-31,29.03318
2022-04-01,24.41558
2022-04-02,10.88023
2022-04-03,8.3694
2022-04-04,16.99855
2022-04-05,18.52813
2022-04-06,17.25829
2022-04-07,27.04184
2022-04-08,21.47186
2022-04-09,8.13852
2022-04-10,6.86868
2022-04-11,18.15295
2022-04-12,22.48196
2022-04-13,21.09668
2022-04-14,21.32756
2022-04-15,14.97835
2022-04-16,7.67676
2022-04-17,6.75324
2022-04-18,16.01731
2022-04-19,15.72871
2022-04-20,19.13419
2022-04-21,18.00865
2022-04-22,15.64213
2022-04-23,6.86868
2022-04-24,6.32034
2022-04-25,12.00577
2022-04-26,14.19913
2022-04-27,14.48773
2022-04-28,14.08369
2022-04-29,13.99711
2022-04-30,6.37806
2022-05-01,5.10822
2022-05-02,14.17027
2022-05-03,19.53823
2022-05-04,13.33333
2022-05-05,6.03174
2022-05-06,9.98556
2022-05-07,5.45454
2022-05-08,6.43578
2022-05-09,13.44877
2022-05-10,12.12121
2022-05-11,15.18037
2022-05-12,13.76623
2022-05-13,11.39971
2022-05-14,4.58874
2022-05-15,6.58008
2022-05-16,12.95815
2022-05-17,14.34343
2022-05-18,13.99711
2022-05-19,13.44877
2022-05-20,10.41847
2022-05-21,5.4834
2022-05-22,6.23376
2022-05-23,16.19047
2022-05-24,17.48917
2022-05-25,14.89177
2022-05-26,15.64213
2022-05-27,12.32323
2022-05-28,7.01298
2022-05-29,6.29148
2022-05-30,13.07359
2022-05-31,25.42568
2022-06-01,12.87157
2022-06-02,17.08513
2022-06-03,15.32467
2022-06-04,7.67676
2022-06-05,6.2049
2022-06-06,7.15728
2022-06-07,13.47763
2022-06-08,16.24819
2022-06-09,18.81673
2022-06-10,14.71861
2022-06-11,6.98412
2022-06-12,7.01298
2022-06-13,14.86291
2022-06-14,14.43001
2022-06-15,13.44877
2022-06-16,14.71861
2022-06-17,14.97835
2022-06-18,6.6378
2022-06-19,6.40692
2022-06-20,18.78787
2022-06-21,24.24242
2022-06-22,18.29725
2022-06-23,20.23088
2022-06-24,14.77633
2022-06-25,7.96536
2022-06-26,7.0707
2022-06-27,14.19913
2022-06-28,17.66233
2022-06-29,21.1544
2022-06-30,24.96392
2022-07-01,20.23088
2022-07-02,8.91774
2022-07-03,8.16738
2022-07-04,14.89177
2022-07-05,18.00865
2022-07-06,18.98989
2022-07-07,16.79653
2022-07-08,16.68109
2022-07-09,6.89754
2022-07-10,4.99278
2022-07-11,13.13131
2022-07-12,13.70851
2022-07-13,14.45887
2022-07-14,14.19913
2022-07-15,12.32323
2022-07-16,4.1847
2022-07-17,5.10822
2022-07-18,16.82539
2022-07-19,18.55699
2022-07-20,14.22799
2022-07-21,14.02597
2022-07-22,14.17027
2022-07-23,7.61904
2022-07-24,6.66666
2022-07-25,22.04906
2022-07-26,28.77344
2022-07-27,22.56854
2022-07-28,17.63347
2022-07-29,13.36219
2022-07-30,5.772
2022-07-31,7.04184
2022-08-01,11.45743
2022-08-02,16.24819
2022-08-03,16.04617
2022-08-04,14.80519
2022-08-05,13.76623
2022-08-06,7.6479
2022-08-07,7.5036
2022-08-08,15.69985
2022-08-09,21.76046
2022-08-10,24.38672
