date,자동차보험비교견적
2021-06-04,15.36388
2021-06-05,5.39083
2021-06-06,7.14285
2021-06-07,19.81132
2021-06-08,19.13746
2021-06-09,17.38544
2021-06-10,20.48517
2021-06-11,19.13746
2021-06-12,6.19946
2021-06-13,6.60377
2021-06-14,22.23719
2021-06-15,18.59838
2021-06-16,16.1725
2021-06-17,14.82479
2021-06-18,16.98113
2021-06-19,5.66037
2021-06-20,9.83827
2021-06-21,21.2938
2021-06-22,16.1725
2021-06-23,17.25067
2021-06-24,15.76819
2021-06-25,13.74663
2021-06-26,5.12129
2021-06-27,4.58221
2021-06-28,21.42857
2021-06-29,18.73315
2021-06-30,14.28571
2021-07-01,17.92452
2021-07-02,14.28571
2021-07-03,8.08625
2021-07-04,9.29919
2021-07-05,17.38544
2021-07-06,16.57681
2021-07-07,16.98113
2021-07-08,16.44204
2021-07-09,15.09433
2021-07-10,7.81671
2021-07-11,7.41239
2021-07-12,19.94609
2021-07-13,17.92452
2021-07-14,17.25067
2021-07-15,17.92452
2021-07-16,14.82479
2021-07-17,7.00808
2021-07-18,9.56873
2021-07-19,17.65498
2021-07-20,17.65498
2021-07-21,15.90296
2021-07-22,14.55525
2021-07-23,13.34231
2021-07-24,7.41239
2021-07-25,9.02964
2021-07-26,18.46361
2021-07-27,19.94609
2021-07-28,19.27223
2021-07-29,17.65498
2021-07-30,14.01617
2021-07-31,9.7035
2021-08-01,9.02964
2021-08-02,19.27223
2021-08-03,20.21563
2021-08-04,21.2938
2021-08-05,21.69811
2021-08-06,13.8814
2021-08-07,9.97304
2021-08-08,9.56873
2021-08-09,23.5849
2021-08-10,20.75471
2021-08-11,17.38544
2021-08-12,17.38544
2021-08-13,14.82479
2021-08-14,11.05121
2021-08-15,9.56873
2021-08-16,11.45552
2021-08-17,23.85444
2021-08-18,22.37196
2021-08-19,21.15902
2021-08-20,20.21563
2021-08-21,8.7601
2021-08-22,9.16442
2021-08-23,23.04582
2021-08-24,22.91105
2021-08-25,21.96765
2021-08-26,21.42857
2021-08-27,19.00269
2021-08-28,8.08625
2021-08-29,8.62533
2021-08-30,22.50673
2021-08-31,22.23719
2021-09-01,19.54177
2021-09-02,21.69811
2021-09-03,19.81132
2021-09-04,11.18598
2021-09-05,10.6469
2021-09-06,23.18059
2021-09-07,19.00269
2021-09-08,14.69002
2021-09-09,14.82479
2021-09-10,16.57681
2021-09-11,7.41239
2021-09-12,9.29919
2021-09-13,22.77628
2021-09-14,25.74123
2021-09-15,21.56334
2021-09-16,20.3504
2021-09-17,21.15902
2021-09-18,8.7601
2021-09-19,6.33423
2021-09-20,7.27762
2021-09-21,6.73854
2021-09-22,10.37735
2021-09-23,28.84097
2021-09-24,21.69811
2021-09-25,9.02964
2021-09-26,11.72506
2021-09-27,24.93261
2021-09-28,24.39353
2021-09-29,26.68463
2021-09-30,24.25876
2021-10-01,21.56334
2021-10-02,11.32075
2021-10-03,10.24258
2021-10-04,19.54177
2021-10-05,35.57951
2021-10-06,26.01078
2021-10-07,20.3504
2021-10-08,23.98921
2021-10-09,11.85983
2021-10-10,10.10781
2021-10-11,12.53369
2021-10-12,25.87601
2021-10-13,26.41509
2021-10-14,23.18059
2021-10-15,22.50673
2021-10-16,10.91644
2021-10-17,10.78167
2021-10-18,25.20215
2021-10-19,22.6415
2021-10-20,17.1159
2021-10-21,21.42857
2021-10-22,20.88948
2021-10-23,8.08625
2021-10-24,11.32075
2021-10-25,20.61994
2021-10-26,20.48517
2021-10-27,23.98921
2021-10-28,16.98113
2021-10-29,18.46361
2021-10-30,10.78167
2021-10-31,9.7035
2021-11-01,26.8194
2021-11-02,24.79784
2021-11-03,21.69811
2021-11-04,20.75471
2021-11-05,19.94609
2021-11-06,11.32075
2021-11-07,11.59029
2021-11-08,25.87601
2021-11-09,28.70619
2021-11-10,27.62803
2021-11-11,23.04582
2021-11-12,21.96765
2021-11-13,12.12938
2021-11-14,13.07277
2021-11-15,28.03234
2021-11-16,24.39353
2021-11-17,23.18059
2021-11-18,21.42857
2021-11-19,22.37196
2021-11-20,9.83827
2021-11-21,7.81671
2021-11-22,24.5283
2021-11-23,22.6415
2021-11-24,27.35849
2021-11-25,23.71967
2021-11-26,18.05929
2021-11-27,9.29919
2021-11-28,12.66846
2021-11-29,26.41509
2021-11-30,25.06738
2021-12-01,21.69811
2021-12-02,21.42857
2021-12-03,18.46361
2021-12-04,9.56873
2021-12-05,11.59029
2021-12-06,23.98921
2021-12-07,25.87601
2021-12-08,21.15902
2021-12-09,19.94609
2021-12-10,21.42857
2021-12-11,10.91644
2021-12-12,14.69002
2021-12-13,26.41509
2021-12-14,31.80592
2021-12-15,29.11051
2021-12-16,24.39353
2021-12-17,24.66307
2021-12-18,11.72506
2021-12-19,12.39892
2021-12-20,24.12398
2021-12-21,20.75471
2021-12-22,22.77628
2021-12-23,18.73315
2021-12-24,18.73315
2021-12-25,10.24258
2021-12-26,14.55525
2021-12-27,26.68463
2021-12-28,24.5283
2021-12-29,26.54986
2021-12-30,23.98921
2021-12-31,19.407
2022-01-01,12.12938
2022-01-02,13.20754
2022-01-03,28.70619
2022-01-04,30.45822
2022-01-05,30.0539
2022-01-06,26.68463
2022-01-07,20.08086
2022-01-08,16.98113
2022-01-09,12.26415
2022-01-10,32.74932
2022-01-11,29.38005
2022-01-12,24.93261
2022-01-13,24.66307
2022-01-14,23.45013
2022-01-15,10.91644
2022-01-16,13.07277
2022-01-17,23.31536
2022-01-18,20.3504
2022-01-19,22.10242
2022-01-20,24.39353
2022-01-21,24.93261
2022-01-22,10.78167
2022-01-23,13.61185
2022-01-24,21.02425
2022-01-25,25.87601
2022-01-26,25.60646
2022-01-27,20.75471
2022-01-28,18.05929
2022-01-29,9.56873
2022-01-30,9.7035
2022-01-31,8.62533
2022-02-01,10.10781
2022-02-02,12.12938
2022-02-03,31.9407
2022-02-04,28.43665
2022-02-05,15.36388
2022-02-06,13.07277
2022-02-07,28.43665
2022-02-08,23.98921
2022-02-09,27.22371
2022-02-10,22.91105
2022-02-11,20.08086
2022-02-12,10.37735
2022-02-13,12.938
2022-02-14,25.60646
2022-02-15,25.60646
2022-02-16,21.42857
2022-02-17,26.95417
2022-02-18,23.71967
2022-02-19,11.45552
2022-02-20,14.15094
2022-02-21,28.97574
2022-02-22,27.08894
2022-02-23,22.91105
2022-02-24,22.10242
2022-02-25,26.14555
2022-02-26,13.8814
2022-02-27,11.05121
2022-02-28,26.54986
2022-03-01,15.76819
2022-03-02,27.08894
2022-03-03,26.41509
2022-03-04,21.69811
2022-03-05,10.24258
2022-03-06,13.20754
2022-03-07,29.38005
2022-03-08,24.39353
2022-03-09,12.66846
2022-03-10,25.74123
2022-03-11,30.18867
2022-03-12,15.90296
2022-03-13,14.82479
2022-03-14,28.30188
2022-03-15,27.7628
2022-03-16,26.41509
2022-03-17,23.45013
2022-03-18,26.41509
2022-03-19,12.938
2022-03-20,11.72506
2022-03-21,33.82749
2022-03-22,30.18867
2022-03-23,24.25876
2022-03-24,25.20215
2022-03-25,21.42857
2022-03-26,15.90296
2022-03-27,16.98113
2022-03-28,29.91913
2022-03-29,29.64959
2022-03-30,25.47169
2022-03-31,25.74123
2022-04-01,23.98921
2022-04-02,12.80323
2022-04-03,10.6469
2022-04-04,30.59299
2022-04-05,33.15363
2022-04-06,26.28032
2022-04-07,27.22371
2022-04-08,25.60646
2022-04-09,13.74663
2022-04-10,14.28571
2022-04-11,30.45822
2022-04-12,25.47169
2022-04-13,31.26684
2022-04-14,27.08894
2022-04-15,25.33692
2022-04-16,11.85983
2022-04-17,12.12938
2022-04-18,29.78436
2022-04-19,25.87601
2022-04-20,23.18059
2022-04-21,24.12398
2022-04-22,21.56334
2022-04-23,13.47708
2022-04-24,11.32075
2022-04-25,27.62803
2022-04-26,30.0539
2022-04-27,28.70619
2022-04-28,25.60646
