date,양도세율
2021-10-18,7.58143
2021-10-19,8.04266
2021-10-20,6.42836
2021-10-21,8.27327
2021-10-22,6.48601
2021-10-23,4.32401
2021-10-24,5.10233
2021-10-25,8.21562
2021-10-26,8.07149
2021-10-27,7.1202
2021-10-28,6.74545
2021-10-29,6.86076
2021-10-30,4.78524
2021-10-31,4.75641
2021-11-01,7.35082
2021-11-02,7.1202
2021-11-03,6.91842
2021-11-04,7.03372
2021-11-05,6.77428
2021-11-06,3.68982
2021-11-07,4.38166
2021-11-08,7.35082
2021-11-09,6.63015
2021-11-10,6.31305
2021-11-11,6.34188
2021-11-12,5.56356
2021-11-13,4.15105
2021-11-14,4.98702
2021-11-15,9.94522
2021-11-16,8.33093
2021-11-17,7.26434
2021-11-18,8.64802
2021-11-19,6.63015
2021-11-20,3.92043
2021-11-21,5.13116
2021-11-22,9.54165
2021-11-23,8.44623
2021-11-24,8.18679
2021-11-25,8.84981
2021-11-26,7.5526
2021-11-27,6.11127
2021-11-28,5.36177
2021-11-29,10.3488
2021-11-30,14.35572
2021-12-01,13.54857
2021-12-02,10.69472
2021-12-03,9.65696
2021-12-04,5.18881
2021-12-05,6.42836
2021-12-06,11.70366
2021-12-07,13.28913
2021-12-08,10.43528
2021-12-09,9.31104
2021-12-10,7.58143
2021-12-11,5.04468
2021-12-12,6.45719
2021-12-13,11.58835
2021-12-14,9.94522
2021-12-15,10.69472
2021-12-16,8.96511
2021-12-17,7.09138
2021-12-18,5.15998
2021-12-19,5.47708
2021-12-20,8.59037
2021-12-21,8.47506
2021-12-22,7.20668
2021-12-23,6.74545
2021-12-24,5.99596
2021-12-25,4.12222
2021-12-26,3.86278
2021-12-27,7.23551
2021-12-28,6.74545
2021-12-29,7.23551
2021-12-30,6.22657
2021-12-31,5.30412
2022-01-01,3.28624
2022-01-02,4.03574
2022-01-03,6.37071
2022-01-04,6.83194
2022-01-05,5.823
2022-01-06,7.4373
2022-01-07,6.80311
2022-01-08,5.47708
2022-01-09,4.03574
2022-01-10,7.20668
2022-01-11,6.97607
2022-01-12,7.23551
2022-01-13,6.83194
2022-01-14,6.57249
2022-01-15,4.52579
2022-01-16,4.38166
2022-01-17,5.13116
2022-01-18,6.16892
2022-01-19,5.59238
2022-01-20,6.16892
2022-01-21,5.73652
2022-01-22,4.41049
2022-01-23,3.97809
2022-01-24,5.67886
2022-01-25,5.76535
2022-01-26,5.24646
2022-01-27,6.28423
2022-01-28,3.92043
2022-01-29,3.7763
2022-01-30,3.14211
2022-01-31,3.11328
2022-02-01,3.74747
2022-02-02,3.66099
2022-02-03,5.90948
2022-02-04,5.90948
2022-02-05,5.73652
2022-02-06,4.29518
2022-02-07,6.48601
2022-02-08,6.11127
2022-02-09,8.07149
2022-02-10,6.31305
2022-02-11,6.31305
2022-02-12,5.67886
2022-02-13,4.92937
2022-02-14,7.06255
2022-02-15,6.60132
2022-02-16,7.03372
2022-02-17,6.22657
2022-02-18,6.19775
2022-02-19,4.23753
2022-02-20,4.03574
2022-02-21,7.20668
2022-02-22,6.94724
2022-02-23,5.3906
2022-02-24,4.87172
2022-02-25,4.78524
2022-02-26,4.17987
2022-02-27,3.92043
2022-02-28,4.00691
2022-03-01,4.87172
2022-03-02,6.16892
2022-03-03,5.47708
2022-03-04,4.81406
2022-03-05,2.79619
2022-03-06,3.17094
2022-03-07,6.45719
2022-03-08,5.53473
2022-03-09,4.12222
2022-03-10,8.53271
2022-03-11,7.49495
2022-03-12,6.19775
2022-03-13,5.90948
2022-03-14,8.79215
2022-03-15,7.26434
2022-03-16,6.54367
2022-03-17,6.77428
2022-03-18,6.22657
2022-03-19,4.41049
2022-03-20,3.37272
2022-03-21,6.37071
2022-03-22,6.19775
2022-03-23,7.40847
2022-03-24,7.78322
2022-03-25,5.44825
2022-03-26,5.41942
2022-03-27,4.46814
2022-03-28,6.94724
2022-03-29,6.6878
2022-03-30,7.23551
2022-03-31,21.99481
2022-04-01,17.95906
2022-04-02,8.53271
2022-04-03,7.09138
2022-04-04,13.57739
2022-04-05,10.46411
2022-04-06,8.87863
2022-04-07,9.74344
2022-04-08,8.44623
2022-04-09,6.45719
2022-04-10,5.62121
2022-04-11,11.61718
2022-04-12,8.90746
2022-04-13,8.96511
2022-04-14,9.45517
2022-04-15,6.74545
2022-04-16,5.5059
2022-04-17,5.47708
2022-04-18,9.08042
2022-04-19,7.75439
2022-04-20,7.5526
2022-04-21,7.37964
2022-04-22,6.42836
2022-04-23,4.55462
2022-04-24,5.13116
2022-04-25,7.69674
2022-04-26,7.26434
2022-04-27,7.4373
2022-04-28,8.61919
2022-04-29,7.4373
2022-04-30,5.823
2022-05-01,4.84289
2022-05-02,6.86076
2022-05-03,6.57249
2022-05-04,12.3955
2022-05-05,7.35082
2022-05-06,8.27327
2022-05-07,5.90948
2022-05-08,6.28423
2022-05-09,15.94119
2022-05-10,19.86163
2022-05-11,13.34678
2022-05-12,11.58835
2022-05-13,8.76333
2022-05-14,7.26434
2022-05-15,6.91842
2022-05-16,8.90746
2022-05-17,9.36869
2022-05-18,10.06053
2022-05-19,8.3021
2022-05-20,7.84087
2022-05-21,5.13116
2022-05-22,4.75641
2022-05-23,7.92735
2022-05-24,6.74545
2022-05-25,7.63908
2022-05-26,7.17786
2022-05-27,7.29316
2022-05-28,4.2087
2022-05-29,4.52579
2022-05-30,7.35082
2022-05-31,6.57249
2022-06-01,5.15998
2022-06-02,5.85183
2022-06-03,6.02479
2022-06-04,3.97809
2022-06-05,3.48803
2022-06-06,3.92043
2022-06-07,6.54367
2022-06-08,6.80311
2022-06-09,5.90948
2022-06-10,6.54367
2022-06-11,4.12222
2022-06-12,4.46814
2022-06-13,7.32199
2022-06-14,5.90948
2022-06-15,6.80311
2022-06-16,6.31305
2022-06-17,5.88065
2022-06-18,3.89161
2022-06-19,3.51686
2022-06-20,6.22657
2022-06-21,7.52378
2022-06-22,7.49495
2022-06-23,6.14009
2022-06-24,5.30412
2022-06-25,3.63217
2022-06-26,3.17094
2022-06-27,5.33294
2022-06-28,5.96713
2022-06-29,5.18881
2022-06-30,5.93831
2022-07-01,5.01585
2022-07-02,4.09339
2022-07-03,3.19976
2022-07-04,5.24646
