date,주식장외거래
2021-02-22,22.42479
2021-02-23,23.79216
2021-02-24,24.97721
2021-02-25,31.17593
2021-02-26,32.54329
2021-02-27,7.01914
2021-02-28,7.1103
2021-03-01,7.29261
2021-03-02,20.87511
2021-03-03,22.24247
2021-03-04,22.33363
2021-03-05,20.69279
2021-03-06,6.74567
2021-03-07,4.64904
2021-03-08,19.41659
2021-03-09,24.88605
2021-03-10,29.99088
2021-03-11,32.45214
2021-03-12,36.00729
2021-03-13,11.75934
2021-03-14,15.13217
2021-03-15,29.80856
2021-03-16,28.89699
2021-03-17,36.28076
2021-03-18,54.87693
2021-03-19,48.58705
2021-03-20,14.94986
2021-03-21,11.94165
2021-03-22,29.53509
2021-03-23,28.98814
2021-03-24,31.26709
2021-03-25,24.15679
2021-03-26,20.51048
2021-03-27,9.20692
2021-03-28,8.47766
2021-03-29,21.69553
2021-03-30,22.88058
2021-03-31,27.07383
2021-04-01,25.79762
2021-04-02,22.69826
2021-04-03,9.75387
2021-04-04,6.0164
2021-04-05,20.32816
2021-04-06,21.42206
2021-04-07,27.80309
2021-04-08,23.60984
2021-04-09,26.25341
2021-04-10,7.20145
2021-04-11,8.47766
2021-04-12,22.51595
2021-04-13,25.06836
2021-04-14,28.25888
2021-04-15,30.53783
2021-04-16,31.81403
2021-04-17,13.85597
2021-04-18,7.93072
2021-04-19,26.80036
2021-04-20,26.43573
2021-04-21,32.90793
2021-04-22,27.52962
2021-04-23,27.07383
2021-04-24,12.4886
2021-04-25,11.8505
2021-04-26,28.71467
2021-04-27,25.70647
2021-04-28,29.44393
2021-04-29,28.16773
2021-04-30,26.98268
2021-05-01,7.47493
2021-05-02,12.03281
2021-05-03,21.14858
2021-05-04,18.77848
2021-05-05,12.12397
2021-05-06,20.41932
2021-05-07,19.14311
2021-05-08,6.19872
2021-05-09,6.83682
2021-05-10,20.87511
2021-05-11,27.80309
2021-05-12,24.52142
2021-05-13,23.60984
2021-05-14,16.68185
2021-05-15,6.10756
2021-05-16,6.10756
2021-05-17,17.13764
2021-05-18,18.32269
