date,해외선물거래
2021-05-19,24.36974
2021-05-20,26.05042
2021-05-21,20.72829
2021-05-22,15.68627
2021-05-23,8.68347
2021-05-24,17.92717
2021-05-25,17.36694
2021-05-26,23.24929
2021-05-27,23.52941
2021-05-28,21.28851
2021-05-29,9.80392
2021-05-30,7.28291
2021-05-31,22.40896
2021-06-01,20.16806
2021-06-02,28.85154
2021-06-03,20.72829
2021-06-04,16.80672
2021-06-05,7.56302
2021-06-06,6.72268
2021-06-07,26.33053
2021-06-08,36.69467
2021-06-09,22.68907
2021-06-10,24.08963
2021-06-11,20.72829
2021-06-12,12.60504
2021-06-13,7.28291
2021-06-14,15.12605
2021-06-15,25.21008
2021-06-16,19.88795
2021-06-17,33.89355
2021-06-18,22.96918
2021-06-19,13.44537
2021-06-20,8.96358
2021-06-21,20.16806
2021-06-22,25.7703
2021-06-23,27.17086
2021-06-24,24.92997
2021-06-25,20.72829
2021-06-26,9.5238
2021-06-27,5.32212
2021-06-28,22.12885
2021-06-29,16.80672
2021-06-30,20.44817
2021-07-01,19.60784
2021-07-02,21.56862
2021-07-03,8.12324
2021-07-04,6.44257
2021-07-05,22.12885
2021-07-06,21.28851
2021-07-07,30.81232
2021-07-08,28.57142
2021-07-09,19.60784
2021-07-10,7.0028
2021-07-11,9.80392
2021-07-12,22.96918
2021-07-13,23.24929
2021-07-14,27.73109
2021-07-15,24.08963
2021-07-16,18.20728
2021-07-17,10.36414
2021-07-18,9.80392
2021-07-19,16.52661
2021-07-20,21.84873
2021-07-21,25.49019
2021-07-22,26.89075
2021-07-23,17.64705
2021-07-24,8.96358
2021-07-25,7.0028
2021-07-26,28.29131
2021-07-27,24.92997
2021-07-28,25.49019
2021-07-29,20.44817
2021-07-30,14.84593
2021-07-31,9.5238
2021-08-01,6.72268
2021-08-02,15.96638
2021-08-03,18.7675
2021-08-04,18.20728
2021-08-05,16.24649
2021-08-06,19.32773
2021-08-07,7.84313
2021-08-08,12.60504
2021-08-09,25.7703
2021-08-10,24.64985
2021-08-11,26.61064
2021-08-12,23.80952
2021-08-13,21.28851
2021-08-14,10.64425
2021-08-15,7.0028
2021-08-16,14.56582
2021-08-17,21.0084
2021-08-18,25.7703
2021-08-19,21.56862
2021-08-20,17.08683
2021-08-21,18.7675
2021-08-22,9.24369
2021-08-23,17.92717
2021-08-24,27.17086
2021-08-25,26.33053
2021-08-26,26.33053
2021-08-27,22.40896
2021-08-28,10.36414
2021-08-29,9.5238
2021-08-30,24.92997
2021-08-31,24.36974
2021-09-01,26.33053
2021-09-02,28.57142
2021-09-03,21.28851
2021-09-04,10.92436
2021-09-05,11.7647
2021-09-06,21.84873
2021-09-07,23.52941
2021-09-08,23.80952
2021-09-09,21.56862
2021-09-10,20.44817
2021-09-11,13.16526
2021-09-12,7.0028
2021-09-13,19.32773
2021-09-14,26.61064
2021-09-15,22.40896
2021-09-16,20.44817
2021-09-17,19.04761
2021-09-18,14.84593
2021-09-19,9.80392
2021-09-20,12.32492
2021-09-21,15.12605
2021-09-22,16.80672
2021-09-23,22.96918
2021-09-24,21.56862
2021-09-25,18.48739
2021-09-26,12.88515
2021-09-27,21.0084
2021-09-28,21.56862
2021-09-29,20.16806
2021-09-30,21.0084
2021-10-01,19.04761
2021-10-02,12.88515
2021-10-03,10.64425
2021-10-04,16.52661
2021-10-05,17.08683
2021-10-06,26.89075
2021-10-07,26.33053
2021-10-08,19.04761
2021-10-09,15.40616
2021-10-10,14.28571
2021-10-11,18.20728
2021-10-12,18.48739
2021-10-13,18.20728
2021-10-14,22.96918
2021-10-15,21.56862
2021-10-16,14.0056
2021-10-17,7.84313
2021-10-18,17.08683
2021-10-19,24.64985
2021-10-20,17.92717
2021-10-21,21.0084
2021-10-22,14.84593
2021-10-23,11.48459
2021-10-24,8.12324
2021-10-25,13.44537
2021-10-26,23.80952
2021-10-27,17.36694
2021-10-28,18.20728
2021-10-29,14.84593
2021-10-30,7.84313
2021-10-31,9.5238
2021-11-01,15.40616
2021-11-02,17.08683
2021-11-03,21.56862
2021-11-04,17.64705
2021-11-05,15.68627
2021-11-06,10.92436
2021-11-07,8.96358
2021-11-08,24.08963
2021-11-09,18.20728
2021-11-10,23.52941
2021-11-11,15.40616
2021-11-12,16.80672
2021-11-13,12.04481
2021-11-14,8.40336
2021-11-15,21.0084
2021-11-16,23.24929
2021-11-17,19.88795
2021-11-18,16.24649
2021-11-19,22.40896
2021-11-20,11.20448
2021-11-21,7.0028
2021-11-22,22.12885
2021-11-23,21.28851
2021-11-24,25.49019
2021-11-25,22.96918
2021-11-26,19.32773
2021-11-27,10.36414
2021-11-28,10.36414
2021-11-29,19.88795
2021-11-30,19.04761
2021-12-01,24.64985
2021-12-02,29.13165
2021-12-03,22.96918
2021-12-04,8.40336
2021-12-05,11.7647
2021-12-06,28.0112
2021-12-07,29.13165
2021-12-08,20.44817
2021-12-09,21.56862
2021-12-10,19.60784
2021-12-11,10.08403
2021-12-12,10.08403
2021-12-13,15.68627
2021-12-14,24.08963
2021-12-15,21.84873
2021-12-16,24.08963
2021-12-17,20.72829
2021-12-18,14.0056
2021-12-19,9.24369
2021-12-20,19.88795
2021-12-21,21.28851
2021-12-22,24.36974
2021-12-23,30.81232
2021-12-24,26.05042
2021-12-25,8.96358
2021-12-26,11.7647
2021-12-27,23.24929
2021-12-28,30.2521
2021-12-29,23.80952
2021-12-30,22.96918
2021-12-31,19.32773
2022-01-01,11.20448
2022-01-02,9.80392
2022-01-03,24.36974
2022-01-04,33.61344
2022-01-05,29.97198
2022-01-06,34.17366
2022-01-07,33.33333
2022-01-08,22.12885
2022-01-09,10.64425
2022-01-10,24.36974
2022-01-11,29.97198
2022-01-12,31.09243
2022-01-13,27.17086
2022-01-14,30.81232
2022-01-15,17.36694
2022-01-16,12.04481
2022-01-17,27.17086
2022-01-18,38.93557
2022-01-19,39.49579
2022-01-20,35.85434
2022-01-21,34.45378
2022-01-22,24.36974
2022-01-23,8.68347
2022-01-24,41.45658
2022-01-25,51.82072
2022-01-26,39.21568
2022-01-27,44.2577
2022-01-28,33.05322
2022-01-29,21.56862
2022-01-30,10.64425
2022-01-31,26.33053
2022-02-01,19.32773
2022-02-02,18.20728
2022-02-03,31.93277
2022-02-04,36.69467
2022-02-05,26.05042
2022-02-06,15.96638
2022-02-07,31.93277
2022-02-08,31.09243
2022-02-09,44.53781
2022-02-10,34.45378
2022-02-11,32.49299
2022-02-12,19.04761
2022-02-13,10.92436
2022-02-14,38.09523
2022-02-15,40.89635
2022-02-16,32.49299
