date,카페인테리어소품
2021-02-07,55.6701
2021-02-08,81.44329
2021-02-09,42.7835
2021-02-10,36.08247
2021-02-11,49.48453
2021-02-12,41.75257
2021-02-13,32.98969
2021-02-14,48.4536
2021-02-15,55.15463
2021-02-16,52.06185
2021-02-17,60.82474
2021-02-18,58.76288
2021-02-19,61.3402
2021-02-20,43.29896
2021-02-21,53.09278
2021-02-22,42.7835
2021-02-23,52.57731
2021-02-24,55.6701
2021-02-25,70.61855
2021-02-26,47.42268
2021-02-27,68.5567
2021-02-28,63.91752
2021-03-01,50.51546
2021-03-02,43.29896
2021-03-03,46.90721
2021-03-04,48.96907
2021-03-05,50.0
2021-03-06,50.0
2021-03-07,54.63917
2021-03-08,55.15463
2021-03-09,56.70103
2021-03-10,63.91752
2021-03-11,62.88659
2021-03-12,54.12371
2021-03-13,47.93814
2021-03-14,44.84536
2021-03-15,41.23711
2021-03-16,54.12371
2021-03-17,49.48453
2021-03-18,44.32989
2021-03-19,53.60824
2021-03-20,50.51546
2021-03-21,60.30927
2021-03-22,40.20618
2021-03-23,55.15463
2021-03-24,37.1134
2021-03-25,45.36082
2021-03-26,38.65979
2021-03-27,38.65979
2021-03-28,46.39175
2021-03-29,56.70103
2021-03-30,44.32989
2021-03-31,52.57731
2021-04-01,64.43298
2021-04-02,37.62886
2021-04-03,43.81443
2021-04-04,67.0103
2021-04-05,53.09278
2021-04-06,46.39175
2021-04-07,42.26804
2021-04-08,43.81443
2021-04-09,51.03092
2021-04-10,42.26804
2021-04-11,49.48453
2021-04-12,43.81443
2021-04-13,48.4536
2021-04-14,41.75257
2021-04-15,53.60824
2021-04-16,53.09278
2021-04-17,44.84536
2021-04-18,48.96907
2021-04-19,41.23711
2021-04-20,52.06185
2021-04-21,44.84536
2021-04-22,39.17525
2021-04-23,33.50515
2021-04-24,42.26804
2021-04-25,56.70103
2021-04-26,38.65979
2021-04-27,61.85567
2021-04-28,38.14432
2021-04-29,45.36082
2021-04-30,41.23711
2021-05-01,58.76288
2021-05-02,48.4536
2021-05-03,47.93814
2021-05-04,33.50515
2021-05-05,45.36082
2021-05-06,32.98969
2021-05-07,35.56701
2021-05-08,41.75257
2021-05-09,49.48453
2021-05-10,55.6701
2021-05-11,43.81443
2021-05-12,39.17525
2021-05-13,43.29896
2021-05-14,24.74226
2021-05-15,34.53608
2021-05-16,53.60824
2021-05-17,35.56701
2021-05-18,44.84536
2021-05-19,35.56701
2021-05-20,37.62886
2021-05-21,40.72164
2021-05-22,45.36082
2021-05-23,43.81443
2021-05-24,39.17525
2021-05-25,33.50515
2021-05-26,39.69072
2021-05-27,37.62886
2021-05-28,35.05154
2021-05-29,36.08247
2021-05-30,37.62886
2021-05-31,38.65979
2021-06-01,59.27835
2021-06-02,34.53608
2021-06-03,44.32989
2021-06-04,39.17525
2021-06-05,29.38144
2021-06-06,35.56701
2021-06-07,39.69072
2021-06-08,40.72164
2021-06-09,51.54639
2021-06-10,57.73195
2021-06-11,33.50515
2021-06-12,31.95876
2021-06-13,30.92783
2021-06-14,39.17525
2021-06-15,51.03092
2021-06-16,50.51546
2021-06-17,36.08247
2021-06-18,54.63917
2021-06-19,38.14432
2021-06-20,37.62886
2021-06-21,36.08247
2021-06-22,42.26804
2021-06-23,39.69072
2021-06-24,53.09278
2021-06-25,35.05154
2021-06-26,30.92783
2021-06-27,48.4536
2021-06-28,31.95876
2021-06-29,31.95876
2021-06-30,47.42268
2021-07-01,44.84536
2021-07-02,40.72164
2021-07-03,52.57731
2021-07-04,41.23711
2021-07-05,38.14432
2021-07-06,39.69072
2021-07-07,41.23711
2021-07-08,32.47422
2021-07-09,49.48453
2021-07-10,49.48453
2021-07-11,51.54639
2021-07-12,47.42268
2021-07-13,46.90721
2021-07-14,39.69072
2021-07-15,50.51546
2021-07-16,39.69072
2021-07-17,39.17525
2021-07-18,38.65979
2021-07-19,43.29896
2021-07-20,47.93814
2021-07-21,36.59793
2021-07-22,31.44329
2021-07-23,34.02061
2021-07-24,25.77319
2021-07-25,38.14432
2021-07-26,34.53608
