date,미국배당주
2021-02-10,71.38193
2021-02-11,62.67682
2021-02-12,57.23612
2021-02-13,57.34494
2021-02-14,63.3297
2021-02-15,70.62023
2021-02-16,76.605
2021-02-17,73.66702
2021-02-18,70.07616
2021-02-19,59.08596
2021-02-20,53.86289
2021-02-21,39.93471
2021-02-22,44.39608
2021-02-23,65.28835
2021-02-24,64.0914
2021-02-25,73.01414
2021-02-26,58.21545
2021-02-27,44.50489
2021-02-28,32.31773
2021-03-01,41.78454
2021-03-02,44.94015
2021-03-03,45.15778
2021-03-04,41.02285
2021-03-05,40.80522
2021-03-06,44.17845
2021-03-07,35.58215
2021-03-08,40.15233
2021-03-09,53.42763
2021-03-10,54.84221
2021-03-11,51.46898
2021-03-12,57.34494
2021-03-13,50.16322
2021-03-14,38.08487
2021-03-15,45.81066
2021-03-16,53.64526
2021-03-17,57.12731
2021-03-18,47.55168
2021-03-19,40.36996
2021-03-20,37.97606
2021-03-21,27.52992
2021-03-22,40.58759
2021-03-23,40.36996
2021-03-24,37.86724
2021-03-25,38.95538
2021-03-26,50.48966
2021-03-27,39.93471
2021-03-28,35.36452
2021-03-29,42.87268
2021-03-30,51.5778
2021-03-31,47.55168
2021-04-01,69.85854
2021-04-02,56.58324
2021-04-03,36.67029
2021-04-04,47.87812
2021-04-05,51.25136
2021-04-06,56.47442
2021-04-07,52.33949
2021-04-08,48.96626
2021-04-09,44.83133
2021-04-10,33.29706
2021-04-11,26.33297
2021-04-12,37.97606
2021-04-13,47.00761
2021-04-14,47.22524
2021-04-15,54.08052
2021-04-16,53.86289
2021-04-17,36.23503
2021-04-18,33.6235
2021-04-19,37.5408
2021-04-20,42.65505
2021-04-21,42.00217
2021-04-22,43.85201
2021-04-23,42.87268
2021-04-24,33.51468
2021-04-25,33.40587
2021-04-26,44.61371
2021-04-27,43.41675
2021-04-28,43.63438
2021-04-29,38.62894
2021-04-30,37.75843
2021-05-01,36.23503
2021-05-02,23.61262
2021-05-03,30.68552
2021-05-04,46.46354
2021-05-05,39.71708
2021-05-06,36.88792
2021-05-07,38.52013
2021-05-08,96.08269
2021-05-09,100.0
2021-05-10,95.321
2021-05-11,79.21653
2021-05-12,60.50054
2021-05-13,41.89336
2021-05-14,41.34929
2021-05-15,29.05331
2021-05-16,31.33841
2021-05-17,37.21436
2021-05-18,47.6605
2021-05-19,43.63438
2021-05-20,46.46354
2021-05-21,37.75843
2021-05-22,30.79434
2021-05-23,25.57127
2021-05-24,53.42763
2021-05-25,62.13275
2021-05-26,47.22524
2021-05-27,38.08487
2021-05-28,44.28726
2021-05-29,42.65505
2021-05-30,30.57671
2021-05-31,37.64961
2021-06-01,41.78454
2021-06-02,43.85201
2021-06-03,51.5778
2021-06-04,41.34929
2021-06-05,30.46789
2021-06-06,28.07399
2021-06-07,34.49401
2021-06-08,38.3025
2021-06-09,34.92927
2021-06-10,37.21436
2021-06-11,41.24047
2021-06-12,26.87704
2021-06-13,22.30685
2021-06-14,30.79434
2021-06-15,36.88792
2021-06-16,35.79978
2021-06-17,31.77366
2021-06-18,33.94994
2021-06-19,20.78346
2021-06-20,21.32752
2021-06-21,25.7889
2021-06-22,28.1828
2021-06-23,34.3852
2021-06-24,28.29162
2021-06-25,34.27638
2021-06-26,25.46245
2021-06-27,24.70076
2021-06-28,27.74755
2021-06-29,41.24047
2021-06-30,34.49401
2021-07-01,29.16213
2021-07-02,29.92383
2021-07-03,21.00108
2021-07-04,23.39499
2021-07-05,29.92383
2021-07-06,32.20892
2021-07-07,27.85636
2021-07-08,24.80957
2021-07-09,22.63329
2021-07-10,20.45701
2021-07-11,21.1099
2021-07-12,26.98585
2021-07-13,32.42655
2021-07-14,27.31229
2021-07-15,26.11534
2021-07-16,23.28618
2021-07-17,23.61262
2021-07-18,24.80957
2021-07-19,31.01196
2021-07-20,28.07399
