date,루닛주가
2022-11-08,1.32011
2022-11-09,1.11723
2022-11-10,0.8515
2022-11-11,1.16581
2022-11-12,0.33431
2022-11-13,0.34002
2022-11-14,2.30019
2022-11-15,1.84015
2022-11-16,1.40012
2022-11-17,2.43449
2022-11-18,1.26296
2022-11-19,0.24859
2022-11-20,0.20287
2022-11-21,1.07437
2022-11-22,1.06009
2022-11-23,1.34011
2022-11-24,2.00588
2022-11-25,1.58585
2022-11-26,0.38003
2022-11-27,0.31431
2022-11-28,1.32582
2022-11-29,1.28868
2022-11-30,1.02294
2022-12-01,1.00008
2022-12-02,1.01723
2022-12-03,0.20287
2022-12-04,0.19144
2022-12-05,0.92865
2022-12-06,0.89436
2022-12-07,0.95436
2022-12-08,1.05437
2022-12-09,0.94865
2022-12-10,0.20858
2022-12-11,0.21144
2022-12-12,1.32582
2022-12-13,1.14295
2022-12-14,2.25733
2022-12-15,2.74309
2022-12-16,1.64014
2022-12-17,0.24002
2022-12-18,0.22573
2022-12-19,2.22876
2022-12-20,1.98588
2022-12-21,1.8973
2022-12-22,2.3402
2022-12-23,1.80301
2022-12-24,0.80292
2022-12-25,0.56576
2022-12-26,1.42012
2022-12-27,1.53441
2022-12-28,2.53736
2022-12-29,2.14589
2022-12-30,0.43146
2022-12-31,0.15144
2023-01-01,0.23144
2023-01-02,1.44869
2023-01-03,3.21456
2023-01-04,2.80024
2023-01-05,2.12875
2023-01-06,2.52021
2023-01-07,0.43146
2023-01-08,0.33717
2023-01-09,2.38877
2023-01-10,2.24019
2023-01-11,1.97159
2023-01-12,2.02874
2023-01-13,1.53441
2023-01-14,0.30859
2023-01-15,0.25716
2023-01-16,3.8889
2023-01-17,2.79738
2023-01-18,4.60896
2023-01-19,4.30322
2023-01-20,4.12892
2023-01-21,0.90579
2023-01-22,0.64576
2023-01-23,0.43432
2023-01-24,0.80292
2023-01-25,5.77763
2023-01-26,6.11195
2023-01-27,3.99748
2023-01-28,1.06294
2023-01-29,1.02865
2023-01-30,4.42609
2023-01-31,5.3376
2023-02-01,10.06943
2023-02-02,6.9463
2023-02-03,5.4176
2023-02-04,1.46869
2023-02-05,1.29153
2023-02-06,4.99471
2023-02-07,4.36894
2023-02-08,4.71754
2023-02-09,6.87773
2023-02-10,5.2033
2023-02-11,1.02008
2023-02-12,0.93436
2023-02-13,4.73754
2023-02-14,5.12043
2023-02-15,4.48895
2023-02-16,3.84604
2023-02-17,3.33457
2023-02-18,0.94579
2023-02-19,0.67434
2023-02-20,3.41743
2023-02-21,3.22027
2023-02-22,3.28599
2023-02-23,6.93202
2023-02-24,9.87798
2023-02-25,2.10875
2023-02-26,2.24876
2023-02-27,8.30356
2023-02-28,7.93496
2023-03-01,2.32305
2023-03-02,6.32911
2023-03-03,5.76906
2023-03-04,1.48298
2023-03-05,1.08294
2023-03-06,5.50047
2023-03-07,6.02337
2023-03-08,5.58047
2023-03-09,4.50038
2023-03-10,3.81175
2023-03-11,0.66862
2023-03-12,0.57433
2023-03-13,3.85175
2023-03-14,3.53458
2023-03-15,3.87461
2023-03-16,4.76326
2023-03-17,4.16892
2023-03-18,0.81435
2023-03-19,0.85435
2023-03-20,5.30045
2023-03-21,4.59467
2023-03-22,3.9289
2023-03-23,3.46886
2023-03-24,3.2117
2023-03-25,0.45146
2023-03-26,0.51147
2023-03-27,2.97739
2023-03-28,3.04883
2023-03-29,3.11741
2023-03-30,2.92025
2023-03-31,2.98597
2023-04-01,0.58004
2023-04-02,0.44289
2023-04-03,2.82881
2023-04-04,6.43197
2023-04-05,11.13809
2023-04-06,11.64385
2023-04-07,8.43215
2023-04-08,1.54584
2023-04-09,1.06866
2023-04-10,7.34634
2023-04-11,9.35794
2023-04-12,14.41552
2023-04-13,10.79235
2023-04-14,10.74663
2023-04-15,2.50878
2023-04-16,2.08589
2023-04-17,8.88933
2023-04-18,7.65208
2023-04-19,7.63208
2023-04-20,7.31491
2023-04-21,7.47206
2023-04-22,1.55727
2023-04-23,1.52298
2023-04-24,6.93773
2023-04-25,5.84907
2023-04-26,5.43189
2023-04-27,5.42332
2023-04-28,5.81192
2023-04-29,1.03151
2023-04-30,1.74872
2023-05-01,3.27742
2023-05-02,10.74949
2023-05-03,8.98362
2023-05-04,7.12061
2023-05-05,1.28868
2023-05-06,2.47449
2023-05-07,1.06866
2023-05-08,7.5235
2023-05-09,5.93479
2023-05-10,8.1064
2023-05-11,15.32988
2023-05-12,10.73806
2023-05-13,1.55727
2023-05-14,1.19438
2023-05-15,9.06363
2023-05-16,11.22096
2023-05-17,9.04648
2023-05-18,8.64931
2023-05-19,7.54636
2023-05-20,1.1801
2023-05-21,0.95151
2023-05-22,7.10346
2023-05-23,9.87798
2023-05-24,14.82698
2023-05-25,14.1012
2023-05-26,11.79815
2023-05-27,2.09446
2023-05-28,1.83158
2023-05-29,2.52593
2023-05-30,11.71243
2023-05-31,10.32659
2023-06-01,29.86827
2023-06-02,21.93045
2023-06-03,3.65459
2023-06-04,3.30885
2023-06-05,17.42435
2023-06-06,5.74906
2023-06-07,30.86836
2023-06-08,23.44772
2023-06-09,20.66748
2023-06-10,4.66611
2023-06-11,3.89461
2023-06-12,20.98751
2023-06-13,18.15869
2023-06-14,16.06423
2023-06-15,15.54704
2023-06-16,14.88127
2023-06-17,2.7488
2023-06-18,2.05446
2023-06-19,13.06397
2023-06-20,58.01068
2023-06-21,39.94628
2023-06-22,30.29688
2023-06-23,36.76315
2023-06-24,4.57467
2023-06-25,3.95176
2023-06-26,84.58153
2023-06-27,58.385
2023-06-28,68.34871
2023-06-29,49.5271
2023-06-30,51.56156
2023-07-01,8.19213
2023-07-02,6.55199
2023-07-03,38.13469
2023-07-04,49.81855
2023-07-05,67.30862
2023-07-06,47.68122
2023-07-07,40.28059
2023-07-08,7.70637
2023-07-09,7.20347
2023-07-10,34.23436
2023-07-11,30.95122
2023-07-12,29.71969
2023-07-13,40.26059
2023-07-14,34.88584
2023-07-15,5.95479
2023-07-16,5.20901
2023-07-17,29.92827
2023-07-18,28.34242
2023-07-19,33.75432
2023-07-20,28.43672
2023-07-21,30.49118
2023-07-22,6.42626
2023-07-23,6.20624
2023-07-24,29.96542
2023-07-25,30.5369
2023-07-26,28.32242
2023-07-27,27.77666
2023-07-28,29.24822
2023-07-29,4.45466
2023-07-30,3.65745
2023-07-31,22.44192
2023-08-01,26.93945
2023-08-02,22.75052
2023-08-03,20.73034
2023-08-04,19.00448
2023-08-05,4.00891
2023-08-06,3.49172
2023-08-07,19.77883
2023-08-08,20.89321
2023-08-09,21.03608
2023-08-10,18.24156
2023-08-11,19.16164
2023-08-12,3.92605
2023-08-13,5.45761
2023-08-14,19.7474
2023-08-15,4.74612
2023-08-16,22.51335
2023-08-17,22.0676
2023-08-18,18.09869
2023-08-19,3.05454
2023-08-20,2.89739
2023-08-21,15.62133
2023-08-22,15.43275
2023-08-23,18.91304
2023-08-24,33.76289
2023-08-25,20.87893
2023-08-26,3.97176
2023-08-27,3.59745
2023-08-28,19.75026
2023-08-29,25.07929
2023-08-30,24.45066
2023-08-31,25.70791
2023-09-01,18.78732
