date,TQQQ주가
2021-10-11,3.69142
2021-10-12,6.41627
2021-10-13,5.61539
2021-10-14,5.91917
2021-10-15,6.18613
2021-10-16,4.971
2021-10-17,2.20012
2021-10-18,3.19432
2021-10-19,5.67983
2021-10-20,5.10908
2021-10-21,4.9802
2021-10-22,5.10908
2021-10-23,4.28058
2021-10-24,2.43947
2021-10-25,3.63619
2021-10-26,6.09408
2021-10-27,6.54515
2021-10-28,5.9652
2021-10-29,6.52674
2021-10-30,4.51072
2021-10-31,2.20933
2021-11-01,4.26217
2021-11-02,6.98702
2021-11-03,6.68323
2021-11-04,8.01804
2021-11-05,8.64402
2021-11-06,6.06646
2021-11-07,2.76166
2021-11-08,5.29319
2021-11-09,7.64061
2021-11-10,8.13771
2021-11-11,8.96621
2021-11-12,7.10669
2021-11-13,5.90996
2021-11-14,3.26797
2021-11-15,4.36343
2021-11-16,7.17113
2021-11-17,7.11589
2021-11-18,6.50833
2021-11-19,8.06407
2021-11-20,7.24477
2021-11-21,3.91236
2021-11-22,5.3024
2021-11-23,9.15953
2021-11-24,8.73607
2021-11-25,8.1285
2021-11-26,5.643
2021-11-27,7.68664
2021-11-28,4.02282
2021-11-29,5.21034
2021-11-30,9.87756
2021-12-01,9.96041
2021-12-02,11.61741
2021-12-03,9.88677
2021-12-04,10.29181
2021-12-05,3.19432
2021-12-06,6.56356
2021-12-07,10.31022
2021-12-08,11.62662
2021-12-09,8.95701
2021-12-10,8.75448
2021-12-11,6.45309
2021-12-12,2.55914
2021-12-13,4.33581
2021-12-14,8.27579
2021-12-15,8.95701
2021-12-16,9.84994
2021-12-17,10.15373
2021-12-18,8.32182
2021-12-19,2.91816
2021-12-20,5.86394
2021-12-21,9.84994
2021-12-22,9.03065
2021-12-23,9.39887
2021-12-24,8.60719
2021-12-25,4.35422
2021-12-26,3.73745
2021-12-27,5.05385
2021-12-28,11.08349
2021-12-29,8.9478
2021-12-30,8.16533
2021-12-31,7.20795
2022-01-01,4.8053
2022-01-02,3.08386
2022-01-03,5.06305
2022-01-04,9.43569
2022-01-05,8.98462
2022-01-06,14.11212
2022-01-07,12.45512
2022-01-08,10.49433
2022-01-09,3.85712
2022-01-10,7.81552
2022-01-11,14.95903
2022-01-12,12.28021
2022-01-13,12.4183
2022-01-14,14.44352
2022-01-15,8.59799
2022-01-16,3.94918
2022-01-17,5.20114
2022-01-18,7.54855
2022-01-19,12.49194
2022-01-20,12.52876
2022-01-21,14.5724
2022-01-22,14.66445
2022-01-23,5.60618
2022-01-24,9.43569
2022-01-25,18.98186
2022-01-26,17.01187
2022-01-27,15.75071
2022-01-28,15.52977
2022-01-29,13.43091
2022-01-30,4.12409
2022-01-31,4.72245
2022-02-01,12.06848
2022-02-02,14.23179
2022-02-03,14.97744
2022-02-04,16.12814
2022-02-05,11.47012
2022-02-06,4.57516
2022-02-07,6.55435
2022-02-08,12.0869
2022-02-09,10.68765
2022-02-10,11.91199
2022-02-11,12.64843
2022-02-12,12.51956
2022-02-13,5.90996
2022-02-14,8.63481
2022-02-15,13.83595
2022-02-16,13.88198
2022-02-17,12.20657
2022-02-18,15.02347
2022-02-19,13.02586
2022-02-20,5.21034
2022-02-21,6.87655
2022-02-22,12.65764
2022-02-23,17.66546
2022-02-24,24.78136
2022-02-25,21.01629
2022-02-26,13.28362
2022-02-27,4.76848
2022-02-28,8.68084
2022-03-01,14.77492
2022-03-02,14.80254
2022-03-03,13.85436
2022-03-04,14.56319
2022-03-05,13.94642
2022-03-06,5.36684
2022-03-07,8.08248
2022-03-08,20.22461
2022-03-09,15.48375
2022-03-10,15.47454
2022-03-11,15.0695
2022-03-12,14.33305
2022-03-13,6.17693
2022-03-14,10.80732
2022-03-15,22.03811
2022-03-16,21.28325
2022-03-17,20.49157
2022-03-18,19.47896
2022-03-19,16.4043
2022-03-20,6.37945
2022-03-21,10.49433
2022-03-22,17.12234
2022-03-23,18.89901
2022-03-24,15.13394
2022-03-25,17.36168
2022-03-26,11.55297
2022-03-27,4.50151
2022-03-28,7.73267
2022-03-29,18.35588
2022-03-30,18.41112
2022-03-31,15.59421
2022-04-01,13.60581
2022-04-02,10.86256
2022-04-03,3.45208
2022-04-04,6.60959
2022-04-05,14.87618
2022-04-06,15.27202
2022-04-07,16.52398
2022-04-08,14.48955
2022-04-09,10.02485
2022-04-10,3.35082
2022-04-11,8.20215
2022-04-12,17.43533
2022-04-13,15.77833
2022-04-14,14.62763
2022-04-15,12.86937
2022-04-16,6.22295
2022-04-17,3.09306
2022-04-18,7.39206
2022-04-19,14.30544
2022-04-20,13.11792
2022-04-21,14.16735
2022-04-22,15.52977
2022-04-23,15.30884
2022-04-24,5.05385
2022-04-25,10.99143
2022-04-26,17.66546
2022-04-27,25.35211
2022-04-28,20.39952
2022-04-29,18.2178
2022-04-30,16.71729
2022-05-01,5.25637
2022-05-02,11.44251
2022-05-03,20.40872
2022-05-04,17.37089
2022-05-05,20.08653
2022-05-06,27.29448
2022-05-07,17.31565
2022-05-08,5.62459
2022-05-09,14.19497
2022-05-10,28.77658
2022-05-11,24.0173
2022-05-12,30.45199
2022-05-13,24.8366
2022-05-14,14.51716
2022-05-15,5.00782
2022-05-16,11.53456
2022-05-17,19.0555
2022-05-18,19.41452
2022-05-19,30.50722
2022-05-20,23.37291
2022-05-21,17.43533
2022-05-22,5.21034
2022-05-23,12.38147
2022-05-24,24.37632
2022-05-25,28.10457
2022-05-26,22.10254
2022-05-27,24.64328
2022-05-28,16.20178
2022-05-29,4.71324
2022-05-30,9.61981
2022-05-31,16.17416
2022-06-01,19.90242
2022-06-02,18.65046
2022-06-03,21.30166
2022-06-04,13.2468
2022-06-05,4.25296
2022-06-06,10.59559
2022-06-07,18.08892
2022-06-08,18.227
2022-06-09,17.35248
2022-06-10,21.41213
2022-06-11,17.46294
2022-06-12,4.971
2022-06-13,18.63205
2022-06-14,28.04013
2022-06-15,22.92184
2022-06-16,26.53042
2022-06-17,28.28868
2022-06-18,15.32725
2022-06-19,5.22875
2022-06-20,9.40808
2022-06-21,16.37669
2022-06-22,21.16358
2022-06-23,20.75853
2022-06-24,22.31427
2022-06-25,16.26622
2022-06-26,4.08726
2022-06-27,12.98904
2022-06-28,20.17858
2022-06-29,21.78956
2022-06-30,21.26484
2022-07-01,20.869
2022-07-02,12.83255
2022-07-03,4.56595
2022-07-04,7.32762
2022-07-05,14.10291
2022-07-06,20.84138
2022-07-07,20.27984
2022-07-08,20.63886
2022-07-09,11.62662
2022-07-10,4.02282
2022-07-11,10.90858
2022-07-12,18.7149
2022-07-13,20.41793
2022-07-14,19.59863
2022-07-15,20.13256
2022-07-16,11.96722
2022-07-17,3.66381
2022-07-18,14.77492
2022-07-19,20.63886
2022-07-20,25.60986
2022-07-21,24.66169
2022-07-22,24.36711
2022-07-23,12.0961
2022-07-24,3.38764
2022-07-25,13.03507
2022-07-26,19.96685
2022-07-27,23.05992
2022-07-28,26.19902
2022-07-29,28.24265
2022-07-30,15.99005
2022-07-31,4.63039
2022-08-01,15.39169
2022-08-02,23.31768
2022-08-03,25.09435
2022-08-04,30.87544
2022-08-05,26.27266
2022-08-06,14.13053
2022-08-07,3.96759
2022-08-08,19.5434
2022-08-09,26.20822
2022-08-10,23.5202
2022-08-11,27.09196
2022-08-12,23.29927
2022-08-13,15.82435
2022-08-14,4.44628
2022-08-15,13.04427
