date,압류통장해지
2021-11-18,54.70588
2021-11-19,55.88235
2021-11-20,18.23529
2021-11-21,18.82352
2021-11-22,48.82352
2021-11-23,55.29411
2021-11-24,62.94117
2021-11-25,55.88235
2021-11-26,48.23529
2021-11-27,20.58823
2021-11-28,22.35294
2021-11-29,55.88235
2021-11-30,48.82352
2021-12-01,47.64705
2021-12-02,38.82352
2021-12-03,51.7647
2021-12-04,20.58823
2021-12-05,25.29411
2021-12-06,67.05882
2021-12-07,45.88235
2021-12-08,45.29411
2021-12-09,52.35294
2021-12-10,53.52941
2021-12-11,22.94117
2021-12-12,26.47058
2021-12-13,60.0
2021-12-14,56.47058
2021-12-15,61.7647
2021-12-16,48.82352
2021-12-17,59.41176
2021-12-18,19.41176
2021-12-19,20.0
2021-12-20,77.64705
2021-12-21,49.41176
2021-12-22,62.94117
2021-12-23,57.05882
2021-12-24,49.41176
2021-12-25,17.64705
2021-12-26,19.41176
2021-12-27,52.94117
2021-12-28,52.35294
2021-12-29,58.82352
2021-12-30,47.64705
2021-12-31,40.58823
2022-01-01,25.88235
2022-01-02,24.70588
2022-01-03,53.52941
2022-01-04,58.82352
2022-01-05,60.0
2022-01-06,44.11764
2022-01-07,69.41176
2022-01-08,18.23529
2022-01-09,20.0
2022-01-10,45.29411
2022-01-11,57.64705
2022-01-12,49.41176
2022-01-13,47.05882
2022-01-14,46.47058
2022-01-15,23.52941
2022-01-16,25.29411
2022-01-17,47.64705
2022-01-18,64.70588
2022-01-19,67.05882
2022-01-20,60.0
2022-01-21,61.17647
2022-01-22,17.05882
2022-01-23,13.52941
2022-01-24,51.17647
2022-01-25,65.88235
2022-01-26,61.7647
2022-01-27,49.41176
2022-01-28,56.47058
2022-01-29,24.11764
2022-01-30,17.64705
2022-01-31,11.7647
2022-02-01,17.05882
2022-02-02,20.58823
2022-02-03,57.05882
2022-02-04,45.29411
2022-02-05,20.58823
2022-02-06,28.23529
2022-02-07,44.70588
2022-02-08,51.17647
2022-02-09,49.41176
2022-02-10,57.64705
2022-02-11,48.23529
2022-02-12,29.41176
2022-02-13,22.94117
2022-02-14,61.17647
2022-02-15,45.88235
2022-02-16,44.11764
2022-02-17,51.17647
2022-02-18,38.82352
2022-02-19,21.7647
2022-02-20,24.11764
2022-02-21,55.29411
2022-02-22,54.11764
2022-02-23,67.64705
2022-02-24,67.05882
2022-02-25,76.47058
2022-02-26,27.05882
2022-02-27,26.47058
2022-02-28,52.94117
2022-03-01,37.64705
2022-03-02,60.58823
2022-03-03,64.70588
2022-03-04,55.29411
2022-03-05,25.29411
2022-03-06,24.11764
2022-03-07,57.05882
2022-03-08,54.70588
2022-03-09,18.23529
2022-03-10,68.23529
2022-03-11,56.47058
2022-03-12,26.47058
2022-03-13,36.47058
2022-03-14,50.0
2022-03-15,75.29411
2022-03-16,58.82352
2022-03-17,67.64705
2022-03-18,74.11764
2022-03-19,35.29411
2022-03-20,21.7647
2022-03-21,58.82352
2022-03-22,60.58823
2022-03-23,52.35294
2022-03-24,61.7647
2022-03-25,74.11764
2022-03-26,24.11764
2022-03-27,28.82352
2022-03-28,62.94117
2022-03-29,52.94117
2022-03-30,53.52941
2022-03-31,60.58823
2022-04-01,55.88235
2022-04-02,24.70588
2022-04-03,22.35294
2022-04-04,58.23529
2022-04-05,55.29411
2022-04-06,61.17647
2022-04-07,50.58823
2022-04-08,39.41176
2022-04-09,20.0
2022-04-10,14.70588
2022-04-11,50.0
2022-04-12,48.23529
2022-04-13,43.52941
2022-04-14,52.94117
2022-04-15,60.58823
2022-04-16,12.94117
2022-04-17,17.64705
2022-04-18,53.52941
2022-04-19,50.58823
2022-04-20,68.23529
2022-04-21,63.52941
2022-04-22,55.29411
2022-04-23,23.52941
2022-04-24,13.52941
2022-04-25,55.29411
2022-04-26,62.35294
2022-04-27,54.70588
2022-04-28,55.88235
2022-04-29,47.05882
2022-04-30,24.70588
2022-05-01,21.7647
2022-05-02,58.82352
2022-05-03,69.41176
2022-05-04,45.88235
2022-05-05,22.94117
2022-05-06,45.29411
2022-05-07,17.05882
2022-05-08,16.47058
2022-05-09,58.23529
2022-05-10,58.82352
2022-05-11,54.11764
2022-05-12,42.35294
2022-05-13,45.88235
2022-05-14,23.52941
2022-05-15,23.52941
2022-05-16,58.82352
2022-05-17,52.94117
2022-05-18,59.41176
2022-05-19,52.94117
2022-05-20,42.35294
2022-05-21,24.11764
2022-05-22,14.11764
2022-05-23,65.88235
2022-05-24,45.88235
2022-05-25,67.05882
2022-05-26,50.0
2022-05-27,49.41176
2022-05-28,21.7647
2022-05-29,17.05882
2022-05-30,72.35294
2022-05-31,64.70588
2022-06-01,31.17647
2022-06-02,60.58823
2022-06-03,51.7647
2022-06-04,28.23529
2022-06-05,21.7647
2022-06-06,17.05882
2022-06-07,48.23529
2022-06-08,65.88235
2022-06-09,57.64705
2022-06-10,55.88235
2022-06-11,15.29411
2022-06-12,21.7647
2022-06-13,50.58823
2022-06-14,52.94117
2022-06-15,63.52941
2022-06-16,58.23529
2022-06-17,60.58823
2022-06-18,20.0
2022-06-19,20.0
2022-06-20,42.94117
2022-06-21,54.11764
2022-06-22,57.05882
2022-06-23,40.0
2022-06-24,49.41176
2022-06-25,23.52941
2022-06-26,25.29411
2022-06-27,74.70588
2022-06-28,68.23529
2022-06-29,57.05882
2022-06-30,50.58823
2022-07-01,48.23529
2022-07-02,27.64705
2022-07-03,17.64705
2022-07-04,59.41176
2022-07-05,52.35294
2022-07-06,56.47058
2022-07-07,47.64705
2022-07-08,61.17647
2022-07-09,18.82352
2022-07-10,28.82352
2022-07-11,57.05882
2022-07-12,62.35294
2022-07-13,42.94117
2022-07-14,56.47058
2022-07-15,52.94117
2022-07-16,13.52941
2022-07-17,25.29411
2022-07-18,60.58823
2022-07-19,45.29411
2022-07-20,54.11764
2022-07-21,57.05882
2022-07-22,44.11764
2022-07-23,14.70588
2022-07-24,16.47058
2022-07-25,55.88235
2022-07-26,46.47058
2022-07-27,44.70588
2022-07-28,44.70588
2022-07-29,46.47058
2022-07-30,29.41176
2022-07-31,24.70588
2022-08-01,52.35294
2022-08-02,54.11764
2022-08-03,58.23529
2022-08-04,47.64705
2022-08-05,37.05882
2022-08-06,18.82352
2022-08-07,22.35294
2022-08-08,51.7647
2022-08-09,41.7647
2022-08-10,47.64705
2022-08-11,57.64705
2022-08-12,54.11764
2022-08-13,25.29411
2022-08-14,16.47058
2022-08-15,24.70588
2022-08-16,51.7647
2022-08-17,50.58823
2022-08-18,57.64705
2022-08-19,38.23529
2022-08-20,25.88235
2022-08-21,16.47058
2022-08-22,47.64705
2022-08-23,63.52941
2022-08-24,61.7647
2022-08-25,50.0
2022-08-26,64.11764
2022-08-27,31.7647
2022-08-28,21.17647
2022-08-29,50.58823
2022-08-30,54.70588
2022-08-31,47.05882
2022-09-01,45.29411
2022-09-02,37.64705
2022-09-03,17.05882
2022-09-04,20.58823
2022-09-05,47.64705
2022-09-06,42.35294
2022-09-07,44.70588
2022-09-08,43.52941
2022-09-09,11.17647
2022-09-10,14.70588
2022-09-11,10.0
2022-09-12,18.23529
2022-09-13,43.52941
2022-09-14,47.64705
2022-09-15,47.05882
2022-09-16,45.29411
2022-09-17,7.64705
2022-09-18,20.0
2022-09-19,41.7647
2022-09-20,38.23529
2022-09-21,42.35294
2022-09-22,48.23529
2022-09-23,37.05882
2022-09-24,25.88235
2022-09-25,16.47058
2022-09-26,50.0
2022-09-27,50.58823
2022-09-28,40.58823
2022-09-29,50.58823
2022-09-30,45.88235
2022-10-01,24.11764
2022-10-02,17.64705
2022-10-03,18.82352
2022-10-04,54.11764
2022-10-05,51.7647
2022-10-06,56.47058
2022-10-07,59.41176
2022-10-08,20.0
2022-10-09,20.58823
2022-10-10,22.94117
2022-10-11,62.35294
2022-10-12,45.29411
2022-10-13,47.05882
2022-10-14,48.82352
2022-10-15,17.64705
2022-10-16,17.64705
2022-10-17,52.94117
2022-10-18,62.94117
2022-10-19,47.05882
2022-10-20,54.11764
2022-10-21,52.94117
