date,KODEX레버리지
2022-05-01,0.93282
2022-05-02,2.97273
2022-05-03,3.05815
2022-05-04,3.02398
2022-05-05,1.22667
2022-05-06,4.0764
2022-05-07,0.76881
2022-05-08,0.81323
2022-05-09,3.82696
2022-05-10,5.25182
2022-05-11,4.45568
2022-05-12,5.19715
2022-05-13,4.70511
2022-05-14,0.99432
2022-05-15,0.85081
2022-05-16,3.84746
2022-05-17,3.30075
2022-05-18,3.72445
2022-05-19,4.5411
2022-05-20,3.98414
2022-05-21,0.82689
2022-05-22,0.71072
2022-05-23,3.51602
2022-05-24,3.70053
2022-05-25,3.6732
2022-05-26,3.48185
2022-05-27,3.20166
2022-05-28,0.77222
2022-05-29,0.43053
2022-05-30,3.4306
2022-05-31,3.4306
2022-06-01,0.75172
2022-06-02,2.89756
2022-06-03,2.99665
2022-06-04,0.56037
2022-06-05,0.50912
2022-06-06,0.76881
2022-06-07,3.44426
2022-06-08,3.39984
2022-06-09,3.58778
2022-06-10,3.94997
2022-06-11,1.25743
2022-06-12,0.91915
2022-06-13,6.20173
2022-06-14,6.35549
2022-06-15,6.96371
2022-06-16,6.99788
2022-06-17,6.42725
2022-06-18,1.28476
2022-06-19,1.3736
2022-06-20,6.91245
2022-06-21,5.78486
2022-06-22,8.04346
2022-06-23,7.61292
2022-06-24,6.25982
2022-06-25,1.6162
2022-06-26,1.38385
2022-06-27,5.24157
2022-06-28,4.50351
2022-06-29,4.37025
2022-06-30,4.32925
2022-07-01,5.30649
2022-07-02,1.38385
2022-07-03,1.12417
2022-07-04,4.84179
2022-07-05,4.80762
2022-07-06,5.24157
2022-07-07,4.9238
2022-07-08,4.16524
2022-07-09,0.99091
2022-07-10,1.42827
2022-07-11,4.13449
2022-07-12,4.21308
2022-07-13,4.40101
2022-07-14,4.08323
2022-07-15,4.48985
2022-07-16,1.16517
2022-07-17,1.14125
2022-07-18,4.89304
2022-07-19,3.98756
2022-07-20,4.93405
2022-07-21,4.45909
2022-07-22,3.94997
2022-07-23,0.76539
2022-07-24,0.67996
2022-07-25,3.58436
2022-07-26,3.44085
2022-07-27,3.60144
2022-07-28,3.8338
2022-07-29,3.91922
2022-07-30,0.72097
2022-07-31,0.57062
2022-08-01,3.18458
2022-08-02,2.89414
2022-08-03,3.60486
2022-08-04,3.50919
2022-08-05,3.51602
2022-08-06,0.60821
2022-08-07,0.53645
2022-08-08,3.27
2022-08-09,3.33151
2022-08-10,3.18458
2022-08-11,3.80988
2022-08-12,3.31442
2022-08-13,0.51595
2022-08-14,0.32802
2022-08-15,0.48178
2022-08-16,3.18458
2022-08-17,2.90097
2022-08-18,2.65495
2022-08-19,2.50802
2022-08-20,0.48178
2022-08-21,0.42369
2022-08-22,2.65495
2022-08-23,3.13332
2022-08-24,2.76088
2022-08-25,3.18116
2022-08-26,2.8463
2022-08-27,1.03533
2022-08-28,0.65263
2022-08-29,3.66637
2022-08-30,2.99665
2022-08-31,2.99323
2022-09-01,3.53311
2022-09-02,3.46135
2022-09-03,0.6868
2022-09-04,0.53304
2022-09-05,2.92489
2022-09-06,2.87364
2022-09-07,3.58094
2022-09-08,3.02056
2022-09-09,0.73122
2022-09-10,0.56379
2022-09-11,0.36219
2022-09-12,0.7483
2022-09-13,4.59577
2022-09-14,4.29166
2022-09-15,3.11966
